datetime,V51Z,V111Z,Total
2024-03-02 04:50:00,3,3,6
2024-03-02 05:00:00,1,4,5
2024-03-02 05:10:00,4,3,7
2024-03-02 05:20:00,4,6,10
2024-03-02 05:30:00,4,4,8
2024-03-02 05:40:00,12,7,19
2024-03-02 05:50:00,6,1,7
2024-03-02 06:00:00,5,6,11
2024-03-02 06:10:00,5,6,11
2024-03-02 06:20:00,4,5,9
2024-03-02 06:30:00,3,5,8
2024-03-02 06:40:00,10,12,22
2024-03-02 06:50:00,12,8,20
2024-03-02 07:00:00,10,10,20
2024-03-02 07:10:00,8,7,15
2024-03-02 07:20:00,6,14,20
2024-03-02 07:30:00,17,15,32
2024-03-02 07:40:00,13,16,29
2024-03-02 07:50:00,17,16,33
2024-03-02 08:00:00,12,15,27
2024-03-02 08:10:00,16,17,33
2024-03-02 08:20:00,15,19,34
2024-03-02 08:30:00,20,14,34
2024-03-02 08:40:00,12,17,29
2024-03-02 08:50:00,26,28,54
2024-03-02 09:00:00,27,26,53
2024-03-02 09:10:00,19,26,45
2024-03-02 09:20:00,20,33,53
2024-03-02 09:30:00,22,29,51
2024-03-02 09:40:00,21,37,58
2024-03-02 09:50:00,27,24,51
2024-03-02 10:00:00,26,24,50
2024-03-02 10:10:00,29,32,61
2024-03-02 10:20:00,20,23,43
2024-03-02 10:30:00,20,29,49
2024-03-02 10:40:00,32,23,55
2024-03-02 10:50:00,19,29,48
2024-03-02 11:00:00,29,35,64
2024-03-02 11:10:00,32,28,60
2024-03-02 11:20:00,25,39,64
2024-03-02 11:30:00,24,34,58
2024-03-02 11:40:00,27,39,66
2024-03-02 11:50:00,34,33,67
2024-03-02 12:00:00,33,38,71
2024-03-02 12:10:00,35,30,65
2024-03-02 12:20:00,27,26,53
2024-03-02 12:30:00,32,36,68
2024-03-02 12:40:00,21,34,55
2024-03-02 12:50:00,27,34,61
2024-03-02 13:00:00,35,39,74
2024-03-02 13:10:00,36,39,75
2024-03-02 13:20:00,39,30,69
2024-03-02 13:30:00,31,33,64
2024-03-02 13:40:00,32,37,69
2024-03-02 13:50:00,45,26,71
2024-03-02 14:00:00,49,42,91
2024-03-02 14:10:00,27,29,56
2024-03-02 14:20:00,31,35,66
2024-03-02 14:30:00,37,28,65
2024-03-02 14:40:00,28,33,61
2024-03-02 14:50:00,28,36,64
2024-03-02 15:00:00,29,27,56
2024-03-02 15:10:00,30,19,49
2024-03-02 15:20:00,25,32,57
2024-03-02 15:30:00,30,36,66
2024-03-02 15:40:00,30,26,56
2024-03-02 15:50:00,25,25,50
2024-03-02 16:00:00,24,26,50
2024-03-02 16:10:00,20,26,46
2024-03-02 16:20:00,18,25,43
2024-03-02 16:30:00,26,26,52
2024-03-02 16:40:00,25,27,52
2024-03-02 16:50:00,23,17,40
2024-03-02 17:00:00,26,25,51
2024-03-02 17:10:00,22,21,43
2024-03-02 17:20:00,16,21,37
2024-03-02 17:30:00,26,30,56
2024-03-02 17:40:00,29,19,48
2024-03-02 17:50:00,28,30,58
2024-03-02 18:00:00,26,24,50
2024-03-02 18:10:00,31,21,52
2024-03-02 18:20:00,22,16,38
2024-03-02 18:30:00,23,18,41
2024-03-02 18:40:00,20,22,42
2024-03-02 18:50:00,29,19,48
2024-03-02 19:00:00,22,15,37
2024-03-02 19:10:00,24,25,49
2024-03-02 19:20:00,25,19,44
2024-03-02 19:30:00,27,22,49
2024-03-02 19:40:00,14,17,31
2024-03-02 19:50:00,23,11,34
2024-03-02 20:00:00,26,10,36
2024-03-02 20:10:00,16,19,35
2024-03-02 20:20:00,23,15,38
2024-03-02 20:30:00,14,14,28
2024-03-02 20:40:00,16,9,25
2024-03-02 20:50:00,15,14,29
2024-03-02 21:00:00,19,22,41
2024-03-02 21:10:00,9,11,20
2024-03-02 21:20:00,20,17,37
2024-03-02 21:30:00,15,11,26
2024-03-02 21:40:00,10,12,22
2024-03-02 21:50:00,17,11,28
2024-03-02 22:00:00,18,11,29
2024-03-02 22:10:00,16,15,31
2024-03-02 22:20:00,14,7,21
2024-03-02 22:30:00,11,14,25
2024-03-02 22:40:00,12,5,17
2024-03-02 22:50:00,18,12,30
2024-03-02 23:00:00,10,5,15
2024-03-02 23:10:00,9,10,19
2024-03-02 23:20:00,13,11,24
2024-03-02 23:30:00,15,8,23
2024-03-02 23:40:00,5,9,14
2024-03-02 23:50:00,6,8,14
2024-03-03 00:00:00,7,4,11
2024-03-03 00:10:00,5,9,14
2024-03-03 00:20:00,8,4,12
2024-03-03 00:30:00,7,6,13
2024-03-03 00:40:00,8,6,14
2024-03-03 00:50:00,11,3,14
2024-03-03 01:00:00,7,9,16
2024-03-03 01:10:00,6,9,15
2024-03-03 01:20:00,5,1,6
2024-03-03 01:30:00,5,4,9
2024-03-03 01:40:00,7,5,12
2024-03-03 01:50:00,3,7,10
2024-03-03 02:00:00,3,4,7
2024-03-03 02:10:00,5,1,6
2024-03-03 02:20:00,4,4,8
2024-03-03 02:30:00,4,1,5
2024-03-03 02:40:00,8,4,12
2024-03-03 02:50:00,3,3,6
2024-03-03 03:00:00,2,5,7
2024-03-03 03:10:00,3,2,5
2024-03-03 03:20:00,4,1,5
2024-03-03 03:30:00,3,3,6
2024-03-03 03:40:00,1,0,1
2024-03-03 03:50:00,4,2,6
2024-03-03 04:00:00,0,2,2
2024-03-03 04:10:00,1,2,3
2024-03-03 04:20:00,1,2,3
2024-03-03 04:30:00,2,1,3
2024-03-03 04:40:00,4,2,6
2024-03-03 04:50:00,0,2,2
2024-03-03 05:00:00,0,3,3
2024-03-03 05:10:00,1,0,1
2024-03-03 05:20:00,0,3,3
2024-03-03 05:30:00,5,5,10
2024-03-03 05:40:00,3,3,6
2024-03-03 05:50:00,3,3,6
2024-03-03 06:00:00,1,4,5
2024-03-03 06:10:00,2,2,4
2024-03-03 06:20:00,4,0,4
2024-03-03 06:30:00,7,9,16
2024-03-03 06:40:00,1,3,4
2024-03-03 06:50:00,4,3,7
2024-03-03 07:00:00,5,2,7
2024-03-03 07:10:00,4,5,9
2024-03-03 07:20:00,5,6,11
2024-03-03 07:30:00,2,3,5
2024-03-03 07:40:00,5,5,10
2024-03-03 07:50:00,10,5,15
2024-03-03 08:00:00,8,10,18
2024-03-03 08:10:00,10,8,18
2024-03-03 08:20:00,8,5,13
2024-03-03 08:30:00,10,18,28
2024-03-03 08:40:00,16,9,25
2024-03-03 08:50:00,7,15,22
2024-03-03 09:00:00,5,15,20
2024-03-03 09:10:00,17,22,39
2024-03-03 09:20:00,8,17,25
2024-03-03 09:30:00,10,19,29
2024-03-03 09:40:00,23,14,37
2024-03-03 09:50:00,17,25,42
2024-03-03 10:00:00,21,13,34
2024-03-03 10:10:00,23,29,52
2024-03-03 10:20:00,23,22,45
2024-03-03 10:30:00,20,19,39
2024-03-03 10:40:00,14,12,26
2024-03-03 10:50:00,21,29,50
2024-03-03 11:00:00,31,24,55
2024-03-03 11:10:00,20,29,49
2024-03-03 11:20:00,18,36,54
2024-03-03 11:30:00,30,20,50
2024-03-03 11:40:00,29,25,54
2024-03-03 11:50:00,21,21,42
2024-03-03 12:00:00,25,31,56
2024-03-03 12:10:00,25,30,55
2024-03-03 12:20:00,20,29,49
2024-03-03 12:30:00,21,21,42
2024-03-03 12:40:00,35,22,57
2024-03-03 12:50:00,28,17,45
2024-03-03 13:00:00,30,26,56
2024-03-03 13:10:00,29,29,58
2024-03-03 13:20:00,17,21,38
2024-03-03 13:30:00,20,30,50
2024-03-03 13:40:00,30,29,59
2024-03-03 13:50:00,25,36,61
2024-03-03 14:00:00,29,29,58
2024-03-03 14:10:00,20,24,44
2024-03-03 14:20:00,22,31,53
2024-03-03 14:30:00,17,36,53
2024-03-03 14:40:00,23,32,55
2024-03-03 14:50:00,27,35,62
2024-03-03 15:00:00,35,31,66
2024-03-03 15:10:00,26,33,59
