datetime,D21Z,D22Z,D31Z,D32Z,D33Z,D41Z,D42Z,Total
2024-03-01 01:00:00,0,0,1,0,0,3,4,8
2024-03-01 01:10:00,0,0,1,0,0,3,4,8
2024-03-01 01:20:00,0,0,0,0,0,1,4,5
2024-03-01 01:30:00,0,0,1,0,0,3,6,10
2024-03-01 01:40:00,0,0,0,0,0,3,6,9
2024-03-01 01:50:00,0,0,2,0,0,4,5,11
2024-03-01 02:00:00,0,0,0,0,0,2,1,3
2024-03-01 02:10:00,0,0,0,0,0,4,7,11
2024-03-01 02:20:00,0,0,0,0,0,1,3,4
2024-03-01 02:30:00,0,0,1,0,0,2,3,6
2024-03-01 02:40:00,0,0,0,0,0,1,1,2
2024-03-01 02:50:00,0,0,0,0,0,0,3,3
2024-03-01 03:00:00,0,0,1,0,0,2,4,7
2024-03-01 03:10:00,0,0,1,0,0,1,0,2
2024-03-01 03:20:00,0,0,1,0,0,1,0,2
2024-03-01 03:30:00,0,0,2,0,0,3,5,10
2024-03-01 03:40:00,0,0,1,0,0,1,2,4
2024-03-01 03:50:00,0,0,2,0,0,2,2,6
2024-03-01 04:00:00,0,0,0,0,0,4,6,10
2024-03-01 04:10:00,0,0,2,0,0,2,2,6
2024-03-01 04:20:00,0,0,0,0,0,3,4,7
2024-03-01 04:30:00,0,0,4,0,0,3,3,10
2024-03-01 04:40:00,0,0,2,0,0,7,7,16
2024-03-01 04:50:00,0,0,5,0,0,2,2,9
2024-03-01 05:00:00,0,0,1,0,0,8,7,16
2024-03-01 05:10:00,0,0,5,0,0,3,2,10
2024-03-01 05:20:00,0,0,8,0,0,11,8,27
2024-03-01 05:30:00,0,0,6,0,0,13,14,33
2024-03-01 05:40:00,0,0,5,0,0,20,16,41
2024-03-01 05:50:00,0,0,15,0,0,10,8,33
2024-03-01 06:00:00,0,0,14,0,0,22,14,50
2024-03-01 06:10:00,0,0,9,0,0,22,13,44
2024-03-01 06:20:00,0,0,12,0,0,27,19,58
2024-03-01 06:30:00,0,0,6,0,0,25,27,58
2024-03-01 06:40:00,0,0,8,0,0,34,16,58
2024-03-01 06:50:00,0,0,15,0,0,36,23,74
2024-03-01 07:00:00,0,0,17,0,0,43,33,93
2024-03-01 07:10:00,0,0,16,0,0,44,40,100
2024-03-01 07:20:00,0,0,14,0,0,42,49,105
2024-03-01 07:30:00,0,0,19,0,0,58,42,119
2024-03-01 07:40:00,0,0,18,0,0,58,61,137
2024-03-01 07:50:00,0,0,28,0,0,40,60,128
2024-03-01 08:00:00,0,0,15,0,0,54,50,119
2024-03-01 08:10:00,0,0,11,0,0,36,50,97
2024-03-01 08:20:00,0,0,14,0,0,52,54,120
2024-03-01 08:30:00,0,0,13,0,0,51,54,118
2024-03-01 08:40:00,0,0,17,0,0,65,54,136
2024-03-01 08:50:00,0,0,21,0,0,44,49,114
2024-03-01 09:00:00,0,0,11,0,0,45,44,100
2024-03-01 09:10:00,0,0,14,0,0,40,40,94
2024-03-01 09:20:00,0,0,12,0,0,52,42,106
2024-03-01 09:30:00,0,0,29,0,0,46,56,131
2024-03-01 09:40:00,0,0,22,0,0,41,46,109
2024-03-01 09:50:00,0,0,23,0,0,47,37,107
2024-03-01 10:00:00,0,0,16,0,0,47,44,107
2024-03-01 10:10:00,0,0,16,0,0,41,46,103
2024-03-01 10:20:00,0,0,31,0,0,39,42,112
2024-03-01 10:30:00,0,0,24,0,0,40,44,108
2024-03-01 10:40:00,0,0,26,0,0,52,60,138
2024-03-01 10:50:00,0,0,24,0,0,71,47,142
2024-03-01 11:00:00,0,0,18,0,0,41,58,117
2024-03-01 11:10:00,0,0,18,0,0,38,38,94
2024-03-01 11:20:00,0,0,26,0,0,42,43,111
2024-03-01 11:30:00,0,0,28,0,0,43,47,118
2024-03-01 11:40:00,0,0,23,0,0,41,52,116
2024-03-01 11:50:00,0,0,27,0,0,41,58,126
2024-03-01 12:00:00,0,0,17,0,0,49,36,102
2024-03-01 12:10:00,0,0,25,0,0,55,49,129
2024-03-01 12:20:00,0,0,29,0,0,47,57,133
2024-03-01 12:30:00,0,0,26,0,0,49,40,115
2024-03-01 12:40:00,0,0,33,0,0,55,64,152
2024-03-01 12:50:00,0,0,37,0,0,46,59,142
2024-03-01 13:00:00,0,0,24,0,0,49,62,135
2024-03-01 13:10:00,0,0,24,0,0,41,54,119
2024-03-01 13:20:00,0,0,29,0,0,51,54,134
2024-03-01 13:30:00,0,0,39,0,0,63,62,164
2024-03-01 13:40:00,0,0,29,0,0,46,51,126
2024-03-01 13:50:00,0,0,20,0,0,62,59,141
2024-03-01 14:00:00,0,0,30,0,0,39,54,123
2024-03-01 14:10:00,0,0,25,0,0,48,55,128
2024-03-01 14:20:00,0,0,25,0,0,48,60,133
2024-03-01 14:30:00,0,0,27,0,0,52,60,139
2024-03-01 14:40:00,0,0,13,0,0,54,72,139
2024-03-01 14:50:00,0,0,24,0,0,60,65,149
2024-03-01 15:00:00,0,0,17,0,0,41,58,116
2024-03-01 15:10:00,0,0,27,0,0,57,63,147
2024-03-01 15:20:00,0,0,29,0,0,60,65,154
2024-03-01 15:30:00,0,0,34,0,0,50,61,145
2024-03-01 15:40:00,0,0,23,0,0,59,56,138
2024-03-01 15:50:00,0,0,32,0,0,51,56,139
2024-03-01 16:00:00,0,0,24,0,0,55,64,143
2024-03-01 16:10:00,0,0,18,0,0,51,49,118
2024-03-01 16:20:00,0,0,23,0,0,67,66,156
2024-03-01 16:30:00,0,0,25,0,0,53,69,147
2024-03-01 16:40:00,0,0,21,0,0,59,52,132
2024-03-01 16:50:00,0,0,28,0,0,42,76,146
2024-03-01 17:00:00,0,0,22,0,0,47,65,134
2024-03-01 17:10:00,0,0,25,0,0,65,63,153
2024-03-01 17:20:00,0,0,12,0,0,59,64,135
2024-03-01 17:30:00,0,0,31,0,0,47,68,146
2024-03-01 17:40:00,0,0,12,0,0,55,50,117
2024-03-01 17:50:00,0,0,23,0,0,61,83,167
2024-03-01 18:00:00,0,0,16,0,0,39,45,100
2024-03-01 18:10:00,0,0,18,0,0,58,50,126
2024-03-01 18:20:00,0,0,20,0,0,55,72,147
2024-03-01 18:30:00,0,0,26,0,0,55,71,152
2024-03-01 18:40:00,0,0,14,0,0,63,61,138
2024-03-01 18:50:00,0,0,18,0,0,55,41,114
2024-03-01 19:00:00,0,0,15,0,0,51,62,128
2024-03-01 19:10:00,0,0,19,0,0,53,39,111
2024-03-01 19:20:00,0,0,13,0,0,42,60,115
2024-03-01 19:30:00,0,0,15,0,0,27,42,84
2024-03-01 19:40:00,0,0,10,0,0,48,54,112
2024-03-01 19:50:00,0,0,8,0,0,37,47,92
2024-03-01 20:00:00,0,0,6,0,0,40,46,92
2024-03-01 20:10:00,0,0,9,0,0,37,44,90
