datetime,D51Z,V51Z,D52Z,D111Z,V111Z,D112Z,Total
2024-03-02 09:00:00,0,13,0,0,11,12,0.0
2024-03-02 09:10:00,0,12,0,0,16,20,0.0
2024-03-02 09:20:00,0,13,0,0,7,10,0.0
2024-03-02 09:30:00,0,15,0,0,12,11,0.0
2024-03-02 09:40:00,0,13,0,0,9,10,0.0
2024-03-02 09:50:00,0,11,0,0,12,15,0.0
2024-03-02 10:00:00,0,25,0,0,19,21,0.0
2024-03-02 10:10:00,0,19,0,0,17,20,0.0
2024-03-02 10:20:00,0,14,0,0,12,15,0.0
2024-03-02 10:30:00,0,17,0,0,13,15,0.0
2024-03-02 10:40:00,0,19,0,0,23,19,0.0
2024-03-02 10:50:00,0,17,0,0,12,13,0.0
2024-03-02 11:00:00,0,21,0,0,16,16,0.0
2024-03-02 11:10:00,0,15,0,0,16,9,0.0
2024-03-02 11:20:00,0,22,0,0,23,23,0.0
2024-03-02 11:30:00,0,22,0,0,19,21,0.0
2024-03-02 11:40:00,0,17,0,0,32,24,0.0
2024-03-02 11:50:00,0,10,0,0,26,20,0.0
2024-03-02 12:00:00,0,20,0,0,18,17,0.0
2024-03-02 12:10:00,0,16,0,0,28,30,0.0
2024-03-02 12:20:00,0,13,0,0,19,19,0.0
2024-03-02 12:30:00,0,20,0,0,16,16,0.0
2024-03-02 12:40:00,0,32,0,0,26,27,0.0
2024-03-02 12:50:00,0,20,0,0,22,29,0.0
2024-03-02 13:00:00,0,18,0,0,18,28,0.0
2024-03-02 13:10:00,0,18,0,0,27,34,0.0
2024-03-02 13:20:00,0,14,0,0,26,36,0.0
2024-03-02 13:30:00,0,26,0,0,25,32,0.0
2024-03-02 13:40:00,0,21,0,0,22,25,0.0
2024-03-02 13:50:00,0,19,0,0,28,31,0.0
2024-03-02 14:00:00,0,26,0,0,26,31,0.0
2024-03-02 14:10:00,0,20,0,0,26,33,0.0
2024-03-02 14:20:00,0,20,0,0,40,43,0.0
2024-03-02 14:30:00,0,19,0,0,22,33,0.0
2024-03-02 14:40:00,0,30,0,0,23,30,0.0
2024-03-02 14:50:00,0,23,0,0,20,26,0.0
2024-03-02 15:00:00,0,20,0,0,29,34,0.0
2024-03-02 15:10:00,0,21,0,0,18,22,0.0
2024-03-02 15:20:00,0,21,0,0,20,29,0.0
2024-03-02 15:30:00,0,23,0,0,24,35,0.0
2024-03-02 15:40:00,0,22,0,0,24,31,0.0
2024-03-02 15:50:00,0,21,0,0,24,32,0.0
2024-03-02 16:00:00,0,20,0,0,18,26,0.0
2024-03-02 16:10:00,0,27,0,0,27,30,0.0
2024-03-02 16:20:00,0,16,0,0,19,25,0.0
2024-03-02 16:30:00,0,18,0,0,18,24,0.0
2024-03-02 16:40:00,0,17,0,0,22,29,0.0
2024-03-02 16:50:00,0,19,0,0,19,22,0.0
2024-03-02 17:00:00,0,20,0,0,12,12,0.0
2024-03-02 17:10:00,0,33,0,0,13,20,0.0
2024-03-02 17:20:00,0,16,0,0,20,27,0.0
2024-03-02 17:30:00,0,22,0,0,23,22,0.0
2024-03-02 17:40:00,0,21,0,0,18,21,0.0
2024-03-02 17:50:00,0,19,0,0,17,22,0.0
2024-03-02 18:00:00,0,17,0,0,19,22,0.0
2024-03-02 18:10:00,0,16,0,0,13,20,0.0
2024-03-02 18:20:00,0,18,0,0,20,23,0.0
2024-03-02 18:30:00,0,8,0,0,18,22,0.0
2024-03-02 18:40:00,0,12,0,0,13,14,0.0
2024-03-02 18:50:00,0,13,0,0,16,19,0.0
2024-03-02 19:00:00,0,17,0,0,15,15,0.0
2024-03-02 19:10:00,0,9,0,0,12,14,0.0
2024-03-02 19:20:00,0,11,0,0,14,17,0.0
2024-03-02 19:30:00,0,4,0,0,6,6,0.0
2024-03-02 19:40:00,0,7,0,0,7,7,0.0
2024-03-02 19:50:00,0,8,0,0,9,9,0.0
2024-03-02 20:00:00,0,8,0,0,8,9,0.0
2024-03-02 20:10:00,0,12,0,0,11,11,0.0
2024-03-02 20:20:00,0,7,0,0,7,8,0.0
2024-03-02 20:30:00,0,8,0,0,9,9,0.0
2024-03-02 20:40:00,0,2,0,0,3,4,0.0
2024-03-02 20:50:00,0,6,0,0,6,6,0.0
2024-03-02 21:00:00,0,13,0,0,3,4,0.0
2024-03-02 21:10:00,0,8,0,0,6,11,0.0
2024-03-02 21:20:00,0,5,0,0,6,8,0.0
2024-03-02 21:30:00,0,4,0,0,3,3,0.0
2024-03-02 21:40:00,0,6,0,0,5,5,0.0
2024-03-02 21:50:00,0,5,0,0,8,9,0.0
2024-03-02 22:00:00,0,3,0,0,7,9,0.0
2024-03-02 22:10:00,0,5,0,0,8,8,0.0
2024-03-02 22:20:00,0,3,0,0,4,4,0.0
2024-03-02 22:30:00,0,3,0,0,8,8,0.0
2024-03-02 22:40:00,0,1,0,0,5,5,0.0
2024-03-02 22:50:00,0,2,0,0,2,3,0.0
2024-03-02 23:00:00,0,3,0,0,5,5,0.0
2024-03-02 23:10:00,0,3,0,0,5,5,0.0
2024-03-02 23:20:00,0,4,0,0,5,5,0.0
2024-03-02 23:30:00,0,2,0,0,3,3,0.0
2024-03-02 23:40:00,0,3,0,0,5,5,0.0
2024-03-02 23:50:00,0,1,0,0,5,5,0.0
2024-03-03 00:00:00,0,3,0,0,2,3,0.0
