datetime,D11Z,D21Z,V22Z,D31Z,V32Z,V33Z,D41Z,V42Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D121Z,D122Z,V123Z,V124Z,V221Z,V222Z,Total
2024-03-01 07:30:00,710,41,27,45,14,12,61,21,39,24,9,14,15,14,10,9,11,54,6,16,36,25,9,14,0,0,1236
2024-03-01 07:40:00,107,27,30,36,16,21,61,11,26,29,9,12,9,19,10,12,9,59,3,23,45,36,21,22,0,0,653
2024-03-01 07:50:00,352,35,30,29,6,5,52,14,34,33,3,5,14,28,9,14,13,49,3,19,38,27,15,17,0,0,844
2024-03-01 08:00:00,618,31,25,38,16,8,61,13,31,25,13,13,20,22,21,8,11,37,7,27,28,16,19,14,0,0,1122
2024-03-01 08:10:00,122,33,29,24,13,8,50,15,32,22,12,11,13,22,18,10,6,43,1,20,26,22,15,18,0,0,585
2024-03-01 08:20:00,168,24,22,49,11,4,71,8,35,21,8,12,17,26,13,10,12,53,7,18,32,18,17,10,0,0,666
2024-03-01 08:30:00,97,38,27,36,10,6,51,10,33,22,14,12,11,19,10,10,8,40,3,19,27,20,15,15,0,0,553
2024-03-01 08:40:00,95,36,20,53,18,13,79,16,39,30,14,19,19,35,11,12,6,43,3,14,24,20,13,18,0,0,650
2024-03-01 08:50:00,144,29,24,37,14,8,58,19,33,25,8,10,21,22,13,11,12,34,6,20,29,17,14,13,0,0,621
2024-03-01 09:00:00,990,20,30,41,11,10,45,16,27,19,11,14,15,41,18,9,7,52,4,24,19,10,18,10,0,0,1461
2024-03-01 09:10:00,83,38,32,32,11,10,42,16,4,30,1,3,13,28,10,10,4,30,1,18,21,14,10,11,0,0,472
2024-03-01 09:20:00,503,35,38,50,13,7,43,8,0,50,2,0,16,50,10,14,7,40,2,18,20,10,16,9,0,0,961
2024-03-01 09:30:00,1063,31,36,44,16,10,65,11,0,51,1,8,18,13,12,6,10,40,4,17,24,15,19,17,0,0,1531
2024-03-01 09:40:00,105,44,40,40,24,13,45,23,0,60,0,7,15,21,13,10,12,45,5,18,23,14,12,15,0,0,604
2024-03-01 09:50:00,647,22,32,32,12,15,41,14,0,42,2,8,12,29,9,13,15,41,3,13,19,13,11,8,0,0,1053
2024-03-01 10:00:00,675,23,38,44,32,14,50,18,0,63,1,4,11,21,12,10,4,37,5,24,20,25,9,15,0,0,1155
2024-03-01 10:10:00,160,31,28,36,19,11,36,13,0,44,1,2,14,18,11,49,9,34,4,16,21,18,15,9,0,0,599
