datetime,D1Z,D2Z,D3Z,D4Z,D5Z,D6Z,V21Z,V22Z,V51Z,V52Z,V81Z,V82Z,V211Z,V212Z,V811Z,V812Z,V1111Z,V1112Z,Total
2024-03-01 11:00:00,24,28,30,31,1,32,27,23,37,44,26,19,27,31,18,10,2,0,410
2024-03-01 11:10:00,22,31,33,34,2,28,21,24,41,49,24,16,23,25,12,12,2,0,399
2024-03-01 11:20:00,19,30,32,41,1,25,35,30,59,62,24,17,33,44,13,11,1,0,477
2024-03-01 11:30:00,23,21,32,27,5,32,32,27,47,48,13,14,32,31,9,10,2,0,405
2024-03-01 11:40:00,28,37,38,45,2,23,29,28,47,54,26,25,35,36,17,13,4,0,487
2024-03-01 11:50:00,26,37,42,50,1,23,30,22,29,39,18,21,19,23,10,15,0,0,405
2024-03-01 12:00:00,39,41,64,62,5,24,24,29,49,49,28,33,26,31,13,13,1,0,531
2024-03-01 12:10:00,45,35,65,80,3,24,30,26,52,48,28,38,38,31,16,11,2,0,572
2024-03-01 12:20:00,34,50,53,78,4,20,22,20,34,46,29,37,20,26,13,16,0,0,502
2024-03-01 12:30:00,32,34,69,77,2,22,26,29,45,49,36,31,31,30,10,19,0,0,542
2024-03-01 12:40:00,34,36,62,65,2,21,32,91,47,53,35,38,33,34,10,14,1,0,608
2024-03-01 12:50:00,42,34,65,62,2,28,37,46,56,65,28,27,27,49,10,17,3,0,598
2024-03-01 13:00:00,34,32,62,53,1,26,37,41,60,60,30,26,32,34,16,15,1,0,560
2024-03-01 13:10:00,24,15,34,22,3,20,22,23,26,32,26,10,20,19,9,10,1,0,316
2024-03-01 13:20:00,35,34,47,47,3,37,38,43,47,56,30,27,37,40,15,19,1,0,556
2024-03-01 13:30:00,33,43,46,60,6,25,20,39,35,46,25,29,26,31,8,11,2,0,485
2024-03-01 13:40:00,37,43,54,56,2,25,42,39,53,45,26,31,42,33,10,16,2,0,556
2024-03-01 13:50:00,36,37,47,56,5,29,29,26,43,46,25,35,30,26,11,13,0,0,494
2024-03-01 14:00:00,34,46,43,52,7,26,39,42,49,68,32,35,40,44,12,10,3,0,582
2024-03-01 14:10:00,33,46,50,57,3,34,36,40,42,52,26,33,26,34,11,9,1,0,533
2024-03-01 14:20:00,22,36,33,48,3,33,28,35,38,45,27,34,32,38,12,19,0,0,483
2024-03-01 14:30:00,38,46,53,62,1,28,40,36,50,42,30,27,40,31,10,6,0,0,540
2024-03-01 14:40:00,31,38,52,59,4,22,39,39,49,54,28,30,35,41,12,11,7,0,551
2024-03-01 14:50:00,31,36,53,47,5,16,24,24,31,36,34,32,25,25,10,10,0,0,439
2024-03-01 15:00:00,36,36,58,59,5,26,34,36,52,53,30,31,36,35,9,9,0,0,545
2024-03-01 15:10:00,33,34,55,52,6,25,35,29,45,48,24,26,31,33,11,14,0,0,501
2024-03-01 15:20:00,42,45,53,48,2,28,32,41,34,46,40,32,29,42,8,8,1,0,531
2024-03-01 15:30:00,25,30,33,39,3,21,37,36,48,50,19,19,35,35,6,8,0,0,444
2024-03-01 15:40:00,34,36,58,53,7,22,28,36,32,51,33,26,29,32,14,13,0,0,504
2024-03-01 15:50:00,35,33,46,43,3,22,28,28,35,44,26,29,25,32,9,7,2,0,447
2024-03-01 16:00:00,35,34,45,41,3,18,20,24,23,31,30,25,21,25,7,15,2,0,399
2024-03-01 16:10:00,31,33,42,37,5,25,36,34,46,56,23,24,34,41,10,6,2,0,485
2024-03-01 16:20:00,34,33,43,46,5,27,26,37,31,46,29,29,27,36,13,13,0,0,475
2024-03-01 16:30:00,30,38,40,50,3,17,32,42,45,53,34,32,33,43,7,12,2,0,513
2024-03-01 16:40:00,32,38,47,49,3,26,31,41,38,43,33,30,30,34,8,8,1,0,492
2024-03-01 16:50:00,34,30,38,39,2,24,27,29,35,44,28,23,28,31,13,12,0,0,437
2024-03-01 17:00:00,44,37,55,46,6,30,30,36,38,43,43,29,28,35,10,12,0,0,522
2024-03-01 17:10:00,40,32,50,41,7,27,26,41,41,55,29,20,33,42,8,8,2,0,502
2024-03-01 17:20:00,26,28,41,37,5,23,20,16,26,21,22,19,15,17,8,13,0,0,337
2024-03-01 17:30:00,32,30,43,42,4,12,34,37,46,39,33,22,30,32,13,10,0,0,459
2024-03-01 17:40:00,27,31,41,46,4,29,23,34,28,41,32,24,17,33,7,13,2,0,432
2024-03-01 17:50:00,29,27,40,42,1,17,24,30,29,42,26,20,29,35,8,11,0,0,410
2024-03-01 18:00:00,30,32,44,42,8,20,27,29,42,33,29,26,30,27,11,16,0,0,446
2024-03-01 18:10:00,26,33,33,37,3,18,22,33,36,48,23,25,22,36,9,15,3,0,422
2024-03-01 18:20:00,28,27,42,30,2,23,15,34,34,44,34,21,14,28,12,11,2,0,401
