datetime,V21Z,V22Z,V52Z,V81Z,V82Z,V112Z,Total
2024-03-01 01:00:00,2,2,0,4,4,0,12
2024-03-01 01:10:00,3,4,1,3,2,0,13
2024-03-01 01:20:00,1,0,1,1,0,0,3
2024-03-01 01:30:00,4,3,0,5,3,0,15
2024-03-01 01:40:00,2,2,0,2,2,0,8
2024-03-01 01:50:00,1,1,0,2,2,0,6
2024-03-01 02:00:00,2,2,0,4,3,0,11
2024-03-01 02:10:00,2,2,1,0,0,0,5
2024-03-01 02:20:00,1,1,0,0,0,0,2
2024-03-01 02:30:00,1,1,0,0,0,0,2
2024-03-01 02:40:00,0,0,0,3,3,0,6
2024-03-01 02:50:00,1,1,0,4,3,0,9
2024-03-01 03:00:00,0,0,2,2,1,0,5
2024-03-01 03:10:00,1,1,1,2,2,0,7
2024-03-01 03:20:00,1,1,3,2,1,2,10
2024-03-01 03:30:00,0,0,0,2,1,2,5
2024-03-01 03:40:00,0,0,1,4,3,0,8
2024-03-01 03:50:00,0,2,1,0,0,0,3
2024-03-01 04:00:00,3,3,0,0,0,0,6
2024-03-01 04:10:00,0,2,0,3,6,0,11
2024-03-01 04:20:00,1,3,1,2,4,0,11
2024-03-01 04:30:00,2,3,0,2,4,2,13
2024-03-01 04:40:00,2,3,1,2,3,0,11
2024-03-01 04:50:00,3,3,5,0,0,0,11
2024-03-01 05:00:00,8,8,1,2,4,0,23
2024-03-01 05:10:00,9,8,2,4,5,0,28
2024-03-01 05:20:00,4,3,4,5,5,3,24
2024-03-01 05:30:00,6,8,11,5,2,0,32
2024-03-01 05:40:00,10,12,5,8,6,0,41
2024-03-01 05:50:00,7,7,2,7,6,2,31
2024-03-01 06:00:00,11,11,10,7,8,1,48
2024-03-01 06:10:00,12,12,3,11,9,0,47
2024-03-01 06:20:00,10,12,7,12,8,3,52
2024-03-01 06:30:00,15,14,13,16,18,1,77
2024-03-01 06:40:00,16,11,6,13,12,2,60
2024-03-01 06:50:00,23,19,7,23,16,3,91
2024-03-01 07:00:00,19,21,9,23,17,1,90
2024-03-01 07:10:00,34,24,12,21,21,7,119
2024-03-01 07:20:00,30,28,15,25,18,6,122
2024-03-01 07:30:00,54,40,25,28,15,9,171
2024-03-01 07:40:00,39,23,18,32,20,8,140
2024-03-01 07:50:00,39,24,20,52,33,7,175
2024-03-01 08:00:00,34,28,19,28,20,8,137
2024-03-01 08:10:00,43,42,17,27,24,9,162
2024-03-01 08:20:00,31,31,27,28,19,13,149
2024-03-01 08:30:00,33,29,20,21,11,6,120
2024-03-01 08:40:00,37,24,19,28,23,12,143
2024-03-01 08:50:00,36,32,25,33,21,5,152
2024-03-01 09:00:00,53,33,26,30,24,11,177
2024-03-01 09:10:00,46,31,18,36,20,11,162
2024-03-01 09:20:00,27,22,21,34,22,5,131
2024-03-01 09:30:00,38,27,21,23,15,7,131
2024-03-01 09:40:00,34,29,29,43,19,2,156
2024-03-01 09:50:00,38,30,21,24,19,9,141
2024-03-01 10:00:00,45,25,21,33,20,6,150
2024-03-01 10:10:00,40,35,19,42,29,10,175
2024-03-01 10:20:00,33,25,22,41,23,6,150
2024-03-01 10:30:00,44,29,18,28,15,14,148
2024-03-01 10:40:00,45,20,30,36,18,6,155
2024-03-01 10:50:00,40,24,26,28,15,11,144
2024-03-01 11:00:00,36,28,20,38,15,14,151
2024-03-01 11:10:00,43,38,23,42,21,19,186
2024-03-01 11:20:00,41,32,19,42,30,18,182
2024-03-01 11:30:00,39,28,25,42,26,11,171
2024-03-01 11:40:00,35,30,18,47,25,9,164
2024-03-01 11:50:00,38,26,17,28,22,6,137
2024-03-01 12:00:00,37,34,14,41,21,11,158
2024-03-01 12:10:00,36,25,18,40,24,14,157
2024-03-01 12:20:00,28,23,23,30,25,14,143
2024-03-01 12:30:00,40,27,19,37,27,8,158
2024-03-01 12:40:00,37,36,23,42,27,10,175
2024-03-01 12:50:00,57,45,13,36,26,5,182
2024-03-01 13:00:00,37,30,23,38,28,6,162
2024-03-01 13:10:00,18,14,14,32,14,4,96
2024-03-01 13:20:00,41,37,20,32,17,12,159
2024-03-01 13:30:00,38,28,4,44,31,13,158
2024-03-01 13:40:00,44,32,20,36,24,6,162
2024-03-01 13:50:00,51,44,22,33,19,7,176
2024-03-01 14:00:00,30,23,22,39,20,7,141
2024-03-01 14:10:00,48,28,13,44,25,6,164
2024-03-01 14:20:00,50,41,16,44,28,4,183
2024-03-01 14:30:00,35,20,22,43,28,7,155
2024-03-01 14:40:00,49,44,16,49,29,11,198
2024-03-01 14:50:00,49,36,24,44,27,10,190
2024-03-01 15:00:00,42,34,16,29,22,10,153
2024-03-01 15:10:00,58,36,19,43,22,12,190
2024-03-01 15:20:00,41,27,24,51,24,8,175
2024-03-01 15:30:00,29,23,27,56,23,4,162
2024-03-01 15:40:00,49,25,18,44,33,14,183
2024-03-01 15:50:00,31,24,15,21,15,14,120
2024-03-01 16:00:00,38,20,15,50,12,9,144
