datetime,D11Z,D12Z,D13Z,D21Z,D22Z,D31Z,D32Z,D41Z,D42Z,Total
2024-03-01 16:50:00,6,28,34,84,48,0,30,0,20,250
2024-03-01 17:00:00,13,50,30,73,43,0,37,0,18,264
2024-03-01 17:10:00,11,29,27,100,56,0,37,0,28,288
2024-03-01 17:20:00,4,29,21,84,53,0,22,0,32,245
2024-03-01 17:30:00,10,40,43,89,58,0,21,0,34,295
2024-03-01 17:40:00,11,34,37,88,50,0,28,0,25,273
2024-03-01 17:50:00,4,39,40,105,79,0,23,0,22,312
2024-03-01 18:00:00,8,37,36,76,40,0,23,0,21,241
2024-03-01 18:10:00,6,26,19,98,37,0,35,0,20,241
2024-03-01 18:20:00,6,20,34,96,60,0,24,0,24,264
2024-03-01 18:30:00,8,34,36,83,39,0,21,0,18,239
2024-03-01 18:40:00,7,30,22,82,62,0,26,0,40,269
2024-03-01 18:50:00,8,38,34,103,50,0,23,0,21,277
2024-03-01 19:00:00,8,38,29,74,37,0,25,0,19,230
2024-03-01 19:10:00,12,22,27,51,48,0,23,0,24,207
2024-03-01 19:20:00,3,21,16,54,51,0,17,0,41,203
2024-03-01 19:30:00,8,21,26,37,40,0,18,0,33,183
2024-03-01 19:40:00,4,32,25,46,34,0,24,0,27,192
2024-03-01 19:50:00,3,23,29,45,49,0,20,0,30,199
2024-03-01 20:00:00,4,15,12,41,36,0,17,0,26,151
2024-03-01 20:10:00,5,16,18,41,48,0,16,0,25,169
2024-03-01 20:20:00,6,10,16,37,40,0,21,0,28,158
2024-03-01 20:30:00,5,13,12,40,39,0,17,0,14,140
2024-03-01 20:40:00,7,21,20,32,34,0,16,0,14,144
2024-03-01 20:50:00,5,16,12,36,24,0,13,0,27,133
2024-03-01 21:00:00,7,11,14,39,32,0,21,0,23,147
2024-03-01 21:10:00,9,19,17,23,34,0,23,0,15,140
2024-03-01 21:20:00,3,17,16,35,21,0,10,0,15,117
2024-03-01 21:30:00,5,19,16,26,18,0,11,0,14,109
2024-03-01 21:40:00,1,11,11,20,20,0,14,0,11,88
2024-03-01 21:50:00,2,13,13,33,29,0,11,0,8,109
2024-03-01 22:00:00,2,14,14,34,21,0,11,0,18,114
2024-03-01 22:10:00,1,13,10,33,27,0,12,0,16,112
2024-03-01 22:20:00,3,11,10,33,22,0,10,0,15,104
2024-03-01 22:30:00,2,13,15,23,27,0,10,0,15,105
2024-03-01 22:40:00,2,7,12,27,17,0,11,0,12,88
2024-03-01 22:50:00,1,6,12,20,26,0,10,0,10,85
2024-03-01 23:00:00,3,10,8,27,19,0,14,0,10,91
2024-03-01 23:10:00,0,8,13,17,21,0,5,0,14,78
2024-03-01 23:20:00,0,3,7,18,16,0,9,0,12,65
2024-03-01 23:30:00,1,13,6,18,17,0,10,0,6,71
2024-03-01 23:40:00,3,9,8,16,19,0,16,0,10,81
2024-03-01 23:50:00,0,4,5,22,26,0,8,0,16,81
2024-03-02 00:00:00,2,6,6,17,21,0,3,0,6,61
2024-03-02 00:10:00,0,5,7,10,12,0,8,0,6,48
2024-03-02 00:20:00,6,4,6,11,14,0,5,0,14,60
2024-03-02 00:30:00,2,7,7,13,17,0,2,0,7,55
2024-03-02 00:40:00,1,4,4,15,14,0,7,0,8,53
2024-03-02 00:50:00,0,9,6,3,8,0,7,0,10,43
2024-03-02 01:00:00,0,5,5,7,7,0,5,0,9,38
2024-03-02 01:10:00,0,2,3,7,14,0,4,0,4,34
2024-03-02 01:20:00,0,4,2,9,11,0,3,0,6,35
2024-03-02 01:30:00,0,1,3,5,8,0,4,0,5,26
2024-03-02 01:40:00,0,1,2,5,7,0,4,0,4,23
2024-03-02 01:50:00,0,7,3,3,3,0,4,0,0,20
2024-03-02 02:00:00,1,2,5,4,8,0,3,0,4,27
2024-03-02 02:10:00,0,2,2,7,11,0,6,0,4,32
2024-03-02 02:20:00,2,3,3,3,2,0,3,0,5,21
2024-03-02 02:30:00,1,4,6,8,11,0,2,0,5,37
2024-03-02 02:40:00,1,2,2,7,4,0,4,0,2,22
2024-03-02 02:50:00,0,1,5,4,5,0,2,0,6,23
2024-03-02 03:00:00,2,0,0,6,8,0,1,0,3,20
2024-03-02 03:10:00,0,2,3,4,8,0,5,0,4,26
2024-03-02 03:20:00,0,0,2,3,1,0,1,0,1,8
2024-03-02 03:30:00,0,3,1,2,8,0,0,0,3,17
2024-03-02 03:40:00,0,3,5,6,5,0,4,0,3,26
2024-03-02 03:50:00,1,2,2,6,8,0,3,0,5,27
2024-03-02 04:00:00,0,1,3,6,11,0,2,0,6,29
2024-03-02 04:10:00,0,2,2,6,7,0,3,0,4,24
2024-03-02 04:20:00,0,1,2,7,7,0,1,0,4,22
2024-03-02 04:30:00,0,3,2,6,6,0,0,0,2,19
2024-03-02 04:40:00,0,4,1,11,4,0,1,0,2,23
2024-03-02 04:50:00,0,3,0,9,5,0,1,0,7,25
2024-03-02 05:00:00,0,2,3,12,3,0,3,0,2,25
2024-03-02 05:10:00,1,3,7,19,11,0,7,0,5,53
2024-03-02 05:20:00,0,3,3,17,12,0,3,0,3,41
2024-03-02 05:30:00,1,8,12,17,14,0,4,0,3,59
2024-03-02 05:40:00,1,6,11,24,12,0,3,0,6,63
2024-03-02 05:50:00,0,2,4,17,7,0,4,0,2,36
2024-03-02 06:00:00,1,3,4,14,7,0,3,0,5,37
2024-03-02 06:10:00,0,3,5,16,10,0,4,0,6,44
2024-03-02 06:20:00,2,6,4,16,9,0,3,0,7,47
2024-03-02 06:30:00,1,6,7,27,12,0,3,0,5,61
2024-03-02 06:40:00,1,8,6,24,15,0,4,0,8,66
2024-03-02 06:50:00,2,5,6,13,11,0,6,0,5,48
2024-03-02 07:00:00,1,4,7,22,12,0,7,0,5,58
