datetime,D31Z,D32Z,D41Z,D42Z,D43Z,Total
2024-03-01 01:00:00,4,4,3,0,4,15
2024-03-01 01:10:00,3,3,2,0,3,11
2024-03-01 01:20:00,6,6,8,0,8,28
2024-03-01 01:30:00,5,5,2,0,2,14
2024-03-01 01:40:00,6,7,4,0,4,21
2024-03-01 01:50:00,6,6,2,0,3,17
2024-03-01 02:00:00,1,1,2,0,2,6
2024-03-01 02:10:00,1,1,1,0,1,4
2024-03-01 02:20:00,2,3,2,0,2,9
2024-03-01 02:30:00,1,1,2,0,2,6
2024-03-01 02:40:00,0,0,0,0,0,0
2024-03-01 02:50:00,1,1,1,0,1,4
2024-03-01 03:00:00,0,1,0,0,1,2
2024-03-01 03:10:00,1,1,1,0,1,4
2024-03-01 03:20:00,3,2,3,1,3,12
2024-03-01 03:30:00,1,1,3,1,4,10
2024-03-01 03:40:00,6,6,9,1,9,31
2024-03-01 03:50:00,5,6,2,0,2,15
2024-03-01 04:00:00,5,5,6,0,6,22
2024-03-01 04:10:00,2,2,6,0,6,16
2024-03-01 04:20:00,3,3,5,0,5,16
2024-03-01 04:30:00,4,6,8,1,9,28
2024-03-01 04:40:00,5,5,0,1,1,12
2024-03-01 04:50:00,1,2,5,0,5,13
2024-03-01 05:00:00,6,5,7,0,7,25
2024-03-01 05:10:00,4,4,13,4,13,38
2024-03-01 05:20:00,8,8,15,2,17,50
2024-03-01 05:30:00,4,4,27,0,28,63
2024-03-01 05:40:00,7,7,33,4,33,84
2024-03-01 05:50:00,7,7,35,2,36,87
2024-03-01 06:00:00,21,24,40,3,42,130
2024-03-01 06:10:00,11,12,37,3,38,101
2024-03-01 06:20:00,16,19,38,3,38,114
2024-03-01 06:30:00,16,18,45,6,48,133
2024-03-01 06:40:00,15,20,56,7,53,151
2024-03-01 06:50:00,19,19,41,3,43,125
2024-03-01 07:00:00,18,24,65,4,65,176
2024-03-01 07:10:00,20,23,79,9,79,210
2024-03-01 07:20:00,30,34,60,2,63,189
2024-03-01 07:30:00,29,35,76,8,77,225
2024-03-01 07:40:00,27,30,73,3,72,205
2024-03-01 07:50:00,26,27,68,10,70,201
2024-03-01 08:00:00,26,33,53,10,55,177
2024-03-01 08:10:00,21,31,46,8,45,151
2024-03-01 08:20:00,32,36,68,4,67,207
2024-03-01 08:30:00,25,29,56,3,57,170
2024-03-01 08:40:00,32,36,58,5,61,192
2024-03-01 08:50:00,21,31,59,4,59,174
2024-03-01 09:00:00,24,28,44,6,43,145
2024-03-01 09:10:00,21,21,32,5,32,111
2024-03-01 09:20:00,19,21,46,4,48,138
2024-03-01 09:30:00,16,18,45,2,45,126
2024-03-01 09:40:00,26,31,47,5,47,156
2024-03-01 09:50:00,15,18,54,3,55,145
2024-03-01 10:00:00,14,16,50,4,50,134
2024-03-01 10:10:00,27,27,53,5,53,165
2024-03-01 10:20:00,16,15,43,4,45,123
2024-03-01 10:30:00,16,19,40,6,44,125
2024-03-01 10:40:00,15,18,54,8,54,149
2024-03-01 10:50:00,21,23,52,8,53,157
2024-03-01 11:00:00,20,27,54,7,56,164
2024-03-01 11:10:00,19,22,46,6,46,139
2024-03-01 11:20:00,20,23,33,0,33,109
2024-03-01 11:30:00,25,22,49,12,50,158
2024-03-01 11:40:00,25,30,65,6,68,194
2024-03-01 11:50:00,28,33,40,1,37,139
2024-03-01 12:00:00,30,36,38,5,38,147
2024-03-01 12:10:00,22,24,45,7,44,142
2024-03-01 12:20:00,34,34,56,4,59,187
2024-03-01 12:30:00,21,31,50,4,50,156
2024-03-01 12:40:00,29,33,56,6,58,182
2024-03-01 12:50:00,24,31,55,4,54,168
2024-03-01 13:00:00,30,40,58,7,57,192
2024-03-01 13:10:00,20,22,56,7,59,164
2024-03-01 13:20:00,30,33,50,6,50,169
2024-03-01 13:30:00,21,29,58,5,56,169
2024-03-01 13:40:00,24,23,60,5,61,173
2024-03-01 13:50:00,24,27,46,6,47,150
2024-03-01 14:00:00,27,28,55,4,56,170
2024-03-01 14:10:00,19,23,52,3,52,149
2024-03-01 14:20:00,21,25,44,6,47,143
2024-03-01 14:30:00,29,39,51,5,51,175
2024-03-01 14:40:00,20,27,74,13,74,208
2024-03-01 14:50:00,28,31,41,1,44,145
2024-03-01 15:00:00,24,30,51,5,52,162
2024-03-01 15:10:00,32,38,54,8,54,186
2024-03-01 15:20:00,27,30,35,3,34,129
2024-03-01 15:30:00,30,32,44,6,47,159
2024-03-01 15:40:00,22,34,54,10,57,177
2024-03-01 15:50:00,28,34,47,2,44,155
2024-03-01 16:00:00,28,33,63,3,65,192
2024-03-01 16:10:00,26,35,35,5,38,139
2024-03-01 16:20:00,26,25,44,2,42,139
2024-03-01 16:30:00,22,27,44,6,44,143
2024-03-01 16:40:00,25,32,49,5,53,164
2024-03-01 16:50:00,29,31,53,7,52,172
2024-03-01 17:00:00,40,39,51,5,52,187
2024-03-01 17:10:00,28,35,49,5,49,166
2024-03-01 17:20:00,28,29,56,5,57,175
2024-03-01 17:30:00,34,37,49,2,49,171
2024-03-01 17:40:00,33,34,54,7,55,183
2024-03-01 17:50:00,26,31,48,7,50,162
2024-03-01 18:00:00,29,33,41,3,43,149
2024-03-01 18:10:00,20,26,51,4,54,155
2024-03-01 18:20:00,26,32,41,1,45,145
2024-03-01 18:30:00,20,29,38,2,40,129
2024-03-01 18:40:00,23,32,32,4,32,123
2024-03-01 18:50:00,20,25,40,3,40,128
2024-03-01 19:00:00,18,26,43,6,42,135
2024-03-01 19:10:00,31,11,39,6,41,128
2024-03-01 19:20:00,15,22,40,3,43,123
2024-03-01 19:30:00,18,26,38,5,37,124
2024-03-01 19:40:00,19,13,28,4,28,92
2024-03-01 19:50:00,21,25,27,1,27,101
2024-03-01 20:00:00,18,24,23,3,24,92
2024-03-01 20:10:00,21,22,21,2,24,90
2024-03-01 20:20:00,18,26,26,3,27,100
2024-03-01 20:30:00,18,22,40,3,40,123
2024-03-01 20:40:00,16,21,19,6,18,80
2024-03-01 20:50:00,8,14,25,4,26,77
2024-03-01 21:00:00,12,13,28,2,28,83
2024-03-01 21:10:00,7,11,27,3,27,75
2024-03-01 21:20:00,11,16,21,0,22,70
2024-03-01 21:30:00,12,21,25,6,24,88
2024-03-01 21:40:00,16,19,11,0,12,58
2024-03-01 21:50:00,13,16,17,3,19,68
2024-03-01 22:00:00,20,27,19,3,20,89
2024-03-01 22:10:00,14,20,8,0,11,53
2024-03-01 22:20:00,11,12,22,0,25,70
2024-03-01 22:30:00,11,16,15,5,16,63
2024-03-01 22:40:00,10,9,18,1,19,57
2024-03-01 22:50:00,10,10,12,1,13,46
2024-03-01 23:00:00,13,16,10,3,10,52
2024-03-01 23:10:00,9,11,11,2,10,43
2024-03-01 23:20:00,10,12,18,0,25,65
2024-03-01 23:30:00,14,16,11,2,12,55
2024-03-01 23:40:00,9,11,13,4,14,51
2024-03-01 23:50:00,6,8,11,1,11,37
2024-03-02 00:00:00,9,10,10,4,11,44
2024-03-02 00:10:00,11,13,12,0,13,49
2024-03-02 00:20:00,4,6,9,2,8,29
2024-03-02 00:30:00,7,7,10,0,10,34
2024-03-02 00:40:00,8,8,7,2,7,32
2024-03-02 00:50:00,4,4,5,0,5,18
2024-03-02 01:00:00,8,10,7,0,8,33
2024-03-02 01:10:00,7,8,2,0,2,19
2024-03-02 01:20:00,1,3,4,0,5,13
2024-03-02 01:30:00,4,4,3,2,3,16
2024-03-02 01:40:00,4,4,7,0,6,21
2024-03-02 01:50:00,3,4,3,0,3,13
2024-03-02 02:00:00,3,4,1,0,1,9
2024-03-02 02:10:00,6,6,2,0,2,16
2024-03-02 02:20:00,3,4,4,0,4,15
2024-03-02 02:30:00,0,0,3,2,5,10
2024-03-02 02:40:00,3,3,1,0,1,8
2024-03-02 02:50:00,2,3,2,0,2,9
2024-03-02 03:00:00,2,2,4,0,5,13
2024-03-02 03:10:00,3,3,2,0,3,11
2024-03-02 03:20:00,6,6,5,0,5,22
2024-03-02 03:30:00,2,3,7,0,7,19
2024-03-02 03:40:00,1,1,2,0,3,7
2024-03-02 03:50:00,4,4,3,0,3,14
2024-03-02 04:00:00,4,4,2,1,2,13
2024-03-02 04:10:00,2,2,2,0,2,8
2024-03-02 04:20:00,2,2,5,0,5,14
2024-03-02 04:30:00,5,5,10,1,10,31
2024-03-02 04:40:00,4,5,5,0,6,20
2024-03-02 04:50:00,3,3,4,0,5,15
2024-03-02 05:00:00,2,2,4,0,6,14
2024-03-02 05:10:00,2,3,4,4,4,17
2024-03-02 05:20:00,5,3,7,1,7,23
2024-03-02 05:30:00,2,2,11,2,11,28
2024-03-02 05:40:00,5,7,10,1,12,35
2024-03-02 05:50:00,7,7,15,4,15,48
2024-03-02 06:00:00,5,6,8,0,8,27
2024-03-02 06:10:00,2,2,13,4,13,34
2024-03-02 06:20:00,7,9,9,2,9,36
2024-03-02 06:30:00,4,5,13,1,13,36
2024-03-02 06:40:00,6,8,10,4,12,40
2024-03-02 06:50:00,9,9,9,2,9,38
2024-03-02 07:00:00,12,12,11,0,11,46
2024-03-02 07:10:00,7,5,8,4,11,35
2024-03-02 07:20:00,9,10,13,3,13,48
2024-03-02 07:30:00,10,10,13,2,13,48
2024-03-02 07:40:00,7,8,23,3,24,65
2024-03-02 07:50:00,10,11,15,2,16,54
2024-03-02 08:00:00,9,10,11,0,11,41
2024-03-02 08:10:00,9,9,20,4,21,63
2024-03-02 08:20:00,11,13,14,1,14,53
2024-03-02 08:30:00,8,10,22,2,22,64
2024-03-02 08:40:00,13,14,27,4,27,85
2024-03-02 08:50:00,11,13,20,2,20,66
2024-03-02 09:00:00,10,12,22,0,23,67
2024-03-02 09:10:00,16,17,22,4,21,80
2024-03-02 09:20:00,12,12,34,2,34,94
2024-03-02 09:30:00,18,21,30,1,33,103
2024-03-02 09:40:00,22,22,31,7,33,115
2024-03-02 09:50:00,18,21,36,1,37,113
2024-03-02 10:00:00,25,26,35,4,36,126
2024-03-02 10:10:00,22,21,33,3,34,113
2024-03-02 10:20:00,19,26,31,5,32,113
2024-03-02 10:30:00,20,22,31,2,29,104
2024-03-02 10:40:00,14,16,32,2,33,97
2024-03-02 10:50:00,18,20,46,1,46,131
2024-03-02 11:00:00,19,24,28,2,28,101
2024-03-02 11:10:00,16,21,44,4,46,131
2024-03-02 11:20:00,14,17,32,3,28,94
2024-03-02 11:30:00,21,24,42,1,42,130
2024-03-02 11:40:00,12,20,44,6,45,127
2024-03-02 11:50:00,18,21,33,3,33,108
2024-03-02 12:00:00,20,27,37,5,39,128
2024-03-02 12:10:00,14,23,44,6,45,132
2024-03-02 12:20:00,29,37,41,1,42,150
2024-03-02 12:30:00,23,28,37,5,38,131
2024-03-02 12:40:00,15,20,38,7,43,123
2024-03-02 12:50:00,21,25,48,4,49,147
2024-03-02 13:00:00,21,25,52,4,53,155
2024-03-02 13:10:00,22,22,42,3,43,132
2024-03-02 13:20:00,19,23,35,4,39,120
2024-03-02 13:30:00,19,21,51,8,53,152
2024-03-02 13:40:00,16,26,57,4,59,162
2024-03-02 13:50:00,14,17,46,1,45,123
2024-03-02 14:00:00,21,28,50,5,52,156
2024-03-02 14:10:00,25,30,41,7,42,145
2024-03-02 14:20:00,17,21,43,9,42,132
2024-03-02 14:30:00,19,25,38,6,40,128
2024-03-02 14:40:00,24,30,43,5,46,148
2024-03-02 14:50:00,19,21,33,0,33,106
2024-03-02 15:00:00,17,22,40,3,43,125
2024-03-02 15:10:00,27,27,47,6,47,154
2024-03-02 15:20:00,23,25,33,7,32,120
2024-03-02 15:30:00,19,33,26,2,28,108
2024-03-02 15:40:00,15,18,40,6,41,120
2024-03-02 15:50:00,14,18,30,2,31,95
2024-03-02 16:00:00,17,26,31,2,35,111
2024-03-02 16:10:00,23,26,54,12,51,166
2024-03-02 16:20:00,22,26,28,5,30,111
2024-03-02 16:30:00,23,27,18,4,21,93
2024-03-02 16:40:00,22,25,41,3,39,130
2024-03-02 16:50:00,18,28,32,2,33,113
2024-03-02 17:00:00,24,28,35,2,36,125
2024-03-02 17:10:00,22,21,28,4,31,106
2024-03-02 17:20:00,20,25,48,4,48,145
2024-03-02 17:30:00,19,22,28,2,30,101
2024-03-02 17:40:00,11,12,40,4,41,108
2024-03-02 17:50:00,21,25,40,2,40,128
2024-03-02 18:00:00,29,29,34,1,35,128
2024-03-02 18:10:00,22,29,42,3,42,138
2024-03-02 18:20:00,23,32,37,2,41,135
2024-03-02 18:30:00,24,26,31,1,32,114
2024-03-02 18:40:00,22,31,40,8,41,142
2024-03-02 18:50:00,29,32,46,1,46,154
2024-03-02 19:00:00,25,28,32,4,33,122
2024-03-02 19:10:00,25,29,39,5,39,137
2024-03-02 19:20:00,23,27,38,5,37,130
2024-03-02 19:30:00,20,21,32,1,30,104
2024-03-02 19:40:00,13,17,32,2,34,98
2024-03-02 19:50:00,19,24,26,2,26,97
2024-03-02 20:00:00,15,17,26,1,26,85
2024-03-02 20:10:00,16,16,30,3,32,97
2024-03-02 20:20:00,23,25,28,3,27,106
2024-03-02 20:30:00,17,24,27,1,27,96
2024-03-02 20:40:00,13,19,25,0,27,84
2024-03-02 20:50:00,12,14,25,3,25,79
2024-03-02 21:00:00,10,10,24,5,24,73
2024-03-02 21:10:00,12,13,24,0,27,76
2024-03-02 21:20:00,6,11,15,2,18,52
2024-03-02 21:30:00,10,12,18,6,18,64
2024-03-02 21:40:00,11,14,21,1,22,69
2024-03-02 21:50:00,15,16,23,2,23,79
2024-03-02 22:00:00,18,19,15,2,15,69
2024-03-02 22:10:00,10,11,16,2,16,55
2024-03-02 22:20:00,13,14,21,0,28,76
2024-03-02 22:30:00,9,15,34,3,35,96
2024-03-02 22:40:00,9,12,12,0,12,45
2024-03-02 22:50:00,8,10,14,0,14,46
2024-03-02 23:00:00,11,16,17,2,19,65
2024-03-02 23:10:00,6,7,18,0,18,49
2024-03-02 23:20:00,8,8,13,2,15,46
2024-03-02 23:30:00,8,7,15,0,15,45
2024-03-02 23:40:00,9,11,17,2,19,58
2024-03-02 23:50:00,10,12,12,0,11,45
2024-03-03 00:00:00,5,6,5,3,8,27
2024-03-03 00:10:00,7,7,11,0,10,35
2024-03-03 00:20:00,12,12,9,1,10,44
2024-03-03 00:30:00,6,6,13,4,14,43
2024-03-03 00:40:00,11,13,12,0,12,48
2024-03-03 00:50:00,6,6,9,1,10,32
