datetime,D21Z,D22Z,D41Z,D42Z,Total
2024-03-01 01:00:00,4,1,2,1,8
2024-03-01 01:10:00,5,1,1,0,7
2024-03-01 01:20:00,10,3,1,0,14
2024-03-01 01:30:00,9,2,3,0,14
2024-03-01 01:40:00,4,1,4,3,12
2024-03-01 01:50:00,2,0,0,0,2
2024-03-01 02:00:00,10,1,1,0,12
2024-03-01 02:10:00,2,0,2,3,7
2024-03-01 02:20:00,1,0,0,0,1
2024-03-01 02:30:00,1,1,1,0,3
2024-03-01 02:40:00,7,0,4,1,12
2024-03-01 02:50:00,6,1,2,1,10
2024-03-01 03:00:00,7,1,0,0,8
2024-03-01 03:10:00,5,0,1,0,6
2024-03-01 03:20:00,10,2,1,1,14
2024-03-01 03:30:00,8,1,3,0,12
2024-03-01 03:40:00,3,0,1,2,6
2024-03-01 03:50:00,7,2,2,1,12
2024-03-01 04:00:00,5,3,1,0,9
2024-03-01 04:10:00,4,0,1,0,5
2024-03-01 04:20:00,8,1,2,0,11
2024-03-01 04:30:00,6,3,2,1,12
2024-03-01 04:40:00,12,6,4,1,23
2024-03-01 04:50:00,11,1,3,2,17
2024-03-01 05:00:00,13,3,3,1,20
2024-03-01 05:10:00,15,3,5,4,27
2024-03-01 05:20:00,23,9,7,4,43
2024-03-01 05:30:00,25,13,14,5,57
2024-03-01 05:40:00,35,14,15,8,72
2024-03-01 05:50:00,31,11,13,8,63
2024-03-01 06:00:00,41,12,20,11,84
2024-03-01 06:10:00,43,12,20,10,85
2024-03-01 06:20:00,46,12,17,9,84
2024-03-01 06:30:00,46,23,26,26,121
2024-03-01 06:40:00,64,24,28,13,129
2024-03-01 06:50:00,46,18,24,25,113
2024-03-01 07:00:00,51,22,32,24,129
2024-03-01 07:10:00,67,23,41,25,156
2024-03-01 07:20:00,67,27,40,35,169
2024-03-01 07:30:00,70,35,49,42,196
2024-03-01 07:40:00,77,41,48,54,220
2024-03-01 07:50:00,68,36,52,38,194
2024-03-01 08:00:00,68,34,54,40,196
2024-03-01 08:10:00,73,33,54,35,195
2024-03-01 08:20:00,64,34,45,37,180
2024-03-01 08:30:00,51,19,46,36,152
2024-03-01 08:40:00,68,38,52,33,191
2024-03-01 08:50:00,70,24,41,34,169
2024-03-01 09:00:00,59,28,39,31,157
2024-03-01 09:10:00,67,26,40,25,158
2024-03-01 09:20:00,55,29,37,34,155
2024-03-01 09:30:00,63,24,41,28,156
2024-03-01 09:40:00,60,30,52,33,175
2024-03-01 09:50:00,51,21,54,29,155
2024-03-01 10:00:00,55,18,54,25,152
2024-03-01 10:10:00,47,15,56,32,150
2024-03-01 10:20:00,45,24,48,26,143
2024-03-01 10:30:00,67,28,42,27,164
2024-03-01 10:40:00,57,19,42,35,153
2024-03-01 10:50:00,55,26,41,27,149
2024-03-01 11:00:00,66,24,50,26,166
2024-03-01 11:10:00,72,26,49,35,182
2024-03-01 11:20:00,60,23,31,27,141
2024-03-01 11:30:00,85,45,32,25,187
2024-03-01 11:40:00,75,30,46,30,181
2024-03-01 11:50:00,72,33,36,22,163
2024-03-01 12:00:00,80,37,42,28,187
2024-03-01 12:10:00,78,43,33,17,171
2024-03-01 12:20:00,69,28,52,33,182
2024-03-01 12:30:00,69,37,37,17,160
2024-03-01 12:40:00,74,37,38,31,180
2024-03-01 12:50:00,78,30,36,35,179
2024-03-01 13:00:00,65,44,51,37,197
2024-03-01 13:10:00,91,56,35,41,223
2024-03-01 13:20:00,84,43,40,27,194
2024-03-01 13:30:00,73,39,41,34,187
2024-03-01 13:40:00,78,43,45,25,191
2024-03-01 13:50:00,62,28,59,31,180
