datetime,D21Z,V22Z,D81Z,V82Z,V92Z,D111Z,D112Z,D531Z,D571Z,D581Z,V113Z,V114Z,Total
2024-03-01 12:00:00,67,27,128,41,11,19,20,0.0,0.0,0.0,15,18,346.0
2024-03-01 12:10:00,72,24,68,45,15,22,20,0.0,0.0,0.0,10,14,290.0
2024-03-01 12:20:00,62,17,101,36,13,9,29,0.0,0.0,0.0,10,18,295.0
2024-03-01 12:30:00,72,17,82,28,16,15,29,0.0,0.0,0.0,13,13,285.0
2024-03-01 12:40:00,73,30,208,35,16,18,18,0.0,0.0,0.0,12,10,420.0
2024-03-01 12:50:00,75,28,84,39,11,19,14,0.0,0.0,0.0,17,13,300.0
2024-03-01 13:00:00,66,28,139,44,10,16,18,0.0,0.0,0.0,17,17,355.0
2024-03-01 13:10:00,68,24,74,44,15,17,30,0.0,0.0,0.0,8,18,298.0
2024-03-01 13:20:00,55,25,116,37,15,12,26,0.0,0.0,0.0,14,19,319.0
2024-03-01 13:30:00,64,21,73,39,13,14,18,0.0,0.0,0.0,13,13,268.0
2024-03-01 13:40:00,60,28,134,34,12,15,15,0.0,0.0,0.0,10,14,322.0
2024-03-01 13:50:00,72,29,81,34,13,21,19,0.0,0.0,0.0,14,14,297.0
2024-03-01 14:00:00,62,22,84,31,17,16,16,0.0,0.0,0.0,14,12,274.0
2024-03-01 14:10:00,54,28,110,31,9,21,21,0.0,0.0,0.0,18,13,305.0
2024-03-01 14:20:00,64,26,119,35,9,21,29,0.0,0.0,0.0,11,17,331.0
2024-03-01 14:30:00,71,33,73,38,6,6,24,0.0,0.0,0.0,5,15,271.0
2024-03-01 14:40:00,53,26,65,26,14,12,17,0.0,0.0,0.0,45,14,272.0
2024-03-01 14:50:00,45,30,121,39,19,17,16,0.0,0.0,0.0,11,12,310.0
2024-03-01 15:00:00,56,34,37,37,15,12,17,0.0,0.0,0.0,9,15,232.0
2024-03-01 15:10:00,67,27,189,30,13,22,28,0.0,0.0,0.0,15,16,407.0
2024-03-01 15:20:00,44,39,99,33,19,14,20,0.0,0.0,0.0,16,14,298.0
