datetime,D21Z,D23Z,D81Z,D111Z,D112Z,V24Z,V25Z,V51Z,V52Z,V83Z,V84Z,V113Z,V114Z,Total
2024-03-01 13:40:00,98,0,82,20,9,27,10,21,7,13,12,19,21,339
2024-03-01 13:50:00,99,0,67,23,22,23,11,18,16,16,12,13,12,332
2024-03-01 14:00:00,92,0,58,29,15,31,14,23,9,18,3,16,3,311
2024-03-01 14:10:00,61,2,75,37,13,1,14,23,9,12,11,12,8,278
2024-03-01 14:20:00,84,2,83,43,12,2,13,15,9,7,12,15,23,320
2024-03-01 14:30:00,80,0,80,31,14,0,17,17,14,11,9,22,7,302
2024-03-01 14:40:00,66,1,84,26,15,2,20,22,6,9,6,15,9,281
2024-03-01 14:50:00,94,2,82,31,11,17,24,26,15,16,9,22,7,356
2024-03-01 15:00:00,88,3,71,30,15,25,22,19,8,22,5,19,4,331
2024-03-01 15:10:00,89,0,75,37,10,28,22,24,14,14,9,22,2,346
2024-03-01 15:20:00,88,2,84,32,10,25,12,18,10,19,3,14,10,327
2024-03-01 15:30:00,92,2,71,31,16,25,21,15,10,22,13,14,9,341
2024-03-01 15:40:00,83,1,92,31,6,27,19,18,11,20,2,19,5,334
2024-03-01 15:50:00,92,0,76,32,9,27,17,26,11,26,10,14,5,345
2024-03-01 16:00:00,88,2,69,32,13,23,19,15,9,19,8,18,6,321
2024-03-01 16:10:00,82,1,70,29,16,28,10,24,8,21,10,18,1,318
2024-03-01 16:20:00,71,2,81,46,8,33,19,23,6,27,3,16,4,339
2024-03-01 16:30:00,98,0,79,17,19,27,19,24,7,21,17,24,5,357
2024-03-01 16:40:00,85,0,74,28,17,23,19,22,10,24,5,23,6,336
2024-03-01 16:50:00,89,0,74,25,9,23,16,24,5,18,5,14,4,306
2024-03-01 17:00:00,73,0,79,31,13,27,17,25,6,20,6,21,8,326
2024-03-01 17:10:00,89,1,81,35,12,24,10,25,12,19,3,22,4,337
2024-03-01 17:20:00,97,2,81,28,12,26,15,19,8,32,9,14,6,349
2024-03-01 17:30:00,92,1,78,25,12,34,18,23,14,25,7,16,1,346
2024-03-01 17:40:00,88,1,81,27,12,24,9,25,8,24,9,16,8,332
2024-03-01 17:50:00,88,1,94,30,14,19,14,27,12,24,7,13,11,354
2024-03-01 18:00:00,86,1,79,29,11,25,21,19,7,24,6,12,5,325
2024-03-01 18:10:00,83,1,89,36,23,24,10,19,9,22,8,24,10,358
2024-03-01 18:20:00,86,0,84,31,13,29,19,24,4,15,11,20,5,341
