datetime,V21Z,V81Z,Total
2024-03-01 01:00:00,6,11,17
2024-03-01 01:10:00,2,4,6
2024-03-01 01:20:00,0,7,7
2024-03-01 01:30:00,5,2,7
2024-03-01 01:40:00,4,4,8
2024-03-01 01:50:00,3,7,10
2024-03-01 02:00:00,2,4,6
2024-03-01 02:10:00,1,4,5
2024-03-01 02:20:00,4,3,7
2024-03-01 02:30:00,1,2,3
2024-03-01 02:40:00,4,5,9
2024-03-01 02:50:00,4,4,8
2024-03-01 03:00:00,2,0,2
2024-03-01 03:10:00,2,4,6
2024-03-01 03:20:00,2,2,4
2024-03-01 03:30:00,1,1,2
2024-03-01 03:40:00,0,0,0
2024-03-01 03:50:00,4,6,10
2024-03-01 04:00:00,3,5,8
2024-03-01 04:10:00,5,3,8
2024-03-01 04:20:00,5,5,10
2024-03-01 04:30:00,5,3,8
2024-03-01 04:40:00,4,9,13
2024-03-01 04:50:00,5,10,15
2024-03-01 05:00:00,2,9,11
2024-03-01 05:10:00,8,18,26
2024-03-01 05:20:00,11,25,36
2024-03-01 05:30:00,10,18,28
2024-03-01 05:40:00,10,30,40
2024-03-01 05:50:00,10,35,45
2024-03-01 06:00:00,14,30,44
2024-03-01 06:10:00,12,31,43
2024-03-01 06:20:00,23,33,56
2024-03-01 06:30:00,15,40,55
2024-03-01 06:40:00,20,36,56
2024-03-01 06:50:00,25,44,69
2024-03-01 07:00:00,12,45,57
2024-03-01 07:10:00,19,47,66
2024-03-01 07:20:00,29,58,87
2024-03-01 07:30:00,37,60,97
2024-03-01 07:40:00,38,45,83
2024-03-01 07:50:00,34,44,78
2024-03-01 08:00:00,25,46,71
2024-03-01 08:10:00,32,60,92
2024-03-01 08:20:00,30,53,83
2024-03-01 08:30:00,20,47,67
2024-03-01 08:40:00,39,50,89
2024-03-01 08:50:00,38,43,81
2024-03-01 09:00:00,24,51,75
2024-03-01 09:10:00,29,51,80
2024-03-01 09:20:00,32,49,81
2024-03-01 09:30:00,30,53,83
2024-03-01 09:40:00,31,64,95
2024-03-01 09:50:00,31,64,95
2024-03-01 10:00:00,30,45,75
2024-03-01 10:10:00,35,47,82
2024-03-01 10:20:00,34,62,96
2024-03-01 10:30:00,43,49,92
2024-03-01 10:40:00,29,46,75
2024-03-01 10:50:00,35,55,90
2024-03-01 11:00:00,52,55,107
2024-03-01 11:10:00,35,45,80
2024-03-01 11:20:00,37,49,86
2024-03-01 11:30:00,34,53,87
2024-03-01 11:40:00,32,51,83
2024-03-01 11:50:00,38,57,95
2024-03-01 12:00:00,41,55,96
2024-03-01 12:10:00,45,53,98
2024-03-01 12:20:00,37,47,84
2024-03-01 12:30:00,42,52,94
2024-03-01 12:40:00,60,45,105
2024-03-01 12:50:00,37,58,95
2024-03-01 13:00:00,38,51,89
2024-03-01 13:10:00,18,32,50
2024-03-01 13:20:00,54,58,112
2024-03-01 13:30:00,52,60,112
2024-03-01 13:40:00,60,56,116
2024-03-01 13:50:00,41,44,85
2024-03-01 14:00:00,58,64,122
2024-03-01 14:10:00,55,62,117
2024-03-01 14:20:00,45,51,96
2024-03-01 14:30:00,42,60,102
2024-03-01 14:40:00,38,59,97
2024-03-01 14:50:00,40,44,84
2024-03-01 15:00:00,45,62,107
2024-03-01 15:10:00,50,62,112
2024-03-01 15:20:00,47,43,90
2024-03-01 15:30:00,41,42,83
2024-03-01 15:40:00,42,46,88
2024-03-01 15:50:00,36,51,87
2024-03-01 16:00:00,33,48,81
2024-03-01 16:10:00,39,57,96
2024-03-01 16:20:00,41,46,87
2024-03-01 16:30:00,47,65,112
2024-03-01 16:40:00,43,51,94
2024-03-01 16:50:00,28,50,78
2024-03-01 17:00:00,43,69,112
2024-03-01 17:10:00,40,55,95
2024-03-01 17:20:00,19,41,60
2024-03-01 17:30:00,38,63,101
2024-03-01 17:40:00,35,56,91
2024-03-01 17:50:00,42,73,115
2024-03-01 18:00:00,30,63,93
2024-03-01 18:10:00,30,45,75
2024-03-01 18:20:00,22,50,72
2024-03-01 18:30:00,28,52,80
2024-03-01 18:40:00,27,44,71
2024-03-01 18:50:00,28,51,79
2024-03-01 19:00:00,34,42,76
2024-03-01 19:10:00,28,27,55
2024-03-01 19:20:00,22,38,60
2024-03-01 19:30:00,27,39,66
2024-03-01 19:40:00,27,41,68
2024-03-01 19:50:00,27,46,73
2024-03-01 20:00:00,28,38,66
2024-03-01 20:10:00,19,37,56
2024-03-01 20:20:00,18,39,57
2024-03-01 20:30:00,20,39,59
2024-03-01 20:40:00,24,23,47
2024-03-01 20:50:00,17,21,38
2024-03-01 21:00:00,19,33,52
2024-03-01 21:10:00,21,28,49
2024-03-01 21:20:00,14,26,40
2024-03-01 21:30:00,19,27,46
2024-03-01 21:40:00,18,33,51
2024-03-01 21:50:00,19,16,35
2024-03-01 22:00:00,17,23,40
2024-03-01 22:10:00,18,24,42
2024-03-01 22:20:00,19,23,42
2024-03-01 22:30:00,14,17,31
2024-03-01 22:40:00,14,27,41
2024-03-01 22:50:00,12,21,33
2024-03-01 23:00:00,8,32,40
2024-03-01 23:10:00,17,13,30
2024-03-01 23:20:00,5,12,17
2024-03-01 23:30:00,14,23,37
2024-03-01 23:40:00,9,15,24
2024-03-01 23:50:00,7,11,18
2024-03-02 00:00:00,13,8,21
2024-03-02 00:10:00,8,15,23
2024-03-02 00:20:00,9,21,30
2024-03-02 00:30:00,7,11,18
2024-03-02 00:40:00,7,19,26
2024-03-02 00:50:00,6,17,23
2024-03-02 01:00:00,7,9,16
2024-03-02 01:10:00,3,4,7
2024-03-02 01:20:00,5,8,13
2024-03-02 01:30:00,2,5,7
2024-03-02 01:40:00,2,7,9
2024-03-02 01:50:00,8,7,15
2024-03-02 02:00:00,6,3,9
2024-03-02 02:10:00,3,8,11
2024-03-02 02:20:00,7,3,10
2024-03-02 02:30:00,6,10,16
2024-03-02 02:40:00,4,3,7
2024-03-02 02:50:00,4,4,8
2024-03-02 03:00:00,2,4,6
2024-03-02 03:10:00,6,7,13
2024-03-02 03:20:00,0,4,4
2024-03-02 03:30:00,5,0,5
2024-03-02 03:40:00,1,8,9
2024-03-02 03:50:00,2,7,9
2024-03-02 04:00:00,3,4,7
2024-03-02 04:10:00,3,7,10
2024-03-02 04:20:00,4,5,9
2024-03-02 04:30:00,2,1,3
2024-03-02 04:40:00,5,3,8
2024-03-02 04:50:00,1,2,3
2024-03-02 05:00:00,2,4,6
2024-03-02 05:10:00,6,6,12
2024-03-02 05:20:00,0,10,10
2024-03-02 05:30:00,10,15,25
2024-03-02 05:40:00,10,7,17
2024-03-02 05:50:00,1,13,14
2024-03-02 06:00:00,5,6,11
2024-03-02 06:10:00,6,11,17
2024-03-02 06:20:00,5,4,9
2024-03-02 06:30:00,11,17,28
2024-03-02 06:40:00,4,6,10
2024-03-02 06:50:00,8,8,16
2024-03-02 07:00:00,7,15,22
2024-03-02 07:10:00,14,19,33
2024-03-02 07:20:00,15,21,36
2024-03-02 07:30:00,19,25,44
2024-03-02 07:40:00,17,24,41
2024-03-02 07:50:00,13,24,37
2024-03-02 08:00:00,17,27,44
2024-03-02 08:10:00,26,33,59
2024-03-02 08:20:00,26,28,54
2024-03-02 08:30:00,24,31,55
2024-03-02 08:40:00,27,40,67
2024-03-02 08:50:00,29,34,63
2024-03-02 09:00:00,36,45,81
2024-03-02 09:10:00,29,38,67
2024-03-02 09:20:00,41,40,81
2024-03-02 09:30:00,33,47,80
2024-03-02 09:40:00,34,55,89
2024-03-02 09:50:00,31,50,81
2024-03-02 10:00:00,32,55,87
2024-03-02 10:10:00,34,47,81
2024-03-02 10:20:00,41,49,90
2024-03-02 10:30:00,43,57,100
2024-03-02 10:40:00,26,47,73
2024-03-02 10:50:00,56,59,115
2024-03-02 11:00:00,52,46,98
2024-03-02 11:10:00,35,53,88
2024-03-02 11:20:00,55,46,101
2024-03-02 11:30:00,40,49,89
2024-03-02 11:40:00,43,62,105
2024-03-02 11:50:00,49,57,106
2024-03-02 12:00:00,59,54,113
2024-03-02 12:10:00,39,55,94
2024-03-02 12:20:00,52,62,114
2024-03-02 12:30:00,43,46,89
2024-03-02 12:40:00,52,48,100
2024-03-02 12:50:00,48,61,109
2024-03-02 13:00:00,46,66,112
2024-03-02 13:10:00,49,47,96
2024-03-02 13:20:00,49,52,101
2024-03-02 13:30:00,48,61,109
2024-03-02 13:40:00,58,47,105
2024-03-02 13:50:00,42,52,94
2024-03-02 14:00:00,33,55,88
2024-03-02 14:10:00,42,53,95
2024-03-02 14:20:00,50,49,99
2024-03-02 14:30:00,52,31,83
2024-03-02 14:40:00,26,54,80
2024-03-02 14:50:00,52,74,126
2024-03-02 15:00:00,40,64,104
2024-03-02 15:10:00,36,52,88
2024-03-02 15:20:00,36,60,96
2024-03-02 15:30:00,38,64,102
2024-03-02 15:40:00,31,58,89
2024-03-02 15:50:00,42,45,87
2024-03-02 16:00:00,37,47,84
2024-03-02 16:10:00,38,55,93
2024-03-02 16:20:00,44,48,92
2024-03-02 16:30:00,38,53,91
2024-03-02 16:40:00,34,51,85
2024-03-02 16:50:00,34,55,89
2024-03-02 17:00:00,35,50,85
2024-03-02 17:10:00,39,54,93
2024-03-02 17:20:00,42,47,89
2024-03-02 17:30:00,34,52,86
2024-03-02 17:40:00,24,58,82
2024-03-02 17:50:00,28,39,67
2024-03-02 18:00:00,27,47,74
2024-03-02 18:10:00,30,57,87
2024-03-02 18:20:00,25,42,67
2024-03-02 18:30:00,28,57,85
2024-03-02 18:40:00,25,40,65
2024-03-02 18:50:00,20,34,54
2024-03-02 19:00:00,27,46,73
2024-03-02 19:10:00,32,36,68
2024-03-02 19:20:00,28,38,66
2024-03-02 19:30:00,20,26,46
2024-03-02 19:40:00,19,38,57
2024-03-02 19:50:00,25,41,66
2024-03-02 20:00:00,22,23,45
2024-03-02 20:10:00,23,38,61
2024-03-02 20:20:00,17,26,43
2024-03-02 20:30:00,16,29,45
2024-03-02 20:40:00,18,39,57
2024-03-02 20:50:00,20,18,38
2024-03-02 21:00:00,20,18,38
2024-03-02 21:10:00,19,22,41
2024-03-02 21:20:00,25,38,63
2024-03-02 21:30:00,11,29,40
2024-03-02 21:40:00,20,22,42
2024-03-02 21:50:00,14,26,40
2024-03-02 22:00:00,13,23,36
2024-03-02 22:10:00,15,17,32
2024-03-02 22:20:00,18,24,42
2024-03-02 22:30:00,17,27,44
2024-03-02 22:40:00,19,20,39
2024-03-02 22:50:00,14,18,32
2024-03-02 23:00:00,15,7,22
2024-03-02 23:10:00,13,21,34
2024-03-02 23:20:00,18,22,40
2024-03-02 23:30:00,14,14,28
2024-03-02 23:40:00,13,24,37
2024-03-02 23:50:00,13,25,38
2024-03-03 00:00:00,11,8,19
2024-03-03 00:10:00,9,19,28
2024-03-03 00:20:00,5,20,25
2024-03-03 00:30:00,13,10,23
2024-03-03 00:40:00,8,7,15
2024-03-03 00:50:00,10,18,28
2024-03-03 01:00:00,7,6,13
2024-03-03 01:10:00,6,11,17
2024-03-03 01:20:00,3,7,10
2024-03-03 01:30:00,2,16,18
2024-03-03 01:40:00,6,6,12
2024-03-03 01:50:00,4,10,14
2024-03-03 02:00:00,3,15,18
2024-03-03 02:10:00,7,7,14
2024-03-03 02:20:00,5,6,11
2024-03-03 02:30:00,5,18,23
2024-03-03 02:40:00,4,5,9
2024-03-03 02:50:00,3,13,16
2024-03-03 03:00:00,4,3,7
2024-03-03 03:10:00,4,4,8
2024-03-03 03:20:00,8,4,12
2024-03-03 03:30:00,4,6,10
2024-03-03 03:40:00,3,11,14
2024-03-03 03:50:00,4,5,9
2024-03-03 04:00:00,4,2,6
2024-03-03 04:10:00,3,9,12
2024-03-03 04:20:00,0,4,4
2024-03-03 04:30:00,4,4,8
2024-03-03 04:40:00,3,4,7
2024-03-03 04:50:00,4,3,7
2024-03-03 05:00:00,2,8,10
2024-03-03 05:10:00,6,8,14
2024-03-03 05:20:00,1,4,5
2024-03-03 05:30:00,8,6,14
2024-03-03 05:40:00,4,3,7
2024-03-03 05:50:00,3,3,6
2024-03-03 06:00:00,3,5,8
2024-03-03 06:10:00,5,11,16
2024-03-03 06:20:00,5,3,8
2024-03-03 06:30:00,5,4,9
2024-03-03 06:40:00,2,2,4
2024-03-03 06:50:00,4,4,8
2024-03-03 07:00:00,4,8,12
2024-03-03 07:10:00,9,6,15
2024-03-03 07:20:00,6,9,15
