datetime,D41Z,V42Z,D71Z,D81Z,D82Z,V83Z,V84Z,D811Z,D812Z,V813Z,V814Z,D111Z,D112Z,V113Z,V114Z,D115Z,D121Z,D122Z,V123Z,V124Z,D125Z,D126Z,V521Z,Total
2024-03-01 09:20:00,13,11,15,14,20,28,16,20,22,24,20,20,21,12,29,42,61,33,14,20,87,26,3,571
2024-03-01 09:30:00,17,14,13,12,24,22,18,26,31,29,24,17,35,5,25,47,53,30,11,16,73,32,4,578
2024-03-01 09:40:00,15,15,17,10,14,27,14,12,20,23,11,8,20,6,16,27,55,25,13,15,64,12,2,441
2024-03-01 09:50:00,19,15,12,18,21,39,21,30,34,30,27,19,24,15,14,38,55,26,12,18,75,13,2,577
2024-03-01 10:00:00,28,9,11,13,12,22,14,17,35,34,18,16,38,11,24,54,55,39,15,25,81,29,4,604
2024-03-01 10:10:00,23,16,10,15,15,24,10,19,28,19,13,11,23,12,22,32,61,42,14,20,95,21,3,548
2024-03-01 10:20:00,88,12,12,18,17,24,15,21,22,21,14,13,41,13,23,49,70,39,22,26,92,29,3,684
2024-03-01 10:30:00,17,10,8,9,16,26,19,19,27,21,18,16,33,11,29,43,49,24,21,18,77,18,6,535
2024-03-01 10:40:00,26,14,11,11,22,23,24,22,36,28,16,13,33,12,24,52,57,30,15,22,76,17,4,588
2024-03-01 10:50:00,22,13,7,17,19,16,17,19,36,29,18,14,21,14,19,34,62,27,17,18,84,20,4,547
2024-03-01 11:00:00,15,15,16,69,17,22,16,14,31,24,15,21,38,15,30,56,69,35,15,16,92,22,2,665
2024-03-01 11:10:00,24,20,11,18,101,29,18,24,38,36,19,14,28,8,24,40,53,35,15,24,81,25,8,693
2024-03-01 11:20:00,16,18,10,18,22,21,13,19,32,32,14,23,31,14,32,53,69,35,14,20,81,22,4,613
2024-03-01 11:30:00,20,11,12,16,24,32,22,24,34,29,18,22,33,13,32,47,65,48,6,24,96,32,3,663
2024-03-01 11:40:00,18,14,16,18,21,24,19,22,30,25,17,21,38,14,21,59,64,40,8,27,102,23,5,646
2024-03-01 11:50:00,69,15,10,18,20,25,16,20,36,30,20,17,36,16,22,58,61,40,8,19,99,30,4,689
2024-03-01 12:00:00,14,11,20,10,19,29,15,14,28,30,12,22,46,17,26,63,77,34,10,15,92,24,4,632
2024-03-01 12:10:00,18,21,5,15,16,26,18,18,32,23,14,12,37,11,14,50,64,37,11,23,89,25,4,583
2024-03-01 12:20:00,16,10,11,13,18,29,14,18,23,24,15,18,41,15,25,55,63,61,4,12,77,49,5,616
2024-03-01 12:30:00,16,16,18,14,26,20,16,25,29,22,22,15,42,12,22,59,69,43,9,19,97,25,2,638
2024-03-01 12:40:00,17,15,18,16,17,24,18,17,28,29,17,25,36,18,31,59,81,37,7,25,98,23,5,661
2024-03-01 12:50:00,20,19,8,14,29,24,19,18,32,32,20,27,56,16,20,79,82,41,11,25,101,24,3,720
2024-03-01 13:00:00,19,13,8,17,21,24,24,21,37,33,21,21,43,13,25,66,68,50,8,19,106,38,6,701
2024-03-01 13:10:00,14,10,12,17,21,20,23,18,30,25,16,25,65,12,34,70,85,61,4,20,105,40,3,730
2024-03-01 13:20:00,17,15,13,14,18,22,17,13,31,28,9,17,55,14,31,64,71,40,8,23,101,24,5,650
2024-03-01 13:30:00,16,16,11,13,16,16,18,18,26,16,15,16,54,9,18,63,80,47,12,21,120,21,3,645
2024-03-01 13:40:00,18,13,8,20,16,19,14,21,28,28,17,15,38,10,26,48,74,47,12,14,105,28,5,624
2024-03-01 13:50:00,15,17,13,15,12,23,15,11,26,22,11,22,54,18,23,68,96,47,13,27,119,30,4,701
2024-03-01 14:00:00,12,11,13,14,20,25,19,22,20,24,20,17,134,10,14,64,82,54,4,16,115,42,4,756
2024-03-01 14:10:00,16,16,17,16,25,29,19,29,27,25,20,18,105,12,23,72,92,50,9,24,124,30,2,800
2024-03-01 14:20:00,20,15,9,20,13,28,14,15,35,26,13,20,60,17,19,74,82,43,3,20,107,25,2,680
2024-03-01 14:30:00,13,13,14,12,15,21,14,16,23,22,14,18,54,13,25,71,88,53,13,20,116,37,2,687
2024-03-01 14:40:00,17,15,23,12,11,29,13,15,29,22,13,14,58,9,23,65,82,49,14,22,116,23,2,676
2024-03-01 14:50:00,23,16,19,14,17,21,19,17,36,26,14,20,54,8,21,66,84,45,13,27,106,24,8,698
2024-03-01 15:00:00,10,14,14,17,20,24,18,20,26,22,16,22,55,13,27,72,83,44,8,28,112,31,4,700
2024-03-01 15:10:00,18,21,10,12,16,23,12,20,29,30,19,17,62,6,20,71,73,46,11,22,106,34,5,683
2024-03-01 15:20:00,13,17,15,10,16,26,17,18,20,19,13,17,60,14,25,65,94,54,8,24,124,34,2,705
2024-03-01 15:30:00,22,13,11,18,16,23,14,20,39,28,15,19,60,13,19,74,74,59,5,20,117,37,4,720
2024-03-01 15:40:00,14,14,13,10,14,21,16,16,23,20,13,14,35,9,19,44,77,40,11,21,103,25,3,575
2024-03-01 15:50:00,32,18,3,14,14,26,16,20,26,31,15,19,55,12,22,62,89,46,7,30,124,33,4,718
2024-03-01 16:00:00,19,15,14,13,17,22,19,19,29,26,14,23,49,9,19,65,76,43,6,15,105,32,6,655
2024-03-01 16:10:00,14,12,11,11,13,15,13,13,22,20,13,23,57,18,23,74,77,37,3,17,96,24,6,612
2024-03-01 16:20:00,18,15,18,11,21,30,12,18,28,24,11,14,43,5,24,50,68,42,7,12,109,29,6,615
2024-03-01 16:30:00,11,9,16,7,11,24,10,9,16,13,7,14,56,14,17,70,79,45,17,24,101,23,4,597
2024-03-01 16:40:00,12,16,21,13,22,25,17,25,26,21,17,12,59,7,27,62,86,55,6,18,119,37,9,712
2024-03-01 16:50:00,18,7,9,11,14,22,14,14,28,22,10,12,55,7,18,63,75,40,14,20,109,28,3,613
2024-03-01 17:00:00,15,16,11,16,14,18,13,13,29,22,11,13,36,10,22,54,85,44,10,18,111,33,6,620
2024-03-01 17:10:00,12,20,14,12,13,27,14,9,22,23,10,17,76,10,28,73,86,38,9,18,100,23,6,660
2024-03-01 17:20:00,30,15,15,20,12,21,10,13,35,31,13,17,51,10,15,74,68,51,10,17,107,27,5,667
2024-03-01 17:30:00,14,7,16,10,14,19,20,18,24,21,12,15,59,10,23,70,77,34,10,20,101,15,5,614
2024-03-01 17:40:00,32,16,11,13,18,24,16,23,29,27,18,19,60,11,13,67,88,37,12,12,106,30,5,687
2024-03-01 17:50:00,31,12,12,10,13,23,16,16,23,20,12,10,50,9,14,68,62,44,8,16,106,28,7,610
2024-03-01 18:00:00,26,11,17,15,26,19,7,17,34,32,13,16,48,12,24,60,88,54,8,19,110,36,6,698
2024-03-01 18:10:00,18,14,10,13,13,28,16,15,31,26,14,20,51,11,18,62,81,48,6,19,117,30,9,670
2024-03-01 18:20:00,14,10,10,11,21,18,15,25,23,20,20,8,41,11,22,54,81,44,9,21,103,25,5,611
2024-03-01 18:30:00,70,15,12,8,15,26,2,15,18,21,15,19,39,17,20,53,70,48,9,14,102,29,3,640
2024-03-01 18:40:00,36,12,13,11,16,22,11,16,27,33,19,24,47,12,29,58,68,36,7,18,99,29,3,646
2024-03-01 18:50:00,14,11,9,11,16,21,20,16,20,21,14,27,43,15,20,61,71,61,11,18,87,27,0,614
2024-03-01 19:00:00,10,12,8,11,12,24,8,12,16,19,17,18,37,17,12,56,67,36,14,25,94,18,2,545
2024-03-01 19:10:00,13,17,3,10,11,16,11,14,18,21,15,14,54,11,23,62,57,29,13,18,81,14,6,531
2024-03-01 19:20:00,12,15,11,12,12,26,10,9,21,26,8,14,36,13,26,48,64,35,13,14,93,18,4,540
2024-03-01 19:30:00,20,15,8,7,8,17,7,6,27,22,3,13,20,10,19,26,49,31,12,22,77,13,3,435
2024-03-01 19:40:00,20,13,5,13,11,15,12,10,29,28,11,12,24,5,23,33,77,29,8,15,92,13,3,501
2024-03-01 19:50:00,20,8,10,10,15,21,11,17,29,25,18,15,27,12,23,38,59,27,14,14,86,19,3,521
2024-03-01 20:00:00,9,10,6,4,11,12,13,10,10,12,14,15,21,9,19,34,69,28,17,13,78,10,4,428
2024-03-01 20:10:00,11,14,13,6,8,17,13,8,15,17,10,12,26,6,17,36,54,16,15,13,69,8,2,406
2024-03-01 20:20:00,6,8,5,7,9,17,10,10,12,11,10,5,24,7,24,26,61,27,16,21,77,16,4,413
2024-03-01 20:30:00,3,4,4,7,12,10,15,11,12,13,9,9,28,8,14,30,49,16,12,13,68,7,3,357
2024-03-01 20:40:00,17,10,4,7,8,16,10,9,12,11,10,6,18,6,17,26,46,18,14,12,59,9,3,348
2024-03-01 20:50:00,10,8,4,11,8,23,9,8,19,20,9,11,23,10,24,26,49,9,17,9,58,5,5,375
2024-03-01 21:00:00,4,7,4,9,7,17,8,7,12,14,9,8,11,10,23,21,44,11,17,13,50,3,6,315
2024-03-01 21:10:00,13,13,2,11,9,12,8,9,21,26,7,7,20,6,20,31,43,21,18,16,57,16,5,391
2024-03-01 21:20:00,8,10,5,5,6,12,9,7,11,15,5,5,18,4,17,18,54,15,14,10,63,5,2,318
2024-03-01 21:30:00,4,5,3,7,12,10,9,5,9,12,6,20,18,6,20,25,50,17,15,13,63,14,5,348
2024-03-01 21:40:00,5,6,3,5,7,11,10,6,8,7,7,13,29,14,31,36,42,13,16,13,58,8,5,353
2024-03-01 21:50:00,5,6,6,3,11,15,10,5,7,8,8,6,15,6,21,24,49,105,6,15,63,6,1,401
2024-03-01 22:00:00,5,5,2,11,8,11,8,7,18,19,7,12,18,10,23,23,50,14,23,15,65,12,2,368
2024-03-01 22:10:00,5,9,4,9,10,15,11,10,12,13,5,7,18,8,21,21,40,9,17,9,47,3,3,306
2024-03-01 22:20:00,5,8,5,6,10,12,13,8,11,11,11,10,15,10,17,26,40,14,19,12,49,8,1,321
2024-03-01 22:30:00,3,3,1,6,7,6,6,6,10,11,6,14,18,8,23,29,39,15,16,11,51,6,3,298
2024-03-01 22:40:00,18,12,3,4,14,9,14,14,11,10,16,7,14,4,20,21,33,10,17,8,38,7,4,308
