datetime,D11Z,D12Z,V13Z,V14Z,V15Z,D21Z,D22Z,V23Z,V24Z,D31Z,D32Z,V33Z,V34Z,V37Z,D41Z,D42Z,V43Z,V44Z,D35Z,D36Z,Total
2024-03-01 09:20:00,22,43,15,28,43,16,19,9,12,38,98,30,47,38,124,88,19,21,0.0,0.0,710.0
2024-03-01 09:30:00,16,44,9,22,45,6,11,3,9,33,101,21,40,30,124,88,16,20,0.0,0.0,638.0
2024-03-01 09:40:00,35,48,20,29,42,12,14,9,11,29,89,22,29,28,107,80,25,28,0.0,0.0,657.0
2024-03-01 09:50:00,22,57,14,30,58,15,16,13,16,31,74,23,36,31,99,68,26,26,0.0,0.0,655.0
2024-03-01 10:00:00,23,50,18,32,50,7,13,3,10,21,72,14,35,24,89,68,13,17,0.0,0.0,559.0
2024-03-01 10:10:00,26,60,9,14,55,7,17,7,10,38,62,22,32,30,87,56,11,19,0.0,0.0,562.0
2024-03-01 10:20:00,42,47,27,27,47,11,10,7,6,43,74,24,30,37,104,65,16,17,0.0,0.0,634.0
2024-03-01 10:30:00,32,49,16,25,47,7,18,4,12,29,81,21,32,25,117,73,11,13,0.0,0.0,612.0
2024-03-01 10:40:00,26,46,22,28,44,11,11,14,10,26,73,19,43,27,92,65,13,16,0.0,0.0,586.0
2024-03-01 10:50:00,42,48,21,17,42,13,16,8,8,30,71,20,41,27,116,62,14,16,0.0,0.0,612.0
2024-03-01 11:00:00,22,57,13,25,57,12,18,12,15,25,66,17,44,21,82,57,19,19,0.0,0.0,581.0
2024-03-01 11:10:00,22,79,13,26,80,14,22,12,19,37,79,15,36,23,100,56,18,19,0.0,0.0,670.0
2024-03-01 11:20:00,33,67,21,45,57,12,17,10,12,35,95,25,31,37,117,90,19,24,0.0,0.0,747.0
2024-03-01 11:30:00,25,59,17,23,57,18,19,11,16,28,74,26,35,28,90,57,13,16,0.0,0.0,612.0
2024-03-01 11:40:00,33,54,22,28,56,4,20,4,14,29,79,20,33,28,104,70,11,13,0.0,0.0,622.0
2024-03-01 11:50:00,36,55,16,23,47,11,27,9,13,20,66,15,39,20,86,56,24,26,0.0,0.0,589.0
2024-03-01 12:00:00,40,58,18,27,57,20,18,14,13,28,66,14,33,22,88,60,20,23,0.0,0.0,619.0
2024-03-01 12:10:00,51,79,30,35,72,13,22,13,8,30,72,25,34,32,99,65,17,18,0.0,0.0,715.0
2024-03-01 12:20:00,75,66,31,24,65,18,24,11,15,24,71,18,33,22,85,66,23,19,0.0,0.0,690.0
2024-03-01 12:30:00,39,81,16,21,77,18,32,16,19,18,88,12,42,11,96,83,20,23,0.0,0.0,712.0
2024-03-01 12:40:00,80,56,39,35,53,16,105,13,8,28,93,20,30,15,112,87,47,27,0.0,0.0,864.0
2024-03-01 12:50:00,47,86,34,27,76,19,27,13,13,34,91,26,26,29,121,87,16,12,0.0,0.0,784.0
2024-03-01 13:00:00,56,76,31,24,71,10,24,5,15,27,93,21,44,22,108,86,22,17,0.0,0.0,752.0
2024-03-01 13:10:00,56,59,24,27,55,23,18,16,13,24,78,16,35,17,108,72,27,26,0.0,0.0,694.0
2024-03-01 13:20:00,54,94,20,34,81,19,26,15,15,30,79,17,39,19,102,68,13,15,0.0,0.0,740.0
2024-03-01 13:30:00,59,86,29,32,80,16,22,9,15,25,74,16,28,25,96,72,22,21,0.0,0.0,727.0
2024-03-01 13:40:00,30,79,21,28,71,8,26,8,14,28,81,21,37,19,99,76,20,23,0.0,0.0,689.0
2024-03-01 13:50:00,64,79,32,25,70,11,32,15,16,28,92,16,25,26,114,84,20,24,0.0,0.0,773.0
2024-03-01 14:00:00,40,98,21,22,94,22,20,22,15,36,74,29,39,28,101,62,18,19,0.0,0.0,760.0
2024-03-01 14:10:00,77,62,26,24,59,17,30,13,5,30,67,19,37,20,85,59,21,18,0.0,0.0,669.0
2024-03-01 14:20:00,46,69,25,23,67,10,23,11,15,30,75,25,38,20,97,70,22,21,0.0,0.0,687.0
2024-03-01 14:30:00,60,67,23,25,60,10,21,6,13,19,67,15,35,14,79,60,26,28,0.0,0.0,628.0
2024-03-01 14:40:00,69,63,34,40,59,14,38,12,16,44,81,24,37,32,113,72,20,17,0.0,0.0,785.0
2024-03-01 14:50:00,64,60,24,23,55,7,21,10,12,33,70,26,33,29,96,66,26,26,0.0,0.0,681.0
2024-03-01 15:00:00,60,52,22,24,47,19,27,11,14,43,67,25,42,30,94,57,25,20,0.0,0.0,679.0
2024-03-01 15:10:00,71,55,22,26,49,13,29,11,17,31,70,22,35,29,94,67,27,28,0.0,0.0,696.0
2024-03-01 15:20:00,71,47,28,23,44,7,25,8,11,31,64,17,30,25,93,66,23,24,0.0,0.0,637.0
2024-03-01 15:30:00,74,40,24,16,39,13,23,10,18,31,87,25,29,26,111,78,31,28,0.0,0.0,703.0
2024-03-01 15:40:00,83,49,31,29,44,12,18,8,16,20,88,15,39,12,98,82,26,24,0.0,0.0,694.0
2024-03-01 15:50:00,77,54,21,23,45,8,25,9,14,27,69,22,34,18,92,62,21,22,0.0,0.0,643.0
2024-03-01 16:00:00,71,50,25,28,51,11,11,8,12,27,69,21,33,20,87,64,29,31,0.0,0.0,648.0
2024-03-01 16:10:00,59,56,13,18,55,22,20,11,22,36,67,24,36,28,96,57,24,20,0.0,0.0,664.0
2024-03-01 16:20:00,66,57,29,27,44,9,15,8,8,34,63,18,34,26,89,60,26,26,0.0,0.0,639.0
2024-03-01 16:30:00,69,56,33,31,51,9,28,10,11,30,70,20,36,20,93,67,22,20,0.0,0.0,676.0
2024-03-01 16:40:00,58,50,16,24,50,11,15,9,14,28,62,25,46,19,87,59,29,28,0.0,0.0,630.0
