datetime,D51Z,D52Z,D62Z,D71Z,D72Z,D911Z,D912Z,D92Z,D111Z,D112Z,Total
2024-03-01 01:00:00,4,4,1,1,1,1,1,3,5,5,26
2024-03-01 01:10:00,3,3,1,1,1,3,3,2,6,6,29
2024-03-01 01:20:00,4,4,3,1,0,1,1,0,7,7,28
2024-03-01 01:30:00,0,0,0,1,1,1,1,0,5,5,14
2024-03-01 01:40:00,4,4,2,1,1,2,2,4,9,9,38
2024-03-01 01:50:00,5,5,2,0,0,0,0,0,8,8,28
2024-03-01 02:00:00,4,4,4,0,0,5,5,1,4,4,31
2024-03-01 02:10:00,3,3,2,2,2,2,2,1,8,8,33
2024-03-01 02:20:00,2,1,0,0,0,0,0,0,3,3,9
2024-03-01 02:30:00,2,2,0,0,0,2,3,3,2,2,16
2024-03-01 02:40:00,2,2,3,2,2,3,3,2,2,2,23
2024-03-01 02:50:00,1,1,1,0,0,1,1,0,3,3,11
2024-03-01 03:00:00,5,5,0,1,0,1,1,2,4,4,23
2024-03-01 03:10:00,2,2,1,0,0,1,1,0,5,5,17
2024-03-01 03:20:00,0,0,1,0,0,1,1,0,4,4,11
2024-03-01 03:30:00,3,3,3,1,1,4,3,2,6,6,32
2024-03-01 03:40:00,6,6,2,1,1,1,1,1,3,3,25
2024-03-01 03:50:00,5,5,5,2,2,4,4,5,4,4,40
2024-03-01 04:00:00,7,7,5,1,1,0,0,1,3,3,28
2024-03-01 04:10:00,4,4,1,0,0,1,1,1,3,3,18
2024-03-01 04:20:00,7,7,2,0,0,2,2,2,12,12,46
2024-03-01 04:30:00,7,7,2,0,0,2,2,0,15,15,50
2024-03-01 04:40:00,10,10,2,2,1,2,2,2,15,15,61
2024-03-01 04:50:00,7,7,4,2,2,4,5,3,18,18,70
2024-03-01 05:00:00,18,19,3,0,0,1,1,1,23,23,89
2024-03-01 05:10:00,23,23,4,2,2,5,5,3,30,30,127
2024-03-01 05:20:00,38,37,9,4,4,13,12,8,50,51,226
2024-03-01 05:30:00,27,27,4,4,4,7,6,8,45,44,176
2024-03-01 05:40:00,38,38,7,3,3,10,11,6,74,75,265
2024-03-01 05:50:00,46,46,9,1,2,9,9,7,82,85,296
2024-03-01 06:00:00,30,30,4,2,2,4,5,5,75,71,228
2024-03-01 06:10:00,45,45,10,1,1,8,8,9,103,104,334
2024-03-01 06:20:00,67,67,6,7,7,9,10,6,114,113,406
2024-03-01 06:30:00,67,65,11,13,8,7,8,10,135,135,459
2024-03-01 06:40:00,90,90,10,5,6,15,14,11,129,130,500
2024-03-01 06:50:00,84,88,12,6,5,8,8,11,127,127,476
2024-03-01 07:00:00,76,73,17,1,1,9,9,11,141,140,478
2024-03-01 07:10:00,100,100,11,11,11,10,9,18,135,137,542
2024-03-01 07:20:00,82,81,11,5,5,13,12,14,135,136,494
2024-03-01 07:30:00,93,93,13,7,10,13,14,14,171,170,598
2024-03-01 07:40:00,99,99,15,18,13,17,17,18,151,150,597
2024-03-01 07:50:00,72,73,16,16,13,12,11,10,154,155,532
2024-03-01 08:00:00,95,93,13,11,9,9,9,10,165,161,575
2024-03-01 08:10:00,80,83,14,8,9,17,18,19,141,141,530
2024-03-01 08:20:00,83,80,11,16,9,10,10,9,137,137,502
2024-03-01 08:30:00,96,95,20,11,11,21,20,18,114,113,519
2024-03-01 08:40:00,99,97,18,16,15,18,18,13,108,107,509
2024-03-01 08:50:00,70,70,13,13,13,20,21,18,91,90,419
2024-03-01 09:00:00,71,70,16,19,16,16,15,12,101,101,437
2024-03-01 09:10:00,83,84,13,10,8,12,12,13,108,110,453
2024-03-01 09:20:00,61,63,13,19,15,20,21,16,121,121,470
2024-03-01 09:30:00,87,85,23,13,12,22,22,21,116,115,516
2024-03-01 09:40:00,83,85,17,19,16,15,15,17,100,100,467
2024-03-01 09:50:00,51,50,11,24,22,19,17,13,107,106,420
2024-03-01 10:00:00,92,92,20,19,17,22,22,14,95,96,489
2024-03-01 10:10:00,70,70,18,24,21,10,11,12,98,97,431
2024-03-01 10:20:00,94,94,16,17,18,18,20,19,117,118,531
2024-03-01 10:30:00,93,93,25,23,20,15,15,14,96,95,489
2024-03-01 10:40:00,76,76,15,24,16,19,20,20,126,126,518
2024-03-01 10:50:00,89,90,17,22,20,23,20,18,109,109,517
2024-03-01 11:00:00,77,76,20,24,18,23,23,23,87,87,458
2024-03-01 11:10:00,91,92,18,25,23,22,21,18,109,110,529
2024-03-01 11:20:00,96,96,23,23,23,25,26,18,100,100,530
2024-03-01 11:30:00,101,101,17,24,21,20,20,20,99,99,522
2024-03-01 11:40:00,92,93,16,28,20,20,20,28,113,113,543
2024-03-01 11:50:00,99,97,20,22,21,22,21,21,107,107,537
2024-03-01 12:00:00,94,98,18,23,22,22,22,19,112,113,543
2024-03-01 12:10:00,96,94,17,31,21,24,24,11,107,105,530
2024-03-01 12:20:00,109,109,21,22,19,28,28,20,112,113,581
2024-03-01 12:30:00,102,102,22,26,19,25,25,18,125,125,589
2024-03-01 12:40:00,111,112,19,35,21,29,29,17,127,130,630
2024-03-01 12:50:00,105,101,21,23,20,23,23,15,135,131,597
2024-03-01 13:00:00,113,116,18,36,23,23,23,18,130,131,631
2024-03-01 13:10:00,86,82,10,17,12,15,16,14,87,90,429
2024-03-01 13:20:00,112,114,16,22,18,28,29,19,148,143,649
2024-03-01 13:30:00,117,115,19,34,26,20,20,24,129,127,631
2024-03-01 13:40:00,94,94,13,28,22,33,33,26,133,137,613
2024-03-01 13:50:00,111,108,21,23,19,28,31,19,135,130,625
2024-03-01 14:00:00,103,105,14,21,17,38,37,16,117,116,584
2024-03-01 14:10:00,120,117,18,32,20,25,23,17,132,132,636
2024-03-01 14:20:00,123,122,19,27,15,30,30,17,121,119,623
2024-03-01 14:30:00,114,114,15,26,22,25,25,18,129,127,615
2024-03-01 14:40:00,91,93,13,28,22,25,27,20,106,105,530
2024-03-01 14:50:00,115,115,18,23,22,26,25,23,125,126,618
2024-03-01 15:00:00,107,111,18,32,24,39,39,23,134,134,661
2024-03-01 15:10:00,129,130,23,21,20,35,35,19,129,133,674
2024-03-01 15:20:00,105,100,20,21,19,23,23,19,148,145,623
2024-03-01 15:30:00,108,108,21,23,17,30,30,18,114,112,581
2024-03-01 15:40:00,105,105,20,28,19,19,18,17,123,126,580
2024-03-01 15:50:00,91,92,18,27,18,17,16,15,111,108,513
2024-03-01 16:00:00,86,87,13,14,12,19,19,19,106,104,479
2024-03-01 16:10:00,108,106,17,34,32,26,26,22,131,131,633
2024-03-01 16:20:00,110,109,15,34,28,30,31,15,131,130,633
2024-03-01 16:30:00,89,90,21,33,22,27,27,28,121,121,579
2024-03-01 16:40:00,109,107,17,33,27,20,20,19,139,140,631
2024-03-01 16:50:00,111,113,18,33,25,32,32,24,136,133,657
2024-03-01 17:00:00,86,85,17,24,16,22,22,18,129,130,549
2024-03-01 17:10:00,109,112,19,37,26,26,27,22,131,129,638
2024-03-01 17:20:00,104,96,13,28,19,14,13,14,109,108,518
2024-03-01 17:30:00,112,113,15,24,24,24,24,15,119,118,588
2024-03-01 17:40:00,87,88,19,36,25,27,29,15,128,127,581
2024-03-01 17:50:00,94,93,21,26,22,18,19,15,139,140,587
2024-03-01 18:00:00,93,94,19,31,27,19,19,16,116,116,550
2024-03-01 18:10:00,89,90,15,22,19,19,20,23,134,137,568
2024-03-01 18:20:00,87,86,15,35,26,26,26,19,150,146,616
2024-03-01 18:30:00,88,88,21,26,20,25,26,21,136,135,586
2024-03-01 18:40:00,94,95,13,28,18,16,15,17,151,151,598
2024-03-01 18:50:00,80,78,16,30,24,22,22,21,112,109,514
2024-03-01 19:00:00,53,54,16,24,20,14,14,16,94,95,400
2024-03-01 19:10:00,61,61,14,29,21,21,20,21,91,91,430
2024-03-01 19:20:00,76,76,13,22,22,20,20,18,106,105,478
2024-03-01 19:30:00,49,49,14,25,19,12,11,15,90,92,376
2024-03-01 19:40:00,51,52,16,23,20,14,15,13,112,109,425
2024-03-01 19:50:00,46,46,13,22,15,7,8,14,81,81,333
2024-03-01 20:00:00,43,42,8,24,21,17,17,20,66,66,324
2024-03-01 20:10:00,39,40,14,25,22,9,11,7,70,70,307
2024-03-01 20:20:00,40,40,12,18,15,17,17,13,58,58,288
2024-03-01 20:30:00,31,31,10,14,14,9,10,9,69,69,266
2024-03-01 20:40:00,34,34,12,18,15,23,23,26,56,57,298
2024-03-01 20:50:00,37,37,7,16,15,20,20,22,74,75,323
2024-03-01 21:00:00,32,35,13,13,12,19,20,24,69,67,304
2024-03-01 21:10:00,34,32,8,17,15,19,20,18,58,58,279
2024-03-01 21:20:00,43,43,13,20,19,16,17,12,54,55,292
2024-03-01 21:30:00,21,22,10,11,11,21,21,19,54,53,243
2024-03-01 21:40:00,16,16,8,20,21,13,14,17,51,53,229
2024-03-01 21:50:00,31,30,8,11,10,9,11,9,48,46,213
2024-03-01 22:00:00,27,28,7,17,15,10,10,9,53,54,230
2024-03-01 22:10:00,31,33,8,7,7,16,16,14,50,50,232
2024-03-01 22:20:00,32,31,10,5,6,15,15,9,30,29,182
2024-03-01 22:30:00,31,31,13,8,7,14,14,8,42,42,210
2024-03-01 22:40:00,39,39,8,10,12,12,12,11,40,41,224
2024-03-01 22:50:00,19,19,4,11,11,8,8,15,47,50,192
2024-03-01 23:00:00,30,32,12,7,6,8,8,11,40,36,190
2024-03-01 23:10:00,24,26,7,7,6,8,8,9,32,32,159
2024-03-01 23:20:00,19,17,2,6,6,8,9,6,29,29,131
2024-03-01 23:30:00,24,24,5,2,3,5,5,3,35,35,141
2024-03-01 23:40:00,21,21,7,6,4,8,8,5,24,24,128
2024-03-01 23:50:00,15,15,3,7,5,6,7,7,15,16,96
