datetime,V11Z,V12Z,V13Z,D21Z,D22Z,D23Z,D24Z,D31Z,D32Z,D33Z,V41Z,V42Z,V43Z,V44Z,Total
2024-03-01 13:00:00,45,51,23,0,0,92,12,46,33,30,3,3,51,7,396
2024-03-01 13:10:00,53,65,19,0,0,99,14,39,31,23,6,0,56,1,406
2024-03-01 13:20:00,41,59,15,0,0,100,20,34,25,21,1,0,62,1,379
2024-03-01 13:30:00,53,66,19,0,0,97,14,43,39,19,24,2,57,0,433
2024-03-01 13:40:00,45,67,26,0,0,103,17,37,28,23,20,5,58,1,430
2024-03-01 13:50:00,44,48,15,0,0,104,14,39,32,23,0,4,69,0,392
2024-03-01 14:00:00,62,49,19,0,0,89,15,36,28,16,6,6,54,0,380
2024-03-01 14:10:00,58,76,12,0,0,80,22,42,29,19,20,7,42,0,407
2024-03-01 14:20:00,61,61,16,0,0,112,16,35,37,16,0,24,56,2,436
2024-03-01 14:30:00,82,43,21,0,0,91,19,43,30,31,0,0,52,0,412
2024-03-01 14:40:00,53,61,18,0,0,92,18,45,35,21,17,0,40,0,400
2024-03-01 14:50:00,73,50,14,0,0,94,24,38,31,27,4,0,44,0,399
2024-03-01 15:00:00,60,52,33,0,0,93,14,35,41,25,0,0,57,3,413
2024-03-01 15:10:00,48,52,14,0,0,89,13,43,33,29,0,0,63,0,384
2024-03-01 15:20:00,60,61,27,0,0,97,17,46,36,27,21,0,53,0,445
2024-03-01 15:30:00,65,56,14,0,0,92,15,40,31,21,26,3,48,0,411
2024-03-01 15:40:00,52,72,18,0,0,84,12,56,52,26,18,0,51,0,441
2024-03-01 15:50:00,53,50,23,0,0,93,15,46,26,23,16,4,71,0,420
2024-03-01 16:00:00,61,110,20,0,0,91,17,44,32,18,38,8,44,0,483
2024-03-01 16:10:00,44,53,20,0,0,81,22,46,32,29,38,0,47,0,412
2024-03-01 16:20:00,46,60,16,0,0,102,14,49,34,25,20,0,56,0,422
2024-03-01 16:30:00,60,57,22,0,0,89,19,46,38,22,8,5,58,0,424
2024-03-01 16:40:00,61,58,22,0,0,83,15,49,39,23,25,12,49,1,437
2024-03-01 16:50:00,55,55,14,0,0,89,13,43,38,21,0,15,58,4,405
2024-03-01 17:00:00,48,59,14,0,0,83,15,56,37,37,8,2,45,4,408
2024-03-01 17:10:00,66,44,12,0,0,94,18,49,40,22,15,7,57,1,425
2024-03-01 17:20:00,56,62,24,0,0,97,15,34,33,20,2,0,69,0,412
2024-03-01 17:30:00,58,60,23,0,0,85,24,42,41,20,6,8,60,5,432
2024-03-01 17:40:00,54,50,20,0,0,64,19,42,33,22,9,14,55,10,392
2024-03-01 17:50:00,50,60,23,0,0,96,17,30,24,19,0,21,65,1,406
2024-03-01 18:00:00,37,59,17,0,0,85,15,26,28,21,14,22,50,7,381
2024-03-01 18:10:00,45,53,14,0,0,53,13,35,38,23,8,15,53,8,358
2024-03-01 18:20:00,63,70,24,0,0,77,22,40,36,22,10,17,67,10,458
2024-03-01 18:30:00,57,59,42,0,0,69,15,30,39,20,23,27,61,14,456
2024-03-01 18:40:00,50,55,32,0,0,55,13,39,22,18,27,33,46,18,408
2024-03-01 18:50:00,47,51,20,0,0,75,15,35,35,27,22,18,57,7,409
2024-03-01 19:00:00,46,49,31,0,0,75,15,26,27,19,26,29,39,15,397
2024-03-01 19:10:00,45,50,20,0,0,45,14,29,42,19,25,24,35,11,359
2024-03-01 19:20:00,40,44,33,0,0,59,12,30,31,13,26,22,33,19,362
2024-03-01 19:30:00,37,53,40,0,0,63,13,19,31,13,20,23,40,16,368
2024-03-01 19:40:00,38,32,29,0,0,59,11,26,33,22,22,31,27,21,351
2024-03-01 19:50:00,32,21,18,0,0,34,6,17,30,14,22,20,38,21,273
