datetime,D11Z,D21Z,D41Z,D42Z,Total
2024-03-01 01:00:00,3,8,5,4,20
2024-03-01 01:10:00,1,5,2,3,11
2024-03-01 01:20:00,1,6,1,1,9
2024-03-01 01:30:00,0,4,7,0,11
2024-03-01 01:40:00,2,6,6,0,14
2024-03-01 01:50:00,0,9,3,1,13
2024-03-01 02:00:00,0,10,3,2,15
2024-03-01 02:10:00,0,2,5,2,9
2024-03-01 02:20:00,3,6,5,3,17
2024-03-01 02:30:00,0,7,2,3,12
2024-03-01 02:40:00,0,3,6,1,10
2024-03-01 02:50:00,0,5,4,2,11
2024-03-01 03:00:00,0,4,5,0,9
2024-03-01 03:10:00,3,4,1,0,8
2024-03-01 03:20:00,0,3,4,0,7
2024-03-01 03:30:00,0,5,6,3,14
2024-03-01 03:40:00,2,6,7,3,18
2024-03-01 03:50:00,1,7,5,2,15
2024-03-01 04:00:00,1,6,7,7,21
2024-03-01 04:10:00,0,4,8,3,15
2024-03-01 04:20:00,0,5,6,1,12
2024-03-01 04:30:00,0,8,10,2,20
2024-03-01 04:40:00,1,12,12,11,36
2024-03-01 04:50:00,1,11,23,4,39
2024-03-01 05:00:00,1,15,15,5,36
2024-03-01 05:10:00,4,13,23,7,47
2024-03-01 05:20:00,4,32,38,9,83
2024-03-01 05:30:00,4,30,54,7,95
2024-03-01 05:40:00,3,41,53,8,105
2024-03-01 05:50:00,22,50,50,11,133
2024-03-01 06:00:00,5,45,67,16,133
2024-03-01 06:10:00,7,48,73,13,141
2024-03-01 06:20:00,10,70,82,7,169
2024-03-01 06:30:00,3,78,85,11,177
2024-03-01 06:40:00,6,78,82,9,175
2024-03-01 06:50:00,5,99,85,6,195
2024-03-01 07:00:00,2,84,114,9,209
2024-03-01 07:10:00,6,97,138,13,254
2024-03-01 07:20:00,12,116,117,11,256
2024-03-01 07:30:00,14,118,165,10,307
2024-03-01 07:40:00,13,117,162,14,306
2024-03-01 07:50:00,12,150,108,14,284
2024-03-01 08:00:00,6,101,95,10,212
2024-03-01 08:10:00,6,101,106,14,227
2024-03-01 08:20:00,8,97,121,9,235
2024-03-01 08:30:00,8,98,107,12,225
2024-03-01 08:40:00,8,101,102,7,218
2024-03-01 08:50:00,14,126,103,8,251
2024-03-01 09:00:00,11,113,104,5,233
2024-03-01 09:10:00,8,92,104,13,217
2024-03-01 09:20:00,8,107,129,12,256
2024-03-01 09:30:00,8,111,94,8,221
2024-03-01 09:40:00,12,107,99,8,226
2024-03-01 09:50:00,11,97,119,7,234
2024-03-01 10:00:00,11,111,97,6,225
2024-03-01 10:10:00,10,102,90,8,210
2024-03-01 10:20:00,12,91,105,9,217
2024-03-01 10:30:00,7,119,97,12,235
2024-03-01 10:40:00,7,125,134,10,276
2024-03-01 10:50:00,13,113,109,10,245
2024-03-01 11:00:00,15,98,112,6,231
2024-03-01 11:10:00,8,124,125,4,261
2024-03-01 11:20:00,9,106,101,3,219
2024-03-01 11:30:00,8,125,116,14,263
2024-03-01 11:40:00,8,123,110,12,253
2024-03-01 11:50:00,10,141,114,9,274
2024-03-01 12:00:00,15,112,115,11,253
2024-03-01 12:10:00,12,121,143,12,288
2024-03-01 12:20:00,20,134,133,8,295
2024-03-01 12:30:00,21,135,132,6,294
2024-03-01 12:40:00,13,144,125,8,290
2024-03-01 12:50:00,17,161,143,10,331
2024-03-01 13:00:00,7,132,127,15,281
2024-03-01 13:10:00,10,151,108,12,281
2024-03-01 13:20:00,13,125,82,10,230
2024-03-01 13:30:00,15,165,114,10,304
2024-03-01 13:40:00,14,134,139,7,294
2024-03-01 13:50:00,27,146,135,13,321
2024-03-01 14:00:00,17,130,125,10,282
2024-03-01 14:10:00,23,162,118,11,314
2024-03-01 14:20:00,14,155,124,12,305
2024-03-01 14:30:00,5,138,133,13,289
2024-03-01 14:40:00,13,134,111,6,264
2024-03-01 14:50:00,10,156,84,6,256
2024-03-01 15:00:00,15,136,147,6,304
2024-03-01 15:10:00,13,142,141,17,313
2024-03-01 15:20:00,12,172,162,10,356
2024-03-01 15:30:00,13,127,120,8,268
2024-03-01 15:40:00,8,151,146,12,317
2024-03-01 15:50:00,19,135,127,9,290
2024-03-01 16:00:00,7,126,147,11,291
2024-03-01 16:10:00,6,138,139,7,290
2024-03-01 16:20:00,10,149,131,4,294
2024-03-01 16:30:00,18,120,123,10,271
2024-03-01 16:40:00,11,146,113,8,278
2024-03-01 16:50:00,10,137,148,8,303
2024-03-01 17:00:00,11,148,115,9,283
2024-03-01 17:10:00,6,158,149,5,318
2024-03-01 17:20:00,10,147,137,9,303
2024-03-01 17:30:00,18,142,129,4,293
2024-03-01 17:40:00,10,143,136,5,294
2024-03-01 17:50:00,16,125,102,9,252
2024-03-01 18:00:00,6,120,117,6,249
2024-03-01 18:10:00,12,142,124,10,288
2024-03-01 18:20:00,2,126,151,16,295
2024-03-01 18:30:00,15,120,102,10,247
2024-03-01 18:40:00,10,121,106,5,242
2024-03-01 18:50:00,5,134,105,8,252
2024-03-01 19:00:00,7,104,95,17,223
2024-03-01 19:10:00,5,114,122,11,252
2024-03-01 19:20:00,4,94,109,11,218
2024-03-01 19:30:00,6,83,97,14,200
2024-03-01 19:40:00,4,70,79,10,163
2024-03-01 19:50:00,1,83,66,11,161
2024-03-01 20:00:00,6,59,76,8,149
2024-03-01 20:10:00,10,58,82,12,162
2024-03-01 20:20:00,7,60,55,8,130
2024-03-01 20:30:00,3,63,59,6,131
2024-03-01 20:40:00,1,51,47,7,106
2024-03-01 20:50:00,2,43,51,7,103
2024-03-01 21:00:00,3,49,59,9,120
2024-03-01 21:10:00,1,43,54,12,110
2024-03-01 21:20:00,1,55,60,5,121
2024-03-01 21:30:00,1,61,49,10,121
2024-03-01 21:40:00,0,51,50,6,107
2024-03-01 21:50:00,5,35,45,8,93
2024-03-01 22:00:00,1,47,37,4,89
2024-03-01 22:10:00,2,46,44,10,102
2024-03-01 22:20:00,4,42,46,5,97
2024-03-01 22:30:00,1,37,42,3,83
2024-03-01 22:40:00,0,38,34,5,77
2024-03-01 22:50:00,2,41,42,13,98
2024-03-01 23:00:00,1,37,34,2,74
2024-03-01 23:10:00,0,27,18,11,56
2024-03-01 23:20:00,0,27,28,10,65
2024-03-01 23:30:00,1,38,23,3,65
2024-03-01 23:40:00,3,20,22,6,51
2024-03-01 23:50:00,3,32,22,9,66
2024-03-02 00:00:00,4,21,21,1,47
2024-03-02 00:10:00,1,15,21,6,43
2024-03-02 00:20:00,1,15,20,3,39
2024-03-02 00:30:00,3,17,14,0,34
2024-03-02 00:40:00,0,18,9,6,33
2024-03-02 00:50:00,3,15,9,4,31
2024-03-02 01:00:00,0,11,13,4,28
2024-03-02 01:10:00,6,19,17,3,45
2024-03-02 01:20:00,5,14,14,2,35
2024-03-02 01:30:00,2,7,6,3,18
2024-03-02 01:40:00,0,15,7,2,24
2024-03-02 01:50:00,1,12,7,2,22
2024-03-02 02:00:00,2,7,2,4,15
2024-03-02 02:10:00,1,7,8,5,21
2024-03-02 02:20:00,1,9,4,0,14
2024-03-02 02:30:00,1,10,3,2,16
2024-03-02 02:40:00,0,10,6,4,20
2024-03-02 02:50:00,0,7,10,4,21
2024-03-02 03:00:00,0,6,1,1,8
2024-03-02 03:10:00,0,5,3,2,10
2024-03-02 03:20:00,1,9,7,3,20
2024-03-02 03:30:00,0,10,7,4,21
2024-03-02 03:40:00,1,6,11,3,21
2024-03-02 03:50:00,0,14,8,4,26
2024-03-02 04:00:00,0,7,4,2,13
2024-03-02 04:10:00,0,4,5,0,9
2024-03-02 04:20:00,0,8,5,1,14
2024-03-02 04:30:00,0,8,11,1,20
2024-03-02 04:40:00,0,2,5,2,9
2024-03-02 04:50:00,0,4,11,3,18
2024-03-02 05:00:00,0,13,8,2,23
2024-03-02 05:10:00,1,12,13,4,30
2024-03-02 05:20:00,4,17,17,5,43
2024-03-02 05:30:00,2,10,20,3,35
2024-03-02 05:40:00,7,24,14,3,48
2024-03-02 05:50:00,8,19,16,5,48
2024-03-02 06:00:00,3,12,12,4,31
2024-03-02 06:10:00,1,29,13,4,47
2024-03-02 06:20:00,2,11,9,0,22
2024-03-02 06:30:00,1,24,23,2,50
