datetime,V21Z,V22Z,V81Z,V82Z,D11Z,D12Z,Total
2024-03-01 20:30:00,0,35,0,63,1,0,99
2024-03-01 20:40:00,0,37,0,60,2,0,99
2024-03-01 20:50:00,0,27,0,55,1,0,83
2024-03-01 21:00:00,0,31,0,63,0,0,94
2024-03-01 21:10:00,0,34,0,47,0,0,81
2024-03-01 21:20:00,0,33,0,48,0,0,81
2024-03-01 21:30:00,0,31,0,53,0,0,84
2024-03-01 21:40:00,0,27,0,63,2,0,92
2024-03-01 21:50:00,0,36,0,57,1,0,94
2024-03-01 22:00:00,0,22,0,46,0,0,68
2024-03-01 22:10:00,0,30,0,54,0,0,84
2024-03-01 22:20:00,0,36,0,42,1,0,79
2024-03-01 22:30:00,0,25,0,57,0,0,82
2024-03-01 22:40:00,0,25,0,45,0,0,70
2024-03-01 22:50:00,0,16,0,42,3,0,61
2024-03-01 23:00:00,0,18,0,36,0,0,54
2024-03-01 23:10:00,0,30,0,42,0,0,72
2024-03-01 23:20:00,0,22,0,50,0,0,72
2024-03-01 23:30:00,0,16,0,50,0,0,66
2024-03-01 23:40:00,0,12,0,47,0,0,59
2024-03-01 23:50:00,0,27,0,33,1,0,61
2024-03-02 00:00:00,0,7,0,43,0,0,50
2024-03-02 00:10:00,0,13,0,27,0,0,40
2024-03-02 00:20:00,0,22,0,33,0,0,55
2024-03-02 00:30:00,0,10,0,39,0,0,49
2024-03-02 00:40:00,0,8,0,28,0,0,36
2024-03-02 00:50:00,0,6,0,20,0,0,26
2024-03-02 01:00:00,0,7,0,24,0,0,31
2024-03-02 01:10:00,0,3,0,17,0,0,20
2024-03-02 01:20:00,0,8,0,17,0,0,25
2024-03-02 01:30:00,0,3,0,18,0,0,21
2024-03-02 01:40:00,0,6,0,21,0,0,27
2024-03-02 01:50:00,0,5,0,15,0,0,20
2024-03-02 02:00:00,0,10,0,28,0,0,38
2024-03-02 02:10:00,0,5,0,11,2,0,18
2024-03-02 02:20:00,0,1,0,2,0,0,3
2024-03-02 02:30:00,0,11,0,7,1,0,19
2024-03-02 02:40:00,0,3,0,7,0,0,10
2024-03-02 02:50:00,0,2,0,13,0,0,15
2024-03-02 03:00:00,0,4,0,13,0,0,17
2024-03-02 03:10:00,0,11,0,12,0,0,23
2024-03-02 03:20:00,0,5,0,10,0,0,15
2024-03-02 03:30:00,0,4,0,7,0,0,11
2024-03-02 03:40:00,0,5,0,12,0,0,17
2024-03-02 03:50:00,0,9,0,1,1,0,11
2024-03-02 04:00:00,0,3,0,21,0,0,24
2024-03-02 04:10:00,0,5,0,6,1,0,12
2024-03-02 04:20:00,0,3,0,9,0,0,12
2024-03-02 04:30:00,0,7,0,15,0,0,22
2024-03-02 04:40:00,0,1,0,10,0,0,11
2024-03-02 04:50:00,0,5,0,19,4,0,28
2024-03-02 05:00:00,0,8,0,35,0,0,43
2024-03-02 05:10:00,0,14,0,39,0,0,53
2024-03-02 05:20:00,0,6,0,13,0,0,19
2024-03-02 05:30:00,0,11,0,31,0,0,42
2024-03-02 05:40:00,0,9,0,28,0,0,37
2024-03-02 05:50:00,0,12,0,34,0,0,46
2024-03-02 06:00:00,0,6,0,21,0,0,27
2024-03-02 06:10:00,0,9,0,18,2,0,29
2024-03-02 06:20:00,0,9,0,24,0,0,33
2024-03-02 06:30:00,0,15,0,27,0,0,42
2024-03-02 06:40:00,0,16,0,30,1,0,47
2024-03-02 06:50:00,0,5,0,28,3,0,36
2024-03-02 07:00:00,0,3,0,20,1,0,24
2024-03-02 07:10:00,0,8,0,15,0,0,23
2024-03-02 07:20:00,0,13,0,15,0,0,28
2024-03-02 07:30:00,0,16,0,13,0,0,29
2024-03-02 07:40:00,0,12,0,13,0,0,25
2024-03-02 07:50:00,0,13,0,18,2,0,33
2024-03-02 08:00:00,0,7,0,21,1,0,29
2024-03-02 08:10:00,0,15,0,17,0,0,32
