datetime,V51Z,V52Z,V111Z,V112Z,D53Z,D113Z,Total
2024-03-01 01:00:00,0,3,5,2,2,3,15
2024-03-01 01:10:00,0,13,4,0,6,1,24
2024-03-01 01:20:00,0,3,13,1,2,8,27
2024-03-01 01:30:00,0,4,4,1,2,4,15
2024-03-01 01:40:00,0,3,6,0,2,3,14
2024-03-01 01:50:00,0,0,6,1,0,4,11
2024-03-01 02:00:00,0,0,4,3,0,2,9
2024-03-01 02:10:00,0,0,7,2,0,3,12
2024-03-01 02:20:00,0,2,4,2,1,2,11
2024-03-01 02:30:00,0,3,1,0,3,1,8
2024-03-01 02:40:00,1,0,2,0,0,1,4
2024-03-01 02:50:00,0,1,3,4,1,1,10
2024-03-01 03:00:00,0,2,2,0,1,1,6
2024-03-01 03:10:00,0,1,5,0,1,2,9
2024-03-01 03:20:00,0,3,4,0,2,3,12
2024-03-01 03:30:00,0,2,3,1,1,1,8
2024-03-01 03:40:00,0,7,5,2,4,3,21
2024-03-01 03:50:00,2,3,4,2,3,2,16
2024-03-01 04:00:00,0,6,2,2,4,1,15
2024-03-01 04:10:00,3,8,6,0,5,4,26
2024-03-01 04:20:00,0,3,2,0,2,1,8
2024-03-01 04:30:00,1,16,3,5,10,3,38
2024-03-01 04:40:00,0,10,2,1,6,1,20
2024-03-01 04:50:00,0,20,11,1,11,6,49
2024-03-01 05:00:00,1,27,7,1,13,7,56
2024-03-01 05:10:00,2,32,16,0,20,12,82
2024-03-01 05:20:00,2,38,16,1,22,9,88
2024-03-01 05:30:00,1,41,11,3,25,6,87
2024-03-01 05:40:00,1,68,11,1,42,9,132
2024-03-01 05:50:00,1,56,16,3,35,9,120
2024-03-01 06:00:00,7,38,18,3,21,10,97
2024-03-01 06:10:00,4,67,15,2,44,11,143
2024-03-01 06:20:00,1,65,24,8,47,13,158
2024-03-01 06:30:00,2,128,39,5,80,32,286
2024-03-01 06:40:00,2,105,39,6,69,34,255
2024-03-01 06:50:00,3,79,31,5,66,30,214
2024-03-01 07:00:00,2,57,24,8,84,35,210
2024-03-01 07:10:00,4,52,25,5,86,33,205
2024-03-01 07:20:00,3,64,30,7,95,38,237
2024-03-01 07:30:00,1,58,37,6,96,46,244
2024-03-01 07:40:00,2,60,40,11,118,54,285
2024-03-01 07:50:00,2,52,39,17,100,48,258
2024-03-01 08:00:00,2,44,28,11,63,40,188
2024-03-01 08:10:00,1,37,37,9,66,42,192
2024-03-01 08:20:00,1,60,26,10,79,29,205
2024-03-01 08:30:00,4,48,28,10,70,36,196
2024-03-01 08:40:00,2,45,17,8,80,26,178
2024-03-01 08:50:00,2,30,18,7,48,22,127
2024-03-01 09:00:00,4,40,26,8,53,30,161
2024-03-01 09:10:00,4,32,26,11,71,27,171
2024-03-01 09:20:00,1,30,35,5,49,38,158
2024-03-01 09:30:00,3,41,35,10,50,48,187
