datetime,D11Z,V111Z,D12Z,V121Z,D21Z,V211Z,D23Z,D22Z,V221Z,D31Z,V311Z,D32Z,V321Z,D41Z,V411Z,D43Z,D42Z,V421Z,D44Z,Total
2024-03-01 10:40:00,27,11,45,15,9,11,63,0,22,60,1,14,6,28,34,12,16,50,9,433
2024-03-01 10:50:00,23,18,52,17,7,19,45,0,14,52,2,13,7,33,30,19,14,18,14,397
2024-03-01 11:00:00,19,16,41,24,9,17,52,0,14,57,3,13,9,26,29,18,17,25,12,401
2024-03-01 11:10:00,24,15,41,31,10,22,44,0,9,85,3,17,9,24,30,22,16,16,10,428
2024-03-01 11:20:00,19,12,37,11,9,14,74,0,11,53,6,14,2,46,44,20,17,16,10,415
2024-03-01 11:30:00,24,18,48,28,8,15,39,0,13,63,4,14,5,45,46,15,15,19,14,433
2024-03-01 11:40:00,19,11,36,16,8,15,62,0,12,50,5,21,12,27,30,16,14,12,9,375
2024-03-01 11:50:00,35,14,56,16,5,57,31,0,16,63,1,8,5,34,41,21,14,18,15,450
2024-03-01 12:00:00,28,14,52,24,6,23,30,0,18,47,2,27,4,32,37,21,17,17,5,404
2024-03-01 12:10:00,27,14,52,23,5,8,50,0,16,47,3,24,9,32,29,17,20,20,12,408
2024-03-01 12:20:00,26,10,41,26,6,17,60,0,16,67,2,13,5,32,41,22,20,22,16,442
2024-03-01 12:30:00,32,15,56,20,3,21,44,0,15,64,0,27,6,49,55,15,18,16,8,464
2024-03-01 12:40:00,23,13,47,34,11,10,47,0,12,53,2,22,4,42,52,26,21,26,13,458
2024-03-01 12:50:00,23,14,50,27,5,10,46,0,7,184,4,17,5,44,47,25,21,20,12,561
2024-03-01 13:00:00,30,14,57,32,4,11,45,0,14,49,7,21,3,48,49,25,12,19,11,451
2024-03-01 13:10:00,14,7,36,12,4,9,30,0,8,31,5,10,6,31,43,15,11,11,9,292
2024-03-01 13:20:00,43,18,71,25,6,16,48,0,18,49,4,20,4,48,51,12,18,23,10,484
2024-03-01 13:30:00,29,12,50,28,5,10,43,0,22,61,5,15,2,33,41,18,22,24,11,431
2024-03-01 13:40:00,25,12,50,28,5,19,44,0,36,43,0,23,9,33,36,20,15,18,8,424
2024-03-01 13:50:00,29,19,55,31,8,20,68,0,19,54,4,25,7,51,48,19,20,21,10,508
2024-03-01 14:00:00,24,14,55,36,8,16,50,0,15,48,3,20,6,33,37,18,11,18,9,421
2024-03-01 14:10:00,21,10,60,24,5,22,55,0,20,52,5,21,6,57,56,16,14,11,11,466
2024-03-01 14:20:00,36,18,53,26,6,19,46,0,14,59,6,15,9,48,51,17,23,18,12,476
2024-03-01 14:30:00,35,13,59,38,2,18,41,0,12,71,6,17,10,42,44,22,21,23,12,486
2024-03-01 14:40:00,28,14,74,23,10,19,42,0,10,59,7,14,7,43,46,15,20,21,8,460
2024-03-01 14:50:00,28,19,69,27,8,16,41,0,10,67,1,12,12,53,54,20,22,19,12,490
2024-03-01 15:00:00,33,12,72,27,6,20,33,0,10,73,6,21,8,45,46,25,18,14,12,481
2024-03-01 15:10:00,34,14,73,31,7,14,40,0,18,71,5,15,8,47,47,20,21,20,13,498
