datetime,D21Z,D41Z,D11Z,D31Z,Total
2024-03-01 01:00:00,2,2,0,0,4
2024-03-01 01:10:00,5,6,0,0,11
2024-03-01 01:20:00,1,2,0,0,3
2024-03-01 01:30:00,1,3,0,0,4
2024-03-01 01:40:00,4,7,0,0,11
2024-03-01 01:50:00,2,4,0,0,6
2024-03-01 02:00:00,3,5,0,0,8
2024-03-01 02:10:00,0,2,0,0,2
2024-03-01 02:20:00,1,1,0,0,2
2024-03-01 02:30:00,1,2,0,0,3
2024-03-01 02:40:00,2,1,0,0,3
2024-03-01 02:50:00,2,4,0,0,6
2024-03-01 03:00:00,0,2,0,0,2
2024-03-01 03:10:00,0,0,0,0,0
2024-03-01 03:20:00,0,1,0,0,1
2024-03-01 03:30:00,2,3,0,0,5
2024-03-01 03:40:00,3,4,0,0,7
2024-03-01 03:50:00,0,0,0,0,0
2024-03-01 04:00:00,3,3,0,0,6
2024-03-01 04:10:00,1,3,0,0,4
2024-03-01 04:20:00,0,2,0,0,2
2024-03-01 04:30:00,0,7,0,0,7
2024-03-01 04:40:00,4,3,0,0,7
2024-03-01 04:50:00,3,5,0,0,8
2024-03-01 05:00:00,4,5,0,0,9
2024-03-01 05:10:00,7,8,0,0,15
2024-03-01 05:20:00,10,7,0,0,17
2024-03-01 05:30:00,7,11,0,0,18
2024-03-01 05:40:00,16,9,0,0,25
2024-03-01 05:50:00,22,16,0,0,38
2024-03-01 06:00:00,19,12,0,0,31
2024-03-01 06:10:00,14,16,0,0,30
2024-03-01 06:20:00,13,10,0,0,23
2024-03-01 06:30:00,19,16,0,0,35
2024-03-01 06:40:00,24,18,0,0,42
2024-03-01 06:50:00,33,24,0,0,57
2024-03-01 07:00:00,36,30,0,0,66
2024-03-01 07:10:00,35,23,0,0,58
2024-03-01 07:20:00,24,23,0,0,47
2024-03-01 07:30:00,56,19,0,0,75
2024-03-01 07:40:00,59,48,0,0,107
2024-03-01 07:50:00,56,36,0,0,92
2024-03-01 08:00:00,50,34,0,0,84
2024-03-01 08:10:00,39,34,0,0,73
2024-03-01 08:20:00,40,24,0,0,64
2024-03-01 08:30:00,33,22,0,0,55
2024-03-01 08:40:00,34,29,0,0,63
2024-03-01 08:50:00,49,30,0,0,79
2024-03-01 09:00:00,44,29,0,0,73
2024-03-01 09:10:00,38,24,0,0,62
2024-03-01 09:20:00,38,25,0,0,63
2024-03-01 09:30:00,40,30,0,0,70
