datetime,D41Z,D42Z,D43Z,D44Z,D81Z,D82Z,D83Z,D84Z,Total
2024-03-01 01:00:00,0,0,6,10,2,0,0,2,20
2024-03-01 01:10:00,0,0,3,1,2,0,0,3,9
2024-03-01 01:20:00,0,0,6,5,2,0,0,6,19
2024-03-01 01:30:00,0,0,2,2,4,0,0,5,13
2024-03-01 01:40:00,0,0,4,6,4,0,0,6,20
2024-03-01 01:50:00,0,0,4,3,3,0,0,4,14
2024-03-01 02:00:00,0,0,2,4,4,0,0,7,17
2024-03-01 02:10:00,0,0,2,1,4,0,0,2,9
2024-03-01 02:20:00,0,0,2,5,4,0,0,2,13
2024-03-01 02:30:00,0,0,9,4,3,0,0,5,21
2024-03-01 02:40:00,0,0,12,5,1,0,0,5,23
2024-03-01 02:50:00,0,0,2,6,3,0,0,1,12
2024-03-01 03:00:00,0,0,1,3,4,0,0,4,12
2024-03-01 03:10:00,0,0,2,2,3,0,0,3,10
2024-03-01 03:20:00,0,0,7,5,3,0,0,4,19
2024-03-01 03:30:00,0,0,1,6,3,0,0,6,16
2024-03-01 03:40:00,0,0,8,7,4,0,0,0,19
2024-03-01 03:50:00,0,0,7,6,3,0,0,1,17
2024-03-01 04:00:00,0,0,7,3,3,0,0,3,16
2024-03-01 04:10:00,0,0,3,6,1,0,0,2,12
2024-03-01 04:20:00,0,0,10,8,0,0,0,4,22
2024-03-01 04:30:00,0,0,9,10,2,0,0,7,28
2024-03-01 04:40:00,0,0,9,13,6,0,0,5,33
2024-03-01 04:50:00,0,0,16,16,1,0,0,3,36
2024-03-01 05:00:00,0,0,16,17,4,0,0,4,41
2024-03-01 05:10:00,0,0,26,14,6,0,0,3,49
2024-03-01 05:20:00,0,0,19,18,11,0,0,16,64
2024-03-01 05:30:00,0,0,31,31,11,0,0,14,87
2024-03-01 05:40:00,0,0,23,34,13,0,0,19,89
2024-03-01 05:50:00,0,0,26,43,13,0,0,23,105
2024-03-01 06:00:00,0,0,21,44,18,0,0,22,105
2024-03-01 06:10:00,0,0,31,45,14,0,0,11,101
2024-03-01 06:20:00,0,0,25,50,23,0,0,24,122
2024-03-01 06:30:00,0,0,37,51,28,0,0,28,144
2024-03-01 06:40:00,0,0,29,46,39,0,0,20,134
2024-03-01 06:50:00,0,0,40,47,52,0,0,18,157
2024-03-01 07:00:00,0,0,26,39,37,0,0,18,120
2024-03-01 07:10:00,0,0,36,40,31,0,0,15,122
2024-03-01 07:20:00,0,0,34,33,47,0,0,19,133
2024-03-01 07:30:00,0,0,30,48,46,0,0,14,138
2024-03-01 07:40:00,0,0,30,36,56,0,0,17,139
2024-03-01 07:50:00,0,0,23,30,64,0,0,7,124
2024-03-01 08:00:00,0,0,12,15,54,0,0,7,88
2024-03-01 08:10:00,0,0,29,31,54,0,0,11,125
