datetime,D11Z,D12Z,D13Z,D14Z,D15Z,D21Z,D22Z,D23Z,D24Z,D25Z,D26Z,D31Z,D32Z,D33Z,D34Z,D35Z,D36Z,D37Z,D41Z,D42Z,D43Z,D44Z,D45Z,D46Z,D47Z,D48Z,V10Z,V20Z,V30Z,V40Z,Total
2024-03-01 01:00:00,1,4,0,1,1,1,0,0,4,3,1,2,3,8,2,3,3,4,3,3,3,3,1,1,1,2,0,0,0,0,58
2024-03-01 01:10:00,2,5,0,0,0,0,3,0,1,1,0,2,2,3,3,3,1,3,2,2,2,2,4,0,1,1,0,0,0,0,43
2024-03-01 01:20:00,3,3,0,0,0,0,0,0,0,0,0,1,2,1,2,5,2,5,2,2,2,2,0,0,0,1,0,0,0,0,33
2024-03-01 01:30:00,1,4,2,1,1,1,0,0,1,1,0,1,1,1,0,2,0,2,0,1,1,1,4,1,2,0,0,2,0,0,31
2024-03-01 01:40:00,3,3,0,1,1,1,1,0,0,0,0,3,2,2,4,3,1,3,0,3,3,3,3,0,0,1,0,0,0,0,41
2024-03-01 01:50:00,4,2,0,1,1,1,1,0,2,2,0,1,1,4,2,11,0,11,0,4,4,4,0,0,0,2,0,0,0,0,58
2024-03-01 02:00:00,2,2,1,1,1,1,0,0,1,1,0,2,2,4,1,3,0,3,0,4,4,4,0,0,1,1,0,0,0,0,39
2024-03-01 02:10:00,0,2,0,0,0,0,3,1,1,1,0,2,2,1,0,0,0,0,0,1,1,1,2,1,2,0,0,0,0,0,21
2024-03-01 02:20:00,1,0,0,0,0,0,0,0,2,2,0,1,1,5,1,3,0,3,0,5,5,5,2,0,2,1,0,0,0,0,39
2024-03-01 02:30:00,1,7,2,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,3,5,5,4,2,1,1,0,0,0,0,0,37
2024-03-01 02:40:00,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2,0,2,0,0,0,0,2,0,2,2,0,0,0,0,16
2024-03-01 02:50:00,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,5,4,5,2,0,0,1,0,0,0,0,26
2024-03-01 03:00:00,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,2,2,6,0,1,0,0,0,0,0,19
2024-03-01 03:10:00,2,3,1,0,0,0,1,0,1,1,0,0,0,2,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,18
2024-03-01 03:20:00,2,4,1,0,0,0,0,0,0,0,0,2,2,0,1,3,0,3,0,1,1,1,2,0,1,1,0,0,0,0,25
2024-03-01 03:30:00,1,6,2,0,0,0,0,0,2,2,0,1,2,2,1,5,1,6,1,2,2,2,3,0,2,1,0,0,0,0,44
2024-03-01 03:40:00,1,0,0,0,0,0,0,0,2,2,0,0,0,6,0,0,0,0,0,4,4,4,5,0,1,0,0,0,0,0,29
2024-03-01 03:50:00,1,3,0,1,1,1,1,0,1,1,0,0,0,3,1,2,2,2,0,5,5,5,2,0,3,0,0,0,0,0,40
2024-03-01 04:00:00,2,0,0,0,0,0,0,0,0,0,1,5,5,4,0,1,2,2,2,4,4,4,4,1,4,1,0,0,0,0,46
2024-03-01 04:10:00,2,1,0,0,0,0,0,0,0,0,0,6,4,2,2,2,0,1,0,1,1,1,3,0,1,3,0,0,0,0,30
2024-03-01 04:20:00,1,3,1,1,1,1,0,0,0,0,0,6,6,2,0,4,0,4,0,5,5,5,2,1,1,2,0,0,0,0,51
2024-03-01 04:30:00,3,5,1,1,1,1,1,2,1,1,1,3,3,7,3,8,0,9,0,4,4,4,2,1,5,3,0,0,0,0,74
2024-03-01 04:40:00,3,0,0,0,0,0,1,2,1,2,1,6,5,8,4,4,1,5,1,6,5,6,9,0,1,2,0,0,0,5,78
2024-03-01 04:50:00,0,9,0,0,0,0,2,0,2,2,1,3,3,9,0,11,0,11,0,10,9,10,14,1,4,6,0,0,0,0,107
2024-03-01 05:00:00,5,4,0,0,0,0,1,1,1,2,1,8,7,5,2,13,2,13,2,7,7,7,11,2,1,4,0,0,0,0,106
2024-03-01 05:10:00,2,8,1,1,1,1,0,0,5,6,1,6,9,9,3,16,1,18,2,10,9,10,10,1,2,6,0,0,0,0,138
2024-03-01 05:20:00,4,10,1,1,1,1,4,0,5,5,1,13,14,17,6,31,12,31,12,20,20,23,16,2,8,12,0,0,0,1,271
2024-03-01 05:30:00,4,8,4,1,1,1,10,5,3,6,1,16,15,17,4,26,15,27,14,25,16,27,17,1,11,18,1,2,0,0,296
2024-03-01 05:40:00,8,22,5,1,2,2,14,2,3,4,1,10,11,20,5,38,22,38,22,34,20,30,22,3,8,10,0,1,0,0,358
2024-03-01 05:50:00,6,14,8,2,2,2,7,1,9,9,0,11,11,23,5,43,17,43,17,31,24,33,24,3,5,15,0,1,0,0,366
2024-03-01 06:00:00,5,24,5,2,2,2,5,1,4,4,1,12,11,24,16,43,19,43,19,33,25,33,38,3,10,17,3,1,0,0,405
2024-03-01 06:10:00,9,30,9,4,4,4,12,8,8,9,1,23,24,24,9,40,25,42,26,34,20,32,20,8,9,23,0,3,0,0,460
2024-03-01 06:20:00,19,24,11,4,4,4,24,1,22,21,0,22,21,23,17,40,28,43,30,33,20,35,39,5,14,25,0,2,0,0,531
2024-03-01 06:30:00,24,30,12,8,8,7,17,2,10,11,1,34,34,32,24,49,36,51,35,44,25,44,37,4,13,21,2,1,0,0,616
2024-03-01 06:40:00,18,32,14,9,9,10,19,2,22,21,5,26,28,38,26,57,50,56,50,51,22,49,42,5,18,22,1,2,0,2,706
2024-03-01 06:50:00,21,33,18,7,7,7,22,3,21,24,0,36,33,44,37,53,50,55,49,58,19,57,39,4,15,23,2,3,0,0,740
2024-03-01 07:00:00,18,39,19,3,4,4,16,2,19,19,2,45,46,43,32,67,49,74,53,49,20,54,54,6,19,20,2,9,0,3,790
2024-03-01 07:10:00,25,43,19,7,6,6,26,2,24,26,5,60,75,35,46,73,79,70,77,58,23,54,69,5,20,34,0,6,0,1,974
2024-03-01 07:20:00,25,63,25,12,12,11,23,2,30,29,0,54,58,35,52,59,76,62,75,57,20,63,51,7,23,22,4,3,0,8,961
2024-03-01 07:30:00,29,46,25,12,15,14,21,4,31,31,1,59,58,56,46,86,93,89,94,65,17,66,68,10,50,33,0,6,0,1,1126
2024-03-01 07:40:00,27,47,41,26,26,21,45,2,38,40,3,45,60,51,67,68,80,66,78,67,17,60,63,17,48,30,0,8,0,6,1147
2024-03-01 07:50:00,37,105,28,27,25,18,32,0,52,54,5,63,78,51,70,65,77,69,74,55,19,58,52,12,38,24,2,0,0,7,1197
2024-03-01 08:00:00,21,35,37,22,20,16,25,4,34,35,3,75,73,67,40,56,58,56,57,64,19,61,42,9,25,18,2,8,0,3,985
2024-03-01 08:10:00,23,52,36,20,21,19,21,3,23,25,2,48,51,36,54,63,68,66,71,52,26,51,47,8,31,23,3,9,0,1,953
2024-03-01 08:20:00,20,41,23,15,16,15,22,1,20,20,0,45,44,47,58,68,52,68,51,60,23,58,51,11,27,27,0,0,0,14,897
2024-03-01 08:30:00,24,44,20,11,12,12,22,6,34,32,3,39,35,43,37,57,50,61,55,40,16,44,52,11,36,24,1,6,0,0,827
2024-03-01 08:40:00,27,32,25,17,15,14,18,1,36,35,3,38,41,44,49,71,66,71,60,48,27,45,39,5,40,15,0,0,0,6,888
2024-03-01 08:50:00,38,38,20,18,18,18,19,1,34,37,1,50,48,34,53,53,58,51,61,50,19,52,50,8,43,14,4,7,0,1,898
2024-03-01 09:00:00,27,33,19,14,12,12,13,2,40,37,4,42,39,43,38,47,37,50,37,58,19,56,49,8,25,15,0,0,0,0,776
2024-03-01 09:10:00,28,29,32,11,11,12,13,2,24,25,3,35,37,40,30,48,35,48,38,47,27,46,50,12,32,17,0,2,0,0,734
2024-03-01 09:20:00,21,40,26,15,14,13,20,3,36,47,4,36,33,40,38,56,46,56,46,46,22,48,55,7,37,29,0,1,0,0,835
2024-03-01 09:30:00,31,38,27,9,9,9,11,2,38,36,3,35,38,51,44,45,37,45,36,48,13,49,47,13,29,21,0,0,0,9,773
2024-03-01 09:40:00,32,45,19,15,16,16,16,0,32,35,3,46,45,37,54,49,44,50,43,42,21,43,34,8,39,21,0,0,0,6,811
2024-03-01 09:50:00,23,42,24,15,15,15,8,1,41,39,0,24,24,41,56,35,34,40,32,36,16,37,63,14,40,19,0,1,0,0,735
2024-03-01 10:00:00,29,40,27,12,11,11,11,3,34,38,1,30,32,39,37,47,28,49,26,45,17,41,42,8,31,15,1,1,0,1,707
2024-03-01 10:10:00,21,36,20,14,13,13,22,4,48,46,3,37,35,41,40,43,29,43,29,33,11,39,47,5,37,12,1,24,0,0,746
2024-03-01 10:20:00,16,40,26,8,8,6,8,0,37,37,3,31,34,47,35,42,24,45,23,50,20,47,29,12,47,16,0,6,0,0,697
2024-03-01 10:30:00,27,42,17,9,9,8,11,2,47,50,2,28,29,41,42,42,24,41,21,47,11,151,51,7,33,16,2,7,0,3,820
2024-03-01 10:40:00,33,37,31,10,10,10,9,0,49,54,5,46,44,47,43,37,24,40,25,52,20,92,58,13,50,20,5,1,4,2,871
2024-03-01 10:50:00,41,45,23,18,18,18,11,1,30,33,1,35,35,44,44,26,25,25,27,49,16,49,58,17,41,18,1,5,0,1,755
2024-03-01 11:00:00,27,39,20,14,13,11,15,0,37,36,3,44,41,46,37,43,17,46,18,48,14,54,69,11,33,13,1,9,0,1,760
2024-03-01 11:10:00,32,37,27,12,12,11,17,4,36,40,3,33,31,56,54,33,26,38,25,51,9,47,64,10,39,17,0,8,0,0,772
2024-03-01 11:20:00,35,45,25,10,10,10,14,1,42,39,3,26,29,55,50,34,25,33,25,42,16,45,49,11,51,12,3,2,0,0,742
2024-03-01 11:30:00,33,43,25,16,16,15,14,0,42,43,1,19,21,34,44,31,16,35,18,56,18,48,61,14,40,12,3,1,0,4,723
2024-03-01 11:40:00,28,46,28,22,22,19,17,3,45,49,3,31,32,49,44,24,25,24,23,48,10,46,55,11,49,16,5,4,0,3,781
2024-03-01 11:50:00,36,52,35,17,18,16,13,2,58,54,2,36,40,66,55,41,20,43,20,54,14,57,57,12,46,14,1,9,0,0,888
2024-03-01 12:00:00,31,55,31,8,7,9,9,0,46,46,1,55,58,48,42,39,19,38,19,42,19,39,54,10,34,22,0,0,0,0,781
2024-03-01 12:10:00,38,48,39,18,18,11,11,4,48,49,5,38,39,60,43,45,28,47,28,44,7,49,69,7,42,20,3,1,0,4,863
2024-03-01 12:20:00,29,66,46,26,29,22,11,1,49,50,1,43,45,65,58,36,26,43,22,50,28,46,54,13,48,15,0,3,0,17,942
2024-03-01 12:30:00,50,62,27,19,17,17,8,2,46,52,5,44,49,59,50,42,18,49,19,50,30,54,79,15,54,25,0,6,0,0,948
2024-03-01 12:40:00,33,61,46,22,24,20,23,0,50,48,5,49,53,62,46,52,40,54,37,64,35,61,66,15,41,18,7,0,0,2,1034
2024-03-01 12:50:00,62,59,40,22,20,18,18,1,45,46,3,41,49,45,46,35,22,36,23,57,35,51,64,23,57,23,0,3,0,0,944
2024-03-01 13:00:00,44,66,41,13,15,15,18,3,50,50,4,40,41,44,46,32,23,37,26,41,15,49,55,15,52,14,1,2,0,7,859
2024-03-01 13:10:00,59,72,55,18,16,15,15,2,49,47,4,44,43,50,34,36,25,36,22,56,23,48,73,13,42,13,3,2,0,0,915
2024-03-01 13:20:00,60,71,58,26,25,19,10,1,34,38,1,35,37,41,53,47,22,47,22,41,7,42,32,9,27,9,1,11,0,5,831
2024-03-01 13:30:00,54,56,33,12,12,12,14,4,54,52,6,55,93,64,53,49,29,51,30,63,22,64,46,10,49,19,0,6,0,1,1013
2024-03-01 13:40:00,43,68,50,17,17,18,18,2,39,35,3,35,39,49,65,42,36,46,37,55,17,53,107,9,52,20,3,12,0,8,995
2024-03-01 13:50:00,40,60,41,12,13,12,9,1,35,37,6,46,46,41,52,46,34,49,33,53,14,51,79,10,49,18,3,1,0,0,891
2024-03-01 14:00:00,46,65,50,23,22,18,11,2,49,49,4,55,52,51,42,50,42,53,44,51,14,53,68,11,38,21,5,2,0,6,997
2024-03-01 14:10:00,53,71,61,13,17,16,9,1,51,50,4,38,39,50,61,42,28,43,24,66,18,64,60,11,46,15,9,3,0,0,963
2024-03-01 14:20:00,40,76,64,17,15,14,11,3,49,51,2,35,35,55,63,42,29,47,28,61,17,60,77,7,40,22,1,5,0,1,967
2024-03-01 14:30:00,37,61,49,21,20,19,12,2,37,36,2,57,53,55,42,39,35,39,35,53,52,55,75,6,24,18,3,6,0,3,946
2024-03-01 14:40:00,49,75,50,30,31,27,16,5,39,39,2,46,49,52,52,50,28,57,30,67,24,68,46,9,35,17,0,0,0,0,993
2024-03-01 14:50:00,48,68,53,26,20,18,6,4,42,43,0,45,44,45,57,45,32,47,31,65,27,63,48,10,24,15,2,7,0,2,937
2024-03-01 15:00:00,49,63,46,15,16,16,15,4,39,36,2,49,50,69,39,43,23,48,26,59,31,61,82,21,57,27,2,6,1,12,1007
2024-03-01 15:10:00,61,68,56,23,23,22,14,3,41,42,2,37,35,78,57,45,27,45,24,49,24,48,72,11,45,16,1,19,0,0,988
2024-03-01 15:20:00,46,64,54,19,22,20,14,3,52,54,2,50,50,46,55,41,23,42,21,67,37,63,100,10,41,20,0,1,0,2,1019
2024-03-01 15:30:00,40,63,45,22,18,11,12,3,49,48,1,56,56,62,58,41,24,42,25,52,31,60,72,9,40,17,1,3,0,0,961
2024-03-01 15:40:00,40,55,31,11,11,11,11,0,54,54,3,38,186,52,56,45,43,50,45,59,33,51,81,11,50,15,0,13,0,0,1109
2024-03-01 15:50:00,53,73,53,21,21,17,21,1,42,43,0,45,44,52,58,52,34,53,34,44,12,47,82,10,49,18,2,1,0,10,992
2024-03-01 16:00:00,38,62,33,21,21,19,17,3,46,46,2,56,57,64,44,40,32,43,33,60,27,61,85,11,43,26,1,3,0,0,994
2024-03-01 16:10:00,53,75,43,14,15,14,18,4,44,43,3,46,46,49,55,60,54,60,55,51,24,51,73,12,40,19,1,13,0,1,1036
2024-03-01 16:20:00,53,80,55,18,17,17,19,2,49,52,2,34,36,48,46,52,44,52,45,52,24,51,62,12,33,19,3,2,0,0,979
2024-03-01 16:30:00,41,66,57,15,17,17,23,1,40,41,2,56,55,47,44,45,35,46,37,39,10,40,62,9,53,17,0,16,0,1,932
2024-03-01 16:40:00,54,63,47,11,14,14,13,1,51,55,2,40,38,58,57,48,39,47,39,56,23,48,77,16,59,19,2,8,0,3,1002
2024-03-01 16:50:00,50,66,50,18,19,14,21,5,42,42,1,51,95,50,48,50,34,50,34,57,11,60,53,9,30,27,5,0,0,3,995
2024-03-01 17:00:00,50,58,39,31,26,25,22,5,53,52,5,51,51,66,57,45,37,48,41,59,15,61,76,12,51,23,2,0,0,1,1062
2024-03-01 17:10:00,35,63,53,17,19,18,22,4,49,47,2,36,36,49,51,51,33,54,29,63,27,64,63,6,47,34,0,6,0,0,978
2024-03-01 17:20:00,38,59,47,22,22,21,12,1,45,48,5,40,40,61,45,55,40,57,40,73,26,69,84,12,46,20,6,4,0,13,1051
2024-03-01 17:30:00,40,66,42,23,22,21,12,0,41,38,3,44,41,62,47,42,34,42,39,64,41,64,60,13,48,18,1,0,0,2,970
2024-03-01 17:40:00,40,66,50,14,16,16,19,4,59,62,2,34,59,48,50,58,56,62,55,50,26,52,63,22,50,24,8,17,0,0,1082
2024-03-01 17:50:00,25,47,39,19,17,16,25,2,34,35,1,39,34,55,64,48,44,49,43,61,18,54,54,9,39,18,0,0,0,1,890
2024-03-01 18:00:00,47,67,47,18,18,18,20,5,38,39,2,44,42,46,56,57,47,58,46,47,18,49,50,18,39,19,0,0,0,0,955
2024-03-01 18:10:00,40,62,31,11,11,11,24,3,50,53,4,32,36,49,45,45,36,44,38,54,15,53,49,17,51,23,1,9,0,1,898
2024-03-01 18:20:00,37,58,36,16,19,16,15,1,40,41,0,38,35,46,56,56,43,60,41,53,22,52,71,11,55,22,1,8,0,2,951
2024-03-01 18:30:00,35,55,35,17,15,15,22,5,40,39,4,33,32,44,36,49,43,54,45,47,19,45,40,16,47,22,1,3,0,2,860
2024-03-01 18:40:00,35,49,42,8,9,9,25,8,40,38,2,31,35,45,41,53,46,49,46,57,14,63,23,5,28,13,3,3,0,3,823
2024-03-01 18:50:00,34,54,31,11,11,10,15,2,36,39,1,31,27,42,55,53,30,59,29,50,20,45,46,6,42,29,0,0,0,0,808
2024-03-01 19:00:00,29,53,33,14,13,13,9,4,30,27,1,34,34,34,35,42,31,47,29,39,21,46,40,9,41,18,2,2,0,2,732
2024-03-01 19:10:00,32,53,29,13,14,11,10,6,22,26,1,26,28,39,33,55,26,54,26,66,19,62,42,12,39,27,11,1,0,1,784
2024-03-01 19:20:00,26,42,27,16,16,16,9,0,29,25,1,24,21,31,40,45,36,49,36,42,21,35,54,7,29,19,0,2,0,1,699
2024-03-01 19:30:00,24,42,24,10,9,9,18,2,19,19,2,22,22,29,52,44,28,49,27,31,13,31,52,8,31,13,0,5,0,0,635
2024-03-01 19:40:00,33,35,23,10,10,10,22,3,16,15,3,28,27,25,33,34,18,31,18,28,19,27,30,9,30,16,2,4,0,2,561
2024-03-01 19:50:00,27,45,17,15,16,14,21,0,29,29,2,22,22,23,34,30,15,32,15,25,21,25,29,3,14,13,0,0,0,2,540
2024-03-01 20:00:00,14,34,10,5,4,4,18,5,17,19,1,18,18,20,18,131,18,32,19,25,23,26,30,4,20,11,0,0,0,4,548
2024-03-01 20:10:00,20,33,13,6,6,6,5,3,20,18,1,18,20,19,20,34,21,36,21,22,17,22,33,6,23,12,3,0,0,13,471
2024-03-01 20:20:00,27,33,18,12,12,12,19,1,12,12,0,17,17,20,23,20,10,21,10,22,18,23,24,3,18,8,8,3,0,0,423
2024-03-01 20:30:00,20,27,9,5,5,5,9,0,21,21,1,18,15,20,22,24,13,26,13,20,16,20,24,6,15,13,0,0,0,0,388
2024-03-01 20:40:00,14,40,17,3,3,3,6,2,18,17,3,22,22,21,22,22,7,25,9,19,20,18,27,4,11,8,1,1,0,5,390
2024-03-01 20:50:00,16,35,16,9,9,9,3,0,10,13,0,11,11,13,20,21,6,23,8,17,12,15,27,2,12,8,0,0,0,1,327
2024-03-01 21:00:00,15,36,12,8,8,8,16,1,19,17,0,21,20,16,23,28,12,31,12,15,11,15,28,3,18,13,6,0,0,0,412
2024-03-01 21:10:00,13,36,11,4,4,4,7,1,16,16,1,14,14,20,23,23,11,25,8,18,18,18,23,8,17,7,0,0,0,0,360
2024-03-01 21:20:00,20,25,6,7,7,7,6,1,13,13,1,11,10,16,24,25,15,28,15,25,17,25,32,7,12,11,0,0,0,0,379
2024-03-01 21:30:00,19,24,10,8,8,7,8,0,17,17,0,17,17,21,17,20,14,22,14,27,20,28,29,4,13,4,6,0,0,4,395
2024-03-01 21:40:00,23,43,17,4,4,4,7,6,8,8,2,18,18,21,18,24,26,33,9,22,19,26,15,4,17,11,0,0,0,3,410
2024-03-01 21:50:00,12,43,16,8,8,7,14,0,9,9,0,22,17,14,11,35,14,34,14,11,7,7,24,2,10,8,0,0,0,0,356
2024-03-01 22:00:00,14,35,9,6,6,6,7,1,10,10,1,16,16,22,11,28,16,32,14,21,16,18,14,3,9,8,3,0,0,0,352
2024-03-01 22:10:00,12,38,10,7,7,7,7,2,12,12,2,19,20,15,22,21,11,20,10,16,17,17,24,2,10,7,0,2,1,0,350
2024-03-01 22:20:00,20,26,15,7,7,7,5,1,6,7,0,26,25,11,18,32,12,35,10,15,9,14,25,1,11,7,0,1,0,2,355
2024-03-01 22:30:00,18,32,24,3,3,3,6,0,12,14,0,16,15,14,10,16,8,19,8,10,42,10,14,3,11,15,0,0,0,0,326
2024-03-01 22:40:00,15,36,8,3,3,3,8,3,6,6,1,8,8,42,11,23,7,25,6,14,13,13,14,0,6,8,0,0,0,1,291
2024-03-01 22:50:00,15,41,18,2,2,2,3,1,10,11,0,13,16,18,6,25,7,28,7,22,14,21,11,4,9,14,0,0,2,2,324
2024-03-01 23:00:00,11,27,8,4,6,6,7,0,9,9,0,15,15,11,6,19,3,20,4,18,14,18,13,3,9,9,0,0,0,0,264
2024-03-01 23:10:00,9,27,14,7,4,4,3,0,6,8,2,17,18,10,13,19,4,18,4,9,8,9,3,1,7,5,0,2,0,0,231
2024-03-01 23:20:00,14,38,11,8,8,8,1,1,4,5,0,10,12,10,5,19,4,20,4,11,7,12,6,1,8,6,0,0,0,0,233
2024-03-01 23:30:00,16,32,7,10,10,8,6,1,5,4,0,9,9,10,7,16,1,19,1,13,13,12,8,1,4,3,0,0,0,1,226
2024-03-01 23:40:00,6,27,5,3,3,3,4,3,12,13,1,4,4,7,3,19,3,20,3,3,4,5,7,0,7,4,0,0,0,0,173
2024-03-01 23:50:00,12,25,7,6,6,6,2,0,6,5,1,5,5,11,12,12,3,13,3,14,12,12,13,1,7,4,0,0,0,0,203
2024-03-02 00:00:00,10,18,4,0,0,0,2,0,3,3,1,5,5,11,2,19,3,21,3,6,6,6,13,1,4,6,0,0,0,0,152
2024-03-02 00:10:00,5,18,7,3,3,3,3,0,1,2,0,8,6,9,3,10,1,9,1,9,8,9,9,0,7,6,0,0,0,0,140
2024-03-02 00:20:00,8,16,3,1,1,1,0,0,2,1,0,5,5,3,3,13,4,15,4,5,5,5,8,0,6,3,0,0,0,1,118
2024-03-02 00:30:00,7,17,7,3,3,2,1,0,5,5,1,3,3,9,2,10,2,10,2,8,8,9,10,0,2,5,0,0,0,0,134
2024-03-02 00:40:00,7,11,2,2,2,2,2,3,2,2,1,3,3,7,2,7,1,9,1,7,6,6,4,2,3,1,0,0,0,0,98
2024-03-02 00:50:00,5,17,4,6,6,6,2,0,1,2,0,6,5,7,4,9,2,10,1,7,6,7,2,1,1,4,0,1,0,0,122
2024-03-02 01:00:00,7,19,3,3,3,3,1,2,5,6,1,6,6,3,4,9,1,10,1,2,2,2,13,1,0,3,0,0,0,0,116
2024-03-02 01:10:00,12,10,1,5,4,4,0,0,1,1,0,10,4,3,3,6,2,7,1,5,4,4,4,0,4,3,0,0,0,0,98
2024-03-02 01:20:00,5,11,2,2,2,2,4,0,5,5,0,5,5,7,2,5,0,5,2,6,5,3,6,0,4,2,0,0,0,0,95
2024-03-02 01:30:00,6,9,2,2,2,2,2,0,1,1,0,4,5,3,3,6,2,6,3,4,4,4,5,0,4,1,0,0,0,0,81
2024-03-02 01:40:00,4,8,1,0,0,0,0,2,3,3,1,2,2,6,1,1,0,1,1,3,3,3,2,0,2,1,0,0,0,0,50
2024-03-02 01:50:00,4,6,0,1,1,1,0,0,1,1,0,1,2,7,1,4,0,4,1,8,6,8,3,1,3,1,0,0,0,0,65
2024-03-02 02:00:00,3,7,1,2,2,2,1,0,1,3,2,3,3,3,3,8,0,9,0,3,3,2,1,0,2,0,0,0,0,0,64
2024-03-02 02:10:00,1,2,2,1,1,1,0,0,1,2,0,4,2,4,0,2,0,3,0,2,2,2,1,0,4,1,0,0,0,0,38
2024-03-02 02:20:00,2,9,2,0,0,0,0,0,3,3,0,0,0,5,1,2,2,3,1,4,4,4,3,0,0,0,0,0,0,0,48
2024-03-02 02:30:00,4,5,1,1,1,1,1,0,4,3,0,6,6,5,0,2,1,2,1,4,4,4,2,0,0,0,0,0,0,0,58
2024-03-02 02:40:00,4,9,0,0,0,0,0,3,1,1,1,0,0,6,3,5,1,5,1,5,5,5,2,1,2,0,0,0,0,0,60
2024-03-02 02:50:00,4,2,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,2,2,2,4,1,1,2,0,0,0,0,27
2024-03-02 03:00:00,2,3,1,1,1,1,0,1,1,1,0,2,2,3,3,4,1,4,1,3,3,3,3,0,0,0,0,1,0,0,45
2024-03-02 03:10:00,4,5,0,0,0,0,1,0,2,2,0,2,2,3,3,1,3,2,3,1,1,1,0,0,3,1,0,0,0,0,40
2024-03-02 03:20:00,3,6,1,1,1,1,1,0,3,3,0,1,2,3,1,2,0,2,0,2,2,2,4,0,0,0,0,0,0,0,41
2024-03-02 03:30:00,4,6,1,0,0,0,0,0,2,2,0,3,3,4,1,4,1,4,0,4,3,5,3,0,0,5,0,0,0,0,55
2024-03-02 03:40:00,4,7,1,0,0,0,0,0,0,0,0,0,0,3,1,4,0,4,0,4,4,4,2,1,5,0,0,0,0,0,44
2024-03-02 03:50:00,2,7,0,0,0,0,0,0,2,2,0,0,0,6,1,2,3,2,3,5,5,5,5,1,1,2,0,0,0,2,56
2024-03-02 04:00:00,2,3,2,0,0,0,0,0,3,3,0,4,4,2,1,5,0,6,0,2,2,2,1,0,1,2,0,0,0,0,45
2024-03-02 04:10:00,1,2,2,1,1,1,0,0,0,0,0,2,3,3,1,1,0,1,0,3,3,3,5,0,0,1,0,0,0,0,34
2024-03-02 04:20:00,1,4,0,1,1,1,2,0,3,3,0,3,5,3,1,7,0,8,0,3,3,3,6,0,0,0,0,0,0,0,58
2024-03-02 04:30:00,3,4,2,1,1,1,1,0,1,1,0,1,0,3,0,4,0,4,0,3,3,3,5,1,2,4,0,0,0,0,48
2024-03-02 04:40:00,0,7,0,1,1,1,1,2,1,2,1,3,4,1,1,5,0,6,0,0,0,0,2,1,3,1,0,0,0,0,44
2024-03-02 04:50:00,1,3,1,1,1,1,0,0,2,2,0,3,2,5,1,5,0,5,0,5,5,5,3,2,3,4,0,0,0,0,60
2024-03-02 05:00:00,1,3,2,1,1,1,1,0,3,3,0,3,3,8,1,6,2,7,2,6,6,6,3,1,4,2,0,0,0,0,76
2024-03-02 05:10:00,5,5,1,1,1,1,0,1,3,3,1,6,4,6,2,8,1,8,1,3,3,3,5,0,3,5,0,0,0,0,80
2024-03-02 05:20:00,3,5,0,1,1,1,3,0,5,5,0,6,6,6,1,6,2,7,3,11,10,10,6,2,3,6,0,0,0,0,109
2024-03-02 05:30:00,1,10,2,0,0,0,4,0,1,1,0,4,4,4,2,14,1,14,1,7,7,8,12,3,3,6,0,6,0,0,115
2024-03-02 05:40:00,3,9,0,2,2,2,5,1,2,2,1,4,3,12,0,13,6,14,6,21,19,20,11,1,3,2,0,0,0,0,164
2024-03-02 05:50:00,6,10,0,2,2,2,0,0,3,3,0,3,4,11,4,11,2,11,2,9,9,9,7,3,3,8,0,0,0,0,124
2024-03-02 06:00:00,3,11,2,1,1,1,1,1,3,6,1,2,4,7,3,14,1,17,3,6,7,7,2,3,4,3,0,0,0,0,114
2024-03-02 06:10:00,8,12,2,4,4,4,2,1,6,6,0,5,3,15,3,14,5,14,3,14,13,14,8,0,3,2,0,0,0,0,165
2024-03-02 06:20:00,4,15,1,1,1,1,0,0,2,2,0,2,2,8,3,13,1,13,1,7,7,7,4,0,1,2,0,0,0,0,98
2024-03-02 06:30:00,7,15,5,1,1,1,3,0,4,5,0,3,3,9,5,8,5,9,5,12,12,12,15,2,4,4,0,0,0,0,150
2024-03-02 06:40:00,4,13,2,0,0,0,2,0,4,4,1,9,9,11,9,15,5,15,4,10,10,11,12,2,5,6,0,0,3,0,166
2024-03-02 06:50:00,10,15,3,1,1,1,1,1,9,9,1,5,4,17,8,12,5,12,5,19,18,20,13,2,5,5,0,0,0,0,202
2024-03-02 07:00:00,3,10,1,3,3,3,5,2,8,8,2,9,9,15,2,6,1,6,2,16,15,15,6,1,4,5,0,0,0,0,160
2024-03-02 07:10:00,2,17,3,0,0,0,1,1,11,11,0,11,12,21,6,17,2,17,2,20,14,19,12,2,7,3,0,0,0,0,211
2024-03-02 07:20:00,5,9,0,1,1,1,1,1,10,10,0,16,16,20,8,20,5,21,5,19,16,18,21,6,11,5,0,0,0,0,246
2024-03-02 07:30:00,6,20,2,5,5,5,3,0,12,12,1,17,14,18,10,26,4,25,4,18,15,18,16,2,10,6,0,15,0,0,289
