datetime,D21Z,D22Z,D41Z,D51Z,D81Z,D82Z,D211Z,D212Z,Total
2024-03-01 01:00:00,4,8,1,2,2,2,0,0,0.0
2024-03-01 01:10:00,0,3,0,2,6,8,0,0,0.0
2024-03-01 01:20:00,3,5,1,4,5,5,0,0,0.0
2024-03-01 01:30:00,4,3,1,1,4,4,0,0,0.0
2024-03-01 01:40:00,2,4,2,2,10,10,0,0,0.0
2024-03-01 01:50:00,1,1,1,1,2,2,0,0,0.0
2024-03-01 02:00:00,4,5,0,1,1,1,0,0,0.0
2024-03-01 02:10:00,0,4,2,1,2,2,0,0,0.0
2024-03-01 02:20:00,3,4,2,2,2,2,0,0,0.0
2024-03-01 02:30:00,0,0,1,0,0,0,0,0,0.0
2024-03-01 02:40:00,0,0,0,0,2,2,0,0,0.0
2024-03-01 02:50:00,3,3,0,0,3,3,0,0,0.0
2024-03-01 03:00:00,1,1,0,1,2,2,0,0,0.0
2024-03-01 03:10:00,0,0,0,0,0,0,0,0,0.0
2024-03-01 03:20:00,1,1,0,2,2,2,0,0,0.0
2024-03-01 03:30:00,0,3,0,0,4,4,0,0,0.0
2024-03-01 03:40:00,3,4,1,0,3,3,0,0,0.0
2024-03-01 03:50:00,1,2,0,3,4,4,0,0,0.0
2024-03-01 04:00:00,3,5,0,2,5,5,0,0,0.0
2024-03-01 04:10:00,3,9,0,0,3,3,0,0,0.0
2024-03-01 04:20:00,3,6,1,1,5,5,0,0,0.0
2024-03-01 04:30:00,4,7,0,4,6,6,0,0,0.0
2024-03-01 04:40:00,2,2,1,0,7,7,0,0,0.0
2024-03-01 04:50:00,3,4,0,0,7,7,0,0,0.0
2024-03-01 05:00:00,5,12,1,6,10,11,0,0,0.0
2024-03-01 05:10:00,6,13,3,1,12,13,0,0,0.0
2024-03-01 05:20:00,5,9,4,3,6,6,0,0,0.0
2024-03-01 05:30:00,4,10,2,3,25,25,0,0,0.0
2024-03-01 05:40:00,11,18,4,1,27,27,0,0,0.0
2024-03-01 05:50:00,4,8,1,1,27,29,0,0,0.0
2024-03-01 06:00:00,10,11,1,2,21,21,0,0,0.0
2024-03-01 06:10:00,13,20,4,5,22,24,0,0,0.0
2024-03-01 06:20:00,14,17,2,7,35,33,0,0,0.0
2024-03-01 06:30:00,14,18,2,4,29,29,0,0,0.0
2024-03-01 06:40:00,14,19,7,7,42,42,0,0,0.0
2024-03-01 06:50:00,21,27,2,17,40,42,0,0,0.0
2024-03-01 07:00:00,18,13,3,10,37,45,0,0,0.0
2024-03-01 07:10:00,22,22,6,10,49,48,0,0,0.0
2024-03-01 07:20:00,27,27,9,14,49,49,0,0,0.0
2024-03-01 07:30:00,33,35,12,8,42,42,0,0,0.0
2024-03-01 07:40:00,38,28,8,9,76,77,0,0,0.0
2024-03-01 07:50:00,42,39,9,7,75,74,0,0,0.0
2024-03-01 08:00:00,42,33,8,6,57,58,0,0,0.0
2024-03-01 08:10:00,38,22,6,6,53,56,0,0,0.0
2024-03-01 08:20:00,39,35,11,3,59,57,0,0,0.0
2024-03-01 08:30:00,37,20,11,14,55,55,0,0,0.0
2024-03-01 08:40:00,37,33,11,10,60,60,0,0,0.0
2024-03-01 08:50:00,34,25,10,9,51,51,0,0,0.0
2024-03-01 09:00:00,41,25,11,3,35,43,0,0,0.0
2024-03-01 09:10:00,32,27,12,8,53,54,0,0,0.0
2024-03-01 09:20:00,27,27,7,8,45,43,0,0,0.0
2024-03-01 09:30:00,30,21,10,25,52,52,0,0,0.0
2024-03-01 09:40:00,29,28,7,4,53,54,0,0,0.0
2024-03-01 09:50:00,27,25,10,4,61,62,0,0,0.0
2024-03-01 10:00:00,34,29,12,8,45,45,0,0,0.0
2024-03-01 10:10:00,36,25,5,7,59,61,0,0,0.0
2024-03-01 10:20:00,18,23,8,5,62,61,0,0,0.0
2024-03-01 10:30:00,41,30,7,6,49,49,0,0,0.0
2024-03-01 10:40:00,36,31,12,9,42,42,0,0,0.0
2024-03-01 10:50:00,49,42,16,7,56,55,0,0,0.0
2024-03-01 11:00:00,38,37,4,7,60,61,0,0,0.0
2024-03-01 11:10:00,46,25,17,9,60,61,0,0,0.0
2024-03-01 11:20:00,43,29,23,14,64,73,0,0,0.0
2024-03-01 11:30:00,24,25,10,8,58,57,0,0,0.0
2024-03-01 11:40:00,41,32,14,7,62,65,0,0,0.0
2024-03-01 11:50:00,43,39,22,10,69,67,0,0,0.0
2024-03-01 12:00:00,55,33,24,4,73,75,0,0,0.0
2024-03-01 12:10:00,77,44,18,14,77,80,0,0,0.0
2024-03-01 12:20:00,53,34,8,16,74,69,0,0,0.0
2024-03-01 12:30:00,50,28,12,17,58,59,0,0,0.0
2024-03-01 12:40:00,76,39,14,7,83,84,0,0,0.0
2024-03-01 12:50:00,71,45,13,10,68,71,0,0,0.0
2024-03-01 13:00:00,63,35,24,27,65,61,0,0,0.0
2024-03-01 13:10:00,52,32,18,13,80,79,0,0,0.0
2024-03-01 13:20:00,45,30,15,14,59,62,0,0,0.0
2024-03-01 13:30:00,53,32,14,13,66,66,0,0,0.0
2024-03-01 13:40:00,50,29,16,14,61,63,0,0,0.0
2024-03-01 13:50:00,71,43,10,8,64,60,0,0,0.0
2024-03-01 14:00:00,53,37,21,14,52,54,0,0,0.0
2024-03-01 14:10:00,62,29,8,12,60,60,0,0,0.0
2024-03-01 14:20:00,60,37,14,7,79,81,0,0,0.0
2024-03-01 14:30:00,49,31,14,12,56,54,0,0,0.0
2024-03-01 14:40:00,45,32,14,5,67,67,0,0,0.0
2024-03-01 14:50:00,43,29,26,16,54,58,0,0,0.0
2024-03-01 15:00:00,48,36,14,10,74,71,0,0,0.0
2024-03-01 15:10:00,54,37,25,14,54,53,0,0,0.0
2024-03-01 15:20:00,58,36,11,8,73,71,0,0,0.0
2024-03-01 15:30:00,58,28,9,7,59,62,0,0,0.0
2024-03-01 15:40:00,53,37,16,9,60,61,0,0,0.0
2024-03-01 15:50:00,57,31,8,18,64,65,0,0,0.0
2024-03-01 16:00:00,37,32,21,9,47,48,0,0,0.0
2024-03-01 16:10:00,54,33,8,11,66,65,0,0,0.0
2024-03-01 16:20:00,49,39,14,6,63,62,0,0,0.0
2024-03-01 16:30:00,54,32,18,8,57,56,0,0,0.0
2024-03-01 16:40:00,38,27,22,13,65,65,0,0,0.0
2024-03-01 16:50:00,56,39,13,14,60,60,0,0,0.0
2024-03-01 17:00:00,56,30,10,5,53,54,0,0,0.0
2024-03-01 17:10:00,56,31,19,18,63,64,0,0,0.0
2024-03-01 17:20:00,47,34,14,11,62,62,0,0,0.0
2024-03-01 17:30:00,55,32,13,11,53,53,0,0,0.0
2024-03-01 17:40:00,53,40,11,9,55,57,0,0,0.0
2024-03-01 17:50:00,59,43,5,13,55,54,0,0,0.0
2024-03-01 18:00:00,43,34,10,16,51,51,0,0,0.0
2024-03-01 18:10:00,42,29,15,6,52,54,0,0,0.0
2024-03-01 18:20:00,60,36,9,8,59,59,0,0,0.0
2024-03-01 18:30:00,32,27,11,9,67,69,0,0,0.0
2024-03-01 18:40:00,45,27,16,6,58,59,0,0,0.0
2024-03-01 18:50:00,49,29,7,8,70,68,0,0,0.0
2024-03-01 19:00:00,54,29,14,15,57,60,0,0,0.0
2024-03-01 19:10:00,38,29,13,10,59,59,0,0,0.0
