datetime,D21Z,V22Z,D31Z,V32Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,D83Z,V84Z,V85Z,V86Z,Total
2024-03-01 13:00:00,83,28,13,12,5,15,6,15,14,52,28,15,24,30,340
2024-03-01 13:10:00,81,35,15,8,9,21,12,30,6,27,21,5,24,18,312
2024-03-01 13:20:00,83,23,13,7,8,20,8,20,20,59,29,14,17,23,344
2024-03-01 13:30:00,79,34,11,14,9,27,6,19,14,60,27,12,16,30,358
2024-03-01 13:40:00,64,35,15,7,11,15,11,16,7,62,26,7,15,34,325
2024-03-01 13:50:00,72,36,10,8,6,17,6,12,8,48,30,8,20,29,310
2024-03-01 14:00:00,76,38,10,7,8,17,5,15,4,47,25,5,18,34,309
2024-03-01 14:10:00,90,42,13,10,13,16,14,13,9,48,26,8,17,18,337
2024-03-01 14:20:00,76,30,10,9,11,22,11,18,45,44,20,9,18,22,345
2024-03-01 14:30:00,92,34,13,10,10,21,9,14,12,47,34,9,13,14,332
2024-03-01 14:40:00,87,37,9,8,5,21,5,16,10,50,29,13,20,30,340
2024-03-01 14:50:00,69,31,10,9,14,21,10,15,11,48,28,10,21,22,319
2024-03-01 15:00:00,84,37,7,7,5,14,7,18,9,60,37,13,20,24,342
2024-03-01 15:10:00,65,26,14,16,11,19,11,14,12,44,20,10,11,29,302
2024-03-01 15:20:00,79,46,19,15,10,18,10,14,5,47,19,6,12,37,337
2024-03-01 15:30:00,80,32,12,13,5,14,5,40,10,45,18,12,16,20,322
2024-03-01 15:40:00,88,30,6,5,8,15,9,16,6,43,25,6,19,28,304
2024-03-01 15:50:00,69,27,12,11,5,25,6,16,11,54,30,11,20,24,321
2024-03-01 16:00:00,80,31,13,9,13,16,14,16,11,55,26,12,16,29,341
2024-03-01 16:10:00,68,29,16,14,9,25,9,20,12,50,18,15,11,31,327
2024-03-01 16:20:00,82,34,14,14,11,25,8,14,8,63,23,8,20,36,360
2024-03-01 16:30:00,92,28,11,12,10,25,10,17,9,53,20,10,16,31,344
2024-03-01 16:40:00,78,43,18,11,6,13,7,13,13,43,24,11,21,25,326
2024-03-01 16:50:00,65,28,9,9,6,15,5,17,6,50,27,7,15,31,290
2024-03-01 17:00:00,82,36,10,10,7,17,11,20,12,50,24,15,12,22,328
2024-03-01 17:10:00,76,34,17,11,8,11,12,11,5,52,25,9,14,28,313
2024-03-01 17:20:00,74,28,12,7,9,20,6,14,10,57,28,15,22,26,328
2024-03-01 17:30:00,81,42,16,9,10,19,10,19,3,44,18,7,15,22,315
2024-03-01 17:40:00,85,34,8,10,10,14,11,12,12,41,26,14,10,14,301
2024-03-01 17:50:00,74,37,12,9,12,22,9,26,9,34,12,11,13,18,298
2024-03-01 18:00:00,85,48,10,13,9,13,12,13,7,72,30,8,17,36,373
2024-03-01 18:10:00,79,31,8,11,7,22,8,17,7,41,21,7,19,24,302
2024-03-01 18:20:00,60,24,14,27,8,15,13,17,8,67,21,7,20,27,328
2024-03-01 18:30:00,65,26,12,23,8,13,17,23,9,51,31,9,35,32,354
