datetime,V32Z,V2Z,V8Z,Total
2024-03-02 02:10:00,1,2,4,7
2024-03-02 02:20:00,0,3,3,6
2024-03-02 02:30:00,0,0,5,5
2024-03-02 02:40:00,0,0,5,5
2024-03-02 02:50:00,0,2,0,2
2024-03-02 03:00:00,0,0,3,3
2024-03-02 03:10:00,0,0,2,2
2024-03-02 03:20:00,0,3,1,4
2024-03-02 03:30:00,0,0,4,4
2024-03-02 03:40:00,0,0,4,4
2024-03-02 03:50:00,0,4,0,4
2024-03-02 04:00:00,0,1,7,8
2024-03-02 04:10:00,0,1,0,1
2024-03-02 04:20:00,0,1,0,1
2024-03-02 04:30:00,0,0,3,3
2024-03-02 04:40:00,0,2,2,4
2024-03-02 04:50:00,0,0,1,1
2024-03-02 05:00:00,0,3,5,8
2024-03-02 05:10:00,0,4,3,7
2024-03-02 05:20:00,0,1,0,1
2024-03-02 05:30:00,1,2,3,6
2024-03-02 05:40:00,1,2,4,7
2024-03-02 05:50:00,0,3,2,5
2024-03-02 06:00:00,0,1,6,7
2024-03-02 06:10:00,0,3,3,6
2024-03-02 06:20:00,0,0,1,1
2024-03-02 06:30:00,0,3,7,10
2024-03-02 06:40:00,0,2,2,4
2024-03-02 06:50:00,0,1,1,2
2024-03-02 07:00:00,1,1,5,7
2024-03-02 07:10:00,0,4,2,6
2024-03-02 07:20:00,0,5,5,10
2024-03-02 07:30:00,0,8,9,17
2024-03-02 07:40:00,1,6,7,14
2024-03-02 07:50:00,3,10,6,19
2024-03-02 08:00:00,3,8,12,23
2024-03-02 08:10:00,2,11,6,19
2024-03-02 08:20:00,0,14,9,23
2024-03-02 08:30:00,2,10,11,23
2024-03-02 08:40:00,3,8,12,23
2024-03-02 08:50:00,2,13,19,34
2024-03-02 09:00:00,1,25,16,42
2024-03-02 09:10:00,4,18,14,36
2024-03-02 09:20:00,5,14,17,36
2024-03-02 09:30:00,7,24,22,53
2024-03-02 09:40:00,4,21,22,47
2024-03-02 09:50:00,3,24,27,54
2024-03-02 10:00:00,2,24,22,48
2024-03-02 10:10:00,5,23,24,52
2024-03-02 10:20:00,5,30,30,65
2024-03-02 10:30:00,1,23,29,53
2024-03-02 10:40:00,5,18,32,55
2024-03-02 10:50:00,2,26,34,62
2024-03-02 11:00:00,3,24,18,45
2024-03-02 11:10:00,4,23,30,57
2024-03-02 11:20:00,2,23,25,50
2024-03-02 11:30:00,5,25,30,60
2024-03-02 11:40:00,4,22,23,49
2024-03-02 11:50:00,9,28,22,59
2024-03-02 12:00:00,7,22,27,56
2024-03-02 12:10:00,5,19,27,51
2024-03-02 12:20:00,1,19,31,51
2024-03-02 12:30:00,5,25,30,60
2024-03-02 12:40:00,4,20,29,53
2024-03-02 12:50:00,2,17,17,36
2024-03-02 13:00:00,4,23,21,48
2024-03-02 13:10:00,7,16,31,54
2024-03-02 13:20:00,7,29,36,72
2024-03-02 13:30:00,5,30,38,73
2024-03-02 13:40:00,12,26,33,71
2024-03-02 13:50:00,7,22,43,72
2024-03-02 14:00:00,7,25,63,95
2024-03-02 14:10:00,10,27,51,88
2024-03-02 14:20:00,11,15,24,50
2024-03-02 14:30:00,4,25,38,67
2024-03-02 14:40:00,6,27,49,82
2024-03-02 14:50:00,14,25,33,72
2024-03-02 15:00:00,8,21,26,55
2024-03-02 15:10:00,4,20,28,52
2024-03-02 15:20:00,7,15,30,52
2024-03-02 15:30:00,6,22,34,62
2024-03-02 15:40:00,6,20,27,53
2024-03-02 15:50:00,7,20,15,42
2024-03-02 16:00:00,8,13,31,52
2024-03-02 16:10:00,4,20,25,49
2024-03-02 16:20:00,9,18,15,42
2024-03-02 16:30:00,9,21,19,49
2024-03-02 16:40:00,10,20,16,46
2024-03-02 16:50:00,8,19,19,46
2024-03-02 17:00:00,8,20,21,49
2024-03-02 17:10:00,9,24,17,50
2024-03-02 17:20:00,4,31,16,51
2024-03-02 17:30:00,7,39,25,71
2024-03-02 17:40:00,11,45,24,80
2024-03-02 17:50:00,9,39,27,75
2024-03-02 18:00:00,10,46,34,90
2024-03-02 18:10:00,10,40,38,88
2024-03-02 18:20:00,7,27,30,64
2024-03-02 18:30:00,6,19,20,45
2024-03-02 18:40:00,9,25,21,55
2024-03-02 18:50:00,5,21,27,53
2024-03-02 19:00:00,8,19,30,57
2024-03-02 19:10:00,1,14,21,36
2024-03-02 19:20:00,2,14,23,39
2024-03-02 19:30:00,1,13,24,38
2024-03-02 19:40:00,2,11,26,39
2024-03-02 19:50:00,5,9,22,36
2024-03-02 20:00:00,3,15,16,34
2024-03-02 20:10:00,2,8,13,23
2024-03-02 20:20:00,4,16,23,43
2024-03-02 20:30:00,7,6,19,32
2024-03-02 20:40:00,2,9,21,32
2024-03-02 20:50:00,0,2,22,24
2024-03-02 21:00:00,1,11,9,21
2024-03-02 21:10:00,2,5,20,27
2024-03-02 21:20:00,1,8,16,25
2024-03-02 21:30:00,0,5,14,19
2024-03-02 21:40:00,2,7,6,15
2024-03-02 21:50:00,1,7,12,20
2024-03-02 22:00:00,2,8,11,21
2024-03-02 22:10:00,0,9,16,25
2024-03-02 22:20:00,2,6,11,19
2024-03-02 22:30:00,0,4,23,27
2024-03-02 22:40:00,3,7,18,28
2024-03-02 22:50:00,0,6,9,15
2024-03-02 23:00:00,1,5,8,14
2024-03-02 23:10:00,0,5,14,19
2024-03-02 23:20:00,1,7,10,18
2024-03-02 23:30:00,0,4,8,12
2024-03-02 23:40:00,0,4,7,11
2024-03-02 23:50:00,0,6,7,13
2024-03-03 00:00:00,2,3,8,13
2024-03-03 00:10:00,0,0,8,8
2024-03-03 00:20:00,0,6,5,11
2024-03-03 00:30:00,0,2,10,12
2024-03-03 00:40:00,1,3,7,11
2024-03-03 00:50:00,2,5,4,11
2024-03-03 01:00:00,4,3,16,23
2024-03-03 01:10:00,0,6,4,10
2024-03-03 01:20:00,0,3,10,13
2024-03-03 01:30:00,0,1,11,12
2024-03-03 01:40:00,0,2,7,9
2024-03-03 01:50:00,0,2,2,4
2024-03-03 02:00:00,1,0,4,5
2024-03-03 02:10:00,0,2,3,5
2024-03-03 02:20:00,0,4,3,7
2024-03-03 02:30:00,0,3,4,7
2024-03-03 02:40:00,0,0,7,7
2024-03-03 02:50:00,0,2,5,7
2024-03-03 03:00:00,0,1,4,5
2024-03-03 03:10:00,0,1,1,2
2024-03-03 03:20:00,0,2,2,4
2024-03-03 03:30:00,0,1,5,6
2024-03-03 03:40:00,0,0,7,7
2024-03-03 03:50:00,0,5,1,6
2024-03-03 04:00:00,0,3,7,10
2024-03-03 04:10:00,0,0,0,0
2024-03-03 04:20:00,0,2,1,3
2024-03-03 04:30:00,0,0,3,3
2024-03-03 04:40:00,0,1,0,1
2024-03-03 04:50:00,0,2,0,2
2024-03-03 05:00:00,0,0,3,3
2024-03-03 05:10:00,0,0,1,1
2024-03-03 05:20:00,0,1,0,1
2024-03-03 05:30:00,1,0,3,4
2024-03-03 05:40:00,0,1,0,1
2024-03-03 05:50:00,0,1,0,1
2024-03-03 06:00:00,0,0,9,9
2024-03-03 06:10:00,0,0,0,0
2024-03-03 06:20:00,0,1,1,2
2024-03-03 06:30:00,0,2,3,5
2024-03-03 06:40:00,0,1,2,3
2024-03-03 06:50:00,0,3,2,5
2024-03-03 07:00:00,0,1,8,9
2024-03-03 07:10:00,0,0,0,0
2024-03-03 07:20:00,1,3,0,4
2024-03-03 07:30:00,1,1,5,7
2024-03-03 07:40:00,2,0,3,5
2024-03-03 07:50:00,2,9,2,13
2024-03-03 08:00:00,1,2,7,10
2024-03-03 08:10:00,2,4,8,14
2024-03-03 08:20:00,1,6,2,9
2024-03-03 08:30:00,1,4,13,18
2024-03-03 08:40:00,1,4,4,9
2024-03-03 08:50:00,1,3,6,10
2024-03-03 09:00:00,3,6,10,19
2024-03-03 09:10:00,5,4,17,26
2024-03-03 09:20:00,6,9,12,27
2024-03-03 09:30:00,3,10,10,23
2024-03-03 09:40:00,4,11,18,33
