datetime,D21Z,D22Z,V23Z,V24Z,D31Z,V32Z,D33Z,D51Z,D52Z,V53Z,D61Z,D62Z,V63Z,V64Z,D81Z,D82Z,V83Z,V84Z,D91Z,V92Z,D111Z,D112Z,V113Z,V114Z,D121Z,V122Z,Total
2024-03-01 08:30:00,10,52,14,25,22,12,9,15,15,10,12,1,11,10,0,71,25,40,12,7,6,23,6,4,2,0,414
2024-03-01 08:40:00,12,43,4,15,11,9,12,14,10,9,8,0,17,10,0,85,31,38,18,6,3,29,4,9,8,0,405
2024-03-01 08:50:00,8,42,10,14,13,7,13,17,16,15,13,0,15,7,0,88,26,35,57,14,3,28,4,10,7,0,462
2024-03-01 09:00:00,7,42,9,17,16,11,17,12,11,10,17,0,12,2,0,66,34,34,15,9,5,26,7,9,7,0,395
2024-03-01 09:10:00,2,44,6,15,13,9,10,13,14,9,17,0,16,5,0,79,24,34,44,7,5,28,5,6,5,0,410
2024-03-01 09:20:00,10,47,11,21,15,12,13,19,16,11,16,1,12,6,0,88,29,32,21,13,1,39,1,3,6,0,443
2024-03-01 09:30:00,2,51,10,19,25,24,33,12,12,11,9,0,16,7,0,98,40,34,23,8,5,26,5,4,4,0,478
2024-03-01 09:40:00,3,73,11,6,17,10,16,22,10,12,25,0,13,3,0,80,30,21,20,7,6,33,5,10,6,0,439
2024-03-01 09:50:00,5,50,2,24,14,9,14,19,19,15,22,0,15,6,0,89,32,22,26,10,6,25,8,8,7,0,447
2024-03-01 10:00:00,9,57,7,22,12,11,9,19,18,16,20,0,19,5,0,82,33,27,13,9,2,28,2,6,5,0,431
2024-03-01 10:10:00,4,71,8,3,46,6,17,11,9,10,21,0,19,10,0,95,40,21,23,5,7,27,7,8,9,0,477
2024-03-01 10:20:00,4,68,14,13,17,5,18,12,9,9,24,0,8,10,0,86,32,21,31,7,8,23,8,7,7,0,441
2024-03-01 10:30:00,6,57,6,16,18,8,7,22,11,10,19,0,13,5,0,93,42,36,44,12,3,18,3,6,7,0,462
2024-03-01 10:40:00,4,64,9,14,12,9,15,14,12,16,15,0,19,1,0,100,29,27,20,11,4,20,4,5,14,0,438
2024-03-01 10:50:00,1,47,8,12,12,8,13,16,17,13,12,0,4,2,0,71,29,23,16,8,4,19,6,6,6,0,353
