datetime,D1Z,D2Z,D3Z,Total
2024-03-01 01:00:00,0,0,3,3
2024-03-01 01:10:00,2,0,8,10
2024-03-01 01:20:00,1,0,3,4
2024-03-01 01:30:00,3,0,2,5
2024-03-01 01:40:00,1,0,5,6
2024-03-01 01:50:00,1,0,7,8
2024-03-01 02:00:00,2,0,1,3
2024-03-01 02:10:00,0,0,2,2
2024-03-01 02:20:00,0,0,1,1
2024-03-01 02:30:00,1,0,5,6
2024-03-01 02:40:00,0,1,1,2
2024-03-01 02:50:00,2,0,5,7
2024-03-01 03:00:00,1,0,2,3
2024-03-01 03:10:00,1,0,3,4
2024-03-01 03:20:00,0,0,3,3
2024-03-01 03:30:00,2,0,1,3
2024-03-01 03:40:00,1,0,2,3
2024-03-01 03:50:00,1,0,2,3
2024-03-01 04:00:00,0,0,4,4
2024-03-01 04:10:00,0,0,4,4
2024-03-01 04:20:00,0,0,2,2
2024-03-01 04:30:00,1,0,1,2
2024-03-01 04:40:00,0,0,8,8
2024-03-01 04:50:00,2,0,1,3
2024-03-01 05:00:00,1,0,3,4
2024-03-01 05:10:00,2,0,4,6
2024-03-01 05:20:00,1,0,15,16
2024-03-01 05:30:00,0,0,9,9
2024-03-01 05:40:00,4,0,14,18
2024-03-01 05:50:00,3,0,21,24
2024-03-01 06:00:00,7,1,27,35
2024-03-01 06:10:00,5,0,17,22
2024-03-01 06:20:00,12,4,37,53
2024-03-01 06:30:00,7,2,40,49
2024-03-01 06:40:00,9,2,34,45
2024-03-01 06:50:00,17,1,58,76
2024-03-01 07:00:00,18,0,52,70
2024-03-01 07:10:00,24,0,41,65
2024-03-01 07:20:00,16,1,58,75
2024-03-01 07:30:00,22,3,62,87
2024-03-01 07:40:00,31,0,93,124
2024-03-01 07:50:00,35,2,78,115
2024-03-01 08:00:00,28,0,63,91
2024-03-01 08:10:00,28,1,62,91
2024-03-01 08:20:00,24,1,76,101
2024-03-01 08:30:00,22,6,50,78
2024-03-01 08:40:00,19,3,70,92
2024-03-01 08:50:00,23,4,62,89
2024-03-01 09:00:00,28,1,76,105
2024-03-01 09:10:00,2,22,79,103
2024-03-01 09:20:00,4,26,85,115
2024-03-01 09:30:00,20,3,92,115
2024-03-01 09:40:00,31,1,90,122
2024-03-01 09:50:00,34,0,74,108
2024-03-01 10:00:00,36,3,75,114
2024-03-01 10:10:00,24,1,87,112
2024-03-01 10:20:00,36,1,84,121
