datetime,D1Z,D2Z,D12Z,Total
2024-03-01 01:00:00,6,7,0,13
2024-03-01 01:10:00,7,6,0,13
2024-03-01 01:20:00,5,8,0,13
2024-03-01 01:30:00,4,8,0,12
2024-03-01 01:40:00,3,6,0,9
2024-03-01 01:50:00,8,7,0,15
2024-03-01 02:00:00,2,9,0,11
2024-03-01 02:10:00,5,7,0,12
2024-03-01 02:20:00,4,7,0,11
2024-03-01 02:30:00,3,3,0,6
2024-03-01 02:40:00,7,1,0,8
2024-03-01 02:50:00,4,6,0,10
2024-03-01 03:00:00,6,4,0,10
2024-03-01 03:10:00,2,4,0,6
2024-03-01 03:20:00,9,7,0,16
2024-03-01 03:30:00,4,8,0,12
2024-03-01 03:40:00,6,3,0,9
2024-03-01 03:50:00,9,1,0,10
2024-03-01 04:00:00,11,2,0,13
2024-03-01 04:10:00,12,6,1,19
2024-03-01 04:20:00,16,5,0,21
2024-03-01 04:30:00,16,4,0,20
2024-03-01 04:40:00,29,6,1,36
2024-03-01 04:50:00,47,7,1,55
2024-03-01 05:00:00,66,5,1,72
2024-03-01 05:10:00,79,16,0,95
2024-03-01 05:20:00,98,18,0,116
2024-03-01 05:30:00,142,25,2,169
2024-03-01 05:40:00,176,27,2,205
2024-03-01 05:50:00,167,22,1,190
2024-03-01 06:00:00,141,21,2,164
2024-03-01 06:10:00,155,31,1,187
2024-03-01 06:20:00,178,56,1,235
2024-03-01 06:30:00,167,65,4,236
2024-03-01 06:40:00,177,63,5,245
2024-03-01 06:50:00,157,69,3,229
2024-03-01 07:00:00,160,59,4,223
2024-03-01 07:10:00,167,70,7,244
2024-03-01 07:20:00,143,108,3,254
2024-03-01 07:30:00,163,71,4,238
2024-03-01 07:40:00,151,80,8,239
2024-03-01 07:50:00,153,78,2,233
2024-03-01 08:00:00,139,77,8,224
2024-03-01 08:10:00,129,62,3,194
2024-03-01 08:20:00,146,91,1,238
2024-03-01 08:30:00,146,75,4,225
2024-03-01 08:40:00,151,69,3,223
2024-03-01 08:50:00,112,64,6,182
2024-03-01 09:00:00,126,65,4,195
2024-03-01 09:10:00,137,60,6,203
2024-03-01 09:20:00,128,85,2,215
2024-03-01 09:30:00,142,83,3,228
2024-03-01 09:40:00,138,81,3,222
2024-03-01 09:50:00,128,86,0,214
2024-03-01 10:00:00,108,82,3,193
2024-03-01 10:10:00,117,78,0,195
2024-03-01 10:20:00,115,82,1,198
2024-03-01 10:30:00,116,76,2,194
2024-03-01 10:40:00,135,91,3,229
2024-03-01 10:50:00,100,99,4,203
2024-03-01 11:00:00,111,104,1,216
2024-03-01 11:10:00,104,89,3,196
2024-03-01 11:20:00,112,109,4,225
2024-03-01 11:30:00,128,112,0,240
2024-03-01 11:40:00,106,116,3,225
2024-03-01 11:50:00,99,126,3,228
2024-03-01 12:00:00,114,135,4,253
2024-03-01 12:10:00,103,131,2,236
2024-03-01 12:20:00,112,110,2,224
2024-03-01 12:30:00,113,166,3,282
2024-03-01 12:40:00,122,114,2,238
2024-03-01 12:50:00,116,151,8,275
2024-03-01 13:00:00,141,125,2,268
2024-03-01 13:10:00,136,164,6,306
2024-03-01 13:20:00,112,146,0,258
2024-03-01 13:30:00,134,173,2,309
2024-03-01 13:40:00,129,133,4,266
2024-03-01 13:50:00,108,136,2,246
2024-03-01 14:00:00,93,170,3,266
2024-03-01 14:10:00,116,164,3,283
2024-03-01 14:20:00,113,156,2,271
2024-03-01 14:30:00,123,189,2,314
2024-03-01 14:40:00,127,142,2,271
2024-03-01 14:50:00,119,157,6,282
2024-03-01 15:00:00,119,166,4,289
2024-03-01 15:10:00,108,163,5,276
2024-03-01 15:20:00,115,151,1,267
2024-03-01 15:30:00,122,170,4,296
2024-03-01 15:40:00,128,169,5,302
2024-03-01 15:50:00,116,150,5,271
2024-03-01 16:00:00,119,147,4,270
2024-03-01 16:10:00,114,147,4,265
2024-03-01 16:20:00,110,125,0,235
2024-03-01 16:30:00,128,151,4,283
2024-03-01 16:40:00,120,127,3,250
2024-03-01 16:50:00,116,135,5,256
2024-03-01 17:00:00,104,167,4,275
2024-03-01 17:10:00,124,137,4,265
2024-03-01 17:20:00,115,131,2,248
2024-03-01 17:30:00,140,140,0,280
2024-03-01 17:40:00,139,145,4,288
2024-03-01 17:50:00,129,119,6,254
2024-03-01 18:00:00,137,140,0,277
2024-03-01 18:10:00,149,131,5,285
2024-03-01 18:20:00,119,142,2,263
2024-03-01 18:30:00,121,103,2,226
2024-03-01 18:40:00,120,110,5,235
2024-03-01 18:50:00,126,128,5,259
2024-03-01 19:00:00,116,105,2,223
2024-03-01 19:10:00,101,101,1,203
2024-03-01 19:20:00,106,109,3,218
2024-03-01 19:30:00,79,93,0,172
2024-03-01 19:40:00,78,76,2,156
2024-03-01 19:50:00,65,91,4,160
2024-03-01 20:00:00,71,91,5,167
2024-03-01 20:10:00,72,95,0,167
2024-03-01 20:20:00,64,98,1,163
2024-03-01 20:30:00,58,71,1,130
2024-03-01 20:40:00,46,74,2,122
2024-03-01 20:50:00,46,77,4,127
2024-03-01 21:00:00,59,77,2,138
2024-03-01 21:10:00,39,66,1,106
2024-03-01 21:20:00,54,63,3,120
2024-03-01 21:30:00,52,72,1,125
2024-03-01 21:40:00,28,64,2,94
2024-03-01 21:50:00,38,67,2,107
2024-03-01 22:00:00,58,65,2,125
2024-03-01 22:10:00,42,77,1,120
2024-03-01 22:20:00,45,61,0,106
2024-03-01 22:30:00,31,50,0,81
2024-03-01 22:40:00,43,57,0,100
2024-03-01 22:50:00,37,65,1,103
2024-03-01 23:00:00,34,49,1,84
2024-03-01 23:10:00,17,57,0,74
2024-03-01 23:20:00,23,55,1,79
2024-03-01 23:30:00,19,47,1,67
2024-03-01 23:40:00,26,31,2,59
2024-03-01 23:50:00,27,46,2,75
2024-03-02 00:00:00,20,27,1,48
2024-03-02 00:10:00,13,31,0,44
2024-03-02 00:20:00,19,37,0,56
2024-03-02 00:30:00,19,33,0,52
2024-03-02 00:40:00,13,20,1,34
2024-03-02 00:50:00,12,24,1,37
2024-03-02 01:00:00,14,30,1,45
2024-03-02 01:10:00,12,12,0,24
2024-03-02 01:20:00,13,15,0,28
2024-03-02 01:30:00,10,11,0,21
2024-03-02 01:40:00,6,7,0,13
2024-03-02 01:50:00,7,9,1,17
2024-03-02 02:00:00,5,14,0,19
2024-03-02 02:10:00,4,12,1,17
2024-03-02 02:20:00,5,18,0,23
2024-03-02 02:30:00,11,15,0,26
2024-03-02 02:40:00,5,11,0,16
2024-03-02 02:50:00,7,8,0,15
2024-03-02 03:00:00,9,9,0,18
2024-03-02 03:10:00,3,13,1,17
2024-03-02 03:20:00,6,7,0,13
2024-03-02 03:30:00,7,10,0,17
2024-03-02 03:40:00,8,13,0,21
2024-03-02 03:50:00,11,8,0,19
2024-03-02 04:00:00,13,9,0,22
2024-03-02 04:10:00,6,11,1,18
2024-03-02 04:20:00,12,13,0,25
2024-03-02 04:30:00,16,7,0,23
2024-03-02 04:40:00,21,3,0,24
2024-03-02 04:50:00,20,6,0,26
2024-03-02 05:00:00,21,3,1,25
2024-03-02 05:10:00,26,9,0,35
2024-03-02 05:20:00,27,18,0,45
2024-03-02 05:30:00,45,7,0,52
2024-03-02 05:40:00,44,17,0,61
2024-03-02 05:50:00,25,9,0,34
2024-03-02 06:00:00,24,16,1,41
2024-03-02 06:10:00,34,16,0,50
2024-03-02 06:20:00,38,10,2,50
2024-03-02 06:30:00,38,24,0,62
2024-03-02 06:40:00,42,22,0,64
2024-03-02 06:50:00,37,22,1,60
2024-03-02 07:00:00,32,23,1,56
2024-03-02 07:10:00,38,21,0,59
2024-03-02 07:20:00,48,24,3,75
2024-03-02 07:30:00,58,27,0,85
2024-03-02 07:40:00,55,27,3,85
2024-03-02 07:50:00,59,31,1,91
2024-03-02 08:00:00,54,25,2,81
2024-03-02 08:10:00,73,29,0,102
2024-03-02 08:20:00,61,30,1,92
2024-03-02 08:30:00,75,47,1,123
2024-03-02 08:40:00,86,49,1,136
2024-03-02 08:50:00,74,38,1,113
2024-03-02 09:00:00,101,31,1,133
2024-03-02 09:10:00,104,50,0,154
2024-03-02 09:20:00,116,70,1,187
2024-03-02 09:30:00,114,63,2,179
2024-03-02 09:40:00,135,65,2,202
2024-03-02 09:50:00,130,70,1,201
2024-03-02 10:00:00,119,67,4,190
2024-03-02 10:10:00,131,67,1,199
2024-03-02 10:20:00,114,71,2,187
2024-03-02 10:30:00,133,71,1,205
2024-03-02 10:40:00,130,66,2,198
2024-03-02 10:50:00,113,77,0,190
2024-03-02 11:00:00,114,78,2,194
2024-03-02 11:10:00,121,77,1,199
2024-03-02 11:20:00,162,84,1,247
2024-03-02 11:30:00,151,77,0,228
2024-03-02 11:40:00,148,91,3,242
2024-03-02 11:50:00,125,112,4,241
2024-03-02 12:00:00,125,81,2,208
2024-03-02 12:10:00,139,102,2,243
2024-03-02 12:20:00,131,111,2,244
2024-03-02 12:30:00,122,111,3,236
2024-03-02 12:40:00,142,120,4,266
2024-03-02 12:50:00,179,112,2,293
2024-03-02 13:00:00,145,120,5,270
2024-03-02 13:10:00,137,104,5,246
2024-03-02 13:20:00,147,104,1,252
2024-03-02 13:30:00,139,136,2,277
