datetime,D51Z,D52Z,D53Z,D54Z,D71Z,D72Z,D91Z,D92Z,D93Z,D94Z,Total
2024-03-01 01:00:00,3,2,3,2,3,3,2,7,2,7,34
2024-03-01 01:10:00,0,3,0,3,2,2,3,1,3,1,18
2024-03-01 01:20:00,2,3,2,4,5,5,9,2,7,2,41
2024-03-01 01:30:00,1,2,1,2,2,1,3,2,2,2,18
2024-03-01 01:40:00,2,1,2,1,3,4,3,2,2,1,21
2024-03-01 01:50:00,2,2,1,2,1,1,2,6,3,6,26
2024-03-01 02:00:00,2,0,2,0,3,2,4,2,4,2,21
2024-03-01 02:10:00,2,0,2,1,1,1,2,1,2,1,13
2024-03-01 02:20:00,0,1,0,1,2,2,2,1,1,1,11
2024-03-01 02:30:00,0,2,0,2,2,3,7,1,6,0,23
2024-03-01 02:40:00,3,1,3,3,2,2,8,2,8,2,34
2024-03-01 02:50:00,6,0,7,2,2,0,2,4,1,3,27
2024-03-01 03:00:00,0,4,0,4,1,1,3,1,1,1,16
2024-03-01 03:10:00,0,3,1,2,1,0,2,1,2,1,13
2024-03-01 03:20:00,0,4,1,4,0,0,7,2,7,1,26
2024-03-01 03:30:00,2,1,2,1,2,1,5,5,5,4,28
2024-03-01 03:40:00,0,2,0,2,0,0,1,3,1,3,12
2024-03-01 03:50:00,0,0,0,0,0,0,3,3,3,1,10
2024-03-01 04:00:00,0,1,0,1,2,2,6,4,6,3,25
2024-03-01 04:10:00,0,1,0,1,1,1,6,2,4,2,18
2024-03-01 04:20:00,6,2,4,2,3,3,9,4,8,5,46
2024-03-01 04:30:00,4,1,4,2,0,1,14,8,15,6,55
2024-03-01 04:40:00,5,4,4,4,1,1,12,5,9,5,50
2024-03-01 04:50:00,0,5,1,5,2,2,16,8,14,8,61
2024-03-01 05:00:00,4,1,4,1,2,1,14,7,14,7,55
2024-03-01 05:10:00,6,2,9,2,4,4,22,12,22,11,94
2024-03-01 05:20:00,2,2,1,2,10,10,27,10,28,11,103
2024-03-01 05:30:00,5,5,7,6,8,7,45,31,43,29,186
2024-03-01 05:40:00,6,6,7,6,8,7,55,32,54,33,214
2024-03-01 05:50:00,13,12,11,13,14,14,44,41,42,43,247
2024-03-01 06:00:00,14,11,15,12,14,14,58,38,59,39,274
2024-03-01 06:10:00,11,12,14,16,12,14,52,31,49,32,243
2024-03-01 06:20:00,13,14,12,15,14,12,76,59,77,59,351
2024-03-01 06:30:00,14,16,18,18,27,27,70,59,63,59,371
2024-03-01 06:40:00,16,18,17,18,27,28,76,52,73,54,379
2024-03-01 06:50:00,24,32,24,32,27,25,70,46,70,48,398
2024-03-01 07:00:00,24,27,26,30,33,34,73,54,69,56,426
2024-03-01 07:10:00,27,30,27,29,25,28,84,75,84,75,484
2024-03-01 07:20:00,31,23,31,25,27,25,80,59,72,59,432
2024-03-01 07:30:00,42,52,48,54,43,42,75,81,75,86,598
2024-03-01 07:40:00,33,35,34,34,58,59,88,92,89,91,613
2024-03-01 07:50:00,41,44,44,42,43,39,68,70,65,68,524
2024-03-01 08:00:00,31,35,24,33,40,40,64,64,66,66,463
2024-03-01 08:10:00,29,34,31,34,34,34,75,76,69,69,485
2024-03-01 08:20:00,30,26,24,26,45,41,73,64,71,66,466
2024-03-01 08:30:00,40,33,46,39,44,42,65,69,67,73,518
2024-03-01 08:40:00,35,37,34,38,30,29,74,57,64,56,454
2024-03-01 08:50:00,36,42,34,40,39,39,74,59,73,61,497
2024-03-01 09:00:00,29,26,34,28,33,34,69,62,63,59,437
2024-03-01 09:10:00,31,29,31,31,33,33,72,63,69,62,454
2024-03-01 09:20:00,33,33,32,36,36,35,81,60,79,62,487
2024-03-01 09:30:00,40,37,34,36,38,33,68,73,71,78,508
2024-03-01 09:40:00,30,41,34,44,32,32,81,66,78,69,507
