datetime,D11Z,D12Z,D21Z,D22Z,D52Z,D81Z,D111Z,D112Z,D113Z,D114Z,Total
2024-03-01 15:50:00,33,36,21,58,72,7,33,40,35,36,371
2024-03-01 16:00:00,53,52,16,64,75,2,50,33,48,34,427
2024-03-01 16:10:00,44,47,19,59,57,9,29,35,27,39,365
2024-03-01 16:20:00,51,49,20,58,49,5,23,32,26,32,345
2024-03-01 16:30:00,39,41,24,56,81,10,35,36,39,38,399
2024-03-01 16:40:00,59,65,27,70,62,9,45,30,48,32,447
2024-03-01 16:50:00,40,41,26,58,68,5,42,21,40,22,363
2024-03-01 17:00:00,47,50,21,58,65,4,39,30,42,31,387
2024-03-01 17:10:00,27,30,30,58,62,6,50,35,51,33,382
2024-03-01 17:20:00,38,39,22,66,56,9,50,32,49,32,393
2024-03-01 17:30:00,44,48,25,75,57,12,44,32,44,32,413
2024-03-01 17:40:00,51,57,23,67,55,9,39,32,18,31,382
2024-03-01 17:50:00,39,42,31,59,58,4,41,29,38,30,371
2024-03-01 18:00:00,40,45,27,56,44,6,35,21,34,27,335
2024-03-01 18:10:00,35,40,23,58,54,6,37,35,39,37,364
2024-03-01 18:20:00,17,17,21,40,46,6,36,29,36,26,274
2024-03-01 18:30:00,35,38,15,52,51,4,28,21,26,23,293
2024-03-01 18:40:00,40,42,26,58,51,10,28,16,29,19,319
2024-03-01 18:50:00,22,24,18,37,55,3,33,33,37,33,295
2024-03-01 19:00:00,25,26,18,39,44,6,34,17,29,20,258
2024-03-01 19:10:00,26,34,17,42,47,8,29,22,22,22,269
2024-03-01 19:20:00,31,31,16,41,33,6,40,28,40,27,293
2024-03-01 19:30:00,17,19,15,35,46,8,27,17,26,21,231
2024-03-01 19:40:00,28,28,13,39,33,4,21,15,8,16,205
2024-03-01 19:50:00,15,16,13,28,38,7,26,17,24,21,205
2024-03-01 20:00:00,20,21,20,34,41,3,18,16,19,17,209
2024-03-01 20:10:00,14,15,10,24,22,7,16,13,14,17,152
2024-03-01 20:20:00,15,15,9,21,43,2,22,17,19,18,181
2024-03-01 20:30:00,8,12,15,26,35,4,25,15,13,16,169
2024-03-01 20:40:00,12,15,23,30,26,3,11,11,11,10,152
2024-03-01 20:50:00,21,20,10,31,27,3,21,15,20,14,182
2024-03-01 21:00:00,11,14,9,18,21,7,19,19,5,16,139
2024-03-01 21:10:00,11,12,9,23,24,5,16,21,17,18,156
2024-03-01 21:20:00,11,12,8,20,27,4,12,9,11,10,124
2024-03-01 21:30:00,11,15,11,22,30,3,17,15,20,15,159
2024-03-01 21:40:00,11,10,8,14,22,1,7,10,7,8,98
2024-03-01 21:50:00,8,9,11,19,35,2,13,16,14,14,141
2024-03-01 22:00:00,6,6,8,13,24,4,11,12,9,12,105
2024-03-01 22:10:00,5,8,14,18,21,3,8,12,8,14,111
2024-03-01 22:20:00,3,3,10,12,27,4,17,15,17,16,124
2024-03-01 22:30:00,13,14,12,19,19,2,14,11,14,12,130
2024-03-01 22:40:00,13,13,10,18,18,2,11,12,11,12,120
2024-03-01 22:50:00,7,9,10,19,25,3,8,5,8,7,101
2024-03-01 23:00:00,6,9,7,10,20,4,6,9,6,8,85
2024-03-01 23:10:00,7,12,14,22,17,3,3,9,3,8,98
2024-03-01 23:20:00,7,7,9,18,28,0,16,12,16,9,122
2024-03-01 23:30:00,9,13,10,17,36,0,10,9,11,9,124
2024-03-01 23:40:00,2,2,6,8,27,1,7,12,7,9,81
2024-03-01 23:50:00,3,3,4,8,20,4,7,7,7,6,69
2024-03-02 00:00:00,4,6,10,12,21,1,8,7,6,12,87
2024-03-02 00:10:00,7,7,4,10,11,1,11,7,11,7,76
2024-03-02 00:20:00,2,2,1,4,13,0,6,7,6,3,44
2024-03-02 00:30:00,5,4,6,10,18,1,6,10,7,7,74
2024-03-02 00:40:00,3,3,4,4,3,1,5,2,4,2,31
2024-03-02 00:50:00,1,1,1,1,12,0,8,8,8,6,46
2024-03-02 01:00:00,0,0,6,7,6,2,4,6,4,5,40
2024-03-02 01:10:00,3,3,5,8,7,2,2,5,1,4,40
2024-03-02 01:20:00,2,2,3,5,6,0,1,2,1,2,24
2024-03-02 01:30:00,3,5,4,7,11,0,2,6,3,5,46
2024-03-02 01:40:00,2,3,2,5,5,0,5,8,6,8,44
2024-03-02 01:50:00,1,1,1,2,4,0,3,4,3,4,23
2024-03-02 02:00:00,3,3,4,4,2,0,1,1,0,2,20
2024-03-02 02:10:00,2,1,2,4,5,2,1,2,2,2,23
2024-03-02 02:20:00,1,1,5,8,7,0,3,7,2,6,40
2024-03-02 02:30:00,1,3,3,4,10,0,2,3,2,3,31
2024-03-02 02:40:00,1,1,1,1,2,0,1,2,1,2,12
2024-03-02 02:50:00,4,4,3,6,7,0,3,3,2,3,35
2024-03-02 03:00:00,1,1,2,3,4,0,2,3,2,3,21
2024-03-02 03:10:00,4,3,4,6,3,0,1,1,1,2,25
2024-03-02 03:20:00,0,0,1,2,5,0,7,5,6,3,29
2024-03-02 03:30:00,0,0,2,2,3,0,1,2,1,1,12
2024-03-02 03:40:00,1,1,2,2,4,0,1,1,1,1,14
2024-03-02 03:50:00,1,1,3,3,2,0,2,1,2,0,15
2024-03-02 04:00:00,3,3,2,5,2,0,1,1,1,2,20
2024-03-02 04:10:00,2,2,2,3,1,0,2,2,2,2,18
2024-03-02 04:20:00,0,0,3,4,5,0,5,5,5,3,30
2024-03-02 04:30:00,2,2,4,6,6,0,5,2,5,2,34
2024-03-02 04:40:00,1,1,3,4,6,3,3,3,3,4,31
2024-03-02 04:50:00,7,7,3,7,6,0,3,2,3,2,40
2024-03-02 05:00:00,0,1,3,3,4,0,3,3,3,2,22
