datetime,D11Z,D12Z,D13Z,D14Z,V15Z,V16Z,V17Z,D21Z,D22Z,D23Z,D24Z,V26Z,V27Z,V28Z,V29Z,D31Z,D32Z,D33Z,D34Z,V36Z,V37Z,V38Z,V39Z,V40Z,V41Z,V42Z,D43Z,V45Z,V46Z,V47Z,V48Z,Total
2024-03-01 07:30:00,11,27,24,14,12,16,8,9,48,51,14,12,16,18,10,4,25,26,25,5,17,15,13,0,13,5,18,8,11,8,16,499
2024-03-01 07:40:00,17,23,31,8,12,14,26,15,48,41,17,19,19,17,9,10,42,43,36,11,18,12,9,0,25,13,22,13,19,26,14,629
2024-03-01 07:50:00,10,28,22,8,11,9,3,5,45,38,17,8,15,20,13,8,39,37,34,7,14,15,11,0,19,18,18,6,14,15,19,526
2024-03-01 08:00:00,5,26,25,4,12,13,4,13,48,24,18,12,30,19,10,16,25,26,14,11,18,17,10,0,15,12,24,8,12,11,17,499
2024-03-01 08:10:00,3,27,13,7,14,13,6,12,39,35,13,14,18,19,14,12,31,28,23,12,16,16,13,0,17,19,20,7,10,9,14,494
2024-03-01 08:20:00,8,35,14,8,13,14,7,7,41,31,22,6,17,18,14,9,33,37,26,7,18,21,12,0,17,10,15,5,16,11,12,504
2024-03-01 08:30:00,6,30,17,5,13,10,7,15,43,47,11,12,22,21,9,18,30,33,24,15,16,26,14,0,17,7,9,7,16,8,24,532
2024-03-01 08:40:00,1,35,19,8,23,10,7,19,45,33,11,14,27,25,7,8,35,23,56,12,26,24,13,0,16,15,13,5,9,11,8,558
2024-03-01 08:50:00,13,33,26,11,8,15,9,10,39,28,25,12,19,24,14,17,33,35,29,11,20,21,13,0,15,9,14,10,12,12,7,544
2024-03-01 09:00:00,7,25,12,3,21,12,3,13,42,30,16,16,25,24,10,5,25,17,15,7,15,24,8,0,18,9,13,8,17,15,8,463
2024-03-01 09:10:00,8,29,22,10,17,11,8,11,42,36,17,13,24,23,15,6,31,30,17,5,15,18,11,0,16,9,10,8,14,8,11,495
2024-03-01 09:20:00,7,31,21,7,10,12,5,9,43,36,22,13,16,23,9,4,26,20,25,9,19,14,18,0,19,13,16,4,17,18,18,504
2024-03-01 09:30:00,4,36,19,5,16,13,5,10,43,36,18,16,23,16,11,6,35,26,22,7,13,14,11,0,14,11,16,7,11,11,12,487
2024-03-01 09:40:00,0,28,18,11,17,16,12,5,54,27,23,6,19,17,14,5,29,26,24,5,17,17,30,0,23,16,10,6,18,15,7,515
2024-03-01 09:50:00,11,31,28,5,18,19,6,10,36,32,20,10,14,14,12,13,35,24,25,8,20,17,22,0,10,14,13,10,12,21,11,521
2024-03-01 10:00:00,7,26,23,13,10,13,9,10,42,33,18,13,10,23,18,11,21,18,18,9,15,13,13,0,23,15,9,7,17,15,9,481
2024-03-01 10:10:00,2,34,21,9,17,54,7,10,36,27,10,11,18,20,9,14,27,15,15,9,14,15,13,0,19,10,11,10,11,10,12,490
2024-03-01 10:20:00,5,27,20,9,17,17,9,5,41,28,20,12,19,22,19,13,26,23,20,10,18,24,14,0,27,16,11,7,15,26,20,540
2024-03-01 10:30:00,3,34,16,7,17,13,5,9,37,22,16,21,19,33,15,12,26,13,24,11,15,8,15,0,11,9,13,6,10,6,11,457
2024-03-01 10:40:00,1,28,18,8,12,14,8,13,42,31,22,17,14,19,19,11,25,19,24,10,14,17,18,0,17,10,13,8,15,16,11,494
2024-03-01 10:50:00,6,40,32,9,8,16,6,10,37,29,21,14,17,21,14,8,26,17,23,12,17,11,15,0,28,13,15,11,23,12,11,522
2024-03-01 11:00:00,6,34,15,8,14,15,8,10,29,17,22,13,16,17,17,11,25,20,26,7,9,17,18,0,22,17,15,4,20,17,9,478
2024-03-01 11:10:00,0,25,19,6,17,14,6,11,40,23,19,8,19,22,11,18,36,23,23,19,22,22,10,0,22,15,11,4,22,16,13,516
