datetime,D11Z,D12Z,D21Z,D31Z,D41Z,D42Z,D43Z,Total
2024-03-01 01:00:00,1,2,1,0,0,2,0,6
2024-03-01 01:10:00,1,2,0,0,0,3,0,6
2024-03-01 01:20:00,2,1,1,0,2,1,0,7
2024-03-01 01:30:00,1,3,0,0,1,1,0,6
2024-03-01 01:40:00,1,2,0,0,1,3,0,7
2024-03-01 01:50:00,2,3,0,0,0,2,0,7
2024-03-01 02:00:00,0,0,0,0,2,6,0,8
2024-03-01 02:10:00,1,1,1,0,0,1,0,4
2024-03-01 02:20:00,1,1,0,0,0,3,0,5
2024-03-01 02:30:00,1,1,0,0,0,2,0,4
2024-03-01 02:40:00,0,1,0,0,0,1,0,2
2024-03-01 02:50:00,0,1,1,0,0,3,0,5
2024-03-01 03:00:00,0,0,0,0,0,2,0,2
2024-03-01 03:10:00,0,1,0,0,1,1,0,3
2024-03-01 03:20:00,0,0,0,0,1,1,0,2
2024-03-01 03:30:00,1,1,0,0,0,1,0,3
2024-03-01 03:40:00,0,0,1,0,1,3,0,5
2024-03-01 03:50:00,0,0,0,0,1,0,0,1
2024-03-01 04:00:00,0,0,0,0,0,2,0,2
2024-03-01 04:10:00,0,0,0,0,0,9,0,9
2024-03-01 04:20:00,0,0,0,0,0,2,0,2
2024-03-01 04:30:00,0,0,1,0,2,2,0,5
2024-03-01 04:40:00,0,1,1,0,0,1,0,3
2024-03-01 04:50:00,2,3,0,0,0,0,0,5
2024-03-01 05:00:00,0,0,0,0,1,1,0,2
2024-03-01 05:10:00,3,3,0,0,4,11,0,21
2024-03-01 05:20:00,0,3,0,0,1,5,1,10
2024-03-01 05:30:00,1,3,0,0,4,11,0,19
2024-03-01 05:40:00,0,3,0,0,4,13,1,21
2024-03-01 05:50:00,3,6,0,0,6,17,0,32
2024-03-01 06:00:00,1,7,0,0,7,26,2,43
2024-03-01 06:10:00,5,7,1,0,3,19,0,35
2024-03-01 06:20:00,5,5,1,0,5,32,0,48
2024-03-01 06:30:00,5,7,3,0,7,31,1,54
2024-03-01 06:40:00,5,6,1,0,5,31,2,50
2024-03-01 06:50:00,4,7,0,0,10,37,0,58
2024-03-01 07:00:00,3,10,1,0,14,45,1,74
2024-03-01 07:10:00,7,14,6,0,16,49,2,94
2024-03-01 07:20:00,2,9,3,0,16,75,1,106
2024-03-01 07:30:00,6,21,4,0,25,70,2,128
2024-03-01 07:40:00,9,22,2,0,25,62,1,121
2024-03-01 07:50:00,12,25,1,0,26,68,3,135
2024-03-01 08:00:00,11,19,1,0,26,66,1,124
2024-03-01 08:10:00,8,17,4,0,25,61,2,117
2024-03-01 08:20:00,9,23,1,0,17,48,0,98
2024-03-01 08:30:00,9,21,0,0,19,62,1,112
2024-03-01 08:40:00,12,23,5,0,26,62,1,129
2024-03-01 08:50:00,10,24,3,0,18,48,1,104
2024-03-01 09:00:00,14,30,6,0,24,56,1,131
2024-03-01 09:10:00,13,24,6,0,26,72,3,144
2024-03-01 09:20:00,15,28,2,0,20,57,1,123
2024-03-01 09:30:00,15,34,2,0,32,72,1,156
2024-03-01 09:40:00,17,29,3,0,20,54,1,124
2024-03-01 09:50:00,13,33,6,0,31,82,1,166
2024-03-01 10:00:00,10,19,3,0,29,69,1,131
2024-03-01 10:10:00,14,41,5,0,33,84,1,178
2024-03-01 10:20:00,7,29,6,0,27,70,0,139
2024-03-01 10:30:00,6,9,4,0,11,31,1,62
2024-03-01 10:40:00,16,26,9,1,46,84,0,182
2024-03-01 10:50:00,23,39,8,0,33,74,1,178
2024-03-01 11:00:00,14,34,6,0,26,67,1,148
2024-03-01 11:10:00,10,19,15,0,25,72,2,143
2024-03-01 11:20:00,15,24,19,0,22,65,0,145
2024-03-01 11:30:00,17,30,8,0,22,65,1,143
2024-03-01 11:40:00,16,26,20,0,20,80,0,162
2024-03-01 11:50:00,23,36,7,0,25,62,1,154
2024-03-01 12:00:00,13,35,15,0,24,62,1,150
2024-03-01 12:10:00,26,39,16,0,18,51,1,151
2024-03-01 12:20:00,16,41,14,0,21,60,0,152
2024-03-01 12:30:00,6,22,11,0,16,55,1,111
2024-03-01 12:40:00,12,21,19,0,22,62,0,136
2024-03-01 12:50:00,18,39,13,0,25,68,1,164
2024-03-01 13:00:00,17,35,13,0,25,84,0,174
2024-03-01 13:10:00,25,32,13,0,25,101,2,198
2024-03-01 13:20:00,22,37,14,0,26,87,0,186
2024-03-01 13:30:00,15,33,10,0,17,81,1,157
2024-03-01 13:40:00,12,21,15,0,15,66,0,129
2024-03-01 13:50:00,14,35,7,0,23,74,1,154
2024-03-01 14:00:00,18,33,9,0,17,76,1,154
2024-03-01 14:10:00,11,27,8,0,18,79,1,144
2024-03-01 14:20:00,14,30,9,0,18,81,0,152
2024-03-01 14:30:00,9,21,13,0,25,85,1,154
2024-03-01 14:40:00,16,19,7,0,23,86,0,151
2024-03-01 14:50:00,12,22,9,0,18,84,2,147
2024-03-01 15:00:00,14,29,10,0,22,76,0,151
2024-03-01 15:10:00,14,31,7,0,24,90,2,168
2024-03-01 15:20:00,9,30,7,0,25,87,0,158
2024-03-01 15:30:00,8,26,8,0,26,89,1,158
2024-03-01 15:40:00,15,21,11,0,26,86,0,159
2024-03-01 15:50:00,19,25,9,0,24,84,1,162
2024-03-01 16:00:00,18,31,7,0,29,86,1,172
2024-03-01 16:10:00,9,21,10,0,19,69,1,129
2024-03-01 16:20:00,11,20,12,0,23,91,0,157
2024-03-01 16:30:00,12,23,15,0,27,76,1,154
2024-03-01 16:40:00,13,28,16,0,23,84,1,165
2024-03-01 16:50:00,9,29,8,0,18,92,1,157
2024-03-01 17:00:00,15,29,13,0,29,95,1,182
2024-03-01 17:10:00,14,19,12,0,25,86,1,157
2024-03-01 17:20:00,25,31,5,0,13,66,0,140
2024-03-01 17:30:00,11,30,10,0,26,79,1,157
2024-03-01 17:40:00,18,29,14,0,29,93,1,184
2024-03-01 17:50:00,18,25,15,0,22,71,1,152
2024-03-01 18:00:00,14,32,6,0,20,72,0,144
2024-03-01 18:10:00,9,25,11,0,21,75,2,143
2024-03-01 18:20:00,17,30,8,0,29,72,0,156
2024-03-01 18:30:00,9,15,10,0,19,62,1,116
2024-03-01 18:40:00,8,17,10,0,19,70,0,124
2024-03-01 18:50:00,16,21,11,0,24,56,1,129
2024-03-01 19:00:00,10,22,6,0,17,60,1,116
2024-03-01 19:10:00,9,18,10,0,30,84,2,153
2024-03-01 19:20:00,15,22,6,0,27,67,1,138
2024-03-01 19:30:00,6,12,6,0,24,66,0,114
2024-03-01 19:40:00,14,23,7,0,17,62,1,124
2024-03-01 19:50:00,11,38,8,0,25,70,0,152
2024-03-01 20:00:00,6,22,8,0,18,52,0,106
2024-03-01 20:10:00,10,18,7,0,18,51,1,105
2024-03-01 20:20:00,6,23,7,0,25,59,0,120
2024-03-01 20:30:00,5,15,4,0,19,42,0,85
2024-03-01 20:40:00,10,13,4,0,15,50,0,92
2024-03-01 20:50:00,3,11,2,0,11,40,0,67
2024-03-01 21:00:00,3,10,4,0,9,38,0,64
2024-03-01 21:10:00,7,14,1,0,11,30,2,65
