datetime,D21Z,D22Z,D31Z,D32Z,D41Z,D42Z,D55Z,Total
2024-03-01 01:00:00,3,1,0,0,1,1,0,6
2024-03-01 01:10:00,4,3,0,0,6,1,0,14
2024-03-01 01:20:00,3,0,1,0,7,4,0,15
2024-03-01 01:30:00,1,0,0,0,3,2,0,6
2024-03-01 01:40:00,2,1,0,0,1,0,0,4
2024-03-01 01:50:00,3,2,1,0,2,0,0,8
2024-03-01 02:00:00,1,0,0,0,4,1,0,6
2024-03-01 02:10:00,3,1,0,0,0,0,0,4
2024-03-01 02:20:00,0,0,0,0,5,1,0,6
2024-03-01 02:30:00,2,1,0,0,5,4,0,12
2024-03-01 02:40:00,3,0,0,0,3,1,0,7
2024-03-01 02:50:00,1,1,0,0,3,0,0,5
2024-03-01 03:00:00,0,0,0,0,1,1,0,2
2024-03-01 03:10:00,0,0,0,0,0,0,0,0
2024-03-01 03:20:00,1,2,0,0,2,0,0,5
2024-03-01 03:30:00,3,2,1,0,4,1,0,11
2024-03-01 03:40:00,3,2,0,0,2,5,0,12
2024-03-01 03:50:00,1,2,0,0,5,4,0,12
2024-03-01 04:00:00,1,0,0,0,4,1,0,6
2024-03-01 04:10:00,3,2,0,0,3,0,0,8
2024-03-01 04:20:00,5,5,0,0,5,5,0,20
2024-03-01 04:30:00,4,3,0,0,6,1,0,14
2024-03-01 04:40:00,3,3,0,0,9,3,0,18
2024-03-01 04:50:00,5,2,0,0,5,1,0,13
2024-03-01 05:00:00,12,6,0,0,8,5,0,31
2024-03-01 05:10:00,17,6,0,0,8,6,0,37
2024-03-01 05:20:00,23,5,0,0,15,6,0,49
2024-03-01 05:30:00,33,9,0,0,15,5,0,62
2024-03-01 05:40:00,32,6,0,0,28,6,0,72
2024-03-01 05:50:00,46,4,1,1,35,6,0,93
2024-03-01 06:00:00,41,6,1,0,23,5,0,76
2024-03-01 06:10:00,48,3,0,0,45,4,0,100
2024-03-01 06:20:00,54,4,0,0,29,2,0,89
2024-03-01 06:30:00,69,6,0,3,39,4,0,121
2024-03-01 06:40:00,74,7,1,4,46,3,0,135
2024-03-01 06:50:00,78,9,0,3,54,7,0,151
2024-03-01 07:00:00,71,3,0,3,53,6,0,136
2024-03-01 07:10:00,90,12,3,5,59,8,0,177
2024-03-01 07:20:00,91,16,1,7,84,13,0,212
2024-03-01 07:30:00,64,19,9,15,113,13,0,233
2024-03-01 07:40:00,84,21,12,25,128,9,0,279
2024-03-01 07:50:00,64,16,12,23,95,6,0,216
2024-03-01 08:00:00,81,4,5,6,89,11,0,196
2024-03-01 08:10:00,78,11,0,6,72,7,0,174
2024-03-01 08:20:00,65,9,2,5,76,10,0,167
2024-03-01 08:30:00,66,9,8,10,61,11,0,165
2024-03-01 08:40:00,91,10,3,10,85,7,0,206
2024-03-01 08:50:00,62,8,6,9,72,7,0,164
2024-03-01 09:00:00,66,7,7,7,57,7,0,151
2024-03-01 09:10:00,69,8,9,10,66,9,0,171
2024-03-01 09:20:00,60,15,6,3,62,6,0,152
2024-03-01 09:30:00,61,8,3,7,62,9,0,150
2024-03-01 09:40:00,51,4,7,6,54,15,0,137
2024-03-01 09:50:00,46,7,2,9,59,10,0,133
2024-03-01 10:00:00,64,7,3,8,58,11,0,151
2024-03-01 10:10:00,59,5,4,3,49,9,0,129
2024-03-01 10:20:00,50,8,2,3,59,7,0,129
2024-03-01 10:30:00,59,7,0,5,65,7,0,143
2024-03-01 10:40:00,60,5,2,6,66,11,0,150
2024-03-01 10:50:00,65,6,1,4,58,9,0,143
2024-03-01 11:00:00,69,5,2,7,57,10,0,150
2024-03-01 11:10:00,56,8,3,2,56,15,0,140
2024-03-01 11:20:00,61,9,6,9,59,11,0,155
2024-03-01 11:30:00,60,8,5,11,76,7,0,167
2024-03-01 11:40:00,63,12,9,4,88,8,0,184
2024-03-01 11:50:00,65,10,8,12,71,7,0,173
2024-03-01 12:00:00,60,14,5,4,79,5,0,167
2024-03-01 12:10:00,74,8,3,7,90,13,0,195
2024-03-01 12:20:00,69,7,1,3,106,6,0,192
2024-03-01 12:30:00,68,9,3,8,88,15,0,191
2024-03-01 12:40:00,79,9,6,5,84,5,0,188
2024-03-01 12:50:00,74,11,4,6,77,9,0,181
2024-03-01 13:00:00,67,14,7,17,94,11,0,210
2024-03-01 13:10:00,85,12,15,20,94,13,0,239
2024-03-01 13:20:00,83,10,5,11,100,10,0,219
2024-03-01 13:30:00,63,7,4,12,87,9,0,182
2024-03-01 13:40:00,69,15,5,12,82,14,0,197
2024-03-01 13:50:00,63,16,5,4,84,9,0,181
2024-03-01 14:00:00,76,6,8,7,78,11,0,186
2024-03-01 14:10:00,82,6,7,7,94,6,0,202
2024-03-01 14:20:00,70,10,7,11,107,10,0,215
2024-03-01 14:30:00,81,6,6,10,92,9,0,204
2024-03-01 14:40:00,92,14,5,10,107,14,0,242
2024-03-01 14:50:00,61,15,6,12,89,10,0,193
2024-03-01 15:00:00,83,20,9,8,105,14,0,239
2024-03-01 15:10:00,83,14,6,11,91,8,0,213
2024-03-01 15:20:00,81,11,6,12,96,12,0,218
2024-03-01 15:30:00,91,19,7,10,109,16,0,252
2024-03-01 15:40:00,91,14,3,10,104,18,0,240
2024-03-01 15:50:00,85,10,5,15,91,9,0,215
2024-03-01 16:00:00,92,7,11,18,93,17,0,238
2024-03-01 16:10:00,88,11,7,8,105,11,0,230
2024-03-01 16:20:00,84,13,2,6,83,14,0,202
2024-03-01 16:30:00,82,6,12,15,79,10,0,204
2024-03-01 16:40:00,84,11,7,3,110,11,0,226
2024-03-01 16:50:00,88,8,9,10,82,12,0,209
2024-03-01 17:00:00,68,9,8,12,91,7,0,195
2024-03-01 17:10:00,81,11,8,7,98,13,0,218
2024-03-01 17:20:00,74,16,3,7,88,11,0,199
2024-03-01 17:30:00,66,8,5,14,83,23,0,199
2024-03-01 17:40:00,68,10,7,12,90,10,0,197
2024-03-01 17:50:00,58,8,6,7,102,9,0,190
2024-03-01 18:00:00,65,10,6,15,92,16,0,204
2024-03-01 18:10:00,70,8,6,9,84,10,0,187
2024-03-01 18:20:00,72,9,4,11,101,6,0,203
2024-03-01 18:30:00,66,10,8,7,89,9,0,189
2024-03-01 18:40:00,60,8,3,6,93,11,0,181
2024-03-01 18:50:00,69,8,8,5,78,13,0,181
2024-03-01 19:00:00,44,5,1,4,78,9,0,141
2024-03-01 19:10:00,48,5,5,11,70,8,0,147
2024-03-01 19:20:00,38,6,5,3,82,12,0,146
2024-03-01 19:30:00,44,4,2,5,62,9,0,126
2024-03-01 19:40:00,46,7,3,2,60,8,0,126
2024-03-01 19:50:00,41,5,4,3,45,4,0,102
2024-03-01 20:00:00,30,8,3,1,40,5,0,87
2024-03-01 20:10:00,37,2,1,5,40,4,0,89
2024-03-01 20:20:00,40,3,3,3,43,9,0,101
2024-03-01 20:30:00,32,3,2,4,38,11,0,90
2024-03-01 20:40:00,24,1,2,1,27,0,0,55
2024-03-01 20:50:00,30,9,0,0,27,10,0,76
2024-03-01 21:00:00,25,5,8,12,29,2,0,81
2024-03-01 21:10:00,40,5,6,2,34,4,0,91
2024-03-01 21:20:00,32,4,0,3,31,11,0,81
2024-03-01 21:30:00,25,3,1,4,36,2,0,71
2024-03-01 21:40:00,30,3,2,1,44,4,0,84
2024-03-01 21:50:00,21,4,2,0,36,7,0,70
2024-03-01 22:00:00,30,7,1,0,38,5,0,81
2024-03-01 22:10:00,23,6,1,1,29,6,0,66
2024-03-01 22:20:00,25,6,1,1,42,2,0,77
2024-03-01 22:30:00,33,4,0,2,35,5,0,79
2024-03-01 22:40:00,25,2,0,0,39,5,0,71
2024-03-01 22:50:00,24,3,0,1,29,7,0,64
2024-03-01 23:00:00,13,4,0,0,15,3,0,35
2024-03-01 23:10:00,18,7,1,3,26,7,0,62
2024-03-01 23:20:00,9,0,2,1,15,0,0,27
2024-03-01 23:30:00,13,6,1,0,15,2,0,37
2024-03-01 23:40:00,12,3,0,2,19,4,0,40
2024-03-01 23:50:00,5,2,0,0,22,3,0,32
2024-03-02 00:00:00,12,3,0,0,18,2,0,35
2024-03-02 00:10:00,11,1,0,1,8,7,0,28
2024-03-02 00:20:00,6,0,0,0,9,4,0,19
2024-03-02 00:30:00,4,0,1,5,11,2,0,23
2024-03-02 00:40:00,13,3,0,0,8,2,0,26
2024-03-02 00:50:00,7,3,0,0,6,1,0,17
2024-03-02 01:00:00,7,0,0,0,6,2,0,15
2024-03-02 01:10:00,1,0,0,0,7,3,0,11
2024-03-02 01:20:00,3,0,0,1,4,2,0,10
2024-03-02 01:30:00,7,4,0,0,2,0,0,13
2024-03-02 01:40:00,5,1,1,0,8,1,0,16
2024-03-02 01:50:00,4,0,0,1,6,2,0,13
2024-03-02 02:00:00,3,1,1,0,5,1,0,11
2024-03-02 02:10:00,4,2,0,0,6,1,0,13
2024-03-02 02:20:00,5,2,0,0,6,1,0,14
2024-03-02 02:30:00,2,1,0,0,4,1,0,8
2024-03-02 02:40:00,4,3,0,0,6,1,0,14
2024-03-02 02:50:00,9,3,0,1,7,3,0,23
2024-03-02 03:00:00,3,1,0,0,5,0,0,9
2024-03-02 03:10:00,2,3,0,0,5,4,0,14
2024-03-02 03:20:00,2,0,2,0,7,2,0,13
2024-03-02 03:30:00,3,1,0,0,4,1,0,9
2024-03-02 03:40:00,6,2,0,0,7,1,0,16
2024-03-02 03:50:00,2,2,0,0,5,2,0,11
2024-03-02 04:00:00,2,1,0,0,4,3,0,10
2024-03-02 04:10:00,6,0,0,0,4,1,0,11
2024-03-02 04:20:00,3,1,0,0,4,0,0,8
