datetime,D11Z,D12Z,D21Z,D22Z,D23Z,D31Z,D32Z,Total
2024-03-01 19:00:00,23,29,38,29,0,65,39,223
2024-03-01 19:10:00,30,41,23,24,0,53,41,212
2024-03-01 19:20:00,23,38,35,18,0,49,45,208
2024-03-01 19:30:00,30,34,40,29,0,44,57,234
2024-03-01 19:40:00,20,30,22,11,0,36,27,146
2024-03-01 19:50:00,18,27,28,19,0,35,24,151
2024-03-01 20:00:00,18,25,20,16,0,35,17,131
2024-03-01 20:10:00,16,33,31,13,0,43,35,171
2024-03-01 20:20:00,16,33,28,15,0,36,31,159
2024-03-01 20:30:00,12,34,25,11,0,42,25,149
2024-03-01 20:40:00,14,38,28,24,0,27,34,165
2024-03-01 20:50:00,15,26,22,15,0,25,23,126
2024-03-01 21:00:00,12,35,17,15,0,26,33,138
2024-03-01 21:10:00,12,31,23,13,0,28,20,127
2024-03-01 21:20:00,10,32,21,13,0,32,22,130
2024-03-01 21:30:00,13,43,15,13,0,28,21,133
2024-03-01 21:40:00,12,43,23,21,0,19,34,152
2024-03-01 21:50:00,11,34,17,16,0,25,35,138
2024-03-01 22:00:00,15,33,21,13,0,27,26,135
2024-03-01 22:10:00,19,38,17,9,0,27,23,133
2024-03-01 22:20:00,17,36,12,12,0,25,20,122
2024-03-01 22:30:00,9,28,23,15,0,21,26,122
2024-03-01 22:40:00,16,28,23,14,0,15,11,107
2024-03-01 22:50:00,10,26,17,13,0,17,10,93
2024-03-01 23:00:00,13,23,20,12,0,23,14,105
2024-03-01 23:10:00,25,33,20,16,0,13,10,117
2024-03-01 23:20:00,14,27,16,20,0,11,17,105
2024-03-01 23:30:00,10,18,11,10,0,9,5,63
2024-03-01 23:40:00,15,28,8,4,0,4,7,66
2024-03-01 23:50:00,11,21,16,7,0,14,11,80
2024-03-02 00:00:00,6,19,7,6,0,14,11,63
2024-03-02 00:10:00,22,21,14,6,0,14,10,87
2024-03-02 00:20:00,8,12,10,1,0,6,2,39
2024-03-02 00:30:00,9,20,6,4,0,8,5,52
2024-03-02 00:40:00,5,13,5,5,0,9,6,43
2024-03-02 00:50:00,5,9,9,6,0,4,8,41
2024-03-02 01:00:00,9,15,6,5,0,7,5,47
2024-03-02 01:10:00,3,8,8,4,0,5,5,33
2024-03-02 01:20:00,4,8,3,1,0,3,2,21
2024-03-02 01:30:00,3,5,5,4,0,5,3,25
2024-03-02 01:40:00,4,9,7,2,0,4,3,29
2024-03-02 01:50:00,7,8,3,4,0,2,2,26
2024-03-02 02:00:00,5,7,3,3,0,4,2,24
2024-03-02 02:10:00,5,8,3,4,0,4,2,26
2024-03-02 02:20:00,9,10,3,1,0,0,3,26
2024-03-02 02:30:00,6,7,2,2,0,2,2,21
2024-03-02 02:40:00,6,6,4,3,0,3,2,24
2024-03-02 02:50:00,4,5,3,3,0,5,4,24
2024-03-02 03:00:00,2,2,3,0,0,1,0,8
2024-03-02 03:10:00,5,6,5,2,0,2,1,21
2024-03-02 03:20:00,7,8,1,2,0,3,2,23
2024-03-02 03:30:00,4,4,2,3,0,3,6,22
2024-03-02 03:40:00,0,4,3,1,0,2,2,12
2024-03-02 03:50:00,3,5,1,2,0,3,3,17
2024-03-02 04:00:00,3,5,2,1,0,6,1,18
2024-03-02 04:10:00,7,6,2,1,0,5,3,24
2024-03-02 04:20:00,0,2,0,3,0,1,1,7
2024-03-02 04:30:00,1,2,4,1,0,2,0,10
2024-03-02 04:40:00,3,5,3,1,0,2,1,15
2024-03-02 04:50:00,1,5,1,1,0,2,1,11
2024-03-02 05:00:00,1,6,9,1,0,4,0,21
2024-03-02 05:10:00,2,4,5,2,0,11,1,25
2024-03-02 05:20:00,5,5,2,3,0,4,3,22
2024-03-02 05:30:00,4,7,6,1,0,19,1,38
2024-03-02 05:40:00,5,15,7,2,0,9,3,41
2024-03-02 05:50:00,4,9,1,2,0,7,4,27
2024-03-02 06:00:00,3,14,6,5,0,8,4,40
2024-03-02 06:10:00,6,13,4,2,0,8,6,39
2024-03-02 06:20:00,3,11,0,0,0,10,5,29
2024-03-02 06:30:00,3,5,9,3,0,13,7,40
2024-03-02 06:40:00,7,11,4,6,0,10,8,46
2024-03-02 06:50:00,2,10,11,8,0,11,11,53
2024-03-02 07:00:00,3,14,7,5,0,11,12,52
2024-03-02 07:10:00,3,16,7,4,0,8,12,50
2024-03-02 07:20:00,3,16,10,6,0,16,17,68
2024-03-02 07:30:00,2,19,14,11,0,14,20,80
2024-03-02 07:40:00,4,23,13,12,0,14,23,89
2024-03-02 07:50:00,7,23,8,9,0,8,17,72
2024-03-02 08:00:00,3,20,16,9,0,18,16,82
2024-03-02 08:10:00,1,21,17,12,0,16,22,89
2024-03-02 08:20:00,1,18,20,10,0,13,17,79
2024-03-02 08:30:00,13,30,20,9,0,13,26,111
2024-03-02 08:40:00,12,31,22,7,0,21,22,115
2024-03-02 08:50:00,6,22,14,14,0,29,28,113
2024-03-02 09:00:00,17,32,29,21,0,30,28,157
2024-03-02 09:10:00,5,28,24,15,0,23,25,120
2024-03-02 09:20:00,7,38,24,18,0,25,35,147
2024-03-02 09:30:00,2,29,30,17,0,22,30,130
2024-03-02 09:40:00,8,42,24,14,0,32,35,155
2024-03-02 09:50:00,5,40,32,16,0,35,38,166
2024-03-02 10:00:00,12,37,34,19,0,40,48,190
2024-03-02 10:10:00,17,44,37,12,0,42,45,197
2024-03-02 10:20:00,18,52,36,16,0,41,40,203
2024-03-02 10:30:00,10,54,27,13,0,42,52,198
2024-03-02 10:40:00,15,45,44,22,0,42,44,212
2024-03-02 10:50:00,8,41,39,32,0,50,47,217
2024-03-02 11:00:00,16,40,35,22,0,58,52,223
2024-03-02 11:10:00,5,49,36,20,0,51,53,214
2024-03-02 11:20:00,14,56,38,27,0,64,65,264
2024-03-02 11:30:00,12,51,33,27,0,68,62,253
2024-03-02 11:40:00,9,54,48,31,0,72,52,266
2024-03-02 11:50:00,6,47,37,17,0,64,54,225
2024-03-02 12:00:00,13,46,55,31,0,68,68,281
2024-03-02 12:10:00,21,47,51,34,0,70,64,287
2024-03-02 12:20:00,25,36,37,31,0,75,77,281
2024-03-02 12:30:00,23,40,58,33,0,51,54,259
2024-03-02 12:40:00,18,40,42,28,0,52,51,231
2024-03-02 12:50:00,20,46,46,32,0,45,72,261
2024-03-02 13:00:00,19,47,50,26,0,39,55,236
2024-03-02 13:10:00,19,69,37,26,0,55,55,261
2024-03-02 13:20:00,24,54,32,25,0,61,67,263
2024-03-02 13:30:00,19,43,35,25,0,40,54,216
2024-03-02 13:40:00,24,64,35,28,0,34,75,260
2024-03-02 13:50:00,26,53,42,28,0,48,63,260
2024-03-02 14:00:00,26,58,26,21,0,45,86,262
2024-03-02 14:10:00,22,59,35,26,0,42,69,253
2024-03-02 14:20:00,26,49,54,26,0,36,56,247
2024-03-02 14:30:00,23,45,41,18,0,32,63,222
2024-03-02 14:40:00,19,53,41,30,0,43,77,263
2024-03-02 14:50:00,21,46,41,22,0,39,54,223
2024-03-02 15:00:00,20,47,41,36,0,42,47,233
2024-03-02 15:10:00,30,44,54,27,0,58,46,259
2024-03-02 15:20:00,26,46,33,21,0,48,40,214
2024-03-02 15:30:00,27,38,41,31,0,55,46,238
2024-03-02 15:40:00,23,40,35,19,0,85,32,234
2024-03-02 15:50:00,24,42,29,26,0,76,34,231
2024-03-02 16:00:00,19,33,29,28,0,71,26,206
2024-03-02 16:10:00,26,47,43,20,0,50,29,215
2024-03-02 16:20:00,23,39,54,31,0,39,33,219
2024-03-02 16:30:00,24,40,36,25,0,34,44,203
2024-03-02 16:40:00,21,41,35,31,0,24,47,199
2024-03-02 16:50:00,26,38,38,15,0,21,44,182
2024-03-02 17:00:00,20,49,37,30,0,20,41,197
2024-03-02 17:10:00,19,45,45,32,0,25,27,193
2024-03-02 17:20:00,5,57,53,41,0,31,40,227
2024-03-02 17:30:00,6,53,43,21,0,18,43,184
2024-03-02 17:40:00,3,53,75,28,0,33,47,239
2024-03-02 17:50:00,3,59,55,26,0,31,48,222
2024-03-02 18:00:00,5,54,59,35,0,29,52,234
2024-03-02 18:10:00,39,45,59,34,0,30,58,265
