datetime,D11Z,D12Z,D21Z,D41Z,D42Z,Total
2024-03-01 01:00:00,0,1,0,10,3,14
2024-03-01 01:10:00,0,0,0,6,5,11
2024-03-01 01:20:00,0,2,0,8,5,15
2024-03-01 01:30:00,0,0,0,7,2,9
2024-03-01 01:40:00,2,4,0,7,3,16
2024-03-01 01:50:00,0,2,0,4,2,8
2024-03-01 02:00:00,0,0,0,0,2,2
2024-03-01 02:10:00,0,1,0,8,3,12
2024-03-01 02:20:00,0,0,0,8,2,10
2024-03-01 02:30:00,0,0,0,3,2,5
2024-03-01 02:40:00,0,1,0,4,2,7
2024-03-01 02:50:00,0,0,0,4,4,8
2024-03-01 03:00:00,0,1,0,8,2,11
2024-03-01 03:10:00,0,0,0,2,1,3
2024-03-01 03:20:00,0,0,0,6,5,11
2024-03-01 03:30:00,0,0,0,5,2,7
2024-03-01 03:40:00,0,1,0,6,6,13
2024-03-01 03:50:00,1,1,0,3,2,7
2024-03-01 04:00:00,0,0,0,5,1,6
2024-03-01 04:10:00,0,0,0,8,2,10
2024-03-01 04:20:00,1,0,0,9,2,12
2024-03-01 04:30:00,0,0,0,5,3,8
2024-03-01 04:40:00,0,2,0,13,3,18
2024-03-01 04:50:00,0,0,0,10,4,14
2024-03-01 05:00:00,0,4,0,6,1,11
2024-03-01 05:10:00,0,1,0,11,6,18
2024-03-01 05:20:00,0,3,0,21,5,29
2024-03-01 05:30:00,0,1,0,29,14,44
2024-03-01 05:40:00,2,1,0,38,4,45
2024-03-01 05:50:00,1,2,0,32,10,45
2024-03-01 06:00:00,0,6,0,35,11,52
2024-03-01 06:10:00,0,1,0,36,11,48
2024-03-01 06:20:00,0,4,0,51,5,60
2024-03-01 06:30:00,2,3,0,52,9,66
2024-03-01 06:40:00,3,6,0,45,15,69
2024-03-01 06:50:00,0,5,0,68,11,84
2024-03-01 07:00:00,3,5,0,66,10,84
2024-03-01 07:10:00,7,10,0,78,11,106
2024-03-01 07:20:00,3,9,0,86,6,104
2024-03-01 07:30:00,7,13,0,80,19,119
2024-03-01 07:40:00,12,9,0,100,14,135
2024-03-01 07:50:00,12,15,0,86,16,129
2024-03-01 08:00:00,4,8,0,91,21,124
2024-03-01 08:10:00,4,9,0,88,10,111
2024-03-01 08:20:00,2,6,0,70,15,93
2024-03-01 08:30:00,5,9,0,91,8,113
2024-03-01 08:40:00,5,10,0,109,18,142
2024-03-01 08:50:00,3,10,0,94,8,115
2024-03-01 09:00:00,5,8,0,77,16,106
2024-03-01 09:10:00,5,6,0,77,10,98
2024-03-01 09:20:00,5,8,0,77,14,104
2024-03-01 09:30:00,5,7,0,88,10,110
2024-03-01 09:40:00,3,7,0,77,9,96
2024-03-01 09:50:00,7,12,0,73,10,102
2024-03-01 10:00:00,6,9,0,70,9,94
2024-03-01 10:10:00,16,14,0,77,12,119
2024-03-01 10:20:00,5,13,0,66,10,94
2024-03-01 10:30:00,5,14,0,75,19,113
2024-03-01 10:40:00,5,14,0,93,13,125
2024-03-01 10:50:00,9,18,0,88,14,129
2024-03-01 11:00:00,8,7,0,82,11,108
2024-03-01 11:10:00,7,7,0,57,15,86
2024-03-01 11:20:00,7,12,0,82,20,121
2024-03-01 11:30:00,11,14,0,82,14,121
2024-03-01 11:40:00,12,13,0,72,19,116
2024-03-01 11:50:00,19,20,0,71,11,121
2024-03-01 12:00:00,5,15,0,73,18,111
2024-03-01 12:10:00,9,9,0,79,18,115
2024-03-01 12:20:00,13,18,0,93,20,144
2024-03-01 12:30:00,12,17,0,74,12,115
2024-03-01 12:40:00,10,23,0,87,12,132
2024-03-01 12:50:00,14,16,0,97,9,136
2024-03-01 13:00:00,11,19,0,69,12,111
2024-03-01 13:10:00,9,18,0,80,13,120
2024-03-01 13:20:00,10,18,0,75,16,119
2024-03-01 13:30:00,4,12,0,87,15,118
2024-03-01 13:40:00,8,21,0,83,17,129
2024-03-01 13:50:00,7,16,0,81,17,121
2024-03-01 14:00:00,7,13,0,81,8,109
2024-03-01 14:10:00,12,16,0,94,13,135
2024-03-01 14:20:00,10,22,0,84,7,123
2024-03-01 14:30:00,11,14,0,80,15,120
2024-03-01 14:40:00,4,24,0,107,11,146
2024-03-01 14:50:00,11,18,0,78,11,118
2024-03-01 15:00:00,7,9,0,86,18,120
2024-03-01 15:10:00,7,20,0,87,10,124
2024-03-01 15:20:00,8,19,0,85,13,125
2024-03-01 15:30:00,10,17,0,101,11,139
2024-03-01 15:40:00,11,10,0,100,12,133
2024-03-01 15:50:00,9,15,0,90,9,123
2024-03-01 16:00:00,11,12,0,84,15,122
2024-03-01 16:10:00,9,26,0,88,17,140
2024-03-01 16:20:00,8,11,0,81,13,113
2024-03-01 16:30:00,11,14,0,90,13,128
2024-03-01 16:40:00,3,14,0,74,10,101
2024-03-01 16:50:00,4,20,0,90,11,125
2024-03-01 17:00:00,9,20,0,88,17,134
2024-03-01 17:10:00,10,21,0,90,19,140
2024-03-01 17:20:00,10,18,0,96,9,133
2024-03-01 17:30:00,5,12,0,88,16,121
2024-03-01 17:40:00,7,8,0,89,13,117
2024-03-01 17:50:00,4,20,0,92,17,133
2024-03-01 18:00:00,6,12,0,81,18,117
2024-03-01 18:10:00,11,16,0,82,32,141
2024-03-01 18:20:00,9,21,0,91,23,144
2024-03-01 18:30:00,6,11,0,96,18,131
2024-03-01 18:40:00,8,13,0,99,13,133
2024-03-01 18:50:00,2,20,0,100,11,133
2024-03-01 19:00:00,6,14,0,97,14,131
2024-03-01 19:10:00,7,15,0,82,15,119
2024-03-01 19:20:00,1,13,0,63,6,83
2024-03-01 19:30:00,5,12,0,67,11,95
2024-03-01 19:40:00,4,12,0,77,12,105
2024-03-01 19:50:00,2,10,0,68,8,88
2024-03-01 20:00:00,3,6,0,61,12,82
2024-03-01 20:10:00,3,10,0,74,3,90
2024-03-01 20:20:00,5,6,0,61,9,81
2024-03-01 20:30:00,4,7,0,51,9,71
2024-03-01 20:40:00,18,20,0,55,13,106
2024-03-01 20:50:00,10,11,0,50,7,78
2024-03-01 21:00:00,8,5,0,39,7,59
2024-03-01 21:10:00,6,7,0,40,5,58
2024-03-01 21:20:00,6,9,0,47,12,74
2024-03-01 21:30:00,2,8,0,49,10,69
2024-03-01 21:40:00,3,8,0,35,13,59
2024-03-01 21:50:00,6,14,0,39,8,67
2024-03-01 22:00:00,1,4,0,37,7,49
2024-03-01 22:10:00,2,5,0,38,6,51
2024-03-01 22:20:00,2,7,0,28,8,45
2024-03-01 22:30:00,1,3,0,37,9,50
2024-03-01 22:40:00,1,3,0,38,14,56
2024-03-01 22:50:00,1,3,0,37,10,51
2024-03-01 23:00:00,2,8,0,31,5,46
2024-03-01 23:10:00,1,4,0,38,5,48
2024-03-01 23:20:00,1,5,0,28,7,41
2024-03-01 23:30:00,0,4,0,21,9,34
2024-03-01 23:40:00,2,10,0,16,9,37
2024-03-01 23:50:00,0,6,0,28,11,45
2024-03-02 00:00:00,3,3,0,22,12,40
2024-03-02 00:10:00,1,2,0,21,10,34
2024-03-02 00:20:00,0,0,0,24,6,30
2024-03-02 00:30:00,1,2,0,19,7,29
2024-03-02 00:40:00,2,3,0,16,13,34
2024-03-02 00:50:00,0,1,0,8,2,11
2024-03-02 01:00:00,1,1,0,19,7,28
2024-03-02 01:10:00,1,3,0,17,7,28
2024-03-02 01:20:00,1,3,0,11,5,20
2024-03-02 01:30:00,1,4,0,10,4,19
2024-03-02 01:40:00,0,1,0,10,5,16
2024-03-02 01:50:00,0,0,0,9,2,11
2024-03-02 02:00:00,0,6,0,15,6,27
2024-03-02 02:10:00,2,2,0,9,3,16
2024-03-02 02:20:00,0,3,0,12,4,19
2024-03-02 02:30:00,0,1,0,8,7,16
2024-03-02 02:40:00,1,3,0,7,1,12
2024-03-02 02:50:00,1,2,0,8,2,13
2024-03-02 03:00:00,0,1,0,8,4,13
2024-03-02 03:10:00,0,2,0,7,4,13
2024-03-02 03:20:00,0,1,0,7,6,14
2024-03-02 03:30:00,0,3,0,8,7,18
2024-03-02 03:40:00,0,0,0,9,3,12
2024-03-02 03:50:00,0,0,0,9,5,14
2024-03-02 04:00:00,0,0,0,13,3,16
2024-03-02 04:10:00,0,0,0,12,3,15
2024-03-02 04:20:00,0,0,0,8,5,13
2024-03-02 04:30:00,0,1,0,10,3,14
2024-03-02 04:40:00,0,2,0,9,3,14
2024-03-02 04:50:00,0,0,0,8,6,14
2024-03-02 05:00:00,0,0,0,6,0,6
2024-03-02 05:10:00,0,2,0,11,2,15
2024-03-02 05:20:00,1,0,0,13,3,17
2024-03-02 05:30:00,0,2,0,14,5,21
2024-03-02 05:40:00,0,3,0,19,4,26
2024-03-02 05:50:00,0,2,0,13,6,21
2024-03-02 06:00:00,1,1,0,8,2,12
2024-03-02 06:10:00,0,0,0,15,6,21
2024-03-02 06:20:00,0,1,0,14,4,19
2024-03-02 06:30:00,0,2,0,13,5,20
2024-03-02 06:40:00,1,1,0,18,7,27
2024-03-02 06:50:00,0,2,0,13,7,22
2024-03-02 07:00:00,1,2,0,14,4,21
2024-03-02 07:10:00,0,4,0,17,8,29
2024-03-02 07:20:00,3,2,0,20,5,30
2024-03-02 07:30:00,1,3,0,27,4,35
2024-03-02 07:40:00,0,7,0,26,8,41
2024-03-02 07:50:00,3,6,0,31,10,50
2024-03-02 08:00:00,5,2,0,23,5,35
2024-03-02 08:10:00,1,3,0,26,2,32
2024-03-02 08:20:00,1,3,0,37,14,55
2024-03-02 08:30:00,3,8,0,37,3,51
2024-03-02 08:40:00,6,6,0,29,4,45
2024-03-02 08:50:00,1,13,0,41,17,72
2024-03-02 09:00:00,4,10,0,50,13,77
2024-03-02 09:10:00,4,8,0,48,10,70
2024-03-02 09:20:00,3,10,0,46,8,67
2024-03-02 09:30:00,2,11,0,60,8,81
2024-03-02 09:40:00,6,12,0,68,6,92
2024-03-02 09:50:00,8,12,0,75,9,104
2024-03-02 10:00:00,5,8,0,54,14,81
2024-03-02 10:10:00,10,13,0,65,10,98
2024-03-02 10:20:00,7,15,0,74,12,108
2024-03-02 10:30:00,9,8,0,79,9,105
2024-03-02 10:40:00,10,13,0,69,13,105
2024-03-02 10:50:00,7,14,0,101,15,137
2024-03-02 11:00:00,9,22,0,87,14,132
2024-03-02 11:10:00,4,18,0,82,13,117
2024-03-02 11:20:00,8,11,0,80,9,108
2024-03-02 11:30:00,11,16,0,73,17,117
2024-03-02 11:40:00,9,9,0,99,15,132
2024-03-02 11:50:00,12,28,0,75,18,133
2024-03-02 12:00:00,12,18,0,84,15,129
2024-03-02 12:10:00,13,23,0,89,8,133
2024-03-02 12:20:00,9,8,0,75,14,106
2024-03-02 12:30:00,9,25,0,90,10,134
2024-03-02 12:40:00,10,22,0,89,9,130
2024-03-02 12:50:00,15,27,0,99,15,156
2024-03-02 13:00:00,9,28,0,87,14,138
2024-03-02 13:10:00,10,15,0,107,14,146
2024-03-02 13:20:00,11,19,0,95,6,131
2024-03-02 13:30:00,11,20,0,112,10,153
2024-03-02 13:40:00,9,17,0,114,15,155
2024-03-02 13:50:00,11,23,0,91,13,138
2024-03-02 14:00:00,14,24,0,112,8,158
2024-03-02 14:10:00,6,22,0,88,11,127
2024-03-02 14:20:00,10,17,0,103,11,141
2024-03-02 14:30:00,11,18,0,89,14,132
2024-03-02 14:40:00,8,18,0,98,10,134
2024-03-02 14:50:00,10,10,0,103,9,132
2024-03-02 15:00:00,5,9,0,91,7,112
2024-03-02 15:10:00,5,17,0,98,18,138
2024-03-02 15:20:00,9,9,0,97,10,125
2024-03-02 15:30:00,10,8,0,100,9,127
2024-03-02 15:40:00,8,14,0,102,14,138
2024-03-02 15:50:00,15,13,0,73,16,117
2024-03-02 16:00:00,7,7,0,98,7,119
