datetime,V21Z,V22Z,V81Z,V321Z,Total
2024-03-01 23:50:00,21,22,19,0,62
2024-03-02 00:00:00,15,30,22,0,67
2024-03-02 00:10:00,25,21,23,0,69
2024-03-02 00:20:00,18,17,19,0,54
2024-03-02 00:30:00,22,20,16,0,58
2024-03-02 00:40:00,19,22,16,0,57
2024-03-02 00:50:00,14,13,12,0,39
2024-03-02 01:00:00,19,17,10,0,46
2024-03-02 01:10:00,8,11,10,0,29
2024-03-02 01:20:00,9,7,5,1,22
2024-03-02 01:30:00,10,12,12,0,34
2024-03-02 01:40:00,7,16,9,0,32
2024-03-02 01:50:00,11,4,4,0,19
2024-03-02 02:00:00,14,17,14,0,45
2024-03-02 02:10:00,3,10,14,0,27
2024-03-02 02:20:00,8,9,5,0,22
2024-03-02 02:30:00,6,6,5,0,17
2024-03-02 02:40:00,7,7,6,0,20
2024-03-02 02:50:00,11,7,8,0,26
2024-03-02 03:00:00,5,10,8,0,23
2024-03-02 03:10:00,5,6,6,0,17
2024-03-02 03:20:00,3,7,5,0,15
2024-03-02 03:30:00,3,9,7,0,19
2024-03-02 03:40:00,8,3,5,0,16
2024-03-02 03:50:00,7,8,8,0,23
2024-03-02 04:00:00,3,9,8,0,20
2024-03-02 04:10:00,7,4,5,0,16
2024-03-02 04:20:00,3,1,2,0,6
2024-03-02 04:30:00,3,5,5,0,13
2024-03-02 04:40:00,4,9,6,0,19
2024-03-02 04:50:00,9,5,3,0,17
2024-03-02 05:00:00,10,8,7,0,25
2024-03-02 05:10:00,9,11,10,0,30
2024-03-02 05:20:00,12,15,10,0,37
2024-03-02 05:30:00,24,12,9,0,45
2024-03-02 05:40:00,12,16,12,0,40
2024-03-02 05:50:00,21,12,11,0,44
2024-03-02 06:00:00,20,15,17,0,52
2024-03-02 06:10:00,20,18,19,0,57
2024-03-02 06:20:00,16,13,12,0,41
2024-03-02 06:30:00,14,15,17,0,46
2024-03-02 06:40:00,13,23,23,0,59
2024-03-02 06:50:00,10,14,14,0,38
2024-03-02 07:00:00,15,11,12,0,38
2024-03-02 07:10:00,8,21,21,0,50
2024-03-02 07:20:00,12,21,29,0,62
2024-03-02 07:30:00,20,25,30,0,75
2024-03-02 07:40:00,8,17,24,0,49
2024-03-02 07:50:00,24,31,37,0,92
2024-03-02 08:00:00,31,26,34,0,91
2024-03-02 08:10:00,26,29,35,0,90
2024-03-02 08:20:00,33,32,38,0,103
2024-03-02 08:30:00,32,33,49,1,115
2024-03-02 08:40:00,40,39,61,0,140
2024-03-02 08:50:00,23,39,60,2,124
2024-03-02 09:00:00,32,34,47,4,117
2024-03-02 09:10:00,44,33,62,1,140
2024-03-02 09:20:00,34,35,63,1,133
2024-03-02 09:30:00,27,46,63,4,140
2024-03-02 09:40:00,49,31,72,3,155
2024-03-02 09:50:00,30,40,99,5,174
2024-03-02 10:00:00,36,34,67,3,140
2024-03-02 10:10:00,45,53,82,3,183
2024-03-02 10:20:00,50,58,94,2,204
2024-03-02 10:30:00,53,50,87,0,190
2024-03-02 10:40:00,45,36,95,3,179
2024-03-02 10:50:00,46,50,98,3,197
2024-03-02 11:00:00,46,41,79,1,167
2024-03-02 11:10:00,45,40,99,3,187
2024-03-02 11:20:00,40,42,99,1,182
2024-03-02 11:30:00,45,44,85,0,174
2024-03-02 11:40:00,37,46,91,3,177
2024-03-02 11:50:00,37,40,96,1,174
2024-03-02 12:00:00,42,43,90,4,179
2024-03-02 12:10:00,61,42,104,2,209
2024-03-02 12:20:00,36,35,84,4,159
2024-03-02 12:30:00,48,41,98,5,192
2024-03-02 12:40:00,34,44,105,0,183
2024-03-02 12:50:00,37,42,80,5,164
2024-03-02 13:00:00,44,36,105,4,189
2024-03-02 13:10:00,39,34,92,3,168
2024-03-02 13:20:00,58,46,101,3,208
2024-03-02 13:30:00,43,47,91,1,182
2024-03-02 13:40:00,45,22,83,2,152
2024-03-02 13:50:00,35,18,87,5,145
2024-03-02 14:00:00,61,5,41,3,110
2024-03-02 14:10:00,35,14,82,1,132
2024-03-02 14:20:00,40,2,22,1,65
2024-03-02 14:30:00,38,15,58,2,113
2024-03-02 14:40:00,36,36,92,1,165
2024-03-02 14:50:00,54,17,82,0,153
2024-03-02 15:00:00,62,38,95,1,196
2024-03-02 15:10:00,50,36,110,0,196
2024-03-02 15:20:00,36,39,88,3,166
2024-03-02 15:30:00,44,30,95,4,173
2024-03-02 15:40:00,38,32,80,11,161
2024-03-02 15:50:00,37,42,73,0,152
2024-03-02 16:00:00,42,32,62,3,139
2024-03-02 16:10:00,44,44,76,1,165
2024-03-02 16:20:00,40,40,79,2,161
2024-03-02 16:30:00,44,41,71,1,157
2024-03-02 16:40:00,50,34,86,0,170
2024-03-02 16:50:00,40,43,77,1,161
2024-03-02 17:00:00,34,31,76,4,145
2024-03-02 17:10:00,40,28,86,7,161
2024-03-02 17:20:00,52,40,90,3,185
2024-03-02 17:30:00,42,33,91,2,168
2024-03-02 17:40:00,47,32,77,1,157
2024-03-02 17:50:00,38,43,101,1,183
2024-03-02 18:00:00,41,43,77,3,164
2024-03-02 18:10:00,36,34,79,3,152
2024-03-02 18:20:00,50,31,97,5,183
2024-03-02 18:30:00,55,60,83,1,199
2024-03-02 18:40:00,58,73,99,0,230
2024-03-02 18:50:00,79,57,87,3,226
2024-03-02 19:00:00,60,60,76,2,198
2024-03-02 19:10:00,64,58,75,1,198
2024-03-02 19:20:00,57,45,69,2,173
2024-03-02 19:30:00,55,54,67,2,178
2024-03-02 19:40:00,62,55,64,0,181
2024-03-02 19:50:00,53,45,61,1,160
2024-03-02 20:00:00,59,53,54,1,167
2024-03-02 20:10:00,56,47,46,3,152
2024-03-02 20:20:00,46,51,55,0,152
2024-03-02 20:30:00,54,43,60,1,158
2024-03-02 20:40:00,60,51,58,7,176
2024-03-02 20:50:00,39,45,66,1,151
2024-03-02 21:00:00,32,46,54,0,132
2024-03-02 21:10:00,46,43,44,0,133
2024-03-02 21:20:00,47,28,38,0,113
2024-03-02 21:30:00,36,41,45,0,122
2024-03-02 21:40:00,35,33,34,0,102
2024-03-02 21:50:00,41,40,40,0,121
2024-03-02 22:00:00,42,33,32,1,108
2024-03-02 22:10:00,37,37,46,0,120
2024-03-02 22:20:00,29,43,49,0,121
2024-03-02 22:30:00,38,27,23,0,88
2024-03-02 22:40:00,32,38,40,0,110
2024-03-02 22:50:00,31,28,28,0,87
2024-03-02 23:00:00,35,40,47,0,122
