datetime,V5Z,V11Z,V51Z,V111Z,Total
2024-03-01 01:00:00,2,13,2,13,30
2024-03-01 01:10:00,2,5,2,4,13
2024-03-01 01:20:00,4,3,4,5,16
2024-03-01 01:30:00,4,6,4,5,19
2024-03-01 01:40:00,5,1,5,2,13
2024-03-01 01:50:00,3,4,3,4,14
2024-03-01 02:00:00,2,3,3,3,11
2024-03-01 02:10:00,5,1,5,1,12
2024-03-01 02:20:00,3,3,3,3,12
2024-03-01 02:30:00,1,4,1,4,10
2024-03-01 02:40:00,1,3,1,3,8
2024-03-01 02:50:00,2,0,2,0,4
2024-03-01 03:00:00,1,0,1,0,2
2024-03-01 03:10:00,1,1,1,1,4
2024-03-01 03:20:00,1,1,1,1,4
2024-03-01 03:30:00,0,3,0,2,5
2024-03-01 03:40:00,1,4,1,3,9
2024-03-01 03:50:00,3,0,3,0,6
2024-03-01 04:00:00,4,1,4,1,10
2024-03-01 04:10:00,4,3,4,3,14
2024-03-01 04:20:00,4,7,4,7,22
2024-03-01 04:30:00,4,2,4,2,12
2024-03-01 04:40:00,5,7,5,8,25
2024-03-01 04:50:00,7,5,7,5,24
2024-03-01 05:00:00,14,6,14,5,39
2024-03-01 05:10:00,21,13,22,14,70
2024-03-01 05:20:00,26,10,27,10,73
2024-03-01 05:30:00,40,18,40,19,117
2024-03-01 05:40:00,54,12,56,13,135
2024-03-01 05:50:00,46,12,48,12,118
2024-03-01 06:00:00,51,13,51,13,128
2024-03-01 06:10:00,65,30,66,32,193
2024-03-01 06:20:00,86,43,86,44,259
2024-03-01 06:30:00,82,40,81,42,245
2024-03-01 06:40:00,89,45,91,46,271
2024-03-01 06:50:00,79,66,79,64,288
2024-03-01 07:00:00,68,50,134,51,303
2024-03-01 07:10:00,62,64,114,65,305
2024-03-01 07:20:00,64,70,151,75,360
2024-03-01 07:30:00,60,79,122,79,340
2024-03-01 07:40:00,45,109,117,105,376
2024-03-01 07:50:00,51,77,110,80,318
2024-03-01 08:00:00,46,87,107,81,321
2024-03-01 08:10:00,59,72,107,72,310
2024-03-01 08:20:00,34,82,90,78,284
2024-03-01 08:30:00,40,77,92,72,281
2024-03-01 08:40:00,77,96,86,93,352
2024-03-01 08:50:00,76,97,96,84,353
2024-03-01 09:00:00,60,72,77,71,280
2024-03-01 09:10:00,40,55,83,54,232
2024-03-01 09:20:00,51,78,98,71,298
2024-03-01 09:30:00,33,69,79,57,238
2024-03-01 09:40:00,9,72,81,57,219
2024-03-01 09:50:00,4,78,97,65,244
2024-03-01 10:00:00,5,52,71,50,178
2024-03-01 10:10:00,6,67,64,60,197
2024-03-01 10:20:00,12,80,65,75,232
2024-03-01 10:30:00,14,72,63,64,213
2024-03-01 10:40:00,23,80,65,75,243
2024-03-01 10:50:00,24,67,63,58,212
2024-03-01 11:00:00,23,72,77,70,242
2024-03-01 11:10:00,37,89,79,83,288
2024-03-01 11:20:00,28,80,79,73,260
2024-03-01 11:30:00,35,74,63,68,240
2024-03-01 11:40:00,39,83,77,81,280
2024-03-01 11:50:00,44,83,76,76,279
2024-03-01 12:00:00,44,99,74,88,305
2024-03-01 12:10:00,34,110,66,99,309
2024-03-01 12:20:00,30,108,61,103,302
2024-03-01 12:30:00,45,105,79,102,331
2024-03-01 12:40:00,43,90,82,82,297
2024-03-01 12:50:00,30,91,83,90,294
2024-03-01 13:00:00,49,118,76,117,360
2024-03-01 13:10:00,35,112,78,111,336
2024-03-01 13:20:00,31,125,76,120,352
2024-03-01 13:30:00,27,129,67,115,338
2024-03-01 13:40:00,33,113,84,110,340
2024-03-01 13:50:00,16,113,72,105,306
2024-03-01 14:00:00,33,110,73,97,313
