datetime,D21Z,D22Z,V23Z,V24Z,V51Z,D81Z,V82Z,V111Z,V112Z,Total
2024-03-01 16:50:00,14,22,11,16,24,4,6,0,1,98
2024-03-01 17:00:00,16,23,12,21,33,11,11,0,4,131
2024-03-01 17:10:00,19,32,15,19,32,12,12,0,1,142
2024-03-01 17:20:00,12,20,11,10,21,7,13,0,2,96
2024-03-01 17:30:00,16,19,11,17,27,11,14,0,2,117
2024-03-01 17:40:00,19,23,14,29,33,11,6,0,2,137
2024-03-01 17:50:00,13,27,9,13,27,14,12,0,5,120
2024-03-01 18:00:00,11,15,13,17,33,3,7,0,6,105
2024-03-01 18:10:00,14,21,18,27,19,8,12,0,2,121
2024-03-01 18:20:00,12,19,15,21,29,13,14,0,6,129
2024-03-01 18:30:00,7,13,13,15,28,9,10,0,10,105
2024-03-01 18:40:00,17,16,15,20,24,11,9,0,9,121
2024-03-01 18:50:00,10,12,8,19,30,11,10,0,2,102
2024-03-01 19:00:00,7,11,9,21,26,13,7,0,5,99
2024-03-01 19:10:00,10,22,12,22,32,8,6,0,5,117
2024-03-01 19:20:00,10,14,13,21,28,7,7,6,5,111
2024-03-01 19:30:00,10,13,6,25,31,9,8,9,7,118
2024-03-01 19:40:00,8,14,11,24,28,6,5,17,2,115
2024-03-01 19:50:00,33,14,13,17,31,6,2,6,6,128
2024-03-01 20:00:00,6,13,7,17,37,8,4,12,1,105
2024-03-01 20:10:00,15,9,12,16,30,9,13,5,3,112
2024-03-01 20:20:00,8,14,9,18,26,6,6,1,9,97
2024-03-01 20:30:00,6,12,9,22,32,6,8,12,2,109
2024-03-01 20:40:00,3,4,3,8,32,5,4,7,0,66
2024-03-01 20:50:00,9,8,5,14,23,7,3,6,0,75
2024-03-01 21:00:00,11,5,8,13,18,5,3,5,1,69
2024-03-01 21:10:00,6,10,7,16,22,2,1,3,4,71
2024-03-01 21:20:00,8,6,8,12,28,3,0,7,0,72
2024-03-01 21:30:00,6,3,4,7,23,3,0,0,2,48
2024-03-01 21:40:00,9,4,10,10,23,8,6,0,1,71
2024-03-01 21:50:00,2,6,5,8,24,5,3,0,1,54
2024-03-01 22:00:00,11,10,6,16,25,5,6,2,0,81
2024-03-01 22:10:00,7,17,10,19,38,5,3,7,0,106
2024-03-01 22:20:00,4,8,4,12,20,1,1,1,0,51
2024-03-01 22:30:00,2,6,1,8,14,5,5,0,0,41
2024-03-01 22:40:00,2,12,2,14,24,1,1,0,1,57
2024-03-01 22:50:00,2,9,1,9,23,1,1,0,2,48
2024-03-01 23:00:00,0,3,0,3,20,6,6,0,0,38
2024-03-01 23:10:00,2,5,3,6,24,5,5,0,0,50
2024-03-01 23:20:00,4,3,4,8,22,4,3,0,3,51
2024-03-01 23:30:00,2,2,3,5,19,4,3,0,1,39
2024-03-01 23:40:00,2,0,2,2,18,3,2,0,1,30
2024-03-01 23:50:00,0,0,0,0,18,3,2,0,1,24
2024-03-02 00:00:00,2,4,2,8,21,4,2,0,0,43
2024-03-02 00:10:00,0,0,0,1,12,3,4,0,3,23
2024-03-02 00:20:00,0,2,0,3,16,1,0,0,2,24
2024-03-02 00:30:00,1,3,1,6,21,0,0,0,1,33
2024-03-02 00:40:00,0,1,0,2,21,0,0,0,2,26
2024-03-02 00:50:00,2,9,5,9,9,2,0,0,6,42
2024-03-02 01:00:00,4,1,0,1,10,1,1,0,0,18
2024-03-02 01:10:00,0,0,0,0,14,0,0,0,6,20
2024-03-02 01:20:00,1,2,0,3,12,0,0,0,1,19
2024-03-02 01:30:00,0,0,0,0,8,0,2,0,0,10
2024-03-02 01:40:00,2,3,2,7,10,1,0,0,2,27
2024-03-02 01:50:00,0,1,0,1,8,1,0,0,0,11
2024-03-02 02:00:00,1,0,1,1,12,0,0,0,4,19
2024-03-02 02:10:00,0,0,0,0,8,1,2,0,0,11
2024-03-02 02:20:00,0,1,0,1,3,1,1,0,0,7
2024-03-02 02:30:00,0,0,0,0,10,0,0,0,1,11
2024-03-02 02:40:00,0,1,0,0,8,0,0,0,1,10
2024-03-02 02:50:00,0,0,0,0,5,0,0,0,3,8
2024-03-02 03:00:00,0,0,0,0,9,0,0,0,0,9
2024-03-02 03:10:00,0,1,0,1,4,0,0,0,1,7
2024-03-02 03:20:00,0,0,0,0,4,0,0,0,3,7
2024-03-02 03:30:00,1,0,1,1,3,1,2,0,2,11
2024-03-02 03:40:00,1,4,0,3,8,0,0,0,1,17
2024-03-02 03:50:00,0,0,0,0,6,0,0,0,3,9
2024-03-02 04:00:00,0,0,0,0,14,1,0,0,2,17
2024-03-02 04:10:00,0,0,0,0,5,1,0,0,0,6
2024-03-02 04:20:00,0,0,0,2,5,2,1,0,0,10
2024-03-02 04:30:00,1,0,1,1,11,1,0,0,0,15
2024-03-02 04:40:00,0,1,0,2,8,1,1,0,0,13
2024-03-02 04:50:00,0,0,0,0,13,0,0,0,2,15
2024-03-02 05:00:00,0,0,0,0,12,0,0,0,0,12
2024-03-02 05:10:00,0,0,0,0,18,0,0,0,1,19
