datetime,V42Z,V72Z,V92Z,V102Z,V122Z,V22Z,V63Z,Total
2024-03-01 01:00:00,2,4,6,1,8,0,0,21
2024-03-01 01:10:00,5,3,4,0,1,0,0,13
2024-03-01 01:20:00,2,3,1,4,4,0,0,14
2024-03-01 01:30:00,6,6,3,2,4,0,0,21
2024-03-01 01:40:00,1,8,4,2,7,0,0,22
2024-03-01 01:50:00,5,4,1,1,5,0,0,16
2024-03-01 02:00:00,2,3,1,1,1,0,0,8
2024-03-01 02:10:00,1,5,1,0,2,0,0,9
2024-03-01 02:20:00,6,1,2,1,2,0,0,12
2024-03-01 02:30:00,1,4,1,0,1,0,0,7
2024-03-01 02:40:00,2,0,2,0,1,0,0,5
2024-03-01 02:50:00,2,1,3,0,0,0,0,6
2024-03-01 03:00:00,3,2,3,0,0,0,0,8
2024-03-01 03:10:00,2,1,1,0,0,0,0,4
2024-03-01 03:20:00,1,0,4,1,4,0,0,10
2024-03-01 03:30:00,4,2,1,0,2,0,0,9
2024-03-01 03:40:00,4,2,5,4,6,0,0,21
2024-03-01 03:50:00,5,2,0,2,1,0,0,10
2024-03-01 04:00:00,4,2,1,2,6,0,0,15
2024-03-01 04:10:00,1,3,2,2,2,0,0,10
2024-03-01 04:20:00,7,3,4,2,4,0,0,20
2024-03-01 04:30:00,8,3,1,1,5,0,0,18
2024-03-01 04:40:00,2,8,4,3,2,0,0,19
2024-03-01 04:50:00,1,4,4,1,4,0,0,14
2024-03-01 05:00:00,2,9,8,6,5,0,0,30
2024-03-01 05:10:00,9,14,7,2,9,0,0,41
2024-03-01 05:20:00,7,6,7,2,15,0,0,37
2024-03-01 05:30:00,7,13,8,3,24,1,0,56
2024-03-01 05:40:00,9,20,15,8,25,0,0,77
2024-03-01 05:50:00,9,26,10,5,40,0,0,90
2024-03-01 06:00:00,16,16,16,9,31,0,0,88
2024-03-01 06:10:00,16,16,29,10,30,0,0,101
2024-03-01 06:20:00,19,24,17,11,32,0,0,103
2024-03-01 06:30:00,18,17,16,12,31,0,0,94
2024-03-01 06:40:00,19,31,19,15,42,0,0,126
2024-03-01 06:50:00,16,25,23,13,46,0,0,123
2024-03-01 07:00:00,22,27,37,19,42,1,0,148
2024-03-01 07:10:00,25,30,24,18,61,0,0,158
2024-03-01 07:20:00,25,28,28,19,64,2,0,166
2024-03-01 07:30:00,16,42,31,28,53,1,0,171
2024-03-01 07:40:00,26,43,26,28,62,1,0,186
