datetime,V21Z,V22Z,V81Z,V82Z,V321Z,Total
2024-03-01 01:00:00,0,8,1,6,0,15
2024-03-01 01:10:00,0,4,0,4,0,8
2024-03-01 01:20:00,0,1,0,8,0,9
2024-03-01 01:30:00,0,8,1,4,0,13
2024-03-01 01:40:00,0,2,0,6,0,8
2024-03-01 01:50:00,0,4,0,10,0,14
2024-03-01 02:00:00,0,4,1,4,0,9
2024-03-01 02:10:00,0,2,1,2,0,5
2024-03-01 02:20:00,0,6,0,1,0,7
2024-03-01 02:30:00,0,5,0,0,0,5
2024-03-01 02:40:00,0,3,2,1,0,6
2024-03-01 02:50:00,0,1,0,2,0,3
2024-03-01 03:00:00,0,4,3,2,0,9
2024-03-01 03:10:00,0,5,0,1,0,6
2024-03-01 03:20:00,0,8,0,5,0,13
2024-03-01 03:30:00,1,2,3,10,0,16
2024-03-01 03:40:00,0,5,0,4,0,9
2024-03-01 03:50:00,0,3,0,1,0,4
2024-03-01 04:00:00,0,0,0,1,0,1
2024-03-01 04:10:00,0,4,0,5,0,9
2024-03-01 04:20:00,0,1,0,4,0,5
2024-03-01 04:30:00,0,8,1,14,0,23
2024-03-01 04:40:00,0,0,0,9,0,9
2024-03-01 04:50:00,0,7,2,13,0,22
2024-03-01 05:00:00,0,6,0,19,0,25
2024-03-01 05:10:00,0,8,1,21,0,30
2024-03-01 05:20:00,0,4,3,30,0,37
2024-03-01 05:30:00,0,13,6,48,0,67
2024-03-01 05:40:00,0,14,7,43,0,64
2024-03-01 05:50:00,0,13,9,53,0,75
2024-03-01 06:00:00,2,21,13,47,1,84
2024-03-01 06:10:00,30,20,21,49,0,120
2024-03-01 06:20:00,29,18,34,47,1,129
2024-03-01 06:30:00,33,27,37,43,0,140
2024-03-01 06:40:00,33,19,45,64,0,161
2024-03-01 06:50:00,33,25,49,58,2,167
2024-03-01 07:00:00,29,22,44,52,14,161
2024-03-01 07:10:00,12,23,51,52,3,141
2024-03-01 07:20:00,5,30,68,54,2,159
2024-03-01 07:30:00,2,27,71,81,4,185
2024-03-01 07:40:00,0,24,63,51,5,143
2024-03-01 07:50:00,6,42,65,58,2,173
2024-03-01 08:00:00,2,34,64,49,1,150
2024-03-01 08:10:00,3,29,66,45,5,148
2024-03-01 08:20:00,2,35,52,45,5,139
2024-03-01 08:30:00,5,27,40,64,5,141
2024-03-01 08:40:00,3,34,46,43,1,127
2024-03-01 08:50:00,2,44,58,45,3,152
2024-03-01 09:00:00,2,30,48,44,2,126
2024-03-01 09:10:00,2,32,43,70,2,149
2024-03-01 09:20:00,3,38,45,65,2,153
2024-03-01 09:30:00,4,23,27,48,1,103
2024-03-01 09:40:00,3,35,21,63,1,123
2024-03-01 09:50:00,4,28,24,50,5,111
2024-03-01 10:00:00,2,39,27,47,5,120
2024-03-01 10:10:00,3,32,28,48,1,112
2024-03-01 10:20:00,7,27,34,39,4,111
2024-03-01 10:30:00,6,36,32,59,4,137
2024-03-01 10:40:00,2,29,30,58,0,119
2024-03-01 10:50:00,6,37,35,46,0,124
2024-03-01 11:00:00,4,33,33,46,3,119
2024-03-01 11:10:00,2,35,31,59,0,127
2024-03-01 11:20:00,0,39,47,47,5,138
2024-03-01 11:30:00,2,35,27,67,1,132
2024-03-01 11:40:00,1,41,26,58,3,129
2024-03-01 11:50:00,4,48,18,51,1,122
2024-03-01 12:00:00,10,36,27,36,5,114
2024-03-01 12:10:00,6,39,20,53,2,120
2024-03-01 12:20:00,2,46,31,45,0,124
2024-03-01 12:30:00,6,39,28,38,5,116
2024-03-01 12:40:00,5,35,40,37,1,118
2024-03-01 12:50:00,12,32,39,27,3,113
2024-03-01 13:00:00,5,50,44,37,5,141
2024-03-01 13:10:00,8,35,31,40,1,115
2024-03-01 13:20:00,7,39,25,50,3,124
2024-03-01 13:30:00,13,37,21,34,1,106
2024-03-01 13:40:00,11,32,36,37,0,116
2024-03-01 13:50:00,11,39,30,40,3,123
2024-03-01 14:00:00,7,48,29,50,1,135
2024-03-01 14:10:00,8,43,22,40,5,118
2024-03-01 14:20:00,14,46,24,45,4,133
2024-03-01 14:30:00,10,45,31,55,0,141
2024-03-01 14:40:00,30,31,30,50,4,145
2024-03-01 14:50:00,24,47,14,47,1,133
2024-03-01 15:00:00,37,41,20,49,6,153
2024-03-01 15:10:00,51,35,17,56,0,159
2024-03-01 15:20:00,40,33,26,46,8,153
2024-03-01 15:30:00,39,26,26,67,4,162
2024-03-01 15:40:00,33,31,30,51,6,151
2024-03-01 15:50:00,49,35,23,47,10,164
2024-03-01 16:00:00,40,33,27,39,4,143
2024-03-01 16:10:00,38,36,35,43,5,157
2024-03-01 16:20:00,54,27,30,45,3,159
2024-03-01 16:30:00,48,33,25,35,5,146
2024-03-01 16:40:00,45,39,24,57,4,169
2024-03-01 16:50:00,46,29,21,43,5,144
2024-03-01 17:00:00,42,29,31,40,2,144
2024-03-01 17:10:00,53,31,32,56,2,174
2024-03-01 17:20:00,46,33,24,40,1,144
2024-03-01 17:30:00,36,27,23,47,3,136
2024-03-01 17:40:00,39,31,19,41,5,135
2024-03-01 17:50:00,38,28,22,45,1,134
2024-03-01 18:00:00,47,35,17,53,3,155
2024-03-01 18:10:00,44,25,21,61,3,154
2024-03-01 18:20:00,35,36,23,33,5,132
2024-03-01 18:30:00,56,26,27,60,2,171
2024-03-01 18:40:00,33,26,23,33,4,119
2024-03-01 18:50:00,35,20,12,55,4,126
2024-03-01 19:00:00,40,21,18,46,2,127
2024-03-01 19:10:00,32,26,15,51,1,125
2024-03-01 19:20:00,32,26,15,47,3,123
2024-03-01 19:30:00,8,30,14,50,1,103
2024-03-01 19:40:00,16,24,21,28,3,92
2024-03-01 19:50:00,4,23,6,41,0,74
2024-03-01 20:00:00,4,28,8,55,2,97
2024-03-01 20:10:00,7,28,9,50,1,95
2024-03-01 20:20:00,5,36,5,44,1,91
2024-03-01 20:30:00,5,24,8,38,1,76
2024-03-01 20:40:00,3,20,7,36,2,68
2024-03-01 20:50:00,2,37,3,32,1,75
2024-03-01 21:00:00,7,21,5,22,2,57
2024-03-01 21:10:00,4,26,8,32,1,71
2024-03-01 21:20:00,1,26,5,33,0,65
2024-03-01 21:30:00,35,23,10,30,2,100
2024-03-01 21:40:00,55,21,2,30,1,109
2024-03-01 21:50:00,46,27,1,38,0,112
