datetime,V21Z,V22Z,D51Z,D81Z,D82Z,D91Z,D41Z,V83Z,V84Z,V92Z,V43Z,V44Z,Total
2024-03-01 14:20:00,0,0,6,67,73,15,0,15,15,7,16,12,226
2024-03-01 14:30:00,0,0,3,57,62,18,0,20,19,7,12,19,217
2024-03-01 14:40:00,0,0,8,69,61,18,0,11,18,5,19,15,224
2024-03-01 14:50:00,0,0,11,53,68,14,0,15,24,4,16,15,220
2024-03-01 15:00:00,0,0,10,66,69,18,0,15,20,3,19,18,238
2024-03-01 15:10:00,0,0,12,68,83,31,0,10,13,8,13,13,251
2024-03-01 15:20:00,0,0,10,48,63,24,0,13,14,10,16,14,212
2024-03-01 15:30:00,0,0,15,55,63,14,0,25,24,6,16,14,232
2024-03-01 15:40:00,0,0,15,57,58,21,0,19,20,8,20,14,232
2024-03-01 15:50:00,0,0,7,59,56,26,0,19,19,11,19,14,230
2024-03-01 16:00:00,0,0,19,62,76,25,0,16,22,11,12,17,260
2024-03-01 16:10:00,0,0,15,85,75,21,0,23,28,5,17,18,287
2024-03-01 16:20:00,0,0,13,66,65,15,0,13,19,6,14,16,227
2024-03-01 16:30:00,0,0,13,44,59,19,0,17,14,7,15,14,202
2024-03-01 16:40:00,0,0,17,66,56,26,0,16,18,8,13,14,234
2024-03-01 16:50:00,0,0,11,57,64,19,0,22,17,9,11,17,227
2024-03-01 17:00:00,0,0,12,63,67,19,0,15,20,10,12,17,235
2024-03-01 17:10:00,0,0,18,51,60,12,0,19,17,4,11,15,207
2024-03-01 17:20:00,0,0,10,60,61,11,0,17,18,3,12,11,203
2024-03-01 17:30:00,0,0,13,65,61,4,0,20,17,2,20,9,211
2024-03-01 17:40:00,0,0,12,50,43,16,0,22,19,6,20,12,200
2024-03-01 17:50:00,0,0,14,62,47,12,0,17,13,4,14,16,199
2024-03-01 18:00:00,0,0,16,57,70,22,0,22,21,8,17,15,248
2024-03-01 18:10:00,0,0,22,62,70,5,0,22,14,24,10,10,239
2024-03-01 18:20:00,0,0,15,60,59,16,0,40,22,26,8,11,257
2024-03-01 18:30:00,0,0,13,52,60,14,0,26,39,40,13,26,283
2024-03-01 18:40:00,0,0,9,57,50,14,0,30,44,44,16,15,279
2024-03-01 18:50:00,0,0,7,57,54,13,0,28,30,51,15,7,262
2024-03-01 19:00:00,0,0,8,46,49,15,0,31,37,66,9,9,270
2024-03-01 19:10:00,0,0,4,46,54,13,0,32,43,44,14,7,257
2024-03-01 19:20:00,0,0,10,55,47,5,0,30,32,42,17,14,252
2024-03-01 19:30:00,0,0,8,51,50,3,0,44,30,36,28,17,267
2024-03-01 19:40:00,0,0,5,46,40,16,0,48,44,37,9,23,268
2024-03-01 19:50:00,0,0,4,36,34,14,0,43,20,41,6,14,212
2024-03-01 20:00:00,0,0,3,50,43,5,0,55,49,37,11,12,265
2024-03-01 20:10:00,0,0,2,32,38,15,0,36,52,29,5,6,215
2024-03-01 20:20:00,0,0,3,35,40,15,0,39,35,26,7,10,210
2024-03-01 20:30:00,0,0,1,44,41,11,0,44,54,18,5,8,226
2024-03-01 20:40:00,0,0,7,31,31,6,0,28,55,26,10,11,205
2024-03-01 20:50:00,0,0,1,19,31,6,0,30,43,18,2,13,163
2024-03-01 21:00:00,0,0,1,43,37,3,0,48,42,46,5,7,232
2024-03-01 21:10:00,0,0,1,31,39,7,0,38,50,28,8,10,212
2024-03-01 21:20:00,0,0,2,27,25,6,0,32,36,24,4,4,160
2024-03-01 21:30:00,0,0,1,38,38,6,0,39,50,35,3,5,215
2024-03-01 21:40:00,0,0,4,27,36,2,0,42,37,54,4,5,211
2024-03-01 21:50:00,0,0,0,27,42,4,0,37,46,27,10,12,205
2024-03-01 22:00:00,0,0,2,29,33,0,0,46,44,26,8,9,197
2024-03-01 22:10:00,0,0,4,30,23,4,0,38,23,15,2,3,142
