datetime,V21Z,V22Z,V51Z,V52Z,V61Z,V62Z,V81Z,V82Z,D53Z,D54Z,D55Z,D63Z,D64Z,Total
2024-03-01 13:40:00,8,6,12,19,20,5,22,20,44,26,45,61,13,301
2024-03-01 13:50:00,13,14,14,26,22,4,24,20,49,36,45,75,11,353
2024-03-01 14:00:00,24,17,16,18,19,5,28,20,40,40,38,68,8,341
2024-03-01 14:10:00,17,1,17,19,12,4,20,24,40,35,39,60,8,296
2024-03-01 14:20:00,24,0,10,24,23,6,24,19,46,34,44,71,12,337
2024-03-01 14:30:00,21,1,22,25,16,3,22,17,47,41,45,68,9,337
2024-03-01 14:40:00,24,13,17,17,28,5,23,18,45,24,46,48,9,317
2024-03-01 14:50:00,20,20,12,16,20,11,20,19,35,33,32,55,15,308
2024-03-01 15:00:00,16,10,15,20,28,6,20,15,49,29,44,68,13,333
2024-03-01 15:10:00,11,0,23,17,31,4,21,17,42,31,42,57,11,307
2024-03-01 15:20:00,16,1,19,17,23,6,18,14,31,37,31,63,9,285
2024-03-01 15:30:00,26,1,15,23,14,2,17,22,39,35,38,53,10,295
2024-03-01 15:40:00,22,7,18,18,23,5,16,13,43,29,42,55,9,300
2024-03-01 15:50:00,21,3,14,21,20,10,21,23,55,42,52,68,9,359
2024-03-01 16:00:00,22,12,22,17,20,5,20,15,41,34,39,76,13,336
2024-03-01 16:10:00,20,0,23,29,25,1,26,19,36,36,33,66,13,327
2024-03-01 16:20:00,18,1,27,21,22,2,22,18,41,32,39,77,10,330
2024-03-01 16:30:00,26,6,17,19,21,5,20,19,41,35,35,58,16,318
2024-03-01 16:40:00,17,13,19,34,20,5,15,15,49,31,48,69,8,343
2024-03-01 16:50:00,31,12,18,23,35,4,15,17,46,31,47,70,16,365
2024-03-01 17:00:00,19,8,20,27,17,1,24,22,47,39,44,54,7,329
2024-03-01 17:10:00,23,4,20,33,18,4,19,15,29,40,25,60,11,301
2024-03-01 17:20:00,20,8,20,26,28,7,25,23,43,37,36,67,14,354
2024-03-01 17:30:00,21,7,19,18,22,5,15,14,38,20,36,62,8,285
2024-03-01 17:40:00,15,4,14,21,23,9,17,12,36,40,36,55,9,291
2024-03-01 17:50:00,18,2,20,18,28,4,20,24,44,28,40,59,7,312
2024-03-01 18:00:00,27,10,12,22,20,3,25,34,47,31,45,56,7,339
2024-03-01 18:10:00,18,17,14,15,28,3,24,18,37,20,34,51,10,289
2024-03-01 18:20:00,14,0,25,34,29,5,19,24,46,38,44,71,16,365
2024-03-01 18:30:00,24,4,17,24,20,1,21,19,43,31,37,59,7,307
2024-03-01 18:40:00,19,1,23,60,28,2,28,22,34,30,31,46,8,332
2024-03-01 18:50:00,33,7,18,27,17,5,28,16,42,34,38,61,10,336
2024-03-01 19:00:00,34,25,21,37,32,1,17,21,32,31,31,55,7,344
2024-03-01 19:10:00,20,9,18,29,33,3,23,25,30,33,30,52,4,309
2024-03-01 19:20:00,35,23,20,21,23,3,23,20,22,22,19,52,3,286
2024-03-01 19:30:00,31,33,12,20,24,2,19,19,24,20,17,52,4,277
2024-03-01 19:40:00,27,43,21,29,27,2,16,18,14,28,13,55,7,300
2024-03-01 19:50:00,44,42,12,34,27,0,14,14,23,29,20,34,5,298
2024-03-01 20:00:00,26,42,32,41,34,1,21,17,36,11,35,29,8,333
2024-03-01 20:10:00,31,55,23,52,40,0,26,21,22,20,21,57,17,385
2024-03-01 20:20:00,46,73,25,33,22,0,17,20,30,19,30,31,2,348
2024-03-01 20:30:00,29,51,16,36,45,1,23,19,22,18,21,44,8,333
2024-03-01 20:40:00,37,58,22,27,26,2,12,19,22,18,22,40,8,313
2024-03-01 20:50:00,34,39,15,26,22,0,20,16,14,12,14,32,4,248
2024-03-01 21:00:00,22,38,23,34,37,0,16,7,23,17,23,42,14,296
2024-03-01 21:10:00,25,39,15,42,21,0,10,14,23,17,21,22,3,252
2024-03-01 21:20:00,14,25,24,34,30,0,24,15,20,19,20,41,4,270
2024-03-01 21:30:00,24,46,17,22,33,0,13,17,21,17,17,31,6,264
2024-03-01 21:40:00,39,35,16,33,21,0,19,12,21,19,19,30,5,269
2024-03-01 21:50:00,25,36,17,24,24,0,18,17,19,14,18,27,6,245
2024-03-01 22:00:00,25,39,16,29,30,1,10,11,24,9,21,41,8,264
2024-03-01 22:10:00,20,43,16,46,37,1,12,13,26,15,24,37,1,291
2024-03-01 22:20:00,27,46,10,31,27,1,10,16,13,15,9,39,12,256
2024-03-01 22:30:00,12,23,18,27,22,0,11,15,20,3,20,21,3,195
2024-03-01 22:40:00,14,40,16,18,37,0,14,11,21,11,20,35,5,242
2024-03-01 22:50:00,19,31,21,28,26,2,18,15,23,6,22,29,3,243
2024-03-01 23:00:00,19,34,10,37,26,0,13,12,15,12,13,35,9,235
2024-03-01 23:10:00,29,31,16,30,34,0,13,14,26,5,24,39,7,268
2024-03-01 23:20:00,21,27,20,29,20,0,17,14,23,12,23,25,4,235
2024-03-01 23:30:00,10,32,8,26,33,0,12,11,14,7,14,28,4,199
2024-03-01 23:40:00,6,24,20,31,28,1,10,10,22,10,22,28,5,217
2024-03-01 23:50:00,10,23,12,17,18,0,10,10,9,9,9,15,7,149
2024-03-02 00:00:00,15,25,13,21,23,0,7,13,16,8,17,19,2,179
2024-03-02 00:10:00,17,35,6,15,19,0,6,13,12,6,11,15,3,158
2024-03-02 00:20:00,19,28,9,22,19,3,10,8,12,7,12,20,5,174
2024-03-02 00:30:00,15,27,8,17,20,0,7,11,9,5,8,17,2,146
2024-03-02 00:40:00,12,15,3,10,26,0,5,9,4,9,3,19,6,121
2024-03-02 00:50:00,9,8,4,23,21,0,1,10,4,2,4,19,2,107
2024-03-02 01:00:00,11,23,9,20,12,0,6,11,13,10,13,10,3,141
2024-03-02 01:10:00,4,17,9,8,10,0,2,4,6,2,7,8,0,77
2024-03-02 01:20:00,3,13,15,12,15,0,4,10,8,1,7,15,2,105
2024-03-02 01:30:00,4,16,6,10,13,0,7,7,6,2,6,8,2,87
2024-03-02 01:40:00,12,15,3,8,17,0,2,5,6,4,6,13,2,93
2024-03-02 01:50:00,6,10,7,7,2,0,5,3,9,1,7,2,0,59
2024-03-02 02:00:00,2,10,6,19,8,2,2,3,6,8,6,7,0,79
2024-03-02 02:10:00,6,30,4,13,17,0,5,3,4,1,3,11,3,100
2024-03-02 02:20:00,12,24,10,15,16,0,3,6,7,2,7,10,3,115
2024-03-02 02:30:00,3,7,5,7,9,1,4,4,5,4,4,8,2,63
2024-03-02 02:40:00,3,16,2,12,16,0,4,1,5,2,5,12,4,82
2024-03-02 02:50:00,6,6,3,15,17,0,5,8,4,1,4,12,2,83
2024-03-02 03:00:00,6,11,1,4,8,0,2,5,1,1,1,4,1,45
2024-03-02 03:10:00,5,5,3,4,4,0,1,4,3,0,3,2,1,35
2024-03-02 03:20:00,2,20,3,10,16,0,2,3,3,2,3,8,1,73
2024-03-02 03:30:00,4,4,3,5,3,1,1,3,2,1,2,3,2,34
2024-03-02 03:40:00,6,2,3,7,7,0,0,1,4,3,3,4,0,40
2024-03-02 03:50:00,0,12,3,5,5,0,2,3,4,3,3,6,0,46
2024-03-02 04:00:00,5,10,4,5,4,0,3,0,3,3,3,2,0,42
2024-03-02 04:10:00,1,6,2,13,12,0,3,5,3,3,3,6,2,59
2024-03-02 04:20:00,5,16,1,10,8,2,1,0,1,3,1,5,2,55
2024-03-02 04:30:00,5,16,7,8,7,2,1,4,5,4,4,8,0,71
2024-03-02 04:40:00,4,9,2,11,10,0,1,4,2,4,2,9,0,58
2024-03-02 04:50:00,4,10,3,7,9,3,5,3,3,1,3,7,1,59
2024-03-02 05:00:00,3,6,7,9,6,3,3,2,6,5,6,5,0,61
