datetime,D21Z,D22Z,V23Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,Total
2024-03-01 14:00:00,58,0,43,23,16,46,0,33,3,1,223
2024-03-01 14:10:00,75,0,43,19,17,59,0,35,1,1,250
2024-03-01 14:20:00,61,0,43,15,13,74,0,40,3,1,250
2024-03-01 14:30:00,59,0,43,15,10,50,0,42,1,2,222
2024-03-01 14:40:00,69,0,39,20,14,57,0,39,1,2,241
2024-03-01 14:50:00,81,0,56,21,19,49,0,27,1,0,254
2024-03-01 15:00:00,64,0,37,19,11,60,0,42,3,0,236
2024-03-01 15:10:00,75,0,41,21,19,44,0,32,0,1,233
2024-03-01 15:20:00,77,0,56,21,13,46,0,29,2,5,249
2024-03-01 15:30:00,61,0,44,23,13,47,0,37,2,3,230
2024-03-01 15:40:00,73,0,43,15,14,48,0,38,3,2,236
2024-03-01 15:50:00,81,0,49,27,17,51,0,35,1,1,262
2024-03-01 16:00:00,68,0,28,17,10,46,0,32,4,0,205
2024-03-01 16:10:00,68,0,43,19,13,45,0,32,7,4,231
2024-03-01 16:20:00,72,0,54,15,13,47,0,40,1,1,243
2024-03-01 16:30:00,78,0,44,15,16,36,0,32,2,0,223
2024-03-01 16:40:00,64,0,43,26,17,50,0,34,0,0,234
2024-03-01 16:50:00,84,0,44,22,17,42,0,25,4,2,240
2024-03-01 17:00:00,74,0,49,19,13,54,0,29,1,2,241
2024-03-01 17:10:00,65,0,32,21,13,55,0,35,2,1,224
2024-03-01 17:20:00,67,0,40,23,16,45,0,35,1,3,230
2024-03-01 17:30:00,70,0,49,23,22,49,0,36,5,0,254
2024-03-01 17:40:00,75,0,40,19,18,56,0,38,6,3,255
2024-03-01 17:50:00,70,0,50,23,12,50,0,36,5,1,247
2024-03-01 18:00:00,61,0,33,18,13,59,0,47,1,4,236
2024-03-01 18:10:00,62,0,35,16,15,47,0,35,1,2,213
2024-03-01 18:20:00,53,0,34,18,13,43,0,58,3,1,223
2024-03-01 18:30:00,51,0,57,11,12,39,0,54,2,0,226
2024-03-01 18:40:00,52,0,43,25,23,36,0,56,1,6,242
2024-03-01 18:50:00,55,0,50,12,13,32,0,43,0,1,206
2024-03-01 19:00:00,44,0,42,13,17,34,0,48,1,0,199
2024-03-01 19:10:00,46,0,45,15,22,41,0,66,0,0,235
2024-03-01 19:20:00,32,0,31,15,18,29,0,46,0,2,173
2024-03-01 19:30:00,45,0,47,13,13,30,0,46,0,1,195
2024-03-01 19:40:00,49,0,40,9,9,26,0,40,0,1,174
2024-03-01 19:50:00,35,0,36,12,18,31,0,50,0,1,183
2024-03-01 20:00:00,38,0,36,8,9,17,0,24,0,0,132
2024-03-01 20:10:00,28,0,38,11,14,24,0,35,0,3,153
2024-03-01 20:20:00,26,0,32,7,10,23,0,26,0,2,126
2024-03-01 20:30:00,27,0,26,12,13,12,0,21,0,0,111
2024-03-01 20:40:00,26,0,26,8,14,8,0,10,0,0,92
2024-03-01 20:50:00,22,0,25,8,8,15,0,22,0,0,100
2024-03-01 21:00:00,30,0,32,7,6,16,0,24,2,1,118
2024-03-01 21:10:00,27,0,32,2,3,14,0,24,0,0,102
2024-03-01 21:20:00,25,0,26,4,4,21,0,28,0,0,108
2024-03-01 21:30:00,15,0,16,7,10,15,0,22,0,0,85
2024-03-01 21:40:00,23,0,31,3,5,18,0,29,1,0,110
2024-03-01 21:50:00,32,0,35,4,7,9,0,11,0,0,98
2024-03-01 22:00:00,17,0,17,6,8,12,0,19,0,0,79
2024-03-01 22:10:00,22,0,17,3,4,18,0,29,0,0,93
2024-03-01 22:20:00,27,0,31,3,5,14,0,22,0,0,102
2024-03-01 22:30:00,23,0,33,4,7,5,0,8,0,0,80
2024-03-01 22:40:00,19,0,20,5,5,17,0,22,0,0,88
2024-03-01 22:50:00,15,0,17,4,7,10,0,17,0,0,70
2024-03-01 23:00:00,14,0,18,2,3,12,0,17,0,0,66
2024-03-01 23:10:00,16,0,16,3,8,8,0,12,0,0,63
2024-03-01 23:20:00,12,0,17,0,0,7,0,12,0,0,48
2024-03-01 23:30:00,11,0,15,0,0,4,0,6,1,0,37
2024-03-01 23:40:00,11,0,13,2,2,11,0,18,0,0,57
2024-03-01 23:50:00,14,0,16,3,7,8,0,13,0,0,61
2024-03-02 00:00:00,10,0,15,4,4,6,0,11,0,0,50
2024-03-02 00:10:00,9,0,10,3,5,9,0,16,0,0,52
2024-03-02 00:20:00,10,0,14,2,5,7,0,11,0,0,49
2024-03-02 00:30:00,8,0,9,3,2,8,0,11,0,0,41
2024-03-02 00:40:00,10,0,15,0,0,9,0,15,0,0,49
2024-03-02 00:50:00,8,0,9,1,2,3,0,5,0,0,28
2024-03-02 01:00:00,11,0,14,0,0,4,0,5,0,0,34
2024-03-02 01:10:00,7,0,10,0,0,3,0,4,0,0,24
2024-03-02 01:20:00,6,0,8,0,0,8,0,13,0,0,35
2024-03-02 01:30:00,3,0,3,1,0,5,0,5,0,0,17
2024-03-02 01:40:00,5,0,5,0,0,5,0,5,0,0,20
2024-03-02 01:50:00,7,0,10,0,0,1,0,2,0,0,20
2024-03-02 02:00:00,10,0,14,1,0,4,0,8,0,0,37
2024-03-02 02:10:00,4,0,6,0,0,3,0,3,0,0,16
2024-03-02 02:20:00,2,0,2,0,0,2,0,3,0,0,9
2024-03-02 02:30:00,9,0,9,1,2,2,0,2,0,0,25
2024-03-02 02:40:00,6,0,7,0,0,2,0,3,0,0,18
2024-03-02 02:50:00,3,0,3,4,5,3,0,3,0,1,22
2024-03-02 03:00:00,1,0,2,2,4,1,0,1,0,0,11
2024-03-02 03:10:00,5,0,7,0,0,5,0,6,0,0,23
2024-03-02 03:20:00,3,0,4,0,0,4,0,7,0,0,18
2024-03-02 03:30:00,3,0,7,2,3,0,0,0,0,0,15
2024-03-02 03:40:00,4,0,6,0,0,1,0,2,0,0,13
2024-03-02 03:50:00,3,0,3,0,0,0,0,0,0,0,6
2024-03-02 04:00:00,4,0,3,0,0,0,0,0,0,0,7
2024-03-02 04:10:00,2,0,3,0,0,2,0,3,0,0,10
2024-03-02 04:20:00,4,0,5,1,1,2,0,3,0,0,16
2024-03-02 04:30:00,2,0,4,0,0,2,0,3,0,0,11
2024-03-02 04:40:00,1,0,1,0,0,0,0,0,0,0,2
2024-03-02 04:50:00,3,0,4,1,2,4,0,6,0,0,20
2024-03-02 05:00:00,0,0,0,1,1,2,0,4,0,0,8
2024-03-02 05:10:00,3,0,4,0,0,2,0,3,0,0,12
2024-03-02 05:20:00,3,0,5,0,0,3,0,5,0,0,16
2024-03-02 05:30:00,0,0,0,0,0,4,0,4,0,0,8
2024-03-02 05:40:00,4,0,5,0,0,2,0,3,0,0,14
2024-03-02 05:50:00,5,0,8,1,1,0,0,0,0,0,15
2024-03-02 06:00:00,4,0,6,1,3,2,0,2,0,0,18
2024-03-02 06:10:00,2,0,3,0,0,3,0,3,0,0,11
2024-03-02 06:20:00,5,0,7,3,2,6,0,11,0,0,34
2024-03-02 06:30:00,6,0,8,4,9,9,0,14,0,0,50
2024-03-02 06:40:00,3,0,5,2,0,2,0,1,0,0,13
2024-03-02 06:50:00,11,0,10,2,1,9,0,11,0,0,44
2024-03-02 07:00:00,8,0,8,5,9,3,0,3,0,0,36
2024-03-02 07:10:00,8,0,7,3,3,4,0,5,0,0,30
2024-03-02 07:20:00,6,0,6,4,5,13,0,11,0,0,45
2024-03-02 07:30:00,10,0,9,5,5,8,0,8,0,0,45
2024-03-02 07:40:00,11,0,11,2,2,8,0,7,0,1,42
2024-03-02 07:50:00,15,0,14,9,8,16,0,16,0,0,78
2024-03-02 08:00:00,14,0,16,11,9,9,0,7,0,2,68
2024-03-02 08:10:00,20,0,19,11,12,12,0,12,0,0,86
2024-03-02 08:20:00,17,0,16,7,8,25,0,22,0,0,95
2024-03-02 08:30:00,23,0,24,10,9,26,0,26,0,0,118
2024-03-02 08:40:00,32,0,28,10,10,24,0,21,2,0,127
2024-03-02 08:50:00,31,0,29,13,12,23,0,21,1,0,130
2024-03-02 09:00:00,32,0,29,13,14,21,0,20,0,0,129
2024-03-02 09:10:00,41,0,35,15,8,26,0,21,2,1,149
2024-03-02 09:20:00,26,0,20,17,15,35,0,25,0,0,138
2024-03-02 09:30:00,38,0,34,23,15,34,0,27,1,0,172
2024-03-02 09:40:00,41,0,32,26,13,57,0,42,1,0,212
2024-03-02 09:50:00,57,0,38,18,12,41,0,28,1,1,196
2024-03-02 10:00:00,50,0,32,22,12,37,0,31,0,0,184
2024-03-02 10:10:00,56,0,40,23,13,49,0,33,1,0,215
2024-03-02 10:20:00,47,0,39,14,8,38,0,27,0,3,176
2024-03-02 10:30:00,47,0,35,18,15,38,0,32,1,1,187
2024-03-02 10:40:00,51,0,40,19,14,52,0,35,10,0,221
2024-03-02 10:50:00,52,0,39,26,17,33,0,24,2,1,194
2024-03-02 11:00:00,57,0,43,17,9,47,0,37,0,1,211
2024-03-02 11:10:00,53,0,37,14,9,45,0,39,1,3,201
2024-03-02 11:20:00,51,0,40,18,12,31,0,30,0,1,183
2024-03-02 11:30:00,48,0,32,23,20,36,0,34,0,1,194
2024-03-02 11:40:00,51,0,36,20,18,38,0,27,4,1,195
2024-03-02 11:50:00,50,0,41,14,16,32,0,29,0,1,183
2024-03-02 12:00:00,36,0,33,19,13,43,0,28,0,1,173
2024-03-02 12:10:00,58,0,30,20,11,36,0,26,1,6,188
2024-03-02 12:20:00,47,0,34,20,11,47,0,37,3,1,200
2024-03-02 12:30:00,59,0,41,25,16,54,0,41,0,0,236
2024-03-02 12:40:00,43,0,30,23,10,42,0,23,0,1,172
2024-03-02 12:50:00,88,0,43,24,15,125,0,78,0,1,374
2024-03-02 13:00:00,92,0,56,22,22,138,0,77,0,2,409
2024-03-02 13:10:00,49,0,31,26,8,126,0,67,2,4,313
2024-03-02 13:20:00,55,0,39,24,18,139,0,77,0,0,352
2024-03-02 13:30:00,73,0,28,34,17,112,0,63,0,4,331
2024-03-02 13:40:00,59,0,42,24,15,123,0,44,1,1,309
2024-03-02 13:50:00,66,0,42,27,21,131,0,40,2,0,329
2024-03-02 14:00:00,71,0,44,32,11,111,0,31,0,2,302
2024-03-02 14:10:00,59,0,45,29,12,62,0,39,3,1,250
2024-03-02 14:20:00,63,0,44,28,15,49,0,36,0,3,238
2024-03-02 14:30:00,55,0,40,26,17,54,0,32,3,3,230
2024-03-02 14:40:00,56,0,40,18,14,45,0,31,4,1,209
2024-03-02 14:50:00,52,0,39,18,13,41,0,27,1,2,193
2024-03-02 15:00:00,58,0,29,20,21,40,0,19,0,0,187
2024-03-02 15:10:00,66,0,49,16,12,38,0,24,0,1,206
2024-03-02 15:20:00,59,0,45,24,11,46,0,34,2,0,221
2024-03-02 15:30:00,53,0,33,12,10,39,0,27,7,4,185
2024-03-02 15:40:00,35,0,25,27,16,34,0,21,9,1,168
2024-03-02 15:50:00,51,0,35,18,13,34,0,29,2,0,182
2024-03-02 16:00:00,45,0,33,17,14,27,0,19,0,0,155
2024-03-02 16:10:00,54,0,40,16,14,32,0,29,4,0,189
2024-03-02 16:20:00,44,0,33,15,12,46,0,31,0,2,183
2024-03-02 16:30:00,44,0,30,15,12,27,0,26,3,0,157
2024-03-02 16:40:00,35,0,31,22,26,43,0,30,3,4,194
2024-03-02 16:50:00,41,0,25,18,11,33,0,25,0,0,153
2024-03-02 17:00:00,50,0,33,18,17,38,0,24,2,1,183
2024-03-02 17:10:00,42,0,33,20,9,47,0,43,1,1,196
2024-03-02 17:20:00,58,0,38,18,16,30,0,24,0,1,185
2024-03-02 17:30:00,59,0,33,28,19,44,0,33,0,2,218
2024-03-02 17:40:00,70,0,50,14,12,37,0,30,0,0,213
2024-03-02 17:50:00,90,0,37,20,14,27,0,24,0,0,212
2024-03-02 18:00:00,62,0,33,20,10,42,0,38,0,2,207
2024-03-02 18:10:00,52,0,34,18,15,43,0,39,2,1,204
2024-03-02 18:20:00,49,0,38,19,16,42,0,47,2,1,214
2024-03-02 18:30:00,63,0,62,13,11,42,0,64,2,1,258
2024-03-02 18:40:00,55,0,40,14,22,35,0,59,1,0,226
2024-03-02 18:50:00,64,0,51,8,9,34,0,54,1,0,221
2024-03-02 19:00:00,45,0,46,19,19,35,0,53,0,0,217
2024-03-02 19:10:00,40,0,37,11,15,25,0,26,0,0,154
2024-03-02 19:20:00,36,0,39,10,16,28,0,37,1,0,167
2024-03-02 19:30:00,34,0,34,11,9,19,0,20,4,2,133
2024-03-02 19:40:00,34,0,33,11,8,12,0,18,0,0,116
2024-03-02 19:50:00,21,0,25,4,6,22,0,34,1,0,113
2024-03-02 20:00:00,25,0,31,3,4,23,0,36,0,0,122
2024-03-02 20:10:00,28,0,32,8,13,19,0,29,0,1,130
2024-03-02 20:20:00,31,0,34,5,8,21,0,31,0,0,130
2024-03-02 20:30:00,29,0,34,4,5,14,0,21,0,0,107
2024-03-02 20:40:00,32,0,33,9,14,20,0,33,0,0,141
2024-03-02 20:50:00,29,0,34,7,10,17,0,24,0,1,122
2024-03-02 21:00:00,27,0,33,2,3,13,0,21,0,0,99
2024-03-02 21:10:00,25,0,27,2,4,13,0,20,2,0,93
2024-03-02 21:20:00,23,0,33,2,4,15,0,26,0,2,105
2024-03-02 21:30:00,21,0,25,3,3,10,0,15,0,0,77
2024-03-02 21:40:00,24,0,29,4,8,21,0,33,0,0,119
2024-03-02 21:50:00,17,0,24,1,2,11,0,20,0,0,75
2024-03-02 22:00:00,13,0,20,5,10,20,0,32,0,0,100
2024-03-02 22:10:00,18,0,23,5,3,13,0,20,0,0,82
2024-03-02 22:20:00,21,0,21,9,11,22,0,31,0,0,115
2024-03-02 22:30:00,25,0,21,6,10,9,0,16,0,0,87
2024-03-02 22:40:00,25,0,30,2,2,8,0,12,0,0,79
2024-03-02 22:50:00,17,0,20,2,4,17,0,23,0,0,83
2024-03-02 23:00:00,21,0,24,4,3,4,0,8,0,0,64
2024-03-02 23:10:00,11,0,16,1,1,9,0,15,0,0,53
2024-03-02 23:20:00,14,0,21,5,6,13,0,21,0,0,80
2024-03-02 23:30:00,12,0,13,2,2,7,0,9,0,0,45
2024-03-02 23:40:00,6,0,11,1,1,8,0,12,0,1,40
2024-03-02 23:50:00,12,0,8,1,1,11,0,17,0,1,51
2024-03-03 00:00:00,18,0,19,1,2,9,0,12,0,0,61
2024-03-03 00:10:00,8,0,12,1,2,11,0,14,0,0,48
2024-03-03 00:20:00,13,0,20,1,2,5,0,8,0,0,49
2024-03-03 00:30:00,10,0,13,2,3,0,0,0,0,0,28
2024-03-03 00:40:00,11,0,15,9,6,8,0,12,0,0,61
2024-03-03 00:50:00,18,0,19,5,7,12,0,18,0,0,79
2024-03-03 01:00:00,9,0,12,1,2,3,0,3,0,0,30
2024-03-03 01:10:00,7,0,8,0,0,5,0,9,0,0,29
2024-03-03 01:20:00,10,0,14,31,4,2,0,3,0,0,64
2024-03-03 01:30:00,9,0,13,3,5,3,0,5,0,0,38
2024-03-03 01:40:00,3,0,6,2,0,7,0,12,0,0,30
2024-03-03 01:50:00,12,0,14,0,0,4,0,7,0,0,37
2024-03-03 02:00:00,7,0,9,0,0,3,0,6,0,0,25
2024-03-03 02:10:00,6,0,7,0,0,5,0,6,0,0,24
2024-03-03 02:20:00,5,0,9,2,4,6,0,10,1,0,37
2024-03-03 02:30:00,3,0,4,0,2,3,0,3,0,0,15
2024-03-03 02:40:00,4,0,4,1,1,1,0,2,0,0,13
2024-03-03 02:50:00,5,0,10,0,0,3,0,5,0,0,23
2024-03-03 03:00:00,6,0,5,0,0,3,0,3,0,0,17
2024-03-03 03:10:00,3,0,5,0,0,5,0,7,0,0,20
2024-03-03 03:20:00,9,0,14,0,0,1,0,2,0,0,26
2024-03-03 03:30:00,7,0,9,0,0,5,0,7,0,0,28
2024-03-03 03:40:00,1,0,1,1,2,4,0,7,0,0,16
2024-03-03 03:50:00,4,0,5,1,1,5,0,7,0,0,23
2024-03-03 04:00:00,9,0,7,0,0,3,0,4,0,0,23
2024-03-03 04:10:00,3,0,3,0,0,1,0,2,0,0,9
2024-03-03 04:20:00,3,0,3,0,0,0,0,0,0,0,6
2024-03-03 04:30:00,1,0,1,1,1,1,0,2,0,0,7
2024-03-03 04:40:00,1,0,3,0,0,3,0,3,0,0,10
2024-03-03 04:50:00,2,0,2,0,0,1,0,1,0,0,6
2024-03-03 05:00:00,3,0,5,0,0,0,0,0,0,0,8
2024-03-03 05:10:00,4,0,4,1,2,5,0,6,0,0,22
2024-03-03 05:20:00,1,0,2,1,1,1,0,2,0,0,8
2024-03-03 05:30:00,2,0,2,0,0,1,0,1,0,0,6
2024-03-03 05:40:00,5,0,7,1,1,2,0,3,0,0,19
2024-03-03 05:50:00,2,0,3,0,0,1,0,1,0,0,7
2024-03-03 06:00:00,2,0,3,1,2,1,0,2,0,0,11
2024-03-03 06:10:00,0,0,0,0,0,3,0,4,0,0,7
2024-03-03 06:20:00,3,0,4,1,1,3,0,6,0,0,18
2024-03-03 06:30:00,0,0,1,0,0,2,0,4,0,0,7
2024-03-03 06:40:00,6,0,7,0,0,1,0,2,0,0,16
2024-03-03 06:50:00,4,0,4,2,3,4,0,5,0,0,22
