datetime,V21Z,V22Z,V81Z,V82Z,Total
2024-03-01 01:00:00,2,0,0,0,2
2024-03-01 01:10:00,4,0,2,4,10
2024-03-01 01:20:00,5,0,0,5,10
2024-03-01 01:30:00,5,0,0,3,8
2024-03-01 01:40:00,2,0,0,2,4
2024-03-01 01:50:00,2,0,0,2,4
2024-03-01 02:00:00,0,0,0,0,0
2024-03-01 02:10:00,5,0,0,2,7
2024-03-01 02:20:00,2,0,0,1,3
2024-03-01 02:30:00,0,0,0,0,0
2024-03-01 02:40:00,0,0,0,0,0
2024-03-01 02:50:00,0,0,0,2,2
2024-03-01 03:00:00,4,0,1,2,7
2024-03-01 03:10:00,3,0,0,0,3
2024-03-01 03:20:00,3,0,0,3,6
2024-03-01 03:30:00,3,0,0,0,3
2024-03-01 03:40:00,2,0,2,1,5
2024-03-01 03:50:00,2,0,0,1,3
2024-03-01 04:00:00,2,0,0,0,2
2024-03-01 04:10:00,2,0,0,3,5
2024-03-01 04:20:00,1,0,0,3,4
2024-03-01 04:30:00,0,0,1,2,3
2024-03-01 04:40:00,1,0,0,4,5
2024-03-01 04:50:00,2,0,0,0,2
2024-03-01 05:00:00,4,2,0,4,10
2024-03-01 05:10:00,4,0,2,12,18
2024-03-01 05:20:00,4,0,1,7,12
2024-03-01 05:30:00,7,0,0,5,12
2024-03-01 05:40:00,7,0,1,9,17
2024-03-01 05:50:00,9,1,3,7,20
2024-03-01 06:00:00,5,0,3,12,20
2024-03-01 06:10:00,11,0,0,11,22
2024-03-01 06:20:00,12,1,1,18,32
2024-03-01 06:30:00,16,2,0,21,39
2024-03-01 06:40:00,26,4,0,31,61
2024-03-01 06:50:00,25,3,7,43,78
2024-03-01 07:00:00,19,2,8,46,75
2024-03-01 07:10:00,27,4,4,59,94
2024-03-01 07:20:00,27,3,12,54,96
2024-03-01 07:30:00,37,6,15,57,115
2024-03-01 07:40:00,35,4,15,43,97
2024-03-01 07:50:00,42,3,10,56,111
2024-03-01 08:00:00,52,2,7,45,106
2024-03-01 08:10:00,44,4,8,40,96
2024-03-01 08:20:00,29,2,5,40,76
2024-03-01 08:30:00,35,5,8,43,91
2024-03-01 08:40:00,39,2,3,36,80
2024-03-01 08:50:00,44,5,3,48,100
2024-03-01 09:00:00,45,3,7,45,100
2024-03-01 09:10:00,41,1,2,44,88
2024-03-01 09:20:00,43,2,3,41,89
2024-03-01 09:30:00,38,2,5,52,97
2024-03-01 09:40:00,33,3,6,59,101
2024-03-01 09:50:00,44,2,6,50,102
2024-03-01 10:00:00,33,5,7,44,89
