datetime,D11Z,V13Z,V15Z,D12Z,V14Z,V16Z,D31Z,V33Z,D32Z,V34Z,D41Z,D42Z,V43Z,V44Z,V45Z,V1Z,V2Z,V3Z,V4Z,V5Z,V6Z,Total
2024-03-01 10:00:00,72,38,120,47,62,88,28,17,14,10,53,52,12,21,5,0,0,0,0,0,0,639
2024-03-01 10:10:00,72,43,119,38,83,74,40,16,18,8,56,54,23,26,3,0,0,0,0,0,0,673
2024-03-01 10:20:00,60,27,109,46,67,80,28,18,24,15,68,69,19,24,4,0,0,0,0,0,0,658
2024-03-01 10:30:00,53,40,99,43,80,81,34,20,11,8,67,66,16,25,1,0,0,0,0,0,0,644
2024-03-01 10:40:00,62,35,112,37,83,72,42,22,9,4,64,66,22,29,6,0,0,0,0,0,0,665
2024-03-01 10:50:00,63,40,109,41,66,59,40,24,26,10,72,71,16,17,13,0,0,0,0,0,0,667
2024-03-01 11:00:00,56,35,107,43,82,81,30,16,16,15,79,78,15,20,8,0,0,0,0,0,0,681
2024-03-01 11:10:00,70,33,109,46,83,82,28,21,26,7,65,67,12,30,3,0,0,0,0,0,0,682
2024-03-01 11:20:00,56,39,108,37,66,70,49,18,21,11,89,90,19,31,4,0,0,0,0,0,0,708
2024-03-01 11:30:00,63,43,113,39,74,70,36,25,20,16,87,85,14,20,7,0,0,0,0,0,0,712
2024-03-01 11:40:00,66,34,94,37,72,62,24,15,23,7,80,80,23,27,6,0,0,0,0,0,0,650
2024-03-01 11:50:00,54,33,104,46,85,76,36,18,15,20,71,73,18,32,5,0,0,0,0,0,0,686
2024-03-01 12:00:00,64,25,102,42,78,80,41,14,21,15,86,84,22,37,12,0,0,0,0,0,0,723
2024-03-01 12:10:00,73,35,124,53,95,86,46,15,24,10,89,89,25,38,6,0,0,0,0,0,0,808
2024-03-01 12:20:00,80,29,115,48,79,68,35,16,15,9,77,79,19,29,11,0,0,0,0,0,0,709
2024-03-01 12:30:00,57,22,103,38,89,70,43,16,19,7,115,112,17,17,16,0,0,0,0,0,0,741
2024-03-01 12:40:00,87,51,133,49,70,89,46,20,22,7,86,88,17,26,8,0,0,0,0,0,0,799
2024-03-01 12:50:00,69,31,131,66,108,96,42,22,14,8,107,108,16,25,7,0,0,0,0,0,0,850
2024-03-01 13:00:00,87,17,139,49,100,79,46,18,21,10,139,138,13,16,24,0,0,0,0,0,0,896
2024-03-01 13:10:00,39,15,69,31,64,52,29,7,17,4,64,69,9,21,8,0,0,0,0,0,0,498
2024-03-01 13:20:00,72,15,120,45,106,74,41,23,35,8,119,117,20,34,8,0,0,0,0,0,0,837
2024-03-01 13:30:00,75,22,128,51,109,71,54,19,33,7,112,115,18,23,17,0,0,0,0,0,0,854
2024-03-01 13:40:00,63,22,119,45,76,77,39,15,30,5,108,105,14,22,10,0,0,0,0,0,0,750
2024-03-01 13:50:00,69,36,110,44,117,79,44,18,28,14,102,102,14,22,8,0,0,0,0,0,0,807
2024-03-01 14:00:00,69,36,115,40,107,73,41,11,19,13,121,118,17,35,10,0,0,0,0,0,0,825
2024-03-01 14:10:00,67,31,109,58,112,90,48,24,15,8,114,117,9,19,14,0,0,0,0,0,0,835
2024-03-01 14:20:00,59,13,109,52,98,75,45,17,15,9,138,137,18,22,13,0,0,0,0,0,0,820
2024-03-01 14:30:00,73,32,116,54,139,80,48,19,15,11,147,146,6,11,19,0,0,0,0,0,0,916
