datetime,D11Z,D12Z,D21Z,Total
2024-03-01 01:00:00,0,0,2,2
2024-03-01 01:10:00,0,1,7,8
2024-03-01 01:20:00,0,1,4,5
2024-03-01 01:30:00,0,0,2,2
2024-03-01 01:40:00,1,2,5,8
2024-03-01 01:50:00,0,1,4,5
2024-03-01 02:00:00,1,2,3,6
2024-03-01 02:10:00,0,1,1,2
2024-03-01 02:20:00,3,2,4,9
2024-03-01 02:30:00,0,1,2,3
2024-03-01 02:40:00,0,1,0,1
2024-03-01 02:50:00,0,0,4,4
2024-03-01 03:00:00,0,1,3,4
2024-03-01 03:10:00,1,0,0,1
2024-03-01 03:20:00,1,2,1,4
2024-03-01 03:30:00,0,1,1,2
2024-03-01 03:40:00,1,1,6,8
2024-03-01 03:50:00,0,1,1,2
2024-03-01 04:00:00,0,3,1,4
2024-03-01 04:10:00,0,1,4,5
2024-03-01 04:20:00,1,0,1,2
2024-03-01 04:30:00,0,0,2,2
2024-03-01 04:40:00,0,0,4,4
2024-03-01 04:50:00,0,0,3,3
2024-03-01 05:00:00,0,0,3,3
2024-03-01 05:10:00,1,2,6,9
2024-03-01 05:20:00,1,3,10,14
2024-03-01 05:30:00,1,1,9,11
2024-03-01 05:40:00,7,6,15,28
2024-03-01 05:50:00,5,4,11,20
2024-03-01 06:00:00,0,6,19,25
2024-03-01 06:10:00,4,8,16,28
2024-03-01 06:20:00,6,6,18,30
2024-03-01 06:30:00,5,6,24,35
2024-03-01 06:40:00,5,7,20,32
2024-03-01 06:50:00,5,8,26,39
2024-03-01 07:00:00,5,12,16,33
2024-03-01 07:10:00,4,6,24,34
2024-03-01 07:20:00,7,16,33,56
2024-03-01 07:30:00,12,19,33,64
2024-03-01 07:40:00,11,21,48,80
2024-03-01 07:50:00,22,22,39,83
2024-03-01 08:00:00,11,19,44,74
2024-03-01 08:10:00,12,22,37,71
2024-03-01 08:20:00,16,20,44,80
2024-03-01 08:30:00,18,36,39,93
2024-03-01 08:40:00,7,32,45,84
2024-03-01 08:50:00,13,23,45,81
2024-03-01 09:00:00,11,22,49,82
2024-03-01 09:10:00,13,31,42,86
2024-03-01 09:20:00,11,24,45,80
2024-03-01 09:30:00,8,28,54,90
2024-03-01 09:40:00,24,35,50,109
2024-03-01 09:50:00,13,31,52,96
2024-03-01 10:00:00,8,16,46,70
2024-03-01 10:10:00,16,31,45,92
2024-03-01 10:20:00,7,26,46,79
2024-03-01 10:30:00,13,35,58,106
2024-03-01 10:40:00,12,17,51,80
2024-03-01 10:50:00,15,30,58,103
2024-03-01 11:00:00,16,27,45,88
2024-03-01 11:10:00,8,19,56,83
2024-03-01 11:20:00,11,20,56,87
2024-03-01 11:30:00,9,25,42,76
2024-03-01 11:40:00,12,27,46,85
2024-03-01 11:50:00,20,37,64,121
2024-03-01 12:00:00,10,30,57,97
2024-03-01 12:10:00,20,34,40,94
2024-03-01 12:20:00,6,27,59,92
2024-03-01 12:30:00,13,26,56,95
2024-03-01 12:40:00,15,28,51,94
2024-03-01 12:50:00,9,21,58,88
2024-03-01 13:00:00,6,20,60,86
2024-03-01 13:10:00,16,21,58,95
2024-03-01 13:20:00,10,35,46,91
2024-03-01 13:30:00,8,17,48,73
2024-03-01 13:40:00,15,29,60,104
2024-03-01 13:50:00,5,26,64,95
2024-03-01 14:00:00,6,25,60,91
2024-03-01 14:10:00,12,37,49,98
2024-03-01 14:20:00,5,33,70,108
2024-03-01 14:30:00,9,27,70,106
2024-03-01 14:40:00,14,31,54,99
2024-03-01 14:50:00,10,25,58,93
2024-03-01 15:00:00,13,18,61,92
2024-03-01 15:10:00,12,25,49,86
2024-03-01 15:20:00,9,20,67,96
2024-03-01 15:30:00,10,26,52,88
2024-03-01 15:40:00,12,32,49,93
2024-03-01 15:50:00,11,23,57,91
2024-03-01 16:00:00,10,29,55,94
2024-03-01 16:10:00,12,25,48,85
2024-03-01 16:20:00,10,27,42,79
2024-03-01 16:30:00,8,25,61,94
2024-03-01 16:40:00,10,26,43,79
2024-03-01 16:50:00,5,20,57,82
2024-03-01 17:00:00,14,34,53,101
2024-03-01 17:10:00,9,35,52,96
2024-03-01 17:20:00,10,30,58,98
2024-03-01 17:30:00,12,28,47,87
2024-03-01 17:40:00,8,25,56,89
2024-03-01 17:50:00,15,24,49,88
2024-03-01 18:00:00,13,21,40,74
2024-03-01 18:10:00,6,16,43,65
2024-03-01 18:20:00,9,26,45,80
2024-03-01 18:30:00,7,17,54,78
2024-03-01 18:40:00,0,28,47,75
2024-03-01 18:50:00,9,31,44,84
2024-03-01 19:00:00,3,27,41,71
2024-03-01 19:10:00,6,20,42,68
2024-03-01 19:20:00,8,32,29,69
2024-03-01 19:30:00,7,16,40,63
2024-03-01 19:40:00,4,16,42,62
2024-03-01 19:50:00,2,15,37,54
2024-03-01 20:00:00,7,11,30,48
2024-03-01 20:10:00,7,18,33,58
2024-03-01 20:20:00,4,9,21,34
2024-03-01 20:30:00,5,17,36,58
2024-03-01 20:40:00,4,13,30,47
2024-03-01 20:50:00,1,6,13,20
2024-03-01 21:00:00,2,11,19,32
2024-03-01 21:10:00,1,10,13,24
2024-03-01 21:20:00,6,6,21,33
2024-03-01 21:30:00,4,10,12,26
2024-03-01 21:40:00,3,10,22,35
2024-03-01 21:50:00,1,7,20,28
2024-03-01 22:00:00,2,11,33,46
2024-03-01 22:10:00,3,4,17,24
2024-03-01 22:20:00,2,5,21,28
2024-03-01 22:30:00,5,10,21,36
2024-03-01 22:40:00,3,3,16,22
2024-03-01 22:50:00,5,5,12,22
2024-03-01 23:00:00,0,4,11,15
2024-03-01 23:10:00,5,10,14,29
2024-03-01 23:20:00,3,8,17,28
2024-03-01 23:30:00,5,7,15,27
2024-03-01 23:40:00,1,4,12,17
2024-03-01 23:50:00,0,3,12,15
2024-03-02 00:00:00,1,4,7,12
2024-03-02 00:10:00,5,4,15,24
2024-03-02 00:20:00,1,5,13,19
2024-03-02 00:30:00,0,2,8,10
2024-03-02 00:40:00,1,2,12,15
2024-03-02 00:50:00,1,1,4,6
2024-03-02 01:00:00,0,5,12,17
2024-03-02 01:10:00,1,1,4,6
2024-03-02 01:20:00,3,2,7,12
2024-03-02 01:30:00,2,1,7,10
2024-03-02 01:40:00,1,3,9,13
2024-03-02 01:50:00,1,2,5,8
2024-03-02 02:00:00,0,1,2,3
2024-03-02 02:10:00,0,2,10,12
2024-03-02 02:20:00,0,2,7,9
2024-03-02 02:30:00,1,1,1,3
2024-03-02 02:40:00,0,1,4,5
2024-03-02 02:50:00,2,2,4,8
2024-03-02 03:00:00,2,3,6,11
2024-03-02 03:10:00,0,1,5,6
2024-03-02 03:20:00,1,2,1,4
2024-03-02 03:30:00,1,3,6,10
2024-03-02 03:40:00,1,2,6,9
2024-03-02 03:50:00,0,4,3,7
2024-03-02 04:00:00,2,3,2,7
2024-03-02 04:10:00,5,2,2,9
2024-03-02 04:20:00,0,1,5,6
2024-03-02 04:30:00,1,3,3,7
2024-03-02 04:40:00,0,2,2,4
2024-03-02 04:50:00,2,1,6,9
2024-03-02 05:00:00,0,1,5,6
2024-03-02 05:10:00,1,3,4,8
2024-03-02 05:20:00,1,3,4,8
2024-03-02 05:30:00,2,1,12,15
2024-03-02 05:40:00,3,1,5,9
2024-03-02 05:50:00,2,1,5,8
2024-03-02 06:00:00,3,3,6,12
2024-03-02 06:10:00,1,1,4,6
2024-03-02 06:20:00,0,1,15,16
2024-03-02 06:30:00,2,2,14,18
2024-03-02 06:40:00,5,5,7,17
2024-03-02 06:50:00,0,0,11,11
2024-03-02 07:00:00,4,0,8,12
2024-03-02 07:10:00,2,1,7,10
2024-03-02 07:20:00,1,5,4,10
2024-03-02 07:30:00,5,3,11,19
2024-03-02 07:40:00,4,7,9,20
2024-03-02 07:50:00,4,3,17,24
2024-03-02 08:00:00,3,5,7,15
2024-03-02 08:10:00,3,2,9,14
2024-03-02 08:20:00,1,5,6,12
2024-03-02 08:30:00,4,5,14,23
2024-03-02 08:40:00,11,6,17,34
