datetime,D21Z,D22Z,D51Z,D52Z,D81Z,D111Z,D112Z,Total
2024-03-01 01:00:00,1,1,0,2,1,3,2,10
2024-03-01 01:10:00,0,2,3,3,2,1,3,14
2024-03-01 01:20:00,0,0,0,0,3,0,0,3
2024-03-01 01:30:00,0,0,0,1,1,3,3,8
2024-03-01 01:40:00,0,1,1,1,3,7,5,18
2024-03-01 01:50:00,0,1,1,1,1,1,4,9
2024-03-01 02:00:00,0,0,0,0,1,0,1,2
2024-03-01 02:10:00,0,1,1,2,3,2,2,11
2024-03-01 02:20:00,0,1,1,2,3,4,3,14
2024-03-01 02:30:00,0,1,2,2,2,1,2,10
2024-03-01 02:40:00,0,0,0,0,2,1,0,3
2024-03-01 02:50:00,0,0,0,1,0,2,2,5
2024-03-01 03:00:00,0,1,1,3,0,7,10,22
2024-03-01 03:10:00,0,1,1,2,2,2,5,13
2024-03-01 03:20:00,0,1,0,0,4,4,3,12
2024-03-01 03:30:00,0,1,1,1,1,2,4,10
2024-03-01 03:40:00,0,0,0,1,1,4,4,10
2024-03-01 03:50:00,0,0,0,3,3,5,5,16
2024-03-01 04:00:00,0,0,0,0,3,1,1,5
2024-03-01 04:10:00,0,1,1,1,2,12,3,20
2024-03-01 04:20:00,0,0,1,2,0,3,3,9
2024-03-01 04:30:00,0,0,0,3,4,3,5,15
2024-03-01 04:40:00,0,0,0,1,2,4,0,7
2024-03-01 04:50:00,0,3,2,3,8,5,6,27
2024-03-01 05:00:00,0,1,5,6,9,4,5,30
2024-03-01 05:10:00,0,1,6,4,9,3,8,31
2024-03-01 05:20:00,0,2,6,4,10,5,10,37
2024-03-01 05:30:00,0,5,1,6,20,12,14,58
2024-03-01 05:40:00,0,2,6,7,21,10,14,60
2024-03-01 05:50:00,2,7,10,5,31,18,25,98
2024-03-01 06:00:00,1,5,7,8,24,18,24,87
2024-03-01 06:10:00,0,2,7,7,21,12,21,70
2024-03-01 06:20:00,0,2,10,10,33,15,13,83
2024-03-01 06:30:00,0,1,11,13,41,23,17,106
2024-03-01 06:40:00,1,7,16,10,45,21,19,119
2024-03-01 06:50:00,5,4,9,4,38,19,31,110
2024-03-01 07:00:00,0,5,9,11,49,26,23,123
2024-03-01 07:10:00,0,6,25,19,52,48,30,180
2024-03-01 07:20:00,1,4,17,24,41,42,31,160
2024-03-01 07:30:00,2,2,24,22,47,52,27,176
2024-03-01 07:40:00,2,5,20,19,52,55,31,184
2024-03-01 07:50:00,2,13,24,20,58,49,34,200
2024-03-01 08:00:00,1,6,16,18,39,32,26,138
2024-03-01 08:10:00,0,2,11,11,45,46,23,138
2024-03-01 08:20:00,1,3,18,17,41,33,24,137
2024-03-01 08:30:00,1,4,15,21,52,39,18,150
2024-03-01 08:40:00,0,4,15,16,31,44,29,139
2024-03-01 08:50:00,0,6,20,19,49,40,24,158
2024-03-01 09:00:00,5,2,26,18,46,33,16,146
2024-03-01 09:10:00,1,6,12,12,48,37,30,146
2024-03-01 09:20:00,0,2,23,13,33,34,23,128
2024-03-01 09:30:00,1,6,19,24,43,37,26,156
2024-03-01 09:40:00,2,5,23,12,45,29,30,146
2024-03-01 09:50:00,1,11,19,17,44,33,27,152
2024-03-01 10:00:00,3,4,16,16,36,26,25,126
2024-03-01 10:10:00,2,19,10,13,36,37,24,141
2024-03-01 10:20:00,3,8,18,14,29,31,33,136
