datetime,D23Z,V24Z,D81Z,D82Z,D83Z,V84Z,Total
2024-03-01 20:30:00,32,20,7,27,28,31,145
2024-03-01 20:40:00,25,21,45,19,20,18,148
2024-03-01 20:50:00,17,14,22,19,22,17,111
2024-03-01 21:00:00,27,17,22,19,17,13,115
2024-03-01 21:10:00,24,18,80,28,27,20,197
2024-03-01 21:20:00,23,13,31,24,24,21,136
2024-03-01 21:30:00,15,15,51,19,22,17,139
2024-03-01 21:40:00,22,21,18,23,22,15,121
2024-03-01 21:50:00,19,13,33,28,27,22,142
2024-03-01 22:00:00,21,14,7,23,24,19,108
2024-03-01 22:10:00,23,18,8,15,14,11,89
2024-03-01 22:20:00,23,16,3,16,16,11,85
2024-03-01 22:30:00,12,11,4,19,20,15,81
2024-03-01 22:40:00,24,14,37,12,13,11,111
2024-03-01 22:50:00,20,14,24,16,12,10,96
2024-03-01 23:00:00,15,13,10,13,11,11,73
2024-03-01 23:10:00,13,13,18,16,15,14,89
2024-03-01 23:20:00,13,11,15,14,13,12,78
2024-03-01 23:30:00,11,12,16,14,14,15,82
2024-03-01 23:40:00,16,12,13,9,7,6,63
2024-03-01 23:50:00,9,10,280,7,6,9,321
2024-03-02 00:00:00,9,11,63,7,7,8,105
2024-03-02 00:10:00,10,7,19,12,10,12,70
2024-03-02 00:20:00,14,15,357,5,6,3,400
2024-03-02 00:30:00,11,9,458,10,8,10,506
2024-03-02 00:40:00,9,9,51,11,11,11,102
2024-03-02 00:50:00,8,6,57,8,7,7,93
2024-03-02 01:00:00,5,5,192,11,11,11,235
2024-03-02 01:10:00,5,5,99,7,5,7,128
2024-03-02 01:20:00,6,5,256,6,6,7,286
2024-03-02 01:30:00,9,9,133,7,7,7,172
2024-03-02 01:40:00,8,6,13,5,2,3,37
2024-03-02 01:50:00,3,3,27,8,8,7,56
2024-03-02 02:00:00,4,4,27,7,6,6,54
2024-03-02 02:10:00,2,2,32,2,3,2,43
2024-03-02 02:20:00,7,6,26,3,2,1,45
2024-03-02 02:30:00,6,5,44,4,3,3,65
2024-03-02 02:40:00,5,4,6,2,3,2,22
2024-03-02 02:50:00,5,4,15,4,4,3,35
2024-03-02 03:00:00,2,2,7,1,1,2,15
2024-03-02 03:10:00,3,3,74,2,2,2,86
2024-03-02 03:20:00,5,3,14,3,3,2,30
2024-03-02 03:30:00,5,3,20,2,2,2,34
2024-03-02 03:40:00,4,4,2,7,5,4,26
2024-03-02 03:50:00,2,2,49,1,1,1,56
2024-03-02 04:00:00,5,2,0,4,3,6,20
2024-03-02 04:10:00,0,0,0,1,1,1,3
2024-03-02 04:20:00,1,1,0,3,3,2,10
2024-03-02 04:30:00,2,2,0,2,2,2,10
2024-03-02 04:40:00,4,4,0,4,3,5,20
2024-03-02 04:50:00,1,3,0,5,4,3,16
2024-03-02 05:00:00,6,6,5,4,4,2,27
2024-03-02 05:10:00,4,4,12,4,3,4,31
2024-03-02 05:20:00,6,5,180,2,2,2,197
2024-03-02 05:30:00,10,8,61,5,5,3,92
2024-03-02 05:40:00,8,6,25,5,6,4,54
2024-03-02 05:50:00,3,1,7,8,7,7,33
2024-03-02 06:00:00,3,3,13,4,4,4,31
2024-03-02 06:10:00,6,5,90,10,10,12,133
2024-03-02 06:20:00,5,4,31,5,5,7,57
2024-03-02 06:30:00,7,3,4,4,4,6,28
2024-03-02 06:40:00,6,5,2,8,8,8,37
2024-03-02 06:50:00,10,8,3,11,12,10,54
2024-03-02 07:00:00,11,12,104,14,11,8,160
2024-03-02 07:10:00,3,2,27,5,5,5,47
2024-03-02 07:20:00,10,8,62,15,14,13,122
2024-03-02 07:30:00,7,7,21,12,10,10,67
2024-03-02 07:40:00,2,2,11,3,2,5,25
2024-03-02 07:50:00,20,15,24,18,18,12,107
2024-03-02 08:00:00,15,13,88,16,19,13,164
2024-03-02 08:10:00,7,7,10,24,22,16,86
2024-03-02 08:20:00,20,15,7,21,23,18,104
2024-03-02 08:30:00,20,13,8,26,25,17,109
2024-03-02 08:40:00,18,13,7,30,30,23,121
2024-03-02 08:50:00,24,16,8,25,23,20,116
2024-03-02 09:00:00,23,18,11,34,31,20,137
2024-03-02 09:10:00,26,19,33,25,27,18,148
2024-03-02 09:20:00,19,20,39,27,26,19,150
2024-03-02 09:30:00,31,26,25,29,29,21,161
2024-03-02 09:40:00,30,23,47,40,40,26,206
2024-03-02 09:50:00,34,25,36,31,31,25,182
2024-03-02 10:00:00,32,24,21,30,28,25,160
2024-03-02 10:10:00,44,29,47,59,57,31,267
