datetime,D21Z,V22Z,D51Z,V52Z,D81Z,V82Z,D111Z,V112Z,Total
2024-03-01 17:50:00,14,8,11,82,14,8,86,25,248
2024-03-01 18:00:00,10,5,11,59,21,15,92,27,240
2024-03-01 18:10:00,15,7,14,82,22,18,71,22,251
2024-03-01 18:20:00,9,6,12,65,16,11,95,30,244
2024-03-01 18:30:00,6,5,9,80,18,15,59,27,219
2024-03-01 18:40:00,12,10,10,73,14,8,63,28,218
2024-03-01 18:50:00,9,6,12,81,22,12,63,26,231
2024-03-01 19:00:00,5,2,7,70,16,8,62,40,210
2024-03-01 19:10:00,5,2,4,67,20,10,55,25,188
2024-03-01 19:20:00,5,4,18,80,11,6,69,33,226
2024-03-01 19:30:00,13,4,10,56,16,13,56,36,204
2024-03-01 19:40:00,7,7,9,71,8,7,57,29,195
2024-03-01 19:50:00,10,5,4,41,8,5,52,37,162
2024-03-01 20:00:00,4,4,3,39,11,7,45,31,144
2024-03-01 20:10:00,3,2,9,43,12,11,47,32,159
2024-03-01 20:20:00,7,5,12,33,9,6,61,34,167
2024-03-01 20:30:00,6,1,14,36,12,13,32,29,143
2024-03-01 20:40:00,11,6,11,37,8,8,39,26,146
2024-03-01 20:50:00,5,2,10,29,10,9,36,24,125
2024-03-01 21:00:00,8,4,12,37,4,2,38,29,134
2024-03-01 21:10:00,2,3,10,29,6,6,34,34,124
2024-03-01 21:20:00,5,4,13,36,7,6,49,28,148
2024-03-01 21:30:00,10,7,14,29,11,8,36,29,144
2024-03-01 21:40:00,8,4,10,31,9,5,42,33,142
2024-03-01 21:50:00,4,2,3,27,11,12,46,26,131
2024-03-01 22:00:00,5,1,8,33,11,11,38,32,139
2024-03-01 22:10:00,4,3,4,31,5,3,44,40,134
2024-03-01 22:20:00,6,2,5,27,4,7,39,40,130
2024-03-01 22:30:00,10,6,13,29,6,4,29,19,116
2024-03-01 22:40:00,12,4,6,29,7,9,32,23,122
2024-03-01 22:50:00,3,1,8,27,3,4,38,29,113
2024-03-01 23:00:00,4,4,6,26,3,2,29,22,96
2024-03-01 23:10:00,6,4,2,11,1,2,38,27,91
2024-03-01 23:20:00,2,2,2,15,0,0,41,35,97
2024-03-01 23:30:00,11,0,2,13,3,3,37,29,98
2024-03-01 23:40:00,2,1,5,20,3,3,29,24,87
2024-03-01 23:50:00,2,0,2,14,3,6,26,24,77
2024-03-02 00:00:00,3,0,4,18,5,2,17,14,63
2024-03-02 00:10:00,0,0,0,11,3,2,16,17,49
2024-03-02 00:20:00,1,0,3,8,3,3,27,22,67
2024-03-02 00:30:00,1,1,3,13,4,4,18,15,59
2024-03-02 00:40:00,0,0,2,9,5,4,10,13,43
2024-03-02 00:50:00,5,3,3,12,2,2,12,10,49
2024-03-02 01:00:00,3,1,2,19,2,0,23,15,65
2024-03-02 01:10:00,4,1,1,5,2,2,8,7,30
2024-03-02 01:20:00,1,0,1,6,0,0,10,15,33
2024-03-02 01:30:00,1,1,1,14,1,1,5,8,32
2024-03-02 01:40:00,0,0,0,4,0,0,6,7,17
2024-03-02 01:50:00,0,0,1,9,2,2,8,10,32
2024-03-02 02:00:00,1,1,2,5,2,1,12,12,36
2024-03-02 02:10:00,0,0,1,6,0,0,3,3,13
2024-03-02 02:20:00,0,0,2,9,3,4,13,15,46
2024-03-02 02:30:00,0,0,2,6,2,1,7,10,28
2024-03-02 02:40:00,1,1,0,7,5,7,7,9,37
2024-03-02 02:50:00,0,0,0,3,2,3,9,9,26
2024-03-02 03:00:00,3,0,1,6,1,0,8,9,28
2024-03-02 03:10:00,0,0,1,4,0,0,6,6,17
2024-03-02 03:20:00,0,0,1,7,2,1,5,3,19
2024-03-02 03:30:00,0,0,0,4,1,2,6,6,19
2024-03-02 03:40:00,2,1,0,5,1,1,8,9,27
2024-03-02 03:50:00,0,0,0,10,1,1,6,7,25
2024-03-02 04:00:00,0,0,1,7,1,1,5,6,21
2024-03-02 04:10:00,1,1,3,9,0,0,2,2,18
2024-03-02 04:20:00,0,0,0,5,0,0,9,9,23
2024-03-02 04:30:00,1,0,1,11,1,1,5,6,26
2024-03-02 04:40:00,0,0,0,7,0,0,0,0,7
2024-03-02 04:50:00,0,0,0,10,0,0,2,2,14
2024-03-02 05:00:00,0,0,3,9,2,7,1,1,23
2024-03-02 05:10:00,0,0,3,15,2,3,6,8,37
2024-03-02 05:20:00,1,0,5,20,2,2,11,11,52
2024-03-02 05:30:00,1,1,4,29,2,1,8,12,58
2024-03-02 05:40:00,0,0,4,22,3,3,9,10,51
2024-03-02 05:50:00,2,2,1,10,3,5,5,5,33
