datetime,D1Z,D2Z,D3Z,D4Z,D5Z,D6Z,D7Z,D8Z,D9Z,D10Z,D11Z,D12Z,D13Z,D14Z,D15Z,D16Z,D17Z,D18Z,D19Z,D20Z,D21Z,D22Z,D23Z,D24Z,Total
2024-03-01 05:30:00,0,4,0,7,9,10,10,9,5,6,0,0,1,1,0,0,18,17,0,0,0,0,14,13,124
2024-03-01 05:40:00,0,8,0,11,9,9,9,9,11,10,0,0,0,0,4,0,16,16,0,0,4,4,17,18,155
2024-03-01 05:50:00,0,10,3,15,12,12,12,11,12,12,0,0,0,0,4,0,19,18,0,0,4,4,19,19,186
2024-03-01 06:00:00,0,8,1,10,15,15,14,13,7,8,0,0,1,1,4,0,20,20,0,0,3,2,21,21,184
2024-03-01 06:10:00,0,11,1,22,14,15,16,13,18,19,0,0,1,1,8,0,26,26,0,0,6,6,23,23,249
2024-03-01 06:20:00,0,18,0,22,25,26,24,22,18,19,0,0,0,0,12,0,29,30,0,0,10,10,31,30,326
2024-03-01 06:30:00,0,20,2,25,16,17,18,18,23,22,0,0,2,2,10,0,36,36,0,0,7,6,33,33,326
2024-03-01 06:40:00,0,23,0,32,25,26,25,24,24,28,0,0,0,0,13,0,42,42,0,0,11,11,43,43,412
2024-03-01 06:50:00,0,38,3,52,25,27,27,25,39,42,0,0,0,0,18,0,55,55,0,0,17,17,51,51,542
2024-03-01 07:00:00,0,20,0,33,25,28,28,28,22,26,0,0,0,0,19,0,33,33,0,0,15,15,34,34,393
2024-03-01 07:10:00,0,21,0,31,29,30,30,24,30,31,0,0,0,0,20,0,42,42,0,0,21,21,43,42,457
2024-03-01 07:20:00,0,34,5,44,39,41,42,41,33,34,0,0,0,0,14,0,68,68,0,0,13,13,64,64,617
2024-03-01 07:30:00,0,40,5,56,44,44,41,40,47,52,0,0,1,1,22,0,70,70,0,0,22,22,71,70,718
2024-03-01 07:40:00,0,43,7,76,32,39,40,40,62,68,0,0,1,1,30,0,81,83,0,0,31,30,75,76,815
2024-03-01 07:50:00,0,63,1,79,44,47,48,43,65,68,0,0,3,2,33,0,85,88,0,0,30,30,81,82,892
2024-03-01 08:00:00,0,40,1,61,38,43,41,37,53,56,0,0,0,0,28,0,74,74,0,0,27,27,67,66,733
2024-03-01 08:10:00,0,43,2,65,34,34,34,30,49,56,0,0,2,2,27,0,66,67,0,0,22,22,64,63,682
2024-03-01 08:20:00,0,36,2,65,23,26,25,21,55,59,0,0,4,4,25,0,61,61,0,0,22,20,61,59,629
2024-03-01 08:30:00,0,53,1,62,35,37,37,35,51,52,0,0,3,3,25,0,67,70,0,0,21,19,63,63,697
