datetime,V21Z,V22Z,V81Z,V82Z,V321Z,Total
2024-03-01 22:00:00,0,29,5,23,0,57
2024-03-01 22:10:00,0,31,5,18,0,54
2024-03-01 22:20:00,0,37,3,17,0,57
2024-03-01 22:30:00,0,22,3,19,0,44
2024-03-01 22:40:00,0,30,5,15,0,50
2024-03-01 22:50:00,2,22,7,25,1,57
2024-03-01 23:00:00,0,18,4,18,0,40
2024-03-01 23:10:00,1,30,5,17,0,53
2024-03-01 23:20:00,1,25,1,22,0,49
2024-03-01 23:30:00,0,23,7,15,0,45
2024-03-01 23:40:00,0,33,2,14,0,49
2024-03-01 23:50:00,0,22,5,11,0,38
2024-03-02 00:00:00,0,17,3,16,0,36
2024-03-02 00:10:00,0,16,12,16,0,44
2024-03-02 00:20:00,0,17,11,13,0,41
2024-03-02 00:30:00,0,23,5,12,0,40
2024-03-02 00:40:00,0,14,4,5,0,23
2024-03-02 00:50:00,0,9,6,7,0,22
2024-03-02 01:00:00,1,5,3,6,0,15
2024-03-02 01:10:00,0,8,2,4,0,14
2024-03-02 01:20:00,0,12,4,4,0,20
2024-03-02 01:30:00,0,5,2,7,0,14
2024-03-02 01:40:00,0,9,4,10,0,23
2024-03-02 01:50:00,0,8,1,2,0,11
2024-03-02 02:00:00,0,6,2,4,0,12
2024-03-02 02:10:00,1,9,2,4,0,16
2024-03-02 02:20:00,0,15,1,0,0,16
2024-03-02 02:30:00,0,8,0,4,0,12
2024-03-02 02:40:00,0,10,0,1,0,11
2024-03-02 02:50:00,0,2,0,5,0,7
2024-03-02 03:00:00,0,0,0,1,0,1
2024-03-02 03:10:00,0,6,3,7,0,16
2024-03-02 03:20:00,0,8,1,2,0,11
2024-03-02 03:30:00,0,6,1,2,0,9
2024-03-02 03:40:00,0,6,2,1,0,9
2024-03-02 03:50:00,0,4,0,5,0,9
2024-03-02 04:00:00,3,3,0,4,0,10
2024-03-02 04:10:00,0,3,3,5,0,11
2024-03-02 04:20:00,1,4,1,1,0,7
2024-03-02 04:30:00,0,3,0,6,0,9
2024-03-02 04:40:00,0,6,0,6,0,12
2024-03-02 04:50:00,0,3,2,4,0,9
2024-03-02 05:00:00,0,2,1,8,0,11
2024-03-02 05:10:00,0,6,3,9,0,18
2024-03-02 05:20:00,0,6,4,9,0,19
2024-03-02 05:30:00,0,10,12,12,0,34
2024-03-02 05:40:00,0,11,14,19,0,44
2024-03-02 05:50:00,0,9,6,9,0,24
2024-03-02 06:00:00,0,15,3,9,0,27
2024-03-02 06:10:00,1,11,5,6,0,23
2024-03-02 06:20:00,0,10,2,6,0,18
2024-03-02 06:30:00,0,6,3,12,0,21
2024-03-02 06:40:00,0,14,8,13,0,35
2024-03-02 06:50:00,0,15,5,14,0,34
2024-03-02 07:00:00,0,16,6,12,0,34
2024-03-02 07:10:00,2,11,8,10,0,31
2024-03-02 07:20:00,0,15,9,11,0,35
2024-03-02 07:30:00,1,18,10,22,1,52
2024-03-02 07:40:00,0,15,13,26,1,55
2024-03-02 07:50:00,0,20,15,26,2,63
2024-03-02 08:00:00,0,17,8,33,0,58
2024-03-02 08:10:00,0,17,11,24,1,53
2024-03-02 08:20:00,0,12,5,22,0,39
2024-03-02 08:30:00,0,21,12,29,2,64
2024-03-02 08:40:00,1,24,20,26,1,72
2024-03-02 08:50:00,0,20,29,29,1,79
2024-03-02 09:00:00,0,23,15,31,4,73
2024-03-02 09:10:00,0,20,27,31,2,80
2024-03-02 09:20:00,0,27,15,38,1,81
2024-03-02 09:30:00,0,30,20,39,4,93
2024-03-02 09:40:00,0,24,36,44,4,108
2024-03-02 09:50:00,4,35,20,37,3,99
2024-03-02 10:00:00,1,36,42,44,5,128
2024-03-02 10:10:00,2,27,36,43,5,113
2024-03-02 10:20:00,3,30,38,39,3,113
2024-03-02 10:30:00,0,40,34,28,5,107
2024-03-02 10:40:00,2,39,24,41,6,112
2024-03-02 10:50:00,2,40,34,36,7,119
2024-03-02 11:00:00,1,29,24,42,6,102
2024-03-02 11:10:00,3,35,44,44,6,132
2024-03-02 11:20:00,3,43,23,41,4,114
2024-03-02 11:30:00,1,38,25,38,5,107
2024-03-02 11:40:00,4,40,22,40,8,114
2024-03-02 11:50:00,3,38,31,39,8,119
2024-03-02 12:00:00,4,35,34,44,9,126
2024-03-02 12:10:00,5,34,45,57,4,145
2024-03-02 12:20:00,6,27,20,35,10,98
2024-03-02 12:30:00,3,40,33,44,8,128
2024-03-02 12:40:00,0,32,22,22,9,85
2024-03-02 12:50:00,6,36,27,46,5,120
2024-03-02 13:00:00,1,32,16,32,10,91
2024-03-02 13:10:00,7,33,15,38,9,102
2024-03-02 13:20:00,5,41,11,32,7,96
2024-03-02 13:30:00,0,40,14,34,9,97
2024-03-02 13:40:00,9,39,15,35,8,106
2024-03-02 13:50:00,1,40,17,31,9,98
2024-03-02 14:00:00,7,33,10,23,10,83
2024-03-02 14:10:00,8,41,25,37,8,119
2024-03-02 14:20:00,0,31,23,48,7,109
2024-03-02 14:30:00,5,46,21,48,5,125
2024-03-02 14:40:00,2,33,29,44,9,117
2024-03-02 14:50:00,7,36,18,40,11,112
2024-03-02 15:00:00,4,33,13,27,10,87
2024-03-02 15:10:00,0,39,32,49,12,132
2024-03-02 15:20:00,1,44,24,44,7,120
2024-03-02 15:30:00,5,40,28,41,6,120
2024-03-02 15:40:00,6,31,19,34,9,99
2024-03-02 15:50:00,11,32,39,55,11,148
2024-03-02 16:00:00,1,22,21,66,10,120
2024-03-02 16:10:00,3,35,22,42,6,108
2024-03-02 16:20:00,3,31,11,32,11,88
2024-03-02 16:30:00,1,27,15,30,9,82
2024-03-02 16:40:00,2,26,20,37,8,93
2024-03-02 16:50:00,0,36,16,44,7,103
2024-03-02 17:00:00,2,31,29,30,7,99
2024-03-02 17:10:00,5,40,28,42,6,121
2024-03-02 17:20:00,2,37,13,36,7,95
2024-03-02 17:30:00,2,41,18,41,5,107
2024-03-02 17:40:00,2,44,21,42,5,114
2024-03-02 17:50:00,4,38,22,40,4,108
2024-03-02 18:00:00,5,25,17,38,5,90
2024-03-02 18:10:00,4,38,21,40,4,107
2024-03-02 18:20:00,14,31,21,32,7,105
2024-03-02 18:30:00,5,51,15,32,2,105
2024-03-02 18:40:00,4,38,16,25,1,84
2024-03-02 18:50:00,4,28,12,35,5,84
2024-03-02 19:00:00,1,31,10,28,1,71
2024-03-02 19:10:00,2,33,8,31,4,78
2024-03-02 19:20:00,3,29,11,32,3,78
2024-03-02 19:30:00,5,34,13,27,1,80
2024-03-02 19:40:00,1,48,10,30,4,93
2024-03-02 19:50:00,0,29,16,32,4,81
2024-03-02 20:00:00,1,39,11,26,1,78
2024-03-02 20:10:00,1,28,14,24,0,67
2024-03-02 20:20:00,2,31,9,22,1,65
2024-03-02 20:30:00,4,36,15,23,5,83
2024-03-02 20:40:00,0,43,7,18,2,70
2024-03-02 20:50:00,1,28,10,15,1,55
2024-03-02 21:00:00,0,25,17,26,0,68
2024-03-02 21:10:00,3,27,2,20,0,52
2024-03-02 21:20:00,3,27,8,21,1,60
2024-03-02 21:30:00,2,28,6,19,1,56
2024-03-02 21:40:00,0,31,4,16,0,51
2024-03-02 21:50:00,0,29,5,18,1,53
2024-03-02 22:00:00,0,26,5,31,2,64
2024-03-02 22:10:00,0,25,2,20,0,47
2024-03-02 22:20:00,0,29,1,21,0,51
2024-03-02 22:30:00,2,29,3,20,1,55
2024-03-02 22:40:00,0,26,3,28,0,57
2024-03-02 22:50:00,0,36,7,17,0,60
2024-03-02 23:00:00,1,27,7,21,0,56
2024-03-02 23:10:00,0,19,3,13,0,35
2024-03-02 23:20:00,0,26,3,16,1,46
2024-03-02 23:30:00,0,19,2,15,0,36
2024-03-02 23:40:00,1,36,6,15,1,59
2024-03-02 23:50:00,0,24,6,16,0,46
2024-03-03 00:00:00,0,29,3,11,0,43
