datetime,V21Z,V81Z,V111Z,V112Z,Total
2024-03-01 01:00:00,3,2,2,1,8
2024-03-01 01:10:00,7,3,0,0,10
2024-03-01 01:20:00,1,2,0,0,3
2024-03-01 01:30:00,3,4,0,0,7
2024-03-01 01:40:00,5,1,3,2,11
2024-03-01 01:50:00,5,1,2,1,9
2024-03-01 02:00:00,1,2,1,1,5
2024-03-01 02:10:00,4,0,5,3,12
2024-03-01 02:20:00,4,3,2,1,10
2024-03-01 02:30:00,2,1,1,1,5
2024-03-01 02:40:00,1,0,0,0,1
2024-03-01 02:50:00,1,0,0,0,1
2024-03-01 03:00:00,0,1,0,0,1
2024-03-01 03:10:00,3,3,0,0,6
2024-03-01 03:20:00,0,2,0,0,2
2024-03-01 03:30:00,1,2,3,3,9
2024-03-01 03:40:00,1,3,0,0,4
2024-03-01 03:50:00,3,3,4,2,12
2024-03-01 04:00:00,1,3,1,1,6
2024-03-01 04:10:00,4,2,1,1,8
2024-03-01 04:20:00,1,1,2,2,6
2024-03-01 04:30:00,6,0,4,3,13
2024-03-01 04:40:00,3,3,3,2,11
2024-03-01 04:50:00,5,3,0,0,8
2024-03-01 05:00:00,7,3,1,2,13
2024-03-01 05:10:00,5,7,1,1,14
2024-03-01 05:20:00,12,7,2,1,22
2024-03-01 05:30:00,9,6,5,3,23
2024-03-01 05:40:00,13,7,5,5,30
2024-03-01 05:50:00,8,7,17,6,38
2024-03-01 06:00:00,13,5,12,7,37
2024-03-01 06:10:00,15,11,16,8,50
2024-03-01 06:20:00,16,10,15,10,51
2024-03-01 06:30:00,21,11,28,12,72
2024-03-01 06:40:00,26,19,19,15,79
2024-03-01 06:50:00,18,19,14,11,62
2024-03-01 07:00:00,34,15,9,10,68
2024-03-01 07:10:00,31,25,8,12,76
2024-03-01 07:20:00,22,16,12,16,66
2024-03-01 07:30:00,24,19,13,15,71
2024-03-01 07:40:00,32,10,21,17,80
2024-03-01 07:50:00,29,19,44,24,116
2024-03-01 08:00:00,33,23,16,15,87
2024-03-01 08:10:00,21,23,20,15,79
2024-03-01 08:20:00,27,15,19,14,75
2024-03-01 08:30:00,26,18,22,21,87
2024-03-01 08:40:00,27,15,18,17,77
2024-03-01 08:50:00,25,22,20,23,90
2024-03-01 09:00:00,35,12,15,13,75
2024-03-01 09:10:00,26,15,15,13,69
2024-03-01 09:20:00,27,18,22,19,86
2024-03-01 09:30:00,24,23,19,19,85
2024-03-01 09:40:00,35,16,22,23,96
2024-03-01 09:50:00,28,15,20,18,81
2024-03-01 10:00:00,29,18,16,19,82
2024-03-01 10:10:00,28,22,23,20,93
2024-03-01 10:20:00,22,18,26,19,85
2024-03-01 10:30:00,27,23,24,16,90
2024-03-01 10:40:00,23,18,20,17,78
2024-03-01 10:50:00,29,13,23,18,83
2024-03-01 11:00:00,39,15,19,20,93
2024-03-01 11:10:00,23,15,21,16,75
2024-03-01 11:20:00,24,18,19,16,77
2024-03-01 11:30:00,33,19,19,13,84
2024-03-01 11:40:00,25,23,30,15,93
2024-03-01 11:50:00,25,16,21,23,85
2024-03-01 12:00:00,23,19,29,19,90
2024-03-01 12:10:00,21,25,28,21,95
2024-03-01 12:20:00,28,14,27,17,86
2024-03-01 12:30:00,24,13,28,13,78
2024-03-01 12:40:00,24,23,23,22,92
2024-03-01 12:50:00,25,14,36,16,91
2024-03-01 13:00:00,27,20,35,14,96
2024-03-01 13:10:00,34,17,26,22,99
2024-03-01 13:20:00,25,18,22,13,78
2024-03-01 13:30:00,26,19,35,25,105
2024-03-01 13:40:00,17,12,22,14,65
2024-03-01 13:50:00,13,1,24,1,39
2024-03-01 14:00:00,21,7,27,5,60
2024-03-01 14:10:00,19,5,30,22,76
2024-03-01 14:20:00,16,17,27,17,77
2024-03-01 14:30:00,24,24,26,20,94
2024-03-01 14:40:00,17,19,31,16,83
2024-03-01 14:50:00,22,15,29,19,85
2024-03-01 15:00:00,16,18,22,13,69
2024-03-01 15:10:00,26,21,33,21,101
2024-03-01 15:20:00,23,20,39,10,92
2024-03-01 15:30:00,30,7,37,16,90
2024-03-01 15:40:00,40,16,31,10,97
2024-03-01 15:50:00,18,10,21,1,50
2024-03-01 16:00:00,24,24,26,21,95
2024-03-01 16:10:00,27,13,30,17,87
2024-03-01 16:20:00,28,17,22,14,81
2024-03-01 16:30:00,25,7,34,17,83
2024-03-01 16:40:00,22,16,23,19,80
2024-03-01 16:50:00,30,13,26,17,86
2024-03-01 17:00:00,23,25,25,22,95
2024-03-01 17:10:00,26,13,26,20,85
2024-03-01 17:20:00,29,22,23,20,94
2024-03-01 17:30:00,25,15,33,12,85
2024-03-01 17:40:00,28,18,25,20,91
2024-03-01 17:50:00,23,19,18,19,79
2024-03-01 18:00:00,21,13,24,22,80
2024-03-01 18:10:00,28,11,21,23,83
2024-03-01 18:20:00,28,12,36,25,101
2024-03-01 18:30:00,33,9,38,17,97
2024-03-01 18:40:00,33,17,25,20,95
2024-03-01 18:50:00,22,11,48,16,97
2024-03-01 19:00:00,19,22,36,19,96
2024-03-01 19:10:00,21,18,61,27,127
2024-03-01 19:20:00,27,18,53,22,120
2024-03-01 19:30:00,37,15,37,22,111
2024-03-01 19:40:00,31,22,39,22,114
2024-03-01 19:50:00,25,20,33,20,98
2024-03-01 20:00:00,23,12,23,17,75
2024-03-01 20:10:00,29,16,24,11,80
2024-03-01 20:20:00,25,17,31,14,87
2024-03-01 20:30:00,23,13,17,9,62
2024-03-01 20:40:00,14,16,22,12,64
2024-03-01 20:50:00,18,9,38,15,80
2024-03-01 21:00:00,18,13,20,12,63
2024-03-01 21:10:00,21,9,31,12,73
