datetime,D11Z,D12Z,D21Z,D22Z,D31Z,D41Z,D42Z,Total
2024-03-01 01:00:00,3,0,2,3,0,2,2,12
2024-03-01 01:10:00,2,0,2,2,0,0,3,9
2024-03-01 01:20:00,1,0,0,1,1,1,3,7
2024-03-01 01:30:00,0,0,0,2,0,2,2,6
2024-03-01 01:40:00,3,0,0,0,0,3,2,8
2024-03-01 01:50:00,0,0,0,4,0,2,2,8
2024-03-01 02:00:00,0,0,0,3,0,2,2,7
2024-03-01 02:10:00,4,1,1,2,0,2,1,11
2024-03-01 02:20:00,1,0,0,2,0,1,2,6
2024-03-01 02:30:00,0,0,0,0,0,1,3,4
2024-03-01 02:40:00,1,0,1,1,0,1,1,5
2024-03-01 02:50:00,1,0,0,0,0,1,1,3
2024-03-01 03:00:00,1,0,1,1,0,0,1,4
2024-03-01 03:10:00,1,0,2,2,0,0,0,5
2024-03-01 03:20:00,1,0,0,1,0,0,2,4
2024-03-01 03:30:00,3,1,0,0,0,4,0,8
2024-03-01 03:40:00,1,0,0,0,1,0,1,3
2024-03-01 03:50:00,0,0,1,2,0,4,1,8
2024-03-01 04:00:00,5,0,1,1,0,2,1,10
2024-03-01 04:10:00,2,1,0,3,0,4,2,12
2024-03-01 04:20:00,4,0,1,2,0,1,1,9
2024-03-01 04:30:00,3,0,2,2,0,4,6,17
2024-03-01 04:40:00,2,1,2,4,0,2,5,16
2024-03-01 04:50:00,4,0,0,3,0,5,3,15
2024-03-01 05:00:00,5,0,1,6,0,4,2,18
2024-03-01 05:10:00,8,1,5,6,0,3,3,26
2024-03-01 05:20:00,9,1,4,13,1,7,3,38
2024-03-01 05:30:00,16,1,7,12,2,16,5,59
2024-03-01 05:40:00,12,0,9,13,0,10,5,49
2024-03-01 05:50:00,11,1,4,14,1,10,4,45
2024-03-01 06:00:00,11,2,5,9,0,14,10,51
2024-03-01 06:10:00,22,1,11,24,0,7,11,76
2024-03-01 06:20:00,28,1,20,31,0,17,12,109
2024-03-01 06:30:00,27,1,13,32,0,19,17,109
2024-03-01 06:40:00,32,0,21,39,2,21,21,136
2024-03-01 06:50:00,31,2,21,36,3,23,30,146
2024-03-01 07:00:00,43,5,23,35,0,14,35,155
2024-03-01 07:10:00,59,6,25,43,2,22,48,205
2024-03-01 07:20:00,60,4,27,41,2,29,39,202
2024-03-01 07:30:00,68,2,30,44,4,57,40,245
2024-03-01 07:40:00,60,11,46,53,22,77,51,320
2024-03-01 07:50:00,56,11,30,40,28,75,43,283
2024-03-01 08:00:00,52,6,36,41,13,42,35,225
2024-03-01 08:10:00,60,5,32,32,2,35,37,203
2024-03-01 08:20:00,39,6,28,36,1,40,40,190
2024-03-01 08:30:00,50,13,24,31,3,37,29,187
2024-03-01 08:40:00,59,6,35,33,5,37,47,222
2024-03-01 08:50:00,56,7,33,38,1,48,55,238
2024-03-01 09:00:00,43,6,30,28,3,40,33,183
2024-03-01 09:10:00,35,6,22,34,3,30,30,160
2024-03-01 09:20:00,46,5,20,29,2,35,43,180
2024-03-01 09:30:00,49,9,28,28,2,28,57,201
2024-03-01 09:40:00,54,6,22,37,4,38,56,217
2024-03-01 09:50:00,42,7,20,20,1,39,58,187
2024-03-01 10:00:00,40,4,27,37,3,35,43,189
2024-03-01 10:10:00,48,3,26,38,4,38,53,210
2024-03-01 10:20:00,46,10,23,25,2,36,48,190
2024-03-01 10:30:00,54,5,31,39,4,28,57,218
2024-03-01 10:40:00,51,12,18,19,4,44,62,210
2024-03-01 10:50:00,39,2,23,27,1,42,61,195
2024-03-01 11:00:00,51,6,30,28,4,36,47,202
2024-03-01 11:10:00,39,4,23,39,0,38,56,199
2024-03-01 11:20:00,34,4,22,31,5,41,71,208
2024-03-01 11:30:00,40,12,32,26,6,53,49,218
