datetime,V22Z,V51Z,V52Z,V83Z,V111Z,V112Z,Total
2024-03-01 20:30:00,7,11,6,15,1,0,40
2024-03-01 20:40:00,6,6,6,17,0,0,35
2024-03-01 20:50:00,6,7,9,15,0,1,38
2024-03-01 21:00:00,7,7,8,19,0,1,42
2024-03-01 21:10:00,2,5,4,14,0,1,26
2024-03-01 21:20:00,2,7,5,17,0,2,33
2024-03-01 21:30:00,5,6,5,18,0,0,34
2024-03-01 21:40:00,8,4,3,25,0,0,40
2024-03-01 21:50:00,1,6,5,15,0,1,28
2024-03-01 22:00:00,6,6,7,18,0,0,37
2024-03-01 22:10:00,5,12,5,21,0,0,43
2024-03-01 22:20:00,2,6,5,19,0,1,33
2024-03-01 22:30:00,5,5,5,20,0,1,36
2024-03-01 22:40:00,3,3,6,12,0,1,25
2024-03-01 22:50:00,3,32,5,14,0,0,54
2024-03-01 23:00:00,5,2,5,17,0,0,29
2024-03-01 23:10:00,5,5,4,19,0,0,33
2024-03-01 23:20:00,7,6,7,20,0,1,41
2024-03-01 23:30:00,5,4,5,10,0,0,24
2024-03-01 23:40:00,3,3,8,17,0,0,31
2024-03-01 23:50:00,5,3,3,13,0,0,24
2024-03-02 00:00:00,6,1,2,10,0,0,19
2024-03-02 00:10:00,3,9,3,17,0,0,32
2024-03-02 00:20:00,2,0,4,14,0,0,20
2024-03-02 00:30:00,1,0,1,12,0,0,14
2024-03-02 00:40:00,0,2,3,16,0,0,21
2024-03-02 00:50:00,0,2,1,6,0,0,9
2024-03-02 01:00:00,0,1,3,9,0,0,13
2024-03-02 01:10:00,3,3,4,7,0,0,17
2024-03-02 01:20:00,0,2,2,8,0,0,12
2024-03-02 01:30:00,1,1,4,8,0,0,14
2024-03-02 01:40:00,0,1,1,12,0,0,14
2024-03-02 01:50:00,0,1,0,5,0,0,6
2024-03-02 02:00:00,1,3,3,4,0,0,11
2024-03-02 02:10:00,2,1,1,8,0,0,12
2024-03-02 02:20:00,2,0,0,6,0,0,8
2024-03-02 02:30:00,2,1,2,5,0,0,10
2024-03-02 02:40:00,0,1,2,6,0,0,9
2024-03-02 02:50:00,1,2,0,3,0,0,6
2024-03-02 03:00:00,3,0,2,5,0,0,10
2024-03-02 03:10:00,2,2,1,8,0,0,13
2024-03-02 03:20:00,1,2,1,2,0,0,6
2024-03-02 03:30:00,0,0,2,8,0,0,10
2024-03-02 03:40:00,0,2,1,6,0,0,9
2024-03-02 03:50:00,0,1,0,5,0,0,6
2024-03-02 04:00:00,0,0,1,1,0,0,2
2024-03-02 04:10:00,0,7,1,5,0,0,13
2024-03-02 04:20:00,1,1,1,5,0,0,8
2024-03-02 04:30:00,0,1,2,2,0,0,5
2024-03-02 04:40:00,3,1,0,8,0,0,12
2024-03-02 04:50:00,1,2,2,5,0,0,10
2024-03-02 05:00:00,0,2,1,6,0,0,9
2024-03-02 05:10:00,2,3,1,15,0,0,21
2024-03-02 05:20:00,1,5,3,13,0,0,22
2024-03-02 05:30:00,0,4,1,16,0,0,21
2024-03-02 05:40:00,3,6,0,15,0,0,24
2024-03-02 05:50:00,0,11,4,7,0,0,22
2024-03-02 06:00:00,2,5,1,10,0,0,18
2024-03-02 06:10:00,2,5,1,6,0,0,14
2024-03-02 06:20:00,1,4,1,11,0,1,18
2024-03-02 06:30:00,2,6,2,13,0,0,23
2024-03-02 06:40:00,2,3,2,14,0,0,21
2024-03-02 06:50:00,3,5,0,11,0,2,21
2024-03-02 07:00:00,1,8,1,14,0,0,24
2024-03-02 07:10:00,10,4,3,8,0,0,25
2024-03-02 07:20:00,2,4,2,11,0,1,20
2024-03-02 07:30:00,3,4,1,12,0,0,20
2024-03-02 07:40:00,2,5,2,18,0,0,27
2024-03-02 07:50:00,7,7,3,20,0,1,38
2024-03-02 08:00:00,5,3,4,14,0,0,26
2024-03-02 08:10:00,5,5,6,12,0,0,28
2024-03-02 08:20:00,6,4,3,17,0,0,30
2024-03-02 08:30:00,4,4,4,19,0,0,31
2024-03-02 08:40:00,6,9,0,17,0,1,33
2024-03-02 08:50:00,7,9,4,27,0,0,47
2024-03-02 09:00:00,7,2,6,19,0,2,36
2024-03-02 09:10:00,8,9,4,21,1,5,48
2024-03-02 09:20:00,6,8,5,21,0,2,42
2024-03-02 09:30:00,9,20,6,27,1,0,63
2024-03-02 09:40:00,8,9,8,19,0,1,45
2024-03-02 09:50:00,9,6,6,15,0,2,38
2024-03-02 10:00:00,12,4,7,18,0,0,41
2024-03-02 10:10:00,10,15,8,20,1,3,57
2024-03-02 10:20:00,12,6,7,25,0,1,51
2024-03-02 10:30:00,10,9,9,24,0,1,53
2024-03-02 10:40:00,11,14,7,28,0,2,62
2024-03-02 10:50:00,11,8,8,21,0,2,50
2024-03-02 11:00:00,13,9,10,18,0,0,50
2024-03-02 11:10:00,14,12,9,32,0,1,68
2024-03-02 11:20:00,9,11,10,20,2,0,52
2024-03-02 11:30:00,12,8,6,26,0,2,54
2024-03-02 11:40:00,10,18,6,25,1,3,63
2024-03-02 11:50:00,17,13,6,22,0,2,60
2024-03-02 12:00:00,8,18,10,27,1,0,64
2024-03-02 12:10:00,13,18,6,26,2,4,69
