datetime,D21Z,D22Z,D41Z,D42Z,D11Z,D12Z,D31Z,D32Z,Total
2024-03-01 17:50:00,77,53,18,4,0,0,3,0,155
2024-03-01 18:00:00,74,44,26,2,0,0,0,0,146
2024-03-01 18:10:00,76,45,20,6,0,0,4,0,151
2024-03-01 18:20:00,66,39,18,25,0,0,2,0,150
2024-03-01 18:30:00,75,40,16,3,0,0,1,0,135
2024-03-01 18:40:00,54,33,21,2,0,0,2,0,112
2024-03-01 18:50:00,76,45,13,4,0,0,1,0,139
2024-03-01 19:00:00,42,29,17,0,0,0,3,0,91
2024-03-01 19:10:00,47,37,18,5,0,0,1,0,108
2024-03-01 19:20:00,55,40,30,5,0,0,0,0,130
2024-03-01 19:30:00,56,31,15,6,0,0,4,0,112
2024-03-01 19:40:00,65,44,14,2,0,0,1,0,126
2024-03-01 19:50:00,31,29,18,2,0,0,2,0,82
2024-03-01 20:00:00,46,32,11,3,0,0,0,0,92
2024-03-01 20:10:00,40,37,14,1,0,0,1,0,93
2024-03-01 20:20:00,32,27,14,2,0,0,1,0,76
2024-03-01 20:30:00,35,19,11,1,0,0,2,0,68
2024-03-01 20:40:00,36,28,16,3,0,0,3,0,86
2024-03-01 20:50:00,31,27,14,2,0,0,1,1,76
2024-03-01 21:00:00,33,21,13,4,0,0,0,0,71
2024-03-01 21:10:00,35,28,14,5,0,0,0,0,82
2024-03-01 21:20:00,33,26,16,5,0,0,1,0,81
2024-03-01 21:30:00,22,20,12,3,0,0,0,0,57
2024-03-01 21:40:00,42,26,7,0,0,0,0,0,75
2024-03-01 21:50:00,38,35,12,2,0,0,1,0,88
2024-03-01 22:00:00,18,20,7,2,0,0,0,0,47
2024-03-01 22:10:00,38,29,11,4,0,0,0,0,82
2024-03-01 22:20:00,25,28,11,1,0,0,0,0,65
2024-03-01 22:30:00,38,26,5,1,0,0,1,0,71
2024-03-01 22:40:00,26,18,8,6,0,0,0,0,58
2024-03-01 22:50:00,33,28,8,3,0,0,0,0,72
2024-03-01 23:00:00,21,17,8,1,0,0,1,0,48
2024-03-01 23:10:00,20,13,7,2,0,0,0,0,42
2024-03-01 23:20:00,14,12,11,3,0,0,0,0,40
2024-03-01 23:30:00,18,17,7,2,0,0,0,0,44
2024-03-01 23:40:00,20,15,10,1,0,0,0,0,46
2024-03-01 23:50:00,16,15,10,0,0,0,1,0,42
2024-03-02 00:00:00,20,15,7,1,0,0,0,0,43
2024-03-02 00:10:00,15,14,6,3,0,0,0,0,38
2024-03-02 00:20:00,12,10,11,2,0,0,0,0,35
2024-03-02 00:30:00,12,13,5,0,0,0,0,0,30
2024-03-02 00:40:00,11,12,8,1,0,0,0,0,32
2024-03-02 00:50:00,8,7,5,0,0,0,0,0,20
2024-03-02 01:00:00,10,11,4,3,0,0,0,0,28
2024-03-02 01:10:00,10,9,9,3,0,0,0,0,31
2024-03-02 01:20:00,5,6,3,0,0,0,1,0,15
2024-03-02 01:30:00,7,6,4,0,0,0,0,0,17
2024-03-02 01:40:00,6,6,6,0,0,0,0,0,18
2024-03-02 01:50:00,11,11,7,3,0,0,0,0,32
2024-03-02 02:00:00,10,10,1,0,0,0,0,0,21
2024-03-02 02:10:00,5,5,2,1,0,0,0,0,13
2024-03-02 02:20:00,10,12,6,2,0,0,0,0,30
2024-03-02 02:30:00,6,6,2,1,0,0,0,0,15
2024-03-02 02:40:00,6,5,0,0,0,0,0,0,11
2024-03-02 02:50:00,4,3,2,1,0,0,0,0,10
2024-03-02 03:00:00,4,4,1,0,0,0,0,0,9
2024-03-02 03:10:00,3,3,2,1,0,0,0,0,9
2024-03-02 03:20:00,2,2,3,1,0,0,1,0,9
2024-03-02 03:30:00,4,5,3,2,0,0,0,0,14
2024-03-02 03:40:00,6,6,1,1,0,0,0,0,14
2024-03-02 03:50:00,4,4,3,0,0,0,0,0,11
2024-03-02 04:00:00,5,6,3,1,0,0,0,0,15
2024-03-02 04:10:00,1,1,3,1,0,0,0,0,6
2024-03-02 04:20:00,3,2,2,1,0,0,0,0,8
2024-03-02 04:30:00,3,3,4,1,0,0,0,0,11
2024-03-02 04:40:00,1,2,1,1,0,0,0,0,5
2024-03-02 04:50:00,2,3,4,1,0,0,0,0,10
2024-03-02 05:00:00,2,3,4,1,0,0,0,0,10
2024-03-02 05:10:00,0,0,2,0,0,0,1,0,3
2024-03-02 05:20:00,2,2,5,0,0,0,0,0,9
2024-03-02 05:30:00,1,1,3,0,0,0,0,0,5
2024-03-02 05:40:00,5,4,2,1,0,0,0,0,12
2024-03-02 05:50:00,2,2,3,0,0,0,0,0,7
2024-03-02 06:00:00,4,5,2,0,0,0,0,0,11
2024-03-02 06:10:00,3,3,4,1,0,0,0,0,11
2024-03-02 06:20:00,2,1,8,10,0,0,0,0,21
2024-03-02 06:30:00,7,7,7,5,0,0,0,0,26
2024-03-02 06:40:00,8,7,4,2,0,0,0,0,21
2024-03-02 06:50:00,6,7,10,0,0,0,0,0,23
2024-03-02 07:00:00,5,5,4,0,0,0,0,0,14
2024-03-02 07:10:00,6,5,7,2,0,0,2,0,22
2024-03-02 07:20:00,2,2,6,0,0,0,0,0,10
2024-03-02 07:30:00,10,10,10,1,0,0,0,1,32
2024-03-02 07:40:00,14,12,13,1,0,0,1,1,42
2024-03-02 07:50:00,9,9,12,2,0,0,1,0,33
2024-03-02 08:00:00,11,11,11,0,0,0,0,0,33
2024-03-02 08:10:00,14,15,15,0,0,0,0,0,44
2024-03-02 08:20:00,18,17,11,0,0,0,0,0,46
2024-03-02 08:30:00,22,17,11,2,0,0,0,0,52
2024-03-02 08:40:00,26,26,9,0,0,0,1,0,62
2024-03-02 08:50:00,31,29,16,5,0,0,1,0,82
2024-03-02 09:00:00,24,23,8,2,0,0,2,0,59
2024-03-02 09:10:00,29,27,18,1,0,0,0,0,75
2024-03-02 09:20:00,30,23,16,2,0,0,2,0,73
2024-03-02 09:30:00,32,32,14,2,0,0,0,0,80
2024-03-02 09:40:00,39,37,21,13,0,0,1,0,111
2024-03-02 09:50:00,54,41,21,9,0,0,2,0,127
2024-03-02 10:00:00,54,39,18,8,0,0,3,0,122
2024-03-02 10:10:00,46,34,22,6,0,0,1,0,109
2024-03-02 10:20:00,49,43,15,7,0,0,3,0,117
2024-03-02 10:30:00,51,35,22,3,0,0,3,0,114
2024-03-02 10:40:00,41,30,28,5,0,0,2,1,107
2024-03-02 10:50:00,58,36,12,5,0,0,1,0,112
2024-03-02 11:00:00,56,29,16,3,0,0,2,0,106
2024-03-02 11:10:00,46,36,16,3,0,0,5,0,106
2024-03-02 11:20:00,59,49,22,3,0,0,1,0,134
2024-03-02 11:30:00,147,39,16,2,0,0,4,0,208
2024-03-02 11:40:00,53,43,16,3,0,0,4,0,119
2024-03-02 11:50:00,63,45,21,1,0,0,5,1,136
2024-03-02 12:00:00,44,39,19,3,0,0,3,0,108
2024-03-02 12:10:00,70,35,20,2,0,0,3,0,130
2024-03-02 12:20:00,55,37,16,3,0,0,4,0,115
2024-03-02 12:30:00,133,47,13,4,0,0,7,0,204
2024-03-02 12:40:00,56,41,18,4,0,0,3,0,122
2024-03-02 12:50:00,104,31,15,2,0,0,1,1,154
2024-03-02 13:00:00,82,40,30,2,0,0,3,1,158
2024-03-02 13:10:00,58,27,32,1,0,0,2,0,120
2024-03-02 13:20:00,63,33,30,1,0,0,3,0,130
2024-03-02 13:30:00,55,30,24,1,0,0,3,2,115
2024-03-02 13:40:00,60,33,17,1,0,0,2,0,113
2024-03-02 13:50:00,51,34,20,5,0,0,4,0,114
2024-03-02 14:00:00,52,29,25,3,0,0,0,0,109
2024-03-02 14:10:00,57,46,31,4,0,0,3,0,141
2024-03-02 14:20:00,63,42,12,2,0,0,6,0,125
2024-03-02 14:30:00,134,39,20,3,0,0,3,1,200
2024-03-02 14:40:00,61,39,10,6,0,0,4,1,121
2024-03-02 14:50:00,70,45,19,4,0,0,6,1,145
2024-03-02 15:00:00,59,50,25,1,0,0,1,0,136
2024-03-02 15:10:00,176,40,16,2,0,0,2,2,238
2024-03-02 15:20:00,58,42,22,3,0,0,3,2,130
2024-03-02 15:30:00,71,54,29,3,0,0,4,1,162
2024-03-02 15:40:00,56,44,30,4,0,0,5,1,140
2024-03-02 15:50:00,50,39,11,1,0,0,2,1,104
2024-03-02 16:00:00,62,41,13,4,0,0,5,0,125
2024-03-02 16:10:00,52,41,33,3,0,0,3,0,132
2024-03-02 16:20:00,47,33,13,3,0,0,1,0,97
2024-03-02 16:30:00,57,28,15,5,0,0,3,0,108
2024-03-02 16:40:00,35,27,14,3,0,0,4,0,83
2024-03-02 16:50:00,43,26,18,2,0,0,7,0,96
2024-03-02 17:00:00,50,35,17,2,0,0,3,0,107
2024-03-02 17:10:00,165,32,14,2,0,0,0,0,213
2024-03-02 17:20:00,58,33,13,0,0,0,3,0,107
2024-03-02 17:30:00,68,38,21,2,0,0,1,0,130
2024-03-02 17:40:00,98,42,17,4,0,0,2,0,163
2024-03-02 17:50:00,99,41,12,0,0,0,2,0,154
2024-03-02 18:00:00,72,49,18,8,0,0,1,0,148
2024-03-02 18:10:00,57,37,21,3,0,0,7,1,126
2024-03-02 18:20:00,60,37,18,4,0,0,4,0,123
2024-03-02 18:30:00,64,49,23,1,0,0,4,0,141
2024-03-02 18:40:00,77,42,21,2,0,0,3,1,146
2024-03-02 18:50:00,52,37,12,2,0,0,3,0,106
2024-03-02 19:00:00,54,38,10,3,0,0,0,0,105
2024-03-02 19:10:00,53,38,12,5,0,0,4,0,112
2024-03-02 19:20:00,51,49,22,3,0,0,3,0,128
2024-03-02 19:30:00,33,24,20,3,0,0,2,0,82
2024-03-02 19:40:00,45,36,10,3,0,0,1,0,95
2024-03-02 19:50:00,33,32,10,10,0,0,2,0,87
2024-03-02 20:00:00,43,27,14,2,0,0,1,0,87
2024-03-02 20:10:00,29,23,16,4,0,0,0,0,72
