datetime,D21Z,D22Z,V23Z,V24Z,D51Z,V52Z,D81Z,D82Z,V83Z,V84Z,D111Z,V112Z,D95Z,D911Z,Total
2024-03-01 13:00:00,73,4,29,8,6,6,52,2,34,2,18,14,37,8,293
2024-03-01 13:10:00,45,4,13,3,6,7,38,0,20,0,16,6,23,4,185
2024-03-01 13:20:00,79,4,37,8,8,4,67,5,40,3,29,16,39,4,343
2024-03-01 13:30:00,88,4,36,5,6,7,51,5,29,1,23,18,41,7,321
2024-03-01 13:40:00,77,7,38,7,29,2,54,4,29,0,29,17,46,10,349
2024-03-01 13:50:00,72,8,43,7,8,6,61,0,33,0,16,14,27,7,302
2024-03-01 14:00:00,74,5,29,9,9,11,48,2,33,2,21,17,46,12,318
2024-03-01 14:10:00,82,9,18,11,3,3,51,4,31,2,23,10,38,6,291
2024-03-01 14:20:00,72,3,35,5,6,5,58,10,24,9,17,17,37,7,305
2024-03-01 14:30:00,70,1,30,3,7,6,55,5,34,2,24,17,42,5,301
2024-03-01 14:40:00,78,8,35,7,5,6,75,3,36,3,23,12,45,8,344
2024-03-01 14:50:00,92,7,23,8,5,5,79,4,46,1,29,18,49,6,372
2024-03-01 15:00:00,70,5,24,6,4,3,73,3,36,2,26,11,45,3,311
2024-03-01 15:10:00,83,15,1,16,8,6,70,3,32,0,19,13,41,11,318
2024-03-01 15:20:00,91,8,16,10,15,11,71,2,35,0,15,17,33,12,336
2024-03-01 15:30:00,69,8,36,6,10,4,63,6,37,3,20,13,45,7,327
2024-03-01 15:40:00,70,10,33,9,3,6,71,2,31,2,22,15,52,4,330
2024-03-01 15:50:00,47,3,28,5,6,4,45,3,31,1,13,10,25,5,226
2024-03-01 16:00:00,53,3,27,3,6,5,47,1,31,1,18,13,38,5,251
2024-03-01 16:10:00,71,12,46,11,12,11,57,2,28,0,21,13,49,11,344
2024-03-01 16:20:00,75,10,32,9,10,9,89,1,32,1,19,11,66,11,375
2024-03-01 16:30:00,55,5,32,9,6,5,70,6,34,6,15,13,123,10,389
2024-03-01 16:40:00,78,8,29,8,13,12,44,1,24,1,15,12,96,16,357
2024-03-01 16:50:00,64,8,31,10,8,6,81,2,38,4,19,15,108,8,402
2024-03-01 17:00:00,76,5,36,4,6,8,70,3,46,3,14,11,73,7,362
2024-03-01 17:10:00,84,5,28,4,17,7,58,2,38,1,18,11,37,15,325
2024-03-01 17:20:00,65,6,27,7,5,7,60,3,35,1,9,5,33,2,265
2024-03-01 17:30:00,82,5,30,2,9,8,57,4,42,2,13,8,45,11,318
2024-03-01 17:40:00,78,5,24,8,13,14,75,3,39,2,18,15,35,11,340
2024-03-01 17:50:00,82,10,30,8,12,9,71,6,27,2,15,12,41,13,338
2024-03-01 18:00:00,73,4,20,3,14,10,55,5,23,2,20,10,66,7,312
2024-03-01 18:10:00,63,5,30,5,4,5,67,1,22,1,15,8,53,8,287
2024-03-01 18:20:00,76,3,22,4,4,2,71,2,21,2,14,14,71,4,310
2024-03-01 18:30:00,71,5,24,2,8,6,57,0,28,0,19,13,135,6,374
2024-03-01 18:40:00,71,5,24,3,7,8,63,3,31,3,19,13,42,8,300
2024-03-01 18:50:00,79,6,29,4,5,5,52,3,20,1,16,19,30,5,274
2024-03-01 19:00:00,63,9,33,5,10,8,59,3,25,3,11,12,26,8,275
2024-03-01 19:10:00,64,8,28,5,9,11,44,0,25,0,20,14,32,10,270
2024-03-01 19:20:00,46,6,27,5,5,5,46,1,15,1,14,17,32,4,224
2024-03-01 19:30:00,55,5,27,3,11,9,44,1,24,0,17,13,19,11,239
2024-03-01 19:40:00,52,4,25,2,6,3,29,0,17,0,14,11,23,6,192
2024-03-01 19:50:00,51,7,28,3,7,4,45,1,27,0,7,8,23,6,217
2024-03-01 20:00:00,48,4,19,5,3,1,62,1,23,0,17,16,30,4,233
2024-03-01 20:10:00,37,9,21,5,9,7,38,0,28,0,13,9,15,8,199
2024-03-01 20:20:00,41,7,21,9,5,6,28,2,27,1,9,7,11,6,180
2024-03-01 20:30:00,45,5,22,2,4,2,31,3,21,0,5,5,14,2,161
2024-03-01 20:40:00,44,0,22,0,5,6,20,1,15,1,5,7,20,5,151
2024-03-01 20:50:00,49,7,35,2,3,4,25,1,14,1,15,14,22,3,195
2024-03-01 21:00:00,33,3,25,3,5,5,26,1,18,0,14,16,17,4,170
2024-03-01 21:10:00,36,4,22,3,5,5,34,0,24,0,14,13,32,6,198
2024-03-01 21:20:00,37,1,25,1,8,7,24,0,18,0,3,2,10,7,143
2024-03-01 21:30:00,29,2,19,1,6,6,23,0,15,0,13,11,23,7,155
2024-03-01 21:40:00,43,3,26,3,2,2,26,0,14,0,13,11,17,3,163
2024-03-01 21:50:00,36,4,33,3,2,1,21,0,15,0,6,7,10,3,141
2024-03-01 22:00:00,34,0,27,0,3,5,12,2,15,1,9,9,15,3,135
2024-03-01 22:10:00,41,1,25,1,4,6,23,0,15,0,9,10,18,4,157
2024-03-01 22:20:00,50,2,29,4,1,1,25,0,18,0,4,4,25,0,163
2024-03-01 22:30:00,38,3,27,1,3,3,22,0,12,0,5,9,40,3,166
2024-03-01 22:40:00,40,1,22,0,3,3,35,0,18,0,11,12,28,3,176
2024-03-01 22:50:00,29,4,23,4,5,3,20,1,17,1,15,15,50,4,191
2024-03-01 23:00:00,35,4,23,3,2,2,19,0,12,0,10,11,47,3,171
2024-03-01 23:10:00,32,2,20,0,1,2,11,0,11,0,6,6,14,2,107
2024-03-01 23:20:00,15,1,15,0,0,0,13,0,12,0,8,9,43,0,116
2024-03-01 23:30:00,25,0,16,0,3,2,16,1,13,0,5,4,13,1,99
2024-03-01 23:40:00,25,1,18,2,2,2,18,0,15,0,9,9,12,2,115
2024-03-01 23:50:00,20,1,23,2,2,2,14,1,13,2,5,6,16,3,110
2024-03-02 00:00:00,18,1,13,0,1,1,10,0,11,0,9,9,29,1,103
2024-03-02 00:10:00,16,3,15,2,3,3,13,0,11,0,4,5,29,4,108
2024-03-02 00:20:00,15,3,12,3,0,0,7,3,6,0,3,5,29,2,88
2024-03-02 00:30:00,24,1,20,4,1,2,11,0,8,0,4,5,63,1,144
2024-03-02 00:40:00,18,0,20,0,0,0,8,0,6,0,3,2,6,0,63
2024-03-02 00:50:00,16,4,15,4,1,1,3,0,3,0,4,5,4,4,64
2024-03-02 01:00:00,13,0,11,0,1,1,5,0,6,0,4,5,6,1,53
2024-03-02 01:10:00,14,1,14,2,0,0,6,0,6,0,2,3,8,0,56
2024-03-02 01:20:00,12,3,13,2,2,0,7,0,11,0,6,6,7,2,71
