datetime,D21Z,V22Z,D31Z,D32Z,V33Z,D51Z,D52Z,D53Z,D54Z,V55Z,V56Z,V57Z,V58Z,V71Z,D81Z,V82Z,D91Z,D92Z,V93Z,D111Z,D112Z,D113Z,V114Z,V115Z,V116Z,Total
2024-03-01 08:50:00,56,18,9,10,8,12,37,49,8,16,10,22,12,16,59,11,21,11,4,49,44,13,24,21,14,554
2024-03-01 09:00:00,37,16,5,7,2,22,28,50,7,15,21,20,12,12,52,20,26,13,5,40,30,12,26,23,11,512
2024-03-01 09:10:00,47,16,16,15,7,13,29,46,15,11,24,16,13,5,57,14,80,10,7,38,38,14,19,22,14,586
2024-03-01 09:20:00,59,15,12,22,7,11,47,52,12,11,15,21,12,5,43,20,14,10,11,50,38,23,14,22,18,564
2024-03-01 09:30:00,65,12,18,17,7,15,32,44,9,9,19,21,15,11,59,13,26,19,10,30,33,13,24,23,23,567
2024-03-01 09:40:00,62,5,22,29,7,8,27,38,12,10,18,9,15,13,64,29,23,24,9,42,31,14,20,19,16,566
2024-03-01 09:50:00,64,3,15,11,8,11,44,52,18,10,22,19,15,12,59,21,26,18,6,44,33,25,19,24,17,596
2024-03-01 10:00:00,68,6,14,11,6,7,24,40,15,6,20,14,14,10,51,27,20,15,9,35,30,24,24,24,24,538
2024-03-01 10:10:00,53,14,7,5,4,6,29,41,5,4,25,15,8,12,41,22,15,17,6,29,22,19,18,17,15,449
2024-03-01 10:20:00,70,11,45,13,7,6,29,40,2,8,20,26,13,9,44,18,23,24,9,32,35,13,21,24,10,552
2024-03-01 10:30:00,55,14,19,16,7,14,17,31,7,13,22,10,8,12,41,20,15,9,8,29,29,13,19,15,14,457
2024-03-01 10:40:00,56,13,9,10,7,10,30,41,7,11,37,16,9,15,53,19,23,22,11,40,38,13,25,17,14,546
2024-03-01 10:50:00,67,15,13,14,9,12,23,34,9,10,14,14,11,12,49,19,15,14,6,34,36,14,20,14,10,488
2024-03-01 11:00:00,69,15,23,18,9,14,27,37,7,20,28,22,13,7,54,16,22,17,6,30,29,15,17,21,27,563
2024-03-01 11:10:00,62,11,18,15,10,14,27,40,12,12,18,67,11,14,52,17,27,21,14,40,49,19,22,26,16,634
2024-03-01 11:20:00,61,13,11,14,7,6,27,35,10,7,17,15,14,13,42,18,17,16,7,34,43,15,18,22,18,500
2024-03-01 11:30:00,79,2,15,14,13,5,33,41,11,5,21,22,18,19,52,15,13,17,8,57,34,17,25,25,58,619
2024-03-01 11:40:00,57,13,18,14,7,11,15,42,14,10,21,13,11,14,57,23,25,17,12,34,36,16,19,21,17,537
2024-03-01 11:50:00,71,9,20,17,10,14,26,45,11,13,28,30,16,10,37,14,9,8,6,32,48,14,17,15,15,535
2024-03-01 12:00:00,85,4,22,18,14,5,24,42,14,5,19,28,16,19,37,17,16,18,6,36,38,15,17,16,9,540
2024-03-01 12:10:00,69,8,14,15,10,7,25,41,12,9,21,21,15,13,45,19,17,24,9,45,42,17,28,20,10,556
2024-03-01 12:20:00,76,3,15,16,12,6,21,37,12,5,14,18,14,22,54,19,35,33,14,47,48,12,31,22,13,599
2024-03-01 12:30:00,75,5,23,23,8,9,28,45,8,11,15,15,11,21,57,17,19,24,8,46,31,19,25,23,15,581
2024-03-01 12:40:00,74,9,12,13,8,10,32,44,10,10,21,20,13,11,50,14,21,18,9,43,43,15,22,28,17,567
2024-03-01 12:50:00,92,14,23,23,10,11,40,54,14,12,29,18,6,17,37,13,18,21,11,42,47,13,14,18,15,612
2024-03-01 13:00:00,82,14,18,19,7,13,33,43,10,13,19,17,15,16,43,19,19,16,13,85,56,20,19,20,15,644
2024-03-01 13:10:00,86,12,24,22,8,14,35,46,10,13,14,13,9,28,42,24,17,16,13,59,57,21,20,15,13,631
2024-03-01 13:20:00,88,11,26,24,11,5,32,43,14,5,11,24,14,18,57,19,19,22,12,60,54,20,21,16,21,647
2024-03-01 13:30:00,90,10,26,27,14,4,27,39,12,6,14,14,12,13,38,15,22,19,8,62,57,15,17,22,15,598
2024-03-01 13:40:00,87,6,22,18,12,14,32,45,11,4,14,13,6,18,39,83,20,20,7,40,48,19,20,18,13,629
2024-03-01 13:50:00,85,16,18,18,10,10,24,47,10,10,15,25,12,16,45,21,18,20,9,66,51,10,20,17,19,612
2024-03-01 14:00:00,84,7,32,27,13,8,37,38,8,10,14,14,10,17,32,38,19,16,8,49,44,17,21,18,10,591
2024-03-01 14:10:00,80,5,31,27,9,7,31,40,15,5,21,15,14,16,36,16,13,13,8,54,56,14,19,20,17,582
2024-03-01 14:20:00,91,5,20,19,10,5,37,46,16,7,16,10,19,20,56,15,28,18,13,64,69,18,24,36,17,679
2024-03-01 14:30:00,61,15,31,27,13,10,34,39,12,12,16,13,14,18,55,23,17,16,7,101,54,14,22,16,15,655
