datetime,D21Z,D22Z,V23Z,V24Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,Total
2024-03-01 12:00:00,56,6,25,7,0,0,24,10,27,16,21,9,6,8,3,1,219
2024-03-01 12:10:00,75,4,25,6,0,0,21,12,17,12,13,7,5,10,2,2,211
2024-03-01 12:20:00,60,8,24,6,0,0,19,17,24,15,15,13,6,3,3,0,213
2024-03-01 12:30:00,57,4,28,8,0,0,17,7,22,16,17,10,4,7,3,2,202
2024-03-01 12:40:00,69,9,34,9,0,0,10,9,24,15,17,13,6,9,5,1,230
2024-03-01 12:50:00,65,9,27,7,0,0,17,16,35,9,24,7,8,7,6,1,238
2024-03-01 13:00:00,82,12,36,8,0,0,13,8,17,17,13,15,6,4,6,2,239
2024-03-01 13:10:00,78,8,31,6,0,0,17,12,24,20,18,18,10,3,6,1,252
2024-03-01 13:20:00,69,3,23,5,0,0,22,8,27,4,15,5,2,4,2,2,191
2024-03-01 13:30:00,61,7,24,7,0,0,19,8,27,10,22,7,6,3,5,3,209
2024-03-01 13:40:00,64,9,21,12,0,0,16,7,27,10,14,10,6,5,4,1,206
2024-03-01 13:50:00,75,11,24,5,0,0,23,11,18,4,16,3,7,5,2,3,207
2024-03-01 14:00:00,64,5,30,1,0,0,19,14,19,12,16,6,6,9,6,1,208
2024-03-01 14:10:00,62,9,20,12,0,0,19,9,29,10,19,9,5,4,4,1,212
2024-03-01 14:20:00,67,2,20,6,0,0,19,8,19,16,17,11,9,5,4,1,204
2024-03-01 14:30:00,76,7,29,3,0,0,19,8,24,8,17,9,6,2,3,0,211
2024-03-01 14:40:00,50,7,37,5,0,0,21,14,28,13,20,10,5,5,5,0,220
2024-03-01 14:50:00,60,13,26,7,0,0,15,15,23,13,12,9,7,2,3,2,207
2024-03-01 15:00:00,60,12,25,9,0,0,17,12,25,14,12,8,9,7,6,2,218
2024-03-01 15:10:00,71,6,37,3,0,0,17,12,20,11,16,10,10,2,7,1,223
