datetime,D51Z,D52Z,V51Z,D111Z,V111Z,D112Z,Total
2024-03-01 20:30:00,32,38,24,37,32,37,200
2024-03-01 20:40:00,27,31,26,20,21,20,145
2024-03-01 20:50:00,24,25,22,26,20,26,143
2024-03-01 21:00:00,18,19,13,29,30,26,135
2024-03-01 21:10:00,23,21,15,23,24,24,130
2024-03-01 21:20:00,29,29,21,19,17,15,130
2024-03-01 21:30:00,34,32,25,27,21,24,163
2024-03-01 21:40:00,22,24,22,13,11,11,103
2024-03-01 21:50:00,32,33,21,23,22,22,153
2024-03-01 22:00:00,24,25,19,17,20,16,121
2024-03-01 22:10:00,24,22,25,14,9,10,104
2024-03-01 22:20:00,25,24,18,25,31,25,148
2024-03-01 22:30:00,19,19,15,17,16,15,101
2024-03-01 22:40:00,18,19,18,13,16,13,97
2024-03-01 22:50:00,25,23,24,14,15,11,112
2024-03-01 23:00:00,20,21,18,10,8,8,85
2024-03-01 23:10:00,17,17,14,12,14,11,85
2024-03-01 23:20:00,26,35,22,20,15,17,135
2024-03-01 23:30:00,39,32,25,15,17,16,144
2024-03-01 23:40:00,23,23,19,11,14,10,100
2024-03-01 23:50:00,20,19,20,10,12,12,93
2024-03-02 00:00:00,19,17,14,11,10,12,83
2024-03-02 00:10:00,10,11,8,14,14,12,69
2024-03-02 00:20:00,13,15,15,9,6,8,66
2024-03-02 00:30:00,17,15,14,8,9,10,73
2024-03-02 00:40:00,6,6,4,6,6,5,33
2024-03-02 00:50:00,10,12,8,5,4,4,43
2024-03-02 01:00:00,8,7,7,10,8,11,51
2024-03-02 01:10:00,7,7,8,3,6,3,34
2024-03-02 01:20:00,7,7,8,2,2,4,30
2024-03-02 01:30:00,9,10,11,4,3,3,40
2024-03-02 01:40:00,6,5,5,5,6,5,32
2024-03-02 01:50:00,2,2,2,4,5,4,19
2024-03-02 02:00:00,4,2,2,1,1,1,11
2024-03-02 02:10:00,6,6,8,2,1,2,25
2024-03-02 02:20:00,7,7,8,6,4,5,37
2024-03-02 02:30:00,10,11,8,3,7,3,42
2024-03-02 02:40:00,4,4,3,1,3,1,16
2024-03-02 02:50:00,6,5,5,4,2,3,25
2024-03-02 03:00:00,4,4,4,5,5,3,25
2024-03-02 03:10:00,3,3,3,2,4,3,18
2024-03-02 03:20:00,5,5,4,7,7,6,34
2024-03-02 03:30:00,4,3,3,4,4,4,22
2024-03-02 03:40:00,4,4,3,3,3,2,19
