datetime,D11Z,D12Z,D13Z,D21Z,D22Z,D31Z,D32Z,D33Z,D41Z,D42Z,D28Z,D29Z,D70Z,Total
2024-03-01 01:00:00,6,4,4,3,10,7,3,1,4,5,4,9,0,60
2024-03-01 01:10:00,7,7,2,3,5,13,5,4,5,5,2,8,0,66
2024-03-01 01:20:00,3,4,1,3,2,5,1,4,4,6,2,3,0,38
2024-03-01 01:30:00,5,1,1,2,32,7,2,2,3,5,6,2,0,68
2024-03-01 01:40:00,8,8,1,2,1,12,4,2,5,6,5,8,0,62
2024-03-01 01:50:00,5,3,3,2,2,5,2,2,3,3,4,4,0,38
2024-03-01 02:00:00,5,3,2,0,0,5,2,1,2,3,7,5,0,35
2024-03-01 02:10:00,3,2,1,1,1,11,3,4,0,0,1,3,0,30
2024-03-01 02:20:00,3,2,1,0,1,2,2,1,3,4,3,3,0,25
2024-03-01 02:30:00,3,1,1,0,0,7,4,1,2,1,2,0,0,22
2024-03-01 02:40:00,1,0,0,2,0,3,1,1,1,2,0,0,0,11
2024-03-01 02:50:00,4,0,1,1,1,6,0,2,4,4,4,1,0,28
2024-03-01 03:00:00,6,1,2,1,1,5,3,1,1,1,3,2,0,27
2024-03-01 03:10:00,1,0,1,0,0,3,0,1,0,0,1,1,0,8
2024-03-01 03:20:00,4,1,0,0,0,6,3,1,1,1,3,1,0,21
2024-03-01 03:30:00,3,0,3,0,0,7,2,1,1,1,2,1,0,21
2024-03-01 03:40:00,0,1,1,0,1,1,0,1,6,6,2,1,0,20
2024-03-01 03:50:00,2,2,0,1,2,4,2,1,0,1,1,2,0,18
2024-03-01 04:00:00,3,4,0,2,37,2,0,0,2,3,2,5,0,60
2024-03-01 04:10:00,4,3,4,0,0,5,1,1,3,3,3,4,0,31
2024-03-01 04:20:00,2,0,0,2,6,9,3,4,1,1,1,3,0,32
2024-03-01 04:30:00,0,0,3,1,1,4,2,2,1,1,0,0,0,15
2024-03-01 04:40:00,2,3,4,2,3,5,0,2,3,3,2,5,0,34
2024-03-01 04:50:00,1,1,0,2,2,11,3,3,2,3,1,1,0,30
2024-03-01 05:00:00,3,2,0,1,1,11,4,3,5,6,4,4,0,44
2024-03-01 05:10:00,2,3,3,3,1,12,3,5,3,3,2,2,0,42
2024-03-01 05:20:00,6,5,10,2,1,27,10,11,10,9,6,6,0,103
2024-03-01 05:30:00,9,2,5,3,5,28,20,3,11,11,10,3,0,110
2024-03-01 05:40:00,9,5,5,2,4,34,12,14,22,28,10,9,0,154
2024-03-01 05:50:00,11,5,7,3,0,35,14,9,22,23,11,7,0,147
2024-03-01 06:00:00,5,7,7,8,5,40,16,17,18,21,8,9,0,161
2024-03-01 06:10:00,14,13,10,6,7,41,11,23,16,19,12,14,0,186
