datetime,D11Z,D12Z,D13Z,D14Z,D15Z,D21Z,D22Z,D31Z,D32Z,D33Z,D34Z,D35Z,D36Z,D37Z,D41Z,D42Z,D43Z,Total
2024-03-01 11:30:00,17,18,38,43,36,6,34,39,49,17,53,24,10,28,0,93,1,506
2024-03-01 11:40:00,17,18,36,45,38,3,39,40,67,20,68,31,7,31,0,93,0,553
2024-03-01 11:50:00,15,23,38,48,25,6,28,28,68,13,74,30,10,27,0,82,0,515
2024-03-01 12:00:00,13,16,38,41,34,12,34,36,74,20,67,26,10,27,0,81,0,529
2024-03-01 12:10:00,12,14,41,53,42,4,41,36,84,13,74,29,6,28,3,89,7,576
2024-03-01 12:20:00,9,12,59,63,31,13,57,34,89,17,85,25,13,23,1,90,2,623
2024-03-01 12:30:00,14,14,52,148,39,12,49,37,80,7,81,28,8,30,0,82,2,683
2024-03-01 12:40:00,16,19,61,72,39,12,138,42,72,14,63,34,7,35,1,108,5,738
2024-03-01 12:50:00,9,13,52,66,37,8,69,40,85,11,81,31,11,34,2,77,4,630
2024-03-01 13:00:00,14,12,63,76,42,8,83,48,75,20,72,43,4,46,1,105,2,714
2024-03-01 13:10:00,18,19,65,70,49,10,57,45,67,12,73,43,1,36,1,85,8,659
2024-03-01 13:20:00,16,18,53,57,35,9,55,44,60,12,59,44,4,42,1,102,5,616
2024-03-01 13:30:00,11,12,51,52,44,8,41,37,77,8,68,38,1,40,1,97,4,590
2024-03-01 13:40:00,13,14,79,65,34,14,55,35,67,19,70,40,1,39,4,89,5,643
2024-03-01 13:50:00,13,9,72,59,30,14,31,34,73,11,72,15,10,14,2,97,2,558
2024-03-01 14:00:00,17,13,60,67,39,9,42,39,66,6,68,42,10,42,1,107,5,633
2024-03-01 14:10:00,17,15,58,56,41,10,36,41,66,12,60,38,1,38,0,105,0,594
2024-03-01 14:20:00,11,12,64,64,36,14,38,42,83,15,70,39,3,36,1,81,4,613
2024-03-01 14:30:00,12,15,49,55,26,10,28,32,66,13,77,42,4,45,1,105,1,581
2024-03-01 14:40:00,10,10,65,70,43,10,43,42,82,5,71,40,1,44,0,87,0,623
2024-03-01 14:50:00,13,11,75,59,34,7,33,35,61,14,67,35,6,24,2,99,2,577
2024-03-01 15:00:00,12,11,60,64,36,31,31,36,77,12,80,33,11,43,1,89,4,631
2024-03-01 15:10:00,19,28,69,60,34,10,39,44,92,7,97,47,7,37,3,100,10,703
2024-03-01 15:20:00,12,11,56,53,49,10,135,45,67,12,64,40,7,43,55,90,10,759
2024-03-01 15:30:00,13,8,217,48,29,12,224,32,92,23,87,34,9,32,57,42,14,973
2024-03-01 15:40:00,11,12,45,45,49,12,156,45,82,11,93,34,5,39,59,61,15,774
2024-03-01 15:50:00,12,15,101,77,38,4,91,44,90,15,78,43,3,30,48,51,16,756
2024-03-01 16:00:00,20,18,64,53,42,9,76,37,71,12,76,35,2,45,65,132,13,770
2024-03-01 16:10:00,8,12,60,55,35,13,462,36,80,11,77,43,2,32,60,60,19,1065
2024-03-01 16:20:00,9,13,75,74,33,8,185,37,61,11,53,40,5,28,81,84,13,810
2024-03-01 16:30:00,12,14,56,52,44,14,258,43,118,18,78,32,9,42,51,45,11,897
2024-03-01 16:40:00,10,10,67,54,33,5,54,37,75,8,79,37,5,35,68,59,14,650
2024-03-01 16:50:00,16,16,57,59,42,8,181,39,159,5,82,36,2,32,54,54,17,859
2024-03-01 17:00:00,12,8,57,56,21,13,44,30,76,13,77,40,17,40,67,63,8,642
2024-03-01 17:10:00,9,12,57,210,41,10,54,37,68,9,74,33,3,34,73,56,10,790
2024-03-01 17:20:00,17,14,56,47,34,15,54,35,72,7,72,42,6,41,62,61,14,649
2024-03-01 17:30:00,8,10,44,44,36,13,180,31,80,7,70,36,4,38,64,93,16,774
2024-03-01 17:40:00,21,16,53,46,31,10,34,36,68,16,72,39,7,32,57,49,16,603
2024-03-01 17:50:00,15,10,59,57,31,15,30,31,62,13,62,20,10,23,79,86,5,608
2024-03-01 18:00:00,6,9,49,49,37,9,37,39,69,10,68,40,9,36,63,58,17,605
2024-03-01 18:10:00,18,14,54,54,30,13,33,39,67,13,63,26,13,26,73,64,15,615
2024-03-01 18:20:00,17,13,51,46,43,36,41,37,80,13,93,29,11,35,67,63,6,681
2024-03-01 18:30:00,16,15,45,39,28,30,30,32,57,28,59,44,5,59,72,59,23,641
2024-03-01 18:40:00,12,10,42,34,31,32,29,31,55,16,63,33,5,36,60,58,31,578
2024-03-01 18:50:00,9,6,39,33,38,26,36,37,62,14,66,32,7,27,71,67,21,591
2024-03-01 19:00:00,19,17,50,48,28,44,26,31,45,19,52,26,16,29,63,53,22,588
2024-03-01 19:10:00,18,16,43,39,26,40,30,31,51,29,54,26,26,24,53,51,28,585
2024-03-01 19:20:00,29,23,39,42,28,27,23,25,41,33,44,17,21,20,210,52,30,704
2024-03-01 19:30:00,20,21,32,30,27,36,27,29,46,20,43,16,15,17,63,47,30,519
2024-03-01 19:40:00,31,20,32,48,21,33,18,19,42,33,51,18,17,21,51,271,37,763
2024-03-01 19:50:00,32,17,26,23,133,48,59,29,38,26,41,25,22,23,37,30,29,638
2024-03-01 20:00:00,21,14,23,27,21,25,27,21,25,17,21,16,16,14,37,31,35,391
