datetime,V21Z,V22Z,V81Z,V82Z,V321Z,Total
2024-03-01 01:00:00,2,8,4,3,0,17
2024-03-01 01:10:00,5,7,3,2,0,17
2024-03-01 01:20:00,5,3,6,0,0,14
2024-03-01 01:30:00,5,9,1,3,0,18
2024-03-01 01:40:00,2,3,1,2,0,8
2024-03-01 01:50:00,2,8,5,11,0,26
2024-03-01 02:00:00,0,4,5,3,0,12
2024-03-01 02:10:00,1,1,4,0,0,6
2024-03-01 02:20:00,1,3,0,0,0,4
2024-03-01 02:30:00,2,11,0,0,0,13
2024-03-01 02:40:00,2,4,1,1,0,8
2024-03-01 02:50:00,0,2,0,1,0,3
2024-03-01 03:00:00,2,4,0,0,0,6
2024-03-01 03:10:00,2,5,0,2,0,9
2024-03-01 03:20:00,7,12,3,1,0,23
2024-03-01 03:30:00,3,3,3,6,0,15
2024-03-01 03:40:00,2,3,0,6,0,11
2024-03-01 03:50:00,3,3,0,0,0,6
2024-03-01 04:00:00,0,0,1,0,0,1
2024-03-01 04:10:00,3,5,1,3,0,12
2024-03-01 04:20:00,1,9,1,12,0,23
2024-03-01 04:30:00,3,5,4,8,0,20
2024-03-01 04:40:00,1,3,0,10,0,14
2024-03-01 04:50:00,13,11,5,17,0,46
2024-03-01 05:00:00,6,9,8,22,0,45
2024-03-01 05:10:00,10,17,7,19,0,53
2024-03-01 05:20:00,3,4,12,34,0,53
2024-03-01 05:30:00,20,21,22,49,0,112
2024-03-01 05:40:00,26,22,23,47,0,118
2024-03-01 05:50:00,16,20,24,57,0,117
2024-03-01 06:00:00,20,25,19,42,2,108
2024-03-01 06:10:00,28,32,28,48,0,136
2024-03-01 06:20:00,29,28,42,48,0,147
2024-03-01 06:30:00,28,39,29,58,0,154
2024-03-01 06:40:00,27,39,30,66,0,162
2024-03-01 06:50:00,33,35,47,105,0,220
2024-03-01 07:00:00,24,45,31,36,0,136
2024-03-01 07:10:00,16,37,41,44,1,139
2024-03-01 07:20:00,29,34,33,52,7,155
2024-03-01 07:30:00,32,41,58,52,3,186
2024-03-01 07:40:00,30,49,51,46,0,176
2024-03-01 07:50:00,46,44,49,50,0,189
2024-03-01 08:00:00,28,51,47,35,1,162
2024-03-01 08:10:00,25,50,40,45,0,160
2024-03-01 08:20:00,34,32,31,27,5,129
2024-03-01 08:30:00,32,43,32,44,1,152
2024-03-01 08:40:00,41,64,33,58,1,197
2024-03-01 08:50:00,32,53,48,56,0,189
2024-03-01 09:00:00,43,53,35,56,0,187
2024-03-01 09:10:00,26,42,27,57,0,152
2024-03-01 09:20:00,28,55,27,52,5,167
2024-03-01 09:30:00,27,39,30,47,1,144
2024-03-01 09:40:00,42,57,22,41,0,162
2024-03-01 09:50:00,34,47,25,41,1,148
2024-03-01 10:00:00,32,62,27,40,0,161
2024-03-01 10:10:00,29,41,14,41,0,125
2024-03-01 10:20:00,23,41,12,41,2,119
2024-03-01 10:30:00,34,45,14,54,0,147
2024-03-01 10:40:00,41,54,20,48,0,163
2024-03-01 10:50:00,36,46,21,43,0,146
2024-03-01 11:00:00,34,47,14,44,1,140
2024-03-01 11:10:00,28,60,21,46,0,155
2024-03-01 11:20:00,46,63,25,44,0,178
2024-03-01 11:30:00,31,55,14,40,2,142
2024-03-01 11:40:00,35,50,16,38,4,143
2024-03-01 11:50:00,29,50,12,45,2,138
2024-03-01 12:00:00,44,59,12,35,0,150
2024-03-01 12:10:00,42,50,10,33,1,136
2024-03-01 12:20:00,36,43,13,39,2,133
2024-03-01 12:30:00,44,64,12,39,2,161
2024-03-01 12:40:00,61,74,18,58,0,211
2024-03-01 12:50:00,52,65,19,41,1,178
2024-03-01 13:00:00,47,68,13,45,4,177
2024-03-01 13:10:00,60,60,11,43,4,178
2024-03-01 13:20:00,48,79,16,45,0,188
2024-03-01 13:30:00,48,52,16,42,3,161
2024-03-01 13:40:00,44,70,16,41,0,171
2024-03-01 13:50:00,59,60,11,57,1,188
2024-03-01 14:00:00,57,57,11,42,0,167
2024-03-01 14:10:00,55,49,18,50,1,173
2024-03-01 14:20:00,54,67,17,44,2,184
2024-03-01 14:30:00,50,50,8,61,0,169
2024-03-01 14:40:00,58,64,19,29,0,170
2024-03-01 14:50:00,42,53,10,52,1,158
2024-03-01 15:00:00,46,45,15,41,3,150
2024-03-01 15:10:00,58,46,17,44,1,166
2024-03-01 15:20:00,56,57,24,41,0,178
2024-03-01 15:30:00,44,43,25,31,2,145
2024-03-01 15:40:00,48,55,31,31,2,167
2024-03-01 15:50:00,47,51,19,30,3,150
2024-03-01 16:00:00,58,51,27,40,3,179
2024-03-01 16:10:00,48,54,32,39,0,173
2024-03-01 16:20:00,52,63,33,33,0,181
2024-03-01 16:30:00,43,48,22,30,2,145
2024-03-01 16:40:00,50,39,28,22,3,142
2024-03-01 16:50:00,46,68,24,35,1,174
2024-03-01 17:00:00,44,45,20,29,1,139
2024-03-01 17:10:00,51,50,29,35,2,167
2024-03-01 17:20:00,46,47,21,30,1,145
2024-03-01 17:30:00,40,39,30,34,5,148
2024-03-01 17:40:00,48,47,21,34,4,154
2024-03-01 17:50:00,51,39,25,36,0,151
2024-03-01 18:00:00,58,55,30,27,0,170
2024-03-01 18:10:00,51,49,24,39,1,164
2024-03-01 18:20:00,47,66,30,28,0,171
2024-03-01 18:30:00,69,44,27,56,1,197
2024-03-01 18:40:00,63,46,34,51,1,195
2024-03-01 18:50:00,55,60,32,70,1,218
2024-03-01 19:00:00,60,57,32,55,0,204
2024-03-01 19:10:00,54,45,21,47,0,167
2024-03-01 19:20:00,47,46,30,78,3,204
2024-03-01 19:30:00,56,51,39,40,0,186
2024-03-01 19:40:00,33,52,23,51,0,159
2024-03-01 19:50:00,40,51,24,33,3,151
2024-03-01 20:00:00,31,48,30,39,0,148
2024-03-01 20:10:00,23,52,26,44,2,147
2024-03-01 20:20:00,27,44,20,37,0,128
2024-03-01 20:30:00,24,61,25,28,0,138
2024-03-01 20:40:00,28,42,24,37,2,133
2024-03-01 20:50:00,32,43,15,26,0,116
2024-03-01 21:00:00,32,44,21,34,0,131
2024-03-01 21:10:00,27,39,19,26,0,111
2024-03-01 21:20:00,31,36,23,35,0,125
2024-03-01 21:30:00,18,47,16,30,0,111
2024-03-01 21:40:00,34,48,24,41,0,147
2024-03-01 21:50:00,36,47,20,23,1,127
2024-03-01 22:00:00,24,31,16,41,0,112
2024-03-01 22:10:00,21,46,17,26,0,110
2024-03-01 22:20:00,30,55,14,28,0,127
2024-03-01 22:30:00,25,34,19,31,0,109
2024-03-01 22:40:00,35,47,10,21,2,115
2024-03-01 22:50:00,45,53,15,13,0,126
2024-03-01 23:00:00,30,30,23,33,0,116
2024-03-01 23:10:00,28,36,20,19,0,103
2024-03-01 23:20:00,42,42,9,16,0,109
2024-03-01 23:30:00,24,34,15,19,0,92
2024-03-01 23:40:00,15,42,16,15,1,89
2024-03-01 23:50:00,18,52,7,10,0,87
2024-03-02 00:00:00,11,25,9,19,0,64
2024-03-02 00:10:00,9,24,10,16,0,59
2024-03-02 00:20:00,20,26,12,11,0,69
2024-03-02 00:30:00,9,28,13,10,0,60
2024-03-02 00:40:00,7,17,8,9,0,41
