datetime,D21Z,D22Z,V23Z,V24Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D115Z,Total
2024-03-01 13:40:00,58,53,29,32,39,54,31,29,26,131,14,13,3,512
2024-03-01 13:50:00,72,68,36,26,24,50,20,31,21,28,11,13,1,401
2024-03-01 14:00:00,76,66,32,39,27,40,25,29,22,57,17,17,0,447
2024-03-01 14:10:00,87,77,30,27,34,51,26,23,22,31,14,14,0,436
2024-03-01 14:20:00,75,77,34,39,34,59,29,37,20,36,14,15,1,470
2024-03-01 14:30:00,85,71,26,37,31,51,23,33,25,30,15,16,0,443
2024-03-01 14:40:00,88,70,37,36,34,47,23,29,23,27,19,11,0,444
2024-03-01 14:50:00,73,64,41,41,23,55,16,36,20,31,16,16,0,432
2024-03-01 15:00:00,67,71,30,33,37,51,26,25,18,30,11,13,2,414
2024-03-01 15:10:00,81,77,30,38,43,59,26,27,23,40,16,22,0,482
2024-03-01 15:20:00,72,76,35,29,34,42,27,29,22,22,14,14,0,416
2024-03-01 15:30:00,82,92,36,40,32,45,25,32,20,24,10,15,1,454
2024-03-01 15:40:00,64,63,34,35,28,45,23,36,23,31,15,23,0,420
2024-03-01 15:50:00,48,58,23,24,27,47,19,29,16,17,12,12,0,332
2024-03-01 16:00:00,69,61,29,28,25,41,20,26,36,25,13,13,3,389
2024-03-01 16:10:00,65,64,37,35,34,67,30,38,22,31,20,20,2,465
2024-03-01 16:20:00,81,67,39,32,45,44,35,26,53,28,10,15,1,476
2024-03-01 16:30:00,73,72,36,35,31,43,28,28,26,22,17,16,1,428
2024-03-01 16:40:00,67,62,30,32,35,50,27,25,27,27,13,14,1,410
2024-03-01 16:50:00,82,78,39,32,38,49,25,27,201,26,17,18,1,633
2024-03-01 17:00:00,74,75,35,35,39,48,33,36,22,47,16,13,1,474
2024-03-01 17:10:00,71,63,36,35,22,42,19,28,29,35,14,18,0,412
2024-03-01 17:20:00,59,68,30,32,31,38,27,23,12,10,10,14,0,354
2024-03-01 17:30:00,72,76,29,38,30,32,24,26,26,62,16,18,0,449
2024-03-01 17:40:00,63,59,28,32,26,35,21,22,21,51,11,18,0,387
2024-03-01 17:50:00,71,64,36,39,35,41,27,22,18,26,13,14,0,406
2024-03-01 18:00:00,74,62,35,32,29,53,23,29,24,26,16,20,0,423
2024-03-01 18:10:00,78,82,22,35,31,50,24,28,24,30,12,15,1,432
2024-03-01 18:20:00,66,70,37,34,29,48,18,30,19,25,19,15,0,410
2024-03-01 18:30:00,57,83,41,50,24,44,27,27,37,28,23,12,0,453
2024-03-01 18:40:00,85,77,27,29,38,48,30,35,28,21,9,26,0,453
2024-03-01 18:50:00,62,63,42,54,36,40,28,23,36,21,17,13,0,435
2024-03-01 19:00:00,67,56,31,43,32,74,28,26,18,27,22,18,0,442
2024-03-01 19:10:00,60,50,28,53,29,46,20,31,20,19,16,16,0,388
2024-03-01 19:20:00,72,58,35,48,21,33,14,27,18,17,17,17,0,377
2024-03-01 19:30:00,54,40,41,49,32,35,21,26,19,26,15,15,0,373
2024-03-01 19:40:00,57,54,29,58,20,37,17,24,26,25,15,13,1,376
2024-03-01 19:50:00,51,44,26,44,16,33,11,23,16,14,14,15,0,307
2024-03-01 20:00:00,52,38,29,30,26,30,24,19,17,16,11,18,0,310
2024-03-01 20:10:00,49,46,29,43,46,26,14,27,10,19,8,18,0,335
2024-03-01 20:20:00,51,54,27,37,43,35,14,17,11,16,17,14,3,339
2024-03-01 20:30:00,43,35,28,28,21,23,16,17,21,22,17,15,1,287
2024-03-01 20:40:00,33,34,32,42,17,25,18,18,17,14,15,18,0,283
2024-03-01 20:50:00,40,33,26,37,14,20,18,19,11,15,16,18,0,267
2024-03-01 21:00:00,38,24,26,29,25,25,23,22,58,20,12,12,0,314
2024-03-01 21:10:00,32,29,17,25,22,21,15,14,15,61,12,21,0,284
2024-03-01 21:20:00,33,24,31,24,20,22,12,16,42,10,10,12,0,256
2024-03-01 21:30:00,35,26,26,20,23,26,17,23,15,15,14,14,1,255
2024-03-01 21:40:00,35,27,28,21,16,27,14,29,7,11,8,11,0,234
2024-03-01 21:50:00,33,26,27,24,19,30,21,26,26,10,10,13,1,266
2024-03-01 22:00:00,32,27,20,36,20,19,17,14,8,14,9,13,1,230
2024-03-01 22:10:00,35,24,31,22,21,16,18,13,19,7,14,7,0,227
2024-03-01 22:20:00,35,24,25,23,16,20,18,18,12,73,9,18,0,291
2024-03-01 22:30:00,32,22,29,17,16,22,18,19,9,12,11,14,0,221
2024-03-01 22:40:00,37,19,30,21,18,18,20,14,8,14,10,11,0,220
2024-03-01 22:50:00,26,17,19,19,21,30,17,23,4,13,5,15,0,209
2024-03-01 23:00:00,33,23,39,28,13,23,15,19,11,8,5,15,0,232
2024-03-01 23:10:00,25,25,24,28,23,30,15,23,5,71,3,8,0,280
2024-03-01 23:20:00,23,15,23,20,15,20,14,16,6,8,10,12,1,183
2024-03-01 23:30:00,22,13,18,16,20,18,19,13,9,6,10,8,0,172
2024-03-01 23:40:00,15,8,16,12,18,23,15,16,6,9,7,13,0,158
2024-03-01 23:50:00,10,14,12,18,9,16,10,14,3,5,4,10,0,125
2024-03-02 00:00:00,20,19,19,30,11,19,12,17,4,4,6,7,0,168
2024-03-02 00:10:00,17,10,17,14,11,25,10,19,5,5,6,8,0,147
2024-03-02 00:20:00,21,13,16,22,11,12,9,14,9,4,8,16,0,155
2024-03-02 00:30:00,26,11,27,16,10,12,9,10,7,1,8,4,0,141
2024-03-02 00:40:00,9,7,11,10,4,12,8,12,3,0,8,3,0,87
2024-03-02 00:50:00,10,3,10,6,6,12,7,11,5,4,3,7,0,84
2024-03-02 01:00:00,3,11,3,20,5,18,5,16,4,3,5,6,1,100
2024-03-02 01:10:00,10,5,21,10,2,11,2,9,0,3,0,3,0,76
2024-03-02 01:20:00,8,4,10,9,10,6,10,5,4,2,5,3,0,76
2024-03-02 01:30:00,15,6,15,10,8,12,7,16,2,4,2,7,1,105
2024-03-02 01:40:00,24,10,16,14,0,11,0,7,1,5,2,5,0,95
2024-03-02 01:50:00,11,6,17,11,1,7,1,7,0,1,0,1,0,63
2024-03-02 02:00:00,12,4,15,7,6,9,8,8,2,1,2,1,0,75
2024-03-02 02:10:00,17,5,16,12,3,5,4,4,0,3,0,3,0,72
2024-03-02 02:20:00,10,10,16,15,4,9,5,12,1,0,1,0,0,83
2024-03-02 02:30:00,5,6,9,9,5,7,5,4,3,2,2,3,0,60
2024-03-02 02:40:00,4,6,4,11,5,5,4,5,2,2,1,3,0,52
2024-03-02 02:50:00,4,2,7,5,8,6,6,5,1,2,1,3,0,50
2024-03-02 03:00:00,10,2,13,6,2,8,5,7,0,2,0,2,0,57
2024-03-02 03:10:00,9,4,15,3,1,7,2,8,2,3,1,4,0,59
2024-03-02 03:20:00,5,5,9,11,3,5,1,5,1,2,3,2,0,52
2024-03-02 03:30:00,8,2,9,2,0,5,0,4,2,1,2,2,0,37
2024-03-02 03:40:00,4,2,6,5,2,1,3,1,2,2,4,2,0,34
2024-03-02 03:50:00,8,3,9,7,2,3,2,3,1,1,1,2,0,42
2024-03-02 04:00:00,5,2,8,4,3,3,2,2,0,2,0,2,0,33
2024-03-02 04:10:00,1,3,2,6,1,5,4,5,2,2,2,4,0,37
2024-03-02 04:20:00,6,3,10,4,1,1,1,1,1,2,1,3,0,34
2024-03-02 04:30:00,11,3,11,6,2,2,2,2,3,0,3,0,0,45
2024-03-02 04:40:00,2,2,2,4,1,1,2,1,2,4,2,6,0,29
2024-03-02 04:50:00,4,2,6,4,2,3,3,2,3,1,4,3,0,37
2024-03-02 05:00:00,3,3,6,4,1,5,1,7,2,4,2,7,0,45
2024-03-02 05:10:00,4,6,5,12,5,7,6,6,0,7,0,6,0,64
2024-03-02 05:20:00,7,5,10,9,1,12,2,8,2,3,2,2,0,63
2024-03-02 05:30:00,10,7,10,11,5,8,5,6,5,4,7,11,0,89
2024-03-02 05:40:00,9,13,12,23,0,6,0,6,4,4,5,5,0,87
2024-03-02 05:50:00,7,5,8,10,3,5,4,5,2,6,2,7,0,64
2024-03-02 06:00:00,12,6,14,7,5,8,4,7,2,2,4,1,0,72
2024-03-02 06:10:00,7,4,7,10,2,5,2,4,2,5,7,5,0,60
2024-03-02 06:20:00,6,8,10,13,8,6,10,4,7,4,7,6,0,89
2024-03-02 06:30:00,14,5,15,14,6,5,6,7,2,5,3,5,0,87
2024-03-02 06:40:00,12,8,14,11,9,7,7,9,4,8,4,8,0,101
2024-03-02 06:50:00,8,6,10,6,6,11,5,10,6,5,7,9,0,89
2024-03-02 07:00:00,6,4,6,4,6,7,6,5,1,8,3,11,0,67
2024-03-02 07:10:00,8,8,7,7,8,17,7,15,3,5,2,7,0,94
2024-03-02 07:20:00,16,6,10,6,5,5,4,5,6,0,6,5,0,74
2024-03-02 07:30:00,12,10,9,7,3,6,3,6,32,5,3,6,0,102
2024-03-02 07:40:00,22,13,14,10,4,9,3,9,4,9,4,12,0,113
2024-03-02 07:50:00,19,13,14,14,5,19,4,18,6,4,5,7,0,128
2024-03-02 08:00:00,20,14,11,10,5,15,5,16,10,7,6,10,0,129
2024-03-02 08:10:00,15,13,11,11,11,12,10,9,16,10,8,13,0,139
2024-03-02 08:20:00,16,13,11,11,4,12,3,8,6,6,6,9,0,105
2024-03-02 08:30:00,29,22,16,14,12,24,8,21,7,3,11,6,0,173
2024-03-02 08:40:00,26,17,18,11,13,22,11,17,10,13,11,16,1,186
2024-03-02 08:50:00,29,26,20,15,14,26,10,19,10,11,10,16,0,206
2024-03-02 09:00:00,36,27,19,11,19,28,13,20,6,6,6,12,0,203
2024-03-02 09:10:00,32,25,20,16,18,16,14,16,10,13,5,10,0,195
2024-03-02 09:20:00,29,27,16,21,13,24,12,19,13,17,7,16,0,214
2024-03-02 09:30:00,40,42,24,31,15,35,12,24,226,17,13,20,0,499
2024-03-02 09:40:00,30,37,16,17,26,26,20,17,96,19,13,21,0,338
2024-03-02 09:50:00,47,49,18,26,17,42,14,24,123,16,15,15,0,406
2024-03-02 10:00:00,47,38,30,24,25,35,20,23,14,17,11,13,0,297
2024-03-02 10:10:00,53,51,25,28,22,35,15,24,9,21,9,13,0,305
2024-03-02 10:20:00,55,52,23,27,20,30,14,21,15,25,12,17,2,313
2024-03-02 10:30:00,58,48,28,25,23,41,16,26,13,15,14,4,0,311
2024-03-02 10:40:00,56,51,26,25,22,32,16,17,18,24,13,19,1,320
2024-03-02 10:50:00,52,55,24,33,25,44,16,23,17,22,11,10,0,332
2024-03-02 11:00:00,54,60,26,32,23,43,12,18,9,14,6,11,0,308
2024-03-02 11:10:00,71,48,28,26,23,36,15,17,23,25,16,13,1,342
2024-03-02 11:20:00,50,55,29,28,19,40,14,13,19,22,15,16,0,320
2024-03-02 11:30:00,54,44,22,25,19,49,15,20,14,26,11,24,1,324
2024-03-02 11:40:00,78,55,30,31,18,62,15,23,15,20,10,15,0,372
2024-03-02 11:50:00,44,49,30,30,36,48,22,22,108,18,9,8,0,424
2024-03-02 12:00:00,70,62,24,26,19,37,20,20,19,21,13,13,1,345
